1695177795# #看到有网友说，五百年后，放张伍佰的照片，这演唱会还能开允悲
1700472997# #又一起女子产后抑郁跳楼事件，可悲！。。11月20日，网传河南安阳华豫锦绣园小区有一对夫妻从17楼跳下，两人孩子才满100天，引发网络一片哗然。。。随后，有记者联系上了该小区街道办办事处的工作人员，其表示跳楼的并没有两人，是一名女子。。。女子患有产后抑郁症，她跳下后，她的丈夫趴地痛哭。懊悔地不断
1689737397# #现在都这么高级了吗苦涩
1696816726# #多看自己，听自己的声音。
1691488541# #这么辱骂、造谣一个未成年女孩什么责任都不用负吗？怒
1699852642# #这剧组这么凶的吗，借用学校场地，还用激光笔扫视学生。。。11月12日晚，上海建桥学院。有剧组前来该校拍戏，有学生好奇围观，结果遭到剧组工作人员驱赶不说，还被用激光笔扫视，引发许多学生不满。。。据该校学生称，当时很多学生都是刚从图书馆出来的，只是好奇瞅了一眼，就遭到剧组人员的驱赶和激光笔扫
1701311909# #不会吧？？？
1702893479# #全社会最牛的一股势力：网红
1690855233# #好长寿的小猫，给养猫的沾沾喜气
1690262635# #转发微博
1703814077# #听说孙铊已经在售卖自己位于澳洲的宅子准备跑路了
1691547150# #转发微博
1698124863# #先安排偷菜
1700558397# #转发微博
1696571049# #西安外国语大学丁某婕的瓜大家吃到了吗，真的震撼我全家呀！。。爆料丁某婕的是其男朋友，据其称他跟丁某婕在一起11个月，两人是异地恋。。。他在上海某会计事务所从事审计工作，而丁某婕在外国语大学就读会计ACCA专业。。。9月底他来西安找丁某婕，此时的他尚不知道丁某婕已经出轨，还跟其甜甜蜜蜜地在西安
1689922898# #........
1697600378# #笑发财了
1698908797# #关注一下！
1687147136# #天呐泪
1689821490# #这是微博发的出来的东西吗
1703064321# #good
1692152886# #黑芝麻酱，哈哈哈哈哈哈哈
1697091650# #他们一家是不溶于水呀苦涩
1697160728# #允悲
1697161981# #哆啦A梦害怕
1696988131# #这怎么还是个连续剧呢？？？
1703329362# #发布了头条文章：《解清帅直播带货引热议，一场狂揽500万，遭骂拐卖是剧本》
1690512124# #好可怕
1689147169# #yue，什么人呀，故意恶心人呢
1698831176# #真的给我看呆了，数石榴还要把老师叫回去加班吗？先不说这属不属于老师的职责范围，学校办石榴节，要数清多少石榴干嘛，是准备给学生发看够不够数吗？感觉学校有点故意搞事的感觉，在凭白增加老师的工作量，把老师不当人使。
1697531075# #怪不得人家说幼儿园的监控是用来保护老师的
1697979062# #北京化工大学学院院长被爆强迫女教师陪酒？学校回应来了！。近日一张群聊截图在网上疯狂流传，图片中一人愤怒控诉，北京化工大学马院院长曹某某品德败坏，强迫自己的妻子，也是该校的女教师外出陪酒。。爆料人称，自己妻子是马院的教教师，才刚刚参加工作，在周末被曹某某要求参加饭局。。妻子碍于曹某某
1701829591# #官方通报：现场并未收缴该户的散煤？？？
1701312684# #这女的可真能装逼呀，惹这么大的舆论
1688030637# #发布了头条文章：《游客路过青海湖景区遭保安驱赶，只因停车拍照，下车买水都不行》青海湖多方回应景区国道旁修围墙
1689644312# #允悲
1699324769# #允悲
1698484570# #发布了头条文章：《清远拾荒老人被打后续，男生父母店铺遭恶评，有公司高额悬赏以暴制暴》两男子当街多次踢倒拾荒老人并殴打官方回应两男生飞踹残疾拾荒老人
1702956378# #……
1697694317# #孩子一个人孤单单飘了那么远泪
1703727527# #可喜可贺
1701394177# #允悲
1693189089# #哈哈哈哈哈哈哈哈哈哈哈哈
1702867505# #艹。还都排着队。有画面感了
1703644253# #哈哈哈哈哈哈哈和
1698308177# #转发微博
1692256529# #真的是亲妈？？？
1693906487# #哈哈哈哈哈哈哈哈哈哈哈哈哈
1687930200# #前几天那个东北老太因换座大闹机场的事情有后续了！。。网传江西航空为了解决这场闹剧，便给老太太办了免费升舱，从经济舱升到了商务舱。。。要知道商务舱的价钱可是经济舱的几倍，老太太这下算是赚麻了。。。有许多网友因此辱骂、攻击江西航空，称其助纣为虐。。。近日，江西航空辟谣了，称没有给老太太办理升
1703474154# #怪不得一吃就饱！！！
1693299258# #大家一定要小心这样的拖把，真的太危险啦，有网友因为它小臂缝了20多针。。。就是下图这种拖把，把最上面手握处的盖子拿掉，里面是没有任何保护的、锋利的钢管。。。网友在拖地过程中，不小心盖子掉了，一用力，钢管直接扎进肉里，伤口特别深。。。据网友说，小臂筋膜都断了，送到医院缝了整整20多针。。。医生
1692321659# #很多医院都是这样，医生态度特别好，某些护士和缴费的倒是一天凶巴巴的，牛气得不行微笑
1698642526# #希望女孩能得来一个公正，恢复之前灿烂天真的笑脸苦涩
1688462962# #生活节奏越来越快，有时好好吃饭也成了一种奢侈。。。那有没有一种美味，既能饱腹，又能提供一天的身体所需？。。不妨来一块航天员能量餐。。。航天员能量餐是中国航天员科研训练中心专为航天员研发的食品，作为航天食品，它遵循航天食品卫生要求，做到了0反式脂肪酸、0防腐剂。。。同时小小一袋，不仅能帮助
1690437668# #什么东西呀，能不能抓起来怒
1688522176# #啊
1692691691# #火势这么凶，希望都平安
1688722427# #希望严格执行
1699584411# #男子嫌楼上小孩晚上拍皮球吵闹，上楼砍伤一家三口！。。11月6日，河南漯河临颖幸福港湾小区。晚上10点多，小区一三楼住户不顾天色已晚，依旧纵容自家小孩在屋内拍皮球，二楼业主上去劝说无果后，竟持刀将小孩一家三口砍伤。。。小孩父母受伤情况不明，孩子面部被砍出一个大口子。。。据小区一业主介绍，两家
1692006306# #家长几百元卖掉孩子养的狗，这新闻看得人着实心酸。。河南，一家长准备将孩子养的狗以几百元卖掉，看视频是一条小柯基，被养得白白胖胖，可见平时养得不错。。可孩子家长不知为何要将它卖掉，小女孩十分抗拒，双手紧紧拉着狗绳哭嚎不止。。就算家长将几百元塞进她手里，想以此让她松手她都不愿意，撕嚎、
1694766896# #把一条活生生的生命逼死，他们难道不会愧疚不安吗？。。四川达州，一位20岁的小伙子在超市从事送货的工作。一次意外，不小心与一位老人发生了刮蹭。。。小伙子很慌，赶忙给老人道歉，并主动提出赔偿。。。老人答应了，也没多要，就让小伙子给了100块钱就走了。。。小伙子以为这事就到此结束了，可没想到过了几
1692939764# #不是这是颠覆我们这种穷人的认知不分男女好吧..
1690421369# #搁这俯卧撑呢笑cry
1695188578# #我也没坐牢呀哆啦A梦害怕
1698312721# #现在怎么抢东西的又开始了！。。河南新乡，一主家叫一收割机收豆子，结果村里的老人一窝蜂就冲了上来，拿着大麻袋争相恐后地把掉在地上的豆子往自己袋子里扔。。。捡得那叫个忘乎所以、如痴如醉，可把主家看得是又气又怕。。。这收割机还在地里呢，主家生怕把老人伤着了。于是只好放话可以捡，但能不能等收割
1702285775# #买咖啡送青椒
1698298214# #这也太尴尬了允悲
1698743458# #我们国产蒸饺很难的喵喵
1692671713# #好迷你
1693275278# #你们也别太嚣张，我爸已经开始努力了泪
1688088622# #啊，真的假的，两个都爱呀苦涩
1696083748# #允悲
1696197604# #发布了头条文章：《3年前拒戴口罩，坚持外出跑步的澳籍女子现况曝光，令人唏嘘》
1689387305# #这才判10年……
1691635601# #真的假的？哆啦A梦害怕
1689644495# #还是网友机智，完美避开黑心旅行团允悲
1700729983# #发布了头条文章：《给小三庆生开车顶撞妻儿后续，男子照片曝光，警方称家务事遭质疑》河南周口地下车库
1697164552# #太可怕了，公民隐私就这么被堂而皇之挂在网络上供人观赏议论
1687772231# #20世纪初，压缩技术得到了进一步的发展，开始应用于更多类型的食品制造。例如，压缩脱水蔬菜和水果，以及压缩饮料成为常见的产品。。。这些产品通常通过将它们放入真空袋中，然后通过机械压力将它们压缩成更小的尺寸，同时保持其原有的营养成分和味道。。。现代压缩食品技术已经非常先进，可以生产出各种
1700543959# #。
1698283445# #允悲
1694418422# #这老板也太欺负人了，要我是孩子家长，非得气死！。。福建龙岩，一小男孩拿了5元钱去附近的商店买卡片，拿着去结账的时候，老板以为小男孩偷东西，一把掐住小男孩的脖子，还把其重重推倒在地。。。小男孩母亲知道后非常生气，带着孩子找店主讨说法。。。谁知店主还有理了，坚称小男孩放口袋的动作让他误解了
1692148496# #没想到能亲眼见证凤凰周刊的扭曲新闻的能力。这对双胞胎有严重的自闭症和智力障碍，这个父亲照顾了他们很多年，而且案发新冠封城最难熬的期间。当地绝大多数人看到这个新闻的时候都同情这个家庭的绝望。
1687678200# #大家可得注意了，微信表情包错了，你可能就成债务担保人了！。。一男子郭某，跟朋友刘某商量其儿子借钱的事情时，要求刘某担任自己儿子的债务担保人，刘某过几天回了个“OK”的手势。。。刘某儿子未及时还款，郭某直接将刘某父子告上法庭，要求其承担本金和利息的还款责任。。。刘某认为自己只了一个
1698137259# #10月初，我国载人航天办公室传来消息，预计将在10月份发射神舟十七号载人飞船。。22号，有媒体报道，神舟十七号载人飞船与长征二号F遥十七运载火箭组合体已转运至发射区。。紧接着第二天，媒体再度传来好消息，神舟十七号发射厂区将展开全系统合练。
1697008818# #看得我目瞪口呆
1703667188# #发布了头条文章：《白佛菜市场火了，禁止面条煎饼加工会造成大气污染，官方：搞错了》
1689306351# #山东老人挥铁锹砸向邻居的新闻大家看到了吗，老人动手伤人的原因曝光，实在是欺人太甚呀！。。前几天，有媒体报道山东一老人，挥起铁锹砸向女子胸前，女子倒地哀嚎后，老人扬起铁锹又是一下。。。还从一边铲土往女子身上扔，一副势必要把女子活埋的架势。。。视频引发了许多网友的关注，有网友大骂老人心太狠
1689059460# #造谣怪遇上喇叭精是一种怎样的体验？。。广东东莞一男子，回家晚怕被女朋友唠叨，于是灵机一动，谎称附近发生重大命案，还是入室杀人抢劫案。。。因为案件重大，所有开车路过的人都得下车接受检查，导致大堵车。。。男子自认编得天衣无缝，绝对能瞒住女友。女友也确实信了，但坏就坏在，女友转头就把这事发到
1696668497# #潍坊两个村干部不雅视频事件后续来了！。。据网友爆料，两人都有家庭，男的是书记，不到30岁。女的是妇女主任，有50岁了。。。真的搞不懂，差了整整20岁，怎么就能凑到一起呢，这男的图啥呀。。。女的也是，都50岁了，估计孙子都有了，咋还干这不着调的事。。。而且还是妇女主任，妇女主任是啥，是整个村妇女的
1692179470# #不是说经济下行吗，大家怎么都这么能买允悲
1700444871# #允悲
1700186184# #实在不知道该说啥了，又一起市民投诉个人信息遭泄露事件！。。陕西西安，一男子发现含光南路怡和大厦内一公司的实际经营地址和注册地址不一致。。。这是明显不符合规定的事情，因为根据我国《公司法》第七条，公司营业执照记载的事项发生变更的，公司应当依法办理变更登记，由公司登记机关换发营业执照。。。
1693452377# #？？？
1695905467# #兰州拉面搞的，因为目前只有兰州拉面掌握了1纳米切片技术喵喵
1698218726# #转发微博
1687751994# #傻眼
1697173650# #好恶心
1700097510# #店家心善，后来还跑到老人家中送了厚厚一沓免单券允悲
1694077556# #发布了头条文章：《女孩被打碎头骨后续，老师疑惯犯背景不简单，本砸另一学生误伤女孩》教育局通报小学教师打伤学生头骨被男老师打破头骨女生父亲发声公安介入调查老师打碎学生头骨
1688462926# #馒头是一种传统的中国面食，也是中国人餐桌上常见的食物之一。。。它通常由面粉、水和酵母等原料，经过和面、发酵、揉制和蒸煮等步骤制作完成。。。。在酷爱面食的北方，馒头一直被看作主食，在饭桌上搭配各种菜肴一起食用。同时还可用来制作其他的小吃，比如油炸馒头片、青椒馒头丁和馒头夹菜等。。。北方不
1695871368# #酵母一通白干
1688112769# #天呐，这个新闻太抓马了，男子发现自己同床共枕的女友竟是个“寸头小伙”！。。2022年，广州警方接到一男子报警，称自己被一个男扮女装的人以谈恋爱的名义骗了近2万元。。。男子跟“女友”是网上聊天认识的，两人性格相合，聊得很是投机，随后很快确定了关系。。。像其他小情侣一样，男子跟“女友”压马路、
1693876008# #怒
1690961336# #转发微博
1688023560# #青海湖管得这么严吗，停在路边拍个照都不行？。有网友爆料称自己在青海路国道上行驶，见青海湖风景优美，想停车在路边拍几张照片，结果遭到了青海湖保安的驱逐。。随后男子想在路边超市买点水补给，刚买完保安就上来赶人，生怕他在此处停留，偷看景点。。据网友称，保安都是青海湖雇佣的，每隔一公里就有
1688089171# #不知道说啥，这跟动物还有什么区别
1696756131# #笑cry
1700790859# #不行给它找个班上吧，瞅着比我聪明
1692178898# #允悲
1688114821# #连上六天班，周末要不要来一场说走就走的短途旅行。。。提起旅行，自然少不了航天员能量餐。。。航天员能量餐是我国航天员科研训练中心专为航天员研制的产品，它小小一袋，方便携带，还能为人体快速补充能量，并持续供能6小时，还具备一定抗疲劳效果。。。外出游玩，带一份航天员能量餐最适合不过。
1699940937# #受害者被撞出去好远呀，不赶紧救人还收拾东西，神经病吧怒
1690942411# #前几天刷到这段视频了，居然是剧本？？？
1688709136# #怎么通过验收的，太恐怖了
1700449947# #费解
1689232656# #车头都撞成这样……
1692442494# #这不是草菅人命吗
1693189194# #？
1700106654# #这也太缺德了，西安残疾村民租荒地种药材，收割前遭铲毁绝收，损失10多万。。。陕西西安临潼区一残疾村民魏秦川，在西安高陵区租了一片荒地种植中药材沙苑子，本来11月就准备收割卖钱了。。。谁知就在10月底，他的药材地里约11亩的药材遭人莫名铲毁，几乎绝收。。。按现在市价计算，损失预计达到了十多万元。
1700101981# #哈哈哈哈哈哈哈哈哈
1696817483# #没事吧？？？
1697705518# #现在各地不都开始严查不文明养狗现象了吗，怎么还有人遛狗不牵绳呀！！！。四川成都，一大妈遛狗未牵绳，狗窜到机动车道上，不慎被车轧了。。按理讲这就是大妈的不对，是大妈没给狗牵绳，也没看好狗，这才导致狗受伤了。。但大妈却不这么认为，不管三七二十一地就认定是司机的问题，是司机没看到她的爱犬
1692321922# #牛微笑
1700117268# #拒绝年龄焦虑
1702881899# #发布了头条文章：《上海街头，女子言语挑衅骚扰武警哨兵，原因曝光或刑拘》上海女子言语骚扰站岗哨兵
1702618789# #苦涩
1688369850# #发布了头条文章：《被逼吃粪便男孩现状曝光，痴傻不认人已入院，其舅妈透露和解内幕》﻿官方通报3名未成年逼1名未成年吃屎官方通报小男孩被逼吃粪便
1691745405# #这是闹着玩，这是故意伤害呀！。。河南郑州，一女子在水里划桨板玩，被人骑着摩托艇故意撞击。。。第一次没撞到，女子往前划了一点，并明确告知男子离自己远一点，谁知男子紧接着又撞了上来，这次给女子撞了个结实。。。直接掉水里不说，眼睛都撞肿了。。。身上也是多处淤血、水肿，甚至膝盖都出现积液。。。女子
1689560891# #携带实验室资料，以旅游签证飞美还敢发网上炫耀，这么无法无天的吗怒
1699854744# #还能这样玩哆啦A梦害怕
1695801651# #发布了头条文章：《脚踩兰博基尼的小伙怂了！70万粉丝账号被封，痛哭求车主放过》15岁少年踩他人超跑拍视频炫耀定损17万
1689656556# #畜生呀怒
1700544371# #给校长发微信哆啦A梦害怕
1689732868# #哈哈哈哈哈哈哈和
1689054375# #真的假的？
1688355639# #终于回应了，总结，跟C女士有过一段情，正常交往，双方自愿，没堕胎，没违法行为，c女士不是未成年白眼
1691047500# #怎么还有这种人呀！。。这几天多地下大雨，很多城市都被淹了。。。陕西省铜川市耀州区药王大道便是如此，洪水最深的地方都快到成年人的脖子处了。当地立马对受灾群众展开救援，将洪水堆积区域的群众进行了转移。。。直到洪水退去，这才让他们重返家园。。。可药王大道一居民却不满意，洪水是退了，但留下一堆淤
1690767385# #转发微博
1700559385# #这小区物业太不是人了，欺负残疾人干什么，人家活着容易吗！。安徽合肥，一残疾男子在小区张贴小广告，被7名物业工作人员拉住往脸上画画。。据知情人称，男子身患残疾，找不到正常的工作，这才干起了贴小广告。。一天要贴6个小时，只能赚70块钱。在贴到一家小区时，被物业工作人员发现。随后7个工作人员拦
1697592859# #泪
1688438475# #说至于吗的人不会是同伙吧？
1698831280# #父子俩震惊我两次
1697172830# #舌头捋不直了
1702272985# #什么，有钱人就真唱了，要不要这么恶心裂开
1694054753# #转发微博
1689225214# #还真是，尤其是吃自助，后面谁拿的谁吃，分得老清楚了苦涩
1698976530# #衰
1689736893# #应该就没有成绩被偷走的事，要不是女孩没考好，面对父母的盘问不敢承认，于是谎称自己的成绩遭到了调换。要不就是中考才是女儿真正的成绩，以前学校的那些模拟考监考不严，让她有机会通过别的方式获取高分。可到了监考严格、阅卷严谨的中考考场就一下全露馅了，把自己最真实的水平暴露了出来。
1701227002# #杨凌职业技术学院一男生持刀捅伤两同学！。。事情发生于11月28日，杨凌职业技术学院北校区。一男生不知为何，突然持刀捅伤了一男一女两同学。。。被捅伤的女生躺在地上一动不动，男生也浑身是血，看着伤势很是严重。。。捅人男生很快被几名同学制服，有好心女生焦急地蹲在受伤同学身旁大声呼救，叫医生快来。
1697774530# #这几天抖音到处都是这几张聊天截图，把脏水往女童身上泼怒
1702552123# #发布了头条文章：《认怂了！打人馄饨店老板分店曝光，再遭网友攻陷，店主悔不当初》男子小料加太多遭店家辱骂追打警方回应男子多加小料遭店家辱骂追打官方人士称加小料男子与店主本就有纠纷
1687167900# #长期食用反式脂肪酸对身体的危害有多大你知道吗？。。反式脂肪酸是一种人工合成的脂肪酸，经常被用于加工食品，如薯片、快餐、糕点等。。。以下是反式脂肪酸对人体的危害：。。1.增加心血管疾病风险：摄入反式脂肪酸会增加人体低密度脂蛋白胆固醇的水平，降低高密度脂蛋白胆固醇的水平，导致动脉粥样硬化
1697423224# #相亲前：就要找有钱的；相亲后：我有几分贫贱不能移的骨气在身上的doge
1703495957# #明明是抽烟男子先挑事的！！！
1687340980# #你知道米糠脂肪烷醇是什么吗？。。它是从一种有机植物中提取的具有健康功能的天然物质，能增强体力、耐力、精力，并提高机体代谢，改善心肌功能。。。米糠脂肪烷醇曾被国家卫计委列为10种新资源健康食品之一，通常被用在运动营养食品、膳食补充剂和运动饮料中。航天员能量餐中就加入了米糠脂肪烷醇，使
1697709595# #很好，自从用了它再也吃不下饭了
1703756941# #发布了头条文章：《3娃非亲生案，孩子生父浮出水面被扒底朝天，吴某恐非唯一》3娃非亲生案女方跟别人生下第4个女儿
1698212213# #大家一起在单位，包饺砸~
1689048024# #哈哈哈哈哈哈哈哈哈
1699609798# #B太大家应该都认识，作为全网拥有千万粉丝的打假博主，十分受大众的喜爱。。最近，在粉丝的千呼万唤下，B太来到了辽宁大连。。大连位于我国辽东半岛最南端，东濒黄海、西临渤海，拥有丰富的海产资源。。不少游客前往大连，都少不了一品大连的各种海味。大连海鲜的正宗和新鲜绝对没话说，就是商户们的秤到
1701853926# #这老板真的太黑了，卖个包子咋还看人下菜碟呢！。。湖南长沙一包子铺，门头上明码标价着一个鱼香肉丝包1.5元一个。但有一个孩子来买，要了两个鱼香肉丝包女老板竟然收了孩子3.5元钱。。。孩子父母得知情况后，爸爸拎着包子上门怒斥包子铺老板娘。。。“为什么收我家孩子5角钱。”。。“你是看他是小孩子是不是
1692860346# #这么大钳子谁吃谁还不一定呢
1698283684# #这事还吵上热搜了黑线
1692326951# #要被网友笑死了允悲
1689125006# #转发微博
1689904822# #建议全国跟进
1692861464# #允悲
1693467280# #严重影响两校招生！！！
1698816988# #泪
1699866452# #发布了头条文章：《凤凰古城别车事件后续，涉事者身份曝光国企领导，官方回应太敷衍》凤凰古城湖南
1695375966# #女生可能怎么也想不到，自己竟然会以这样一种方式离开，死在自己曾经爱过的人刀下。她肯定特别懊悔、愤恨，自己当初怎么就瞎了眼，看上了这种人渣。大家谈恋爱时，一定要注意远离这种性格偏激、极端的人。因为这种人你一旦沾染上了，分手都甩不掉。
1697014742# #发布了头条文章：《丰田销售辱骂顾客后续，官方账号被网友骂到关评，直播间沦陷》一汽丰田超话丰田4s店就怒怼客户道歉丰田经销商吼客户买十万的车叫什么叫
1690783599# #空调还有假的哆啦A梦害怕
1688607307# #厉害鼓掌
1690855389# #不是，怎么真去了呀苦涩
1700794078# #还有这事？
1690621741# #发布了头条文章：《公园一男一女自尽事件，更多内幕流出，男子同事称其590分高材生》吉林北山公园吉林白山一处公园内一男一女上吊身亡
1692323493# #哈哈哈哈哈哈哈和
1694485919# #……
1693373025# #哈哈哈哈哈哈哈哈哈哈哈
1691928820# #女子遭摩托艇两次撞击事件总算等来警方通报了！。。前几日，有媒体报道。河南郑州，一女子在郑州北龙湖水上划桨板，遭一男子驾驶摩托艇两次撞击。。。第一次因女子躲避及时未撞上，在女子严厉警告后，对方不以为然，第二次接着撞击。。。这次直接将女子撞进水中当场昏迷，身上也出现多处淤青、水肿和积液。。。
1701050422# #他们四个是飙车吗？
1690952987# #哆啦A梦害怕
1692926136# #允悲
1692860174# #怒
1695794018# #成都文理学院这个瓜真的假的呀，这也太恶心了吧衰
1699941438# #视频逗，网友的评论更逗允悲
1699939483# #允悲
1691027046# #苦涩
1689147222# #我这种没增加的去哪领钱哆啦A梦吃惊
1703648021# #允悲
1700642095# #发布了头条文章：《挑衅侮辱中国球迷的小哥火了！网传海南大学学生，本人辟谣》男子身穿热刺球衣挑衅国足球迷警方回应世预赛有球迷穿热刺球衣被打
1700209869# #冷门大学清华北大
1693303195# #什么玩意？？？
1696753198# #前段时间那个女子带小孩摸狗被咬的事情有后续了，女的伤挺重，狗主人可能面临巨额赔偿！。。10月6日，江苏。。。一女子撑着伞伞带着小孩逛街，看到路边卧着一只松狮犬，心生爱意便上前抚摸。。。谁知狗突然发怒，扑到女子身上张口就咬。女子尖叫着挣扎，可松狮犬体型颇大，女子根本蹬不开，脸部被其咬伤。直
1689211227# #笑cry
1689388192# #中医也有食疗呀
1691635205# #……
1693299737# #哆啦A梦害怕
1692063119# #苦涩
1689564821# #这人也太坏了吧，你就差这几箱水是吧。。。河北定州，一位徐先生见天热户外工作者喝水不方便，于是搞了个爱心驿站，准备了好几提矿泉水和冷饮放在马路边上，供环卫工和快递小哥等随意取拿。。。谁知大晚上竟然来了个骑三轮的男子，将徐先生准备的矿泉水搬走20来件。。。拿水就算了，临走时还不忘把徐先生挂着
1697446144# #发布了头条文章：《特斯拉高速别车3次后续，车主已被抓获，可惜或不被定罪》交警回应特斯拉插队未果高速上三次别车
1699325279# #没问学校要一分赔偿只为让姐姐进校工作，最后惨遭姐姐抛弃，姐姐还是人吗泪
1695781461# #00后上岗了
1694155318# #发布了头条文章：《曹氏鸭脖被爆使用多种添加剂，官方回应让人大跌眼镜，太空食品捍卫0》曹氏鸭脖被离职员工爆料全是科技与狠活曹氏鸭脖你能吃哪种辣
1700210442# #哈哈哈哈哈哈哈哈哈，笑死了
1700802910# #光看视频都觉得好欢乐
1700793947# #转发微博
1698140324# #居然一路涨了这么多！！！
1692178216# #发布了头条文章：《医疗反腐波及钟南山，1200元挂号费被批太贵》医疗反腐
1699773147# #30万彩礼只愿退15万，女子及家属遭男方父子持刀砍杀！。。最近四川凉山发生了一起惨剧，两户人家定了亲，，可结婚前女方突然反悔，要与男方取消婚约。。。这事说大不大，说小不小。毕竟结了婚都有要离婚的，定亲想反悔也不是不可以。。。但这事坏就坏在，女方一心退婚，却只愿归还当初男方给的30万彩礼的一半
1699694689# #发布了头条文章：《女子结婚老公却与婆婆紧依十指相扣，公公发言更炸裂，网友：离谱》
1687944943# #发布了头条文章：《夺陈宏友话筒的高中生蒋振飞高考成绩出炉，被人恶意造谣落榜本科》陈宏友蒋振飞
1689751740# #桂林景区又出事啦，筏工竟然开始殴打游客了！。。都说“桂林山水甲天下”，桂林一直是热门旅游胜地，是不少国人甚至是外国人心驰神往的地方。。。但桂林风景美是美，就是景区有些坑。。。先是收费离谱，景区不止一次被网友吐槽内部收费过于昂贵，随随便便吃点啥就上百，人均消费高得出奇。。。后是服务不行，有
1694139185# #真是缺了大德里！。。首都北京，一外卖小哥送餐途中遭人恶意别车，小哥气不过上前找车主理论，谁知车主直接掏出一瓶辣椒水喷在小哥眼睛上。。。瞬间把小哥疼得满地直打滚，痛哭尖叫起来。那一声声痛呼，听得人心里实在难受。。。那喷辣椒水的车主，却开着车扬长而去。。。不可否认，有些外卖员为了赶时间会骑着
1695894312# #这教育圈的瓜一天吃个不停
1703647641# #这表可以呀
1703644174# #不敢看泪
1699239781# #哈哈哈哈哈哈哈哈哈
1691548192# #允悲
1697770117# #天呐苦涩
1690781240# #真不是老人变坏了，是坏人变老了！。。近日，广西百色一老大爷。因为自己的老年代步车被一辆摩托车挡住了，于是将摩托车几下推倒在地。。。大爷推倒的可不是一般的摩托车，是宝马摩托车，价钱可不便宜。。。目前，车主已经掌握了大爷推倒摩托车的监控视频，估计准备追责了。。。这大爷也是，脾气咋这么大呢。摩
1692860269# #允悲
1688974503# #哈哈哈哈哈哈哈哈哈哈哈
1703217400# #非法占用他人财物怎样处理
1703473941# #？？？
1693380486# #我记得这好像不是第一次发现核辐射地区的进口商品了吧，好像上次也是浙江，这未免也太巧了。希望当地能严查一下，看它们都是怎么进入国内随后流入市场的。如果不严惩，这个被查处还会有下一个。
1692090188# #不好意思，真的憋不住允悲
1694766894# #？？？
1693377133# #为什么要对一吨小猫恶意这么大
1703670757# #别说了，汗流浃背了苦涩
1697682452# #怪不得他那么快乐泪
1693793812# #好恐怖，养狗的能不能牵好狗绳呀！！！
1702866907# #该！
1688436264# #怒
1694166911# #您好大的官威啊doge
1698910662# #放过孩子吧，颠婆
1698628776# #娄底渣渡中心小学湖南娄底二年级女生遭17人校园霸凌终于上热搜了，火速调查处理发通报！！！
1690161092# #赶快推行，急需
1702631800# #发布了头条文章：《肉厂员工将废弃猪肉卖给早餐店，淋巴做云吞，太空早餐营养有保障》
1700791915# #我嘞个豆！！
1692448940# #发布了头条文章：《上海六院处理结果引众怒，骂人女职员同学发声，患者控诉曾被气哭》上海六院称已连夜处理窗口人员阴阳怪气事件上海六院回应男子挂号因没听清被怼
1702014608# #哈哈哈哈哈哈哈哈哈哈
1689830168# #哆啦A梦害怕
1701054482# #这么粗！！！
1698803674# #这什么人呀怒
1688550168# #日后要是做跟人相关的实验，不会……
