1697015644# #真的假的？？？？？
1698925387# #内蒙古自治区高级人民法院原胡毅峰一审被控受贿3754万余元
1691054361# #事关每个人！公安部刚刚发布
1692510122# #要是照这样下去非打到没人可打时为止。俄媒：乌欲通过“禁止以领土换停战”法案
1693490036# #转发微博
1689568779# #美参议员在发冒险信号称北约扩张到亚太不可避免。据参考消息网7月17日报道&nbsp;据美国《国会山》日报网站报道，两名美国参议员7月16日表示，他们认为北约扩张到亚洲是“不可避免”的。。报道称，来自阿拉斯加州的共和党籍参议员丹·沙利文和来自伊利诺伊州的民主党籍参议员塔米·达克沃思作出了上述表态。。沙
1690783256# #应对支持对网暴发起诉讼。。如今人人有键盘，不管三七二十一，伸手就来，说了就走，根本不管这些网暴语言对他人的伤害有多大。现在，大家已经觉醒，更多的受害者应当站出来积极维权，而不是用结束自己生命的方式去反抗网暴。。。主播“管管”服农药自杀，家属称其遭网暴提刑事自诉8月1日开庭-中新网
1696944538# #背靠泰国首富家族，养猪巨头为何主动撤回千亿IPO?
1698237266# #哈萨克斯坦国防部：哈没有开设任何“北约中心”
1695039113# #最高检对宁夏回族自治区党委原副书记、银川市委原书记姜志刚决定逮捕
1700531186# #上海实业（集团）有限公司总裁周军被查，刚辞去上海医药董事长等职
1690719888# #游泳比赛如果砍掉一半项目，再限制每个选手参赛项目数量，那五眼联盟估计要掀桌子。。游泳比赛奥运会设35个小项，世界锦标赛设42个小项。美国澳大利亚在这个比赛大项中占据很大优势，但他们过去有的一个人能同时拿五六个金牌，这严重限制了其他选手表现的机会。应当像乒乓球、举重项目限制中国那样，对
1703649468# #中央档案馆开放一批毛泽东文稿档案。　　新华社北京12月26日电（记者董博婷）记者从中央档案馆获悉：在毛泽东同志诞辰130周年之际，中央档案馆向社会集中开放4010件毛泽东文稿档案。。。　　据悉，此次开放的毛泽东文稿档案，时间跨度大，内容形式广，涵盖文章、指示、批语、电报、讲话提纲、书信、批注
1700321588# #转发微博
1690379996# #赵有亮在日本东京家中事实，我们该怎么悲哀？。中国国家话剧院发布讣告：赵有亮同志于7月26日在日本东京家中逝世，享年78岁。。在这个讣告里，赵有亮有如下的身份：中国共产党党员、中国戏剧家协会会员、中国电影家协会会员、中国国家话剧院国家一级演员（原中央实验话剧院院长、中国国家话剧院院长）、
1689416835# #办法是有的，我们先管制，减少出口，提高价格，逼他们自己开发。等他们有产品要出来，我们再来个低价倾销，干死丫的！。日本首相岸田文雄将开启中东之行，《日经亚洲》7月15日报道称，岸田将与中东国家讨论能源市场、矿产和新能源技术等议题，日本和沙特预计将在共同投资开发稀土矿一事上达成协议。
1691475981# #提高国内居民真实收入，加紧部署内循环，才是走出困境的不二法门。。海关总署：今年前7个月我国进出口增长0.4%
1700199618# #这是美国的馈赠
1693492710# #被盟友坑了关键人物爆料月船三号登月以天线着地。。这些天，关于印度登月是否成功的争论不绝于耳。如今，一位关键人物爆料了！。。8月29日晚，受聘于印度阿三航天局的美国航天专家提纳尔·麦克突然发文宣布，印度登月船3号最后在着陆环节时登陆舱以天线着地，长时间诡异地时而失踪时而出现，航天局都不抱希
1702609390# #辽宁检察机关依法对崔茂虎涉嫌受贿案提起公诉
1695618523# #转发微博
1701174637# #江苏中烟工业有限责任公司党组成员、副总经理宣晓泉接受纪律审查和监察调查
1700139529# #转发微博
1703826178# #美国联邦航空管理局：波音正敦促各航司检查737MAX方向舵控制系统是否存在异常
1691232492# #“在中国没有希望，还是去美国好”，一位90后小伙的移民美国梦
1696833507# #阿塞拜疆加入国际月球科研站计划
1690216376# #缅甸逃回国者自述：逃离路上，埋满尸体
1699282113# #那些偷渡的润人却被美国看成间谍。网上经常看到关于润人的说法，主要是偷渡到大漂亮国的，有炫耀的，有羡慕的，也有正在准备润的，更有予以嘲讽和谴责的。。其实，都是成年人，各有各的梦想，也各自承担各自的责任。作为普通民众，我们没有执法机关的权力，所以只能继续吃瓜。。不过，有境外媒体例如联合
1695039450# #官方再通报“遵义一医院问题招聘”：区卫健局长等9人被查
1692869080# #金砖国家宣布扩员：六国获邀加入
1695480030# #琉球的玉城丹尼到联合国人权理事会发表演说，痛斥美国在琉球的军事基地对琉球人民犯下的累累罪行。真替他点赞！赶走美军，虽然很难，但必须努力。然后，琉球从日本的管控下下独立出来，建立自古就有的琉球王国，为琉球人民自己不懈的努力再点赞。。当年日本入侵琉球，琉球人到中国求助，但那时的中国泥
1692687498# #网传华为3.2万名科学家正式移籍？华为回应：谣言
1695178986# #日本很失望。英外相称已邀中国参加全球AI峰会：缺了中国，目标很难实现
1701938583# #国家发改委印发首批碳达峰试点名单
1699101298# #大连原副市长刘岩被“双开”：盲目听信“政治骗子”为其“说情抹案”
1697546424# #四川崇州再通报“女童在小区遭恶犬围咬”：黑狗主人被采取刑事强制措施
1692864492# #普利戈任暴亡，到底是谁干的？。现在提出来关于普利戈任坠机身亡的几点疑问供大家参考？。1、是真死还是假死？。这个虽是很搞笑的问题，但不是没有道理的。因为古今中外，这样的替身战术很多。关键一点，十分诡异的是，瓦格纳集团的几乎所有高管都在这架飞机上，给人的感觉是这些人要么被强迫上了这架飞机
1695301445# #环球时报据共同社20日报道，日本财务省当天公布的8月贸易统计初值显示，包括水产品在内的食品对华出口为141.86亿日元（约合7亿元人民币），较去年同期减少41.2%，创下东日本大地震后近12年最大降幅。。这些数据表明，中国为了自身居民的食品安全，采取了严厉的日本相关食品的进口政策，必然令日本的相关
1696828322# #王毅与美国参议院多数党领袖舒默举行会谈
1692806515# #沙特教育部指示全国中学每周两节课，教汉语
1699348935# #外交部：所谓“中国制造债务陷阱”，不过是某些势力编织的话语陷阱
1693209273# #转发微博
1700529937# #江苏无锡一纺织公司发生火灾，造成7人死亡
1696828382# #音乐节变“射击场”：发现至少260具遗体，中以混血遭绑架
1694501665# #民政部：鼓励社会公众和媒体对慈善进行监督，促进慈善组织全面、真实、准确地公开信息
1703139750# #黎智英居然要求美国用核弹消灭我们，这样的片段应当在香港街头的大屏幕上多播放，让更多人知道真相，他如果是民主斗士，那民主就是反人类，是恶魔！！！
1702212218# #华夏银行天津分行行长坠楼？媒体称当地派出所确认
1700189644# #“儿子加班辛苦了！”一条微博，让博士生被境外间谍盯上了
1691918202# #医药反腐持续深入：被查书记院长升至176位又有多名医保局长落马
1695380741# #转发微博
1693398720# #在维护法律尊严的路上，做得好的，能否保证及时上位，很重要。。郴州禁毒民警控告前禁毒支队长徇私枉法，检察机关：已移交纪委
1689943810# #奇葩的印度！。印度两名女子被强迫裸体游街并遭性侵，莫迪：令印度蒙羞
1691760327# #股民因股价下跌在网上表达不满，被上市公司告上法庭
1690636545# #真长脸！高温下，上万元加拿大鹅羽绒服打5折引发争抢，排队进店时间长达4小时。地点就在北京城！！！。当年加拿大鹅的辱华事件已经过去了，真的过去了，就如沙滩上的涂鸦，海浪冲过来，然后一切归于零！。难怪外国人说，中国人的记忆等鱼差不多，只有七秒。难怪那些国际大品牌在涉华问题上那样傲慢淡定！
1704037835# #看得心惊肉跳，真是大善大德
1692710768# #一旦允许土地买卖，就由不得你卖不卖了。到时候，你不卖，他们肯定创造条件让你卖，呵呵，哼哼！。。卖不？。。不卖？。。卖不？。。……。。给我吧？。。好！。委员建议允许城市退休人员返乡买地养老，湖北官方：法律不允许
1692960388# #千万富翁被儿子送精神病院自缢身亡，警方：排除他杀
1692699499# #聊聊仁爱礁吧，虽然看着很闹心，但还是要放行。。今天最火的一个新闻就是中国海警局的消息，就是菲律宾派出四艘船只不顾中国海警的阻止而进入仁爱礁海域，鉴于该船只未携带大型紧固设备，中国海警出于人道考虑，就让这些船只给那艘破船送给养了。。我看的新闻下面，许多人痛心疾首，有的大感失望，有的说
1703384330# #广东卫健委副主任、省中医药局局长徐庆锋被查
1691737759# #中新两位外长见面，大家注意到没，两人都没有系领带。这么炎热的夏天，把领带去掉，的确有种轻松感，好好聊聊，岂不快哉！外交活动，以后，是不是也可以经常如此！中新两国的传统里，好像都没有领带！。王毅会见新加坡外长维文
1693301447# #坚决防止政商勾连、资本向政治领域渗透等破坏政治生态和经济发展环境，推动解决经济社会问题背后潜藏的为政不勤、为政不公、为政不廉等现象，。李希：深入学习贯彻习近平经济思想为经济社会高质量发展提供有力保障————头条——中央纪委国家监委网站
1695173189# #名字很好。被“实锤”抄袭，王忠民辞去人大代表职务
1699151639# #中国商飞：C929飞机已进入详细设计
1695565593# #现在，网上有许多发布黑华为新手机的账号。有的发文字，而且文字内容都差不多。有的发视频，说刚买的新手机摔碎了，而配图却不是华为新手机。唉，要黑华为，连买个新手机都买不到，哪来的摔碎啊。摔碎的大概是自己的良心吧。可以说黑华为的，不管是国内的还是国外，不管是有组织的还是自发的，我觉得他
1700298981# #韩国将立法禁食狗肉
1695036273# #苹果陷入“辱华”风波？
1693399073# #美国讽刺一幕：记者报道持枪抢劫时被持枪抢劫……哈哈，看到这，忍不住
1693541707# #太平人寿保险有限公司原党委书记、总经理张可接受纪律审查和监察调查
1696736019# #中国、阿富汗、巴基斯坦举行三方会议
1692794919# #印度“月船3号”成功登陆月球
1693142773# #听说沙特阿美摊上事情了，联合国有关组织要调查它，因为有国家指控沙特阿美要为全球的气候变暖负责。真有点意思啊！是不是还得调查下是谁先发现了石油，是谁把石油作为工业生产的燃料，是谁，到底是谁呢？
1700218721# #14年来首次！中国美债持仓已不到8000亿美元
1703246051# #广西壮族自治区人民政府原副主席刘宏武受贿一案一审宣判
1703074854# #积石山6.2级地震已致青海海东市21人遇难
1695213131# #转发微博
1698291300# #据山东省纪委监委官网星期三（10月25日）通报，山东国惠投资控股集团有限公司党委书记、董事长尹鹏涉嫌严重违纪违法，目前正接受山东省纪委监委纪律审查和监察调查。
1691121917# #“高铁施工偷工减料”事件后，中建八局再陷“工程质量”风波
1699426304# #中山二院癌症患者黄某家属发声：确实被踢出群聊，目前病情严重
1697602729# #欧尔班在中国和普京会面：匈牙利从没想过和俄罗斯对抗
1703840025# #马斯克帮美国发射X37B，我们该不该制裁？。央视新闻消息，据美国有线电视新闻网（CNN）报道，当地时间12月28日晚，美国太空探索技术公司（SpaceX）在佛罗里达州肯尼迪航天中心成功发射美国军方X-37B“轨道实验飞行器”。。。据报道，这是X-37B“轨道实验飞行器”的第七次发射。此次发射使用了SpaceX公司
1703337441# #东风集团原副总经理童东城退休六年后被查
1690702146# #针对亚裔有增无减，美国加州，72岁亚裔老太被无故打倒
1695184558# #被质询访华时华为发新机，美国商务部长：惊讶、不爽
1695868752# #人民网北京9月28日电（记者李楠楠、马昌）记者从最高人民检察院获悉，重庆市人大常委会原党组副书记、副主任，重庆市总工会原主席郑洪涉嫌受贿、利用影响力受贿案，由国家监察委员会调查终结，移送检察机关审查起诉。日前，最高人民检察院依法以涉嫌受贿罪、利用影响力受贿罪对郑洪作出逮捕决定。该案
1700498947# #你信他能全美元化，他哪来的美元，美国凭什么让它美元化？除非美元成废纸！
1698683932# #加沙的现状在全世界散布，有一类人一直在洗都是假视频
1700666255# #凛冽的寒风，彻骨的寒冷，你们，就那样成了雕塑，一座座永不消失的丰碑，祖国不会忘记，人民不会忘记，感谢您，有您，才有今日的国和家！
1693471649# #这就是白和黑的本质！国外视频分享拒绝暴力
1701142837# #武汉市卫健委：暂停武汉普仁医院出生医学证明签发资格
1690001357# #承认现实吧，美国佬！。“我们并不寻求一种终结的状态。”沙利文说，“我们将不得不无限期与中国共存，这会是国际格局的一个特征。我们必须学会作为大国共处，这是我们施策的基本战略前提。”。沙利文：稳定中美关系真有可能，美国将不得不与中国无限期共存
1698504705# #马尔代夫候任总统：正与印度谈判要求其撤军，计划实现完全独立
1699446366# #全球将拉响特朗普警报。。据外媒路透社报道，11月5日公布的一项民意调查显示，寻求连任的美国总统拜登在六个关键州中的五个，落后于共和党初选的领跑者特朗普。在亚利桑那州、佐治亚州、密歇根州、内华达州和宾夕法尼亚州，特朗普的支持率领先于拜登，拜登只在其中一个关键州——威斯康星州领先。而在此
1693276229# #商务部部长王文涛与美国商务部长雷蒙多举行会谈
1693575487# #中国澎湃新闻星期五（9月1日）报道，为期62天的铁路暑运在星期四（8月31日）结束。国铁集团公布，铁路暑运期（7月1日至8月31日）的全国铁路累计发送旅客8亿3000万人次，创暑运旅客发送量历史新高。这对于那些一直唱衰中国经济的人是一个提醒，如此高的人员流动，不是饿着肚子在全国游走吧！。房地产业的
1697114228# #请大殖子们参观以色列孩子从小接受的教育，多文明，不去喷？
1692499617# #长沙22名家长被骗60万“择校费”，一教培机构负责人获刑
1692515699# #女子在面馆吃饭，医生上前提醒她脑部“可能有肿瘤”……
1689342662# #美国，那可有100多种性别，据说听说啊！。我姐夫的弟弟的儿子，一直在美国留学，之前一直以他为傲，直到对方谈了个男朋友。
1694657252# #央企5名管理人员接受审查调查，涉中国能建总经理孙洪水等人
1693122910# #普京签署法令要求，这些人在国旗前宣誓效忠
1700897689# #英伟达被曝推迟面向中国的新款芯片：3款“改良”芯片中功能最强大的一款
1702872240# #养这种畜生干嘛
1697866387# #广西壮族自治区人大常委会原副主任张秀隆被查
1700810874# #泰国移民局公布中国乞讨者调查结果：均通过正规渠道入境，部分持学生签证
1699844483# #重庆市政府原党组成员、副市长熊雪严重违纪违法被开除党籍
1694879673# #贵州省委政法委原副书记刘文新被“双开”
1693140392# #俄侦察委员会：普里戈任失事飞机中10名遇难者身份均已确认
1695369744# #36岁成为女市长，21年后主动投案
1697596163# #国家统计局：今年前三季度GDP同比增长5.2%，三季度同比增长4.9%
1690437169# #转发微博
1701783097# #证监会：将集中力量查办欺诈发行、财务造假、操纵市场、内幕交易等市场关注、性质恶劣的大要案
1699851673# #日本资生堂股价大跌，称核污水排海影响中国需求
1700917634# #乌克兰首次承认：冲突早就能结束，但西方让我们继续打
1701173677# #黑龙江一煤矿发生事故已造成11人遇难
1690862848# #北京强降雨已致11人遇难27人失联，其中2人因公殉职
1692873734# #转发微博
1691399443# #转发微博
1703564478# #国家卫健委印发《第三批鼓励仿制药品目录》，并做出政策解读
1699532650# #受贿超2.1亿元！招商银行原行长田惠宇案一审开庭，当庭认罪悔罪！
1704121446# #事关中国科考船，印度再施压
1691051707# #“我再重复一遍，资本主义没有改变中国，是中国改变了资本主义。”。美反华议员又飙戏了：打击中国产业，禁售中国产品，赢不了中国！
1702089585# #河北省纪委副书记、省监委副主任陈玉祥接受中央纪委国家监委纪律审查和监察调查
1699060887# #转发微博
1693826603# #【华为浏览器】中央统战部原副部长、国家宗教事务局原局长崔茂虎被逮捕-观察者网
1692873608# #闹大了村霸殴打老人,广东警方“和稀泥”处理,引全网一片骂声
1692793553# #印度月船三号应当在北京时间晚上八点三十五分左右着陆月球。刚才翻了新闻，还没消息呢！。估计全印度都在盯着直播画面看吧。按照中国的习惯，他们也应当有直播的。。这里不酸不舔，只说一条，那就是印度的发展如果继续下去，会有一天在经济体量上成为全球第三，并有机会成为老二。不能因为印度现在有点穷
1697620965# #虽然短痛，但长爽！！！！。美公布对华半导体出口管制最终规则，商务部回应
1697298022# #转发微博
1691834345# #转发微博
1699001042# #一个员工持有263套房产，这家国企应当有个说法。。近日，据澎湃新闻报道，四川成都高新技术产业开发区石羊街道办事处发布的“清凤时代城小区首届业主大会筹备组报名人员”公示显示，四川化工集团有限责任公司一陈姓女子的信息中，包含263个不动产单元，引发关注。。根据这个女士所在居委会的说法，该女士
1691662187# #常州回应医生朱某某相关案情：“抄家抄出1.5亿”等不实
1695385150# #中美双方商定，成立经济领域工作组
1696860690# #许家印的债和许家印的命。今天，金融系统爆出大雷，据中央纪委和国家监委网站消息，中国光大银行原党委书记、董事长李晓鹏被开除党籍，并被开除公职；违纪违法所得被收缴；且因其涉嫌犯罪问题被移送检察机关依法审查起诉，所涉财物一并被移送。。网络上有传言称，这是许家印被控制后交代出来的。但从中央
1690941786# #这就对了。韩国室温超导团队：论文存在缺陷系一名成员擅自发布已要求下架
1690869887# #这样很不错了，虽然回应中并没有那么坚决，但考虑台独的嚣张，应当让小伙子有一定空间。。配乐用《我爱你，中国》，中国台北选手发声
1704010471# #蔡正元博士博古论今，解读台湾人是不是中国人
1700027771# #【澎湃新闻：释新闻｜日本大阪居民血检异常，美军基地污染与全球“黑水”之困】(分享自
1698568032# #【中国制造日】胡伟武：芯战役：将自主进行到底！
1697774813# #商务部、海关总署：优化调整石墨物项临时出口管制措施
1693486053# #那些愤怒华为高价卖手机的应当抛弃这样的思维。华为新机上线，网上一片叫好。然而，总有那几个不阴不阳，对着屏幕吠叫，指责其征收爱国税，高价割韭菜。。这些人根本不能理喻。眼瞎才看不到这款新机有哪些新功能，全球收款卫星通信大中智能手机，就这一样都够炫的！至于其他先进功能，他们更是选择无视
1692114364# #在今天的特殊日子，俄罗斯让日本心安，好好发展吧，否则……。两架俄战略轰炸机在日本海上空飞行超6小时
1697334909# #莫迪：印度有意申办2036年奥运会
1699621686# #能不能建立一个纯粹的法治国家？我感觉这是一个梦！。自古至今，不论是多么严刑峻法，都难以解决根本性的问题！这个问题是什么？就是人性的自利！。人性的自利可以促进社会的进步，但也会阻碍社会的更上一层楼，使得社会始终在转圈圈，在治与乱中循环，只是由治到乱或由乱到治的时间长短不同而已！
1698324382# #湖北省原副省长曹广晶受贿、泄露内幕信息案一审开庭
1700041344# #美海军最新濒海战斗舰副舰长自杀身亡，该舰上月曾被困五大湖
1701783204# #穆迪下调我主权信用评级展望，财政部回应
1695825376# #俄罗斯再制裁23名英国公民，包括英国防参谋长等人被禁止入境
1690785429# #邢台西部山区，河沟洪涛滚滚
1695736629# #德国防部：乌克兰没有德国坦克乘员
1696756152# #惠州一项目五折卖房：遭已购房业主反对，被房管局叫停并退房
1693382487# #执法人员辛苦了大家买东西都要看清产地
1703254135# #以后工程工资款不要打给包工头，而是直接打到有政府监督的专款账户，力争杜绝拖欠工资的情况发生。今后，随着人口减少，包工头估计都难找到干苦力的了！好好珍惜这些50岁上下的苦力工吧！。制作虚假工资表，拖欠农民工上千万工资！一包工头因拒不支付劳动报酬罪获刑5年
1693057461# #这些人的谈话就判了普里戈任死刑。。如今，一代枭雄普里戈任如同流星陨落。对于他的死，网络上可谓众说纷纭。但从这几个人的谈话中，我们可以看出普里戈任不可能善终。。我们且看看他们是怎么说的，从而又可以判断出到底谁是凶手！。当地时间8月25日，俄罗斯总统新闻秘书佩斯科夫斩钉截铁地说，有关“克里
1689741576# #转发微博
1691136329# #是不是只有朝鲜这个外国在这点上帮我们如此说话。。朝鲜强烈谴责美对台军援：对中国内政的粗暴干涉
1702369129# #上海市人大常委会原党组书记、主任董云虎严重违纪违法被开除党籍和公职
1692018087# #中国科研发现：可以这样找到美国核潜艇
1692114146# #伟大的莫迪，多么对自信！小心美国盯上你！。印度总理莫迪保证：印度经济五年内将赶超日德，成为世界第三
1702280433# #康明斯，这是真的吗。美国对我国供应链的破坏是实实在在的，我给大家举个例子
1692360468# #中国男子赴越南工作惨遭囚禁，被拔掉14颗牙齿
1694161940# #就是豪横。日本第二批核污水排海或9月底开始
1700443733# #“阿根廷特朗普”赢得大选，此前称要全面“美元化”
1701868745# #中国工商银行福建省分行原党委书记、行长俞龙接受纪律审查和监察调查
1696944526# #郭伦被决定逮捕，任职地出现塌方式腐败
1693389038# #潮妈讲解舆论战的打法，如何应对他们聊西哲，卢梭，黑格尔
1693300904# #美国北卡罗莱纳大学发生枪击案，中国留学生涉嫌枪杀自己华人导师
1694961593# #在9月15日举行的2023世界计算大会上，华为技术有限公司副董事长徐直军发表演讲时表示，针对美国对中国的长期打压，我们不能再抱任何幻想。。这是处在中美博弈最前线的人发出的警告，因为血淋淋的事实已经告诉我们，尽管美国一再表达四不一没有，尽管一再强调中美不脱钩，尽管一再说美国不阻碍中国发展，
1692113763# #继恒大之后另一个房企巨头碧桂园也面临暴雷的危险！于是那个经济学家，民营企业的护法任泽平先生跳起来大喊，一定要救救碧桂园，因为它大而不能倒！。在当前全面为民营经济发展保驾护航的氛围里，我还是要说一句话！一切民营企业，都不能用大而不能倒来绑架国家绑架社会绑架民众！。当初你风光无俩的时候
1696909557# #就这。退休局长孙女炫富“家里有9位数”近7个月后，官方通报：涉事原局长被开除党籍，收缴其违纪违法所得
1695614901# #可以说是万众瞩目！！！！。今日举行！华为重磅新品将亮相
1689341116# #赞一个。每十年结一次婚，他是香港最痴情影帝
1690637220# #就看青岛啤酒节有关各方有没有种了！。。最新状态，青岛啤酒节被德国女子海文娜吐槽，质疑啤酒是假的，羊肉串不是羊肉。现在有参展商家声称要起诉她。然后呢，这个女子居然说不怕起诉。。。我是支持起诉的，总得弄个水落石出。假的要严查。真的也要让质疑的出面道歉。。。虽然有人说这个外国女子很爱中国，但
1690271112# #转发微博
1695803854# #中国人民银行原党委委员、副行长范一飞被提起公诉：非法收受他人财物，数额特别巨大
1692586992# #转发微博
1698033057# #中国科学家研制出全球首个110GHz纯硅调制器
1690118547# #眼看着主子天天跑中国，虽然没有什么成果，但奴才看了还是有点心慌。“中国是我们的邻居，我们最大的贸易伙伴，我们密不可分。”岸田文雄强调，“我们希望（两国）在保持对话的同时维持建设性和稳定的关系”。。。日本首相岸田文雄：中日关系正原地踏步，但两国密不可分
1693562246# #据泰国《曼谷邮报》、《民意报》等报道，泰国当地时间9月1日，泰国国王特赦了泰国前总理他信，并将其刑期减至一年。。因被控有罪而流亡海外多年的泰国前总理他信日前回国，而当时，正是泰国新任总理的确定处于党派纠缠之中。而在他信回国后不久的8月22日，一直支持他信的为泰党总理候选人他威信当选为泰
1701313550# #吉尔吉斯斯坦要改国旗：中间图案像向日葵，代表“善变和奴性”
1697687229# #实测文心一言4.0，真的和GPT-4相差无几了吗？
1699881924# #证监系统任职28年期货业协会会长安青松被带走
1702021064# #锁匠协助警方开锁被炸身亡，警方坚称无责任
1697199841# #哈马斯官员：加沙的巴勒斯坦人不会离开家园
1698721114# #因呼吁巴以停火，英国一名保守党议员被解除公职
1693490342# #勇将带勇兵，战无不胜，攻无不克！但愿中国民企有更多这样担当的人，你也许没有奖金，但中华民族的复兴足以让你的子孙荣耀一辈子，因为你没走，你为之奉献了你能奉献的。
1697785333# #摊主炸串炸到一半，听闻城管要来了骑上车连忙离开，离开前不忘问顾客：“你要不要辣？！要不要辣？我马上回来”
1692612030# #高度警惕！多国出现新冠新毒株突变数量惊人！世卫紧急发声！
1689441535# #上海公布打击编造“幼师卖淫”等网络谣言典型案例
1694829674# #九名市（州）长进京检讨：违法用地问题突出，自然资源督察约谈批评
1691747746# #让世界看看美国是怎么遵守规则的。中国商务部首次发布《美国履行世贸规则义务情况报告》
1694669198# #上海市国资委党委书记、主任白廷辉接受审查调查
1692794887# #科学史上最疯狂的实验——大型强子对撞实验，曾担心撞出黑洞！华为人类起源疯狂实验认知加油华为
1697555090# #第29个自贸伙伴！中国与塞尔维亚签署自由贸易协定
1691475830# #中国驻菲大使会见菲副外长：菲方执意冲闯仁爱礁附近海域，中方不得不作出必要反应
1691120781# #至于陷入舆论风波的权英完，目前则处于失联状态。高丽大学对韩联社表示，无法与权英完取得联系。
1693307091# #人家政客都在去日本旅游的中国人，说是要在入境之前，让中国人先吃福岛海鲜，说用大巴把中国人送到福岛，让他们表演跳水，让他们在海里游泳，说让他们吃福岛寿司，然后旁边用摄像机录像。然后是不断的大笑，嘲笑。真脸红！真丢脸！去吧，那些中国人！
1699356824# #贵州省政协原党组成员、副主席李再勇严重违纪违法被开除党籍和公职
1694095030# #最高法审判委员会原委员、民事审判第一庭原庭长郑学林被查
1689341898# #严重跟中央对着干啊
1698980480# #广东高院对杨柱等14人涉黑案二审宣判：维持原判，主犯被判25年
1692675527# #俄罗斯国家航天集团：发动机未按时关闭致“月球-25”号探测器坠毁
1697977871# #中方特使：中国同阿盟在巴勒斯坦问题上立场相近
1694773153# #转发微博
1689322158# #美媒：加拿大强制原住民妇女绝育行为仍在继续
1696173471# #英国新任国防大臣暗示将首次向乌部署军队，苏纳克急灭火
1693362691# #宁夏一民警被控包庇淫秽场所“固原名门会”涉黑头目，其领导和同事同日被查
1700897520# #山西安泽发生一起施工事故7人被混凝土掩埋已致3人遇难
1698714772# #境外一些机构、组织和人员除了瞄准我国人种基因资源，生物物种资源也在他们的窃密目标范围之内。任何一个物种或一个生物个体都保存着大量的遗传基因，生物物种资源是经济社会可持续发展的基石，也是国家生态安全的重要保障。。国家安全部：小小基因如何引发生物安全“龙卷风”
1699004627# #缅甸掸邦北部发生冲突，三个政府控制区失守
1703485653# #“早餐奶奶”离世：退休金补贴早餐摊，坚持五毛钱不涨价
1701253881# #国台办评民进党当局阻挡妈祖、关帝金身赴台：无理无礼不得人心
