1698642878# #美国是资本主义国家，是有钱人的天堂！我们是人民当家作主人，人民是江山。
1698239659# #在新加坡辱骂护士的中国网红小姐姐被判了，鉴于被告人认罪态度好，表示了道歉，按照新加坡法律，判了40天监禁，并罚款约3000多元人民币，比之前有人推测的要轻很多，不管怎么说，这也是个教训吧！对他本人，对大家都是一次教育。其他方面就不要扒了，也不要炒作了，炒作别人的隐私，也是不道德的，用这
1689084103# #坚定不移走中国式现代化道路，海外侨胞心向祖国，也是中国式现代化建设的重要力量。
1692312257# #三个问题，外长这个级别，还有专机？太腐败了，另外，专机有问题，他怎么还能坐专机返航？能返航，就应该能继续飞行啊？哪个地方检修不都是一样的吗？还有，如果飞机有问题，换一个飞机不就行了吗？怎么能因为飞机有点故障，就取消了访问？这个操作，咱们看不懂！外交无小事，他们看的飞机小故障，比访
1696952489# #你如果这点判断没有，你就看他们的视频！
1696053607# #记录旅行台湾最南端，台湾海峡、巴士海峡、太平洋，三海交汇的地方，这里是最佳观察点，到垦丁，一定来这个地方体验一下。带着微博去旅行十一种草大会
1696668291# #九十年代开始，李登辉逐步蜕变成“台独分子”、“台独教父”，一次又一次错过了统一的机会。
1690544060# #任正非反复强调，向美国学习！美国卡脖子，也不能改变，因为美国技术比我们强。你怎么看？
1699492758# #中俄军方十天两次见面，北京一次，莫斯科一次，大国外交平衡，维护世界和平！
1692052312# #医疗领域的腐败，很有社会代表性如果不彻底纠正，这个国家，这个民族，都不知道会成什么样子，一手拿手术刀，一手拿红包，你说多吓人啊！
1696373258# #为什么会有这样的看法？主要是缺少对腐败零容忍的具体惩治措施，贪官一旦被查出来，贪腐数额都不小，有些高达几百万、上千万，甚至上亿元。没有防腐的高压栅栏，不能一旦触碰立刻点击死亡。有些腐败分子，一边贪腐，还一边升迁，这也说明，贪腐分子隐藏的还挺深。
1691139654# #可口可乐可乐300ml*6没想到这么便宜，来两提吧！这个好物闭眼入。【推荐理由】【商品介绍】这款可口可乐是一款经典的碳酸饮料，每瓶300ml，每组包含6瓶。它具有独特的口感和口爽感，让你在温暖的夏天享受冰凉的口感。无论是家庭聚会还是朋友聚会，都是一款必备的饮品。。【现价】14.9元。【秒杀价】9.
1697852450# #很多事情预料不到，谁都一样，今年以来，国内没有想到民营企业又被重视起来了，国际上没想到哈马斯成了西方的众矢之的，美国还对挺哈马斯的粉丝们采取行动，以为说说能有多大风险，现在看，还真是有风险了。
1698757720# #不知道国内俄乌战争评论家们，他们怎么解读？2023年1月1日停止，现在都快到2024年了，是忘了？还是根本就没当回事？9月份已经，单方面免签了，你再终止有啥意义？
1688813386# #给河道堤岸干挂大理石，也还是大理石，一般干挂石材不会用大理石。如果是技术人员的主意，可以把他的职称证书撤掉了，如果是领导瞎指挥，应该被免职！
1698898990# #今天首都北京，以最隆重的方式，为李总理送行！一路走好！在天堂好好休息吧！
1691881842# #王小东的账号，活了！俄罗斯的对外经济确实有很大问题，但是，和中国的经济联系，不会有大的变动，一般纠纷哪里都有。
1690873657# #网友发帖，与官媒报道基本一致，门头沟山区灾害情况相当严重，万万没有想到，住了几辈子的房子被冲毁了！山上很多村庄实际上，早就搬迁了，现在的山村都是各方面都评估过的好村子，才保留下来的。
1695916167# #特别观察和思考，各地都在出台楼市放松政策，怎么看当前的楼市？未来楼市怎么发展？
1698227583# #记录旅行追着秋天的风，到山里看红叶去，我跟坡峰岭有个约定微博旅行100计划100种祖国的美
1692890253# #此易中天，非彼易中天，可能北大还有一个易中天，或者笔名叫易中天。
1688929838# #再收一次物业费？以前买房的时候，都有一笔大修基金，大修基金花完了？怎么又收养老金？大修还不够吗？
1688544040# #法国骚乱失控，关键时刻中国紧急发声？这意思，好像中国能遥控法国暴乱一样？有给自己脸上贴金的，哪有给自己脸上抹黑的？
1698621832# #看了任泽平的高参，还是过去恒大那一套啊！借钱，贷款，杠杆，基建，你盖那么多房子，卖给谁呀？你零首付，零利率让我买房，如果我刚下岗的话，我也不敢买啊！手里没钱，心发慌啊！现在最重要的问题，是信心，信心在于预期，预期在于扎扎实实的真东西，喊口号不行，只要预期好，现在难点也不怕。
1698393322# #40年弹指一挥间，巨星陨落，不枉此生，
1702966581# #给力❗去皮去核，吃起来没有渣渣感口感特别好，肉质饱满软糯枣香浓郁，没有刮喉感，配料只有新疆灰枣，适合家里老人小孩吃，好消化好吸收补脾健胃，补气养血，养生小零食直接吃或煮着吃都可以。。。第一次见这种去皮去核的红枣口感好特别，精选新疆红枣制作配料干净，因为没有枣皮所以吃起来非
1688106084# #认为马英九是“台独”，是对台湾问题的基本不了解，也是对大陆台湾政策的不懂。
1692919258# #乌克兰登陆克里米亚作战，胆子真大！
1690413810# #好像梅德韦杰夫说的是第三次世界大战已经开始了，可以查一下，他们两个说的不太一样，看来，俄罗斯向美国发动反击的准备，已经就绪。
1689248208# #反对霸权主义的共同使命，把中俄两国紧密地团结在一起。最近，俄罗斯领导人密集访华，引起世界关注。普京来访，把中俄关系推向新的高度，无极限、无禁区、无止境，相互支持，一起努力，共同维护政权稳定和社会安宁。
1702299565# #现在很多外地人发现，北京也落后了，城市中心区，还不如三四线城市，这个也是事实，老旧小区、胡同大杂院条件还没有完全改善。有些管理工作也没有跟上了，比如路口烧纸这个事，我在宝鸡的时候就发现，他们在路口的四个角都放了一个专用的焚烧桶，既解决了人们的需求，也保护了环境，还减轻了环卫工
1703510404# #老胡的理解可能不准确，按说，应该没必要再提出号召，假日办有问题，这样的安排确实有问题，搞得这么乱，到底休不休，不休吧，你说尽量休啊，休吧，你说不算假期里。休，就是大家都休，不休，谁也不能休，公平合理。
1699016744# #中国反对种族歧视，中华民族和犹太民族友好关系越来越好，有些人说话，一定要注意了！
1692979764# #喜欢吃海鲜的人们有福了，肯定便宜了啊！经营海鲜店的人倒霉了，咋么也不会想到，突然有一天，人们不吃海鲜了。
1698552388# #不算低，能几十年如一日很难，出污泥而不染，常在河边走，不容易。
1702728690# #泰国旅游首站曼谷，大皇宫必定第一站打卡，富丽堂皇金光闪闪记录旅行微博旅行100计划100张年度旅行照片
1703918447# #泰北公路边的服务区，还有温泉可以泡泡，这条件的服务区，你觉得怎么样？记录旅行100张年度旅行照片微博旅行100计划
1692021614# #司马南都在考虑俄罗斯失败后的退路，给俄罗斯唱丧歌，这俄罗斯还能赢吗？
1690067831# #印度有些做法，我们也有，比如禁止国外APP，我们用的APP好像都是国产的，没有进口的。
1689895579# #原来的打法不行了？哪个地方不行了？为什么要换个打法？换什么打法？中美之间要做的，是防止冲突，遏制战争！这才是正确的出路。基辛格是这个意思，中方也是这个意思。
1692745133# #前天看有人说三部门鼓励城市退休人员回乡养老，我以为政策变了呢，实际没变，也没法变，涉及到根本法律问题，不可能轻易改变，但是政策层面还是有松动，比如从农村迁到城里后，宅基地个承包地都不变，这批人回乡后，还有自己的产业和家业。
1694316994# #记录旅行北京长辛店，中国铁路的丰碑，二七烈士长眠于此。带着微博去旅行
1703488665# #给大家提个醒吧！做个账号不容易，小心谨慎至关重要。
1689571948# #这次可以让那些诬陷马英九是“台独”的坏蛋们闭嘴了吧！那些指责马英九是“台独”的人，不是白痴，就是无知，或者是反动分子！
1689199984# #太古里的风，吹到了北约峰会，外国元首们都开始效仿了，文化的传播，有时候并不难，看你找的什么点！
1693154718# #警察是国家机器，不容许辱骂，辱骂警察，拘留是轻的。
1703508909# #泰北清迈的一条小河夜景，圣诞节之夜，搭台唱戏，夜市也热闹了。记录旅行微博旅行100计划100张年度旅行照片
1698879290# #亿万群众在网上举行悼念，寄托哀思！
1696294053# #非常赞同李稻葵的这个说法，但是这个说法是张维为、司马南做演讲，做节目的素材，作为一个大牌经济学家，停留在这个水平上，就不行了，你看看任正非是怎么说吗？人家看到的更深、更远、更广阔。最近李稻葵可能没有什么研究成果，有点向司马南方向发展了，可惜了，这样的人才。
1694794982# #我们坚持半岛无核化的立场，朝鲜在黄海进行的到底是什么试验？朝鲜同志，我们应该保持一致！微博宠粉季
1697148229# #王海举报国有资产流失和司马南反映国有资产流失有什么不同，王海一次举报，该公司就开始查了，司马南做了好几十起视频节目，好几年过去了，也没有人理他，这到底是怎么回事？
1695941024# #台湾爱国媒体人的观点，和我们也还是有很大差别。
1696652302# #在和平奖上，他们不吝啬，虽然出乎预料，但是标准和范围比较确定，一般都和人权有关。
1703687123# #这两年，北京有些大学开始订购这种有学校LOGO的羽绒服，本校学生和工作人员都可以报名。没有那么神秘，在大街上，就能看到很多学生穿这种羽绒服，质量应该不错。这也是企业的一个营销手段，否则，哪有这么大销量，一个学校怎么也能卖出去一万件吧！
1692180437# #这个不但是名校硕士，还是大报名记，应该能闯出一片天地，自己的故事和经历就是资源。加油！
1690469515# #记录旅行有段时间没来，京西古道的野草就快封路了，古人的艰辛可见一斑带着微博去旅行
1702682404# #先是拒绝李家超赴旧金山参加APPEC峰会，现在又撤销香港办事处，美国怎么对香港这么狠？香港是中国的香港，不是美国的香港，香港的明天更美好！
1692860600# #不是东风压倒西风，就是西风压倒东风，一个是北医三院的张煜，一个是绵阳的兰越峰，现在在看，有不一样的意义。我们再继续观察！
1702971654# #你这个意思就是一百个不服，想说比亚迪比特斯拉厉害，走找不出理由，你不从生产效率比，那就比解决就业人数，比亚迪完胜特斯拉。
1691830337# #记录旅行锡林郭勒草原行，生态农庄的无公害蔬菜，看着就想吃。带着微博去旅行去大草原撒个野
1696999718# #这个人不像阿巴斯啊？怎么发福了？
1693890826# #通过各种渠道出国定居的人太多了，林子大了什么鸟都有，不要奇怪，以后还会有这样的人出现，他们加入外籍，他们就是外国人了。同时，还有更多的爱国侨民回到祖国，为祖国服务，这才是华夏子孙的品德！
1703471858# #辞旧迎新，清迈古城塔佩门，大型广场舞表演，你看看怎么样？记录旅行微博旅行100计划100张年度旅行照片
1689384710# #我只能说，不是我干的！
1692962506# #胡锡进这个解释，把没有问题，说成有问题了，啥目的啊？什么年轻人建议不吃，岁数大的可以吃？岁数大的病多，身体素质差，不是更应该谨慎吗？这个东西，专业性很强，你也不是专业人员，基本上不懂，不要用专业知识进行解释。更不能说你相信如何如何，这不是你相信的事情。你这么宣传，实际上，是来砸场
1696480210# #储殷说，不管达不达标，都要反对，这个原则就清楚了，理由充分了。还有人认为，是日本的就要反对，日本极端不负责任，严重损害了周边国家的利益，是敌对国家。
1689154229# #对大学生来说，最艰苦的工作，莫非快递和外卖了，要转变心态，接受考验，人民的需要，就是祖国的召唤。无怨无悔的青春记忆，就是到祖国最需要的地方去。具体到大学生就业指导，可以把全国的工作岗位，列出来，供大家报名参考，哪里是祖国最需要的地方和工作，一目了然。
1688140205# #三四线城市不是卖不动的问题，是根本没人问，你降多少钱，人家都不动心。
1694574189# #医院院长，都成敏感词了，看到院长们开会，以为又有什么事了呢，院长们应该发表一个联合声明。
1698235229# #一场29人死亡的重大责任事故，经过7个月的调查，发现医院存在多种违法违规的情况。有关部门严肃问责，北京一名副市长受警告处分。
1697608224# #初秋的北京有了多彩的颜色，又发现一个大公园，绿色低碳循环发展体系，给今天的一带一路峰会增光添彩
1698153306# #两块大石头，咣当两声，落地了！
1698364842# #有这么打贸易战的吗？又是一个超级大单！你说！这几年虽然受到疫情影响，总体上，中美贸易总额一直在增加。
1693288536# #稍微有点常识的人都知道，任何一家企业改制，都不是他自己说了算的，像联想这样的企业改制，甚至中科院说了都不算，至少也要国家发改委定调，联想改制，也不是联想一家的事情，中关村有几千家科技企业，全国类似的企业更多了，所以，联想改制，是一个慎之又慎的事情，国家都会有相关的指导性文件，还会
1703830274# #我就问，出现这个问题的原因是什么？你怎么修补？可怕的是，记者总结说，出现问题不可怕，人命关天还不可怕？退房就是妥善处理了？楼上楼下退不退？其他楼栋退不退？建筑质量终身负责制，找不到人了吗？
1698899857# #城市有摊又何妨？人间烟火有温度。
1691019759# #现在的口号和原则是，确保人民群众生命绝对安全！是的，生命安全，绝对是第一！这个安全，那个安全，都需要安全，但是，生命是第一位的。该转移的转移，动员一切力量救援！
1703144065# #判决的是逃亡前的罪行，罪行深重！罪大恶极。
1689029019# #总感到这个处理还是有问题，拉了一次手，帮别人拍了一个短片，就是作风有问题？并且是在公众场合，还有多位同事，都在场的时候，这不就和在舞台演节目一样吗？通报中，没说两人有不正当两性关系，也没有说，发现其他经济问题，法律规章应该有准绳，有尺度。不知道背后有什么隐情？有人借机如何如何？
1696994421# #做一个堂堂正正的中国人！
1689257154# #美国从来没有说过支持“台独”，美国从来没有停止支持“台独”，这点事情都看不出来，就别评论了。
1688054193# #当时不知道是怎么回事，现在知道了，耳熟能详的红色高棉领导人波尔布特、英萨利、侬谢、乔森潘等，太残暴了！
1698408391# #平民总理，知青出身，21岁在村里当书记，习惯了和农民席地而坐，就是这个实在的样子。
1698037546# #误解了，俄罗斯还没有哑火，只是最近巴（哈马斯）以冲突的问题登上了头条，俄乌的情况，被忽视了。
1693784075# #今天一个朋友带家里老人去一个民间神医诊所看病，据说特别厉害，全国各地各界人士都有慕名而来，每天只能看50个病人，所以需要头一天排队挂号。这个朋友不但是中医粉，而且自己也懂不少中医知识。恰好，同行的有一个医药专业的教授博导，听教授介绍了中西医结合的知识，还挺有趣的，但是，这个朋友认为
1694432221# #【迎中秋庆十一，粉丝福利来了！】日间有余夏，日落有秋凉。天凉了，记得来瓶好酒东书房
1699146966# #哈马斯发明了海上隧道战？
1691411177# #记录旅行蜀国之都广元，金牛古栈道上的千佛崖石窟，历代文人墨客都留下了墨宝。带着微博去旅行
1691198401# #记录旅行龙虎山看绝壁安防悬棺，雁荡山就看看药农怎么在悬崖峭壁间采药带着微博去旅行
1688139908# #我党党员总数达到9800万，接近一个亿了，突破亿人大关，也就是一两年的事情。这么看来，我党人数总量相当于世界各大党党员总数之和了。厉害了！军民团结如一人，试看天下谁能敌。
1696110983# #这个好物闭眼入新疆阿克苏温宿185纸皮核桃壳薄如纸手捏即开23年新果上市。【推荐理由】这款新疆阿克苏温宿185纸皮核桃壳薄如纸，手捏即开。无论是做零食还是烹饪都非常方便。核桃营养丰富，富含维生素E、多种矿物质，有益于增强记忆力和保护心脑血管健康。此外，纸皮核桃具有较高的蛋白质含量，有
1690812177# #做广告，肯定是！曹德旺说的是不搞直播带货，美国的电商和中国也不一样，但是，他的意思是，应该各有各的路。
1693266696# #祝福郭台铭，赖清德稳了？
1692030354# #缅北问题，中国是最大受害者，从中国投出弃权票和张军的解释看，中国基本上同意联合国出面解决问题的方案，如果能一次性解决缅北问题，中国当然是支持的，但是，由于多种原因，中国难免会有些担心，担心事情适得其反。
1692413949# #打起仗来，没有安全的地方，乌克兰终究还是把战火烧到了莫斯科。
1692973512# #发言人声音铿锵有力，眼睛炯炯有神，表情威严自信，动作专业标准。准确表达我方立场和态度，这个发言人，可以！
1698544278# #她就是你的姐妹，该出手时就出手！点赞！
