1699178680# #阿拉伯联盟国家，原来的老大是埃及，现在是沙特
1700812718# #管虎：吴亦凡眼睛很干净，非常干净，特别干净，干净到不能再干净了，再干净就要……吴亦凡强奸案二审维持原判，13年有期徒刑外加驱逐出境
1690939173# #今年老天爷怎么可河北一个地方嚯嚯泪泪泪
1694321803# #转发微博
1698328148# #乌克兰武装部队第3独立突击旅的指挥官接受官方频道采访，镜头中，一个万字符从他的帽子下面出现。
1699605213# #有吗？
1691034588# #转发微博
1702774462# #这个必须给台湾点赞。台湾省的汉服出行日从2021-2023年已经搞了三届，不得不说规模可以，而且办的有模有样，有利于唤醒岛内的文化认同！。两岸一脉相承，同根同源，有着共同的民族认同，商彝周鼎，秦尊汉爵，唐风宋韵，明砖清瓦，人同此心，心同此理，凡属黄帝子孙，必将一统！
1692193858# #转发微博
1696834524# #哈哈
1692947972# #转发微博
1689565784# #各省人均GDP超过10万的城市
1697241320# #转发微博
1691539943# #八十年代的台湾教材
1689665629# #俄罗斯，在2022年接收乌克兰难民128万；。德国，在2022年接收乌克兰难民100万；。波兰，在2022年接收乌克兰难民96万…
1688716612# #转发微博
1703506455# #古建旅游还是得看山西
1702422954# #导致周海媚离世的红斑狼疮到底是一种什么疾病，现在医学仍然无法攻克吗？
1693397892# #西游记中实力最强的十大妖怪
1697979392# #各省最新最低平均工资
1703387708# #都走一遍是什么体验
1695455061# #转发微博
1696738534# #转发微博
1694922347# #还有两站
1697527583# #世界最繁忙的二十大港口！
1696289421# #dbj是什么玩意儿？
1702098739# #话说《拿破仑》好看吗？真的像这位博主说的这样吗？
1700103830# #转发微博
1702131543# #华为全国科研布局
1703836894# #这是哪的饮食习惯，左下角的菜看着很有食欲dogedogedoge
1696554331# #蒙古四大汗国都是被谁灭掉的？
1696034630# #十大连锁药房排行榜，你的小区旁边有哪几家？
1696406013# #转发微博
1699407133# #1945年8月15日，日本投降，苏联红军进入沈阳。。苏联人很快将沈阳火车站的站牌换成饿文标注的站牌，俄文下面的汉字是“奉天”。。1905年日俄战争前，俄国经营的中东铁路沈阳火车站的名字就是这个，汉语音译为“莫克顿”。。也有一说，这是满语“奉天”的发音。
1694302475# #我英语不好，可我不是文盲允悲允悲允悲
1697540991# #坐飞机选哪个位置好？
1702080857# #大家都是怎么看待韩国这个国家的？
1700878933# #转发微博
1692332198# #曾经的吉林省拥有庙屯海参崴两个东北港口城市
1693358993# #来自骨子里的蔑视
1700183170# #清王朝十大中心城市
1691819234# #强烈谴责这种开外挂行为！doge
1699483598# #网络时代，谨言慎行。最近一则关于一黑色奔驰MPV门口故意挡路，还傲慢无礼的视频被爆光，事后有眼尖的网友便把这位傲慢无礼的车主被扒出，原来车主是一位做办公耗材公司的董事长，网友们纷纷进其各大电商平台询问具体情况，有网友看不惯这样的行为，建议下单七天无理由退货打脸打脸，大数据时代，做
1694055463# #转发微博
1697113227# #一位日本网友脑洞大开：“要不，把北方四岛割给中国吧，作为二战的赔偿。既解决了日中矛盾，也解决了日俄矛盾。”说实话，要这四个破岛有什么用吗？
1699944067# #转发微博
1690525616# #转发微博
1696251509# #中国13个有名之都——欢迎补充。。第一、乳都--呼和浩特。。第二、瓷都--景德镇。。第三、首都--北京。。第四、魔都--上海。。第五、雾都--重庆。。第六、盐都--自贡。。第七、镍都--金昌。。第八、花都--昆明。。第九、酒都--宜宾。。第十、钢都--唐山。。第十一、煤都--大同。。第十二、泉都--济南。。第十三、马都--包头
1689299257# #为了安全，适当少接点单
1697275717# #看看人家民主文明国家的自由，那叫一个地道！以色列巴勒斯坦冲突
1703056368# #转发微博
1701930551# #转发微博
1694865621# #中国人最喜欢抽什么烟？
1694243761# #致敬伟大的先烈！
1693788132# #本子真不是人啊
1699596615# #转发微博
1700796870# #各国军费开支，然后丑国说中国再搞军备竞赛
1692175341# #成为我，超越我
1690526596# #据说这是恒大许老板的办公室
1693576393# #大家看看我兄弟这腰子还能保住吗？另外那些被噶腰子的到底是被打晕挟持过去的还是财迷心窍主动偷渡过去的？
1689122933# #这些都是深圳的
1689314323# #转发微博
1697622768# #图一、日本右翼分子登上钓鱼岛。。图二、中国船长詹其雄被日本抓捕。。图三、中国海警强势驱离日本巡视船。。。钓鱼岛，是中国的
1696300281# #酷酷
1692193870# #转发微博
1698123881# #大清、巴勒斯坦、锡金、塞尔维亚、阿富汗、伊拉克、利比亚、格林纳达、巴拿马、古巴……等国纷纷给这货点赞
1688717748# #未曾谋面，但受其恩，致敬先烈！
1690361998# #转发微博
1688870744# #转发微博
1691805482# #台湾省最孤独的两个城市台东花莲
1692237255# #忽然感觉不知所言
1693702898# #昆山龙哥应该上小学了吧
1693721542# #转发微博
1695210015# #给始皇一个公正的评价
1697596690# #转发微博
1703822820# #转发微博
1697869970# #转发微博
1691551895# #中美最强十五个一级行政区对比，你认为哪个省可以率先超越美帝对应州
1696908337# #香港这个做法，我们应该推广
1699663787# #我国大陆八座超大城市夜空一览图
1695908006# #日本人丧心病狂疯狂屠杀海豚
1701850329# #这是中国的一个沿海省份，哪个省？doge
1702350395# #转发微博
1689316970# #各省第一大湖面积排行，辽宁你礼貌吗？
1696232642# #各省独生子女率，可以看出东北当年的城市化率之高
1701821551# #从物价来看，发达国家和地区的优势也没多少了
1695184754# #我投给了“太假了，不能原谅”~
1702367231# #30年前的车价——如今我们每个人都享受到了国家发展带来的红利。
1694055454# #转发微博
1701073004# #你属于哪个世家大族的遗珠
1702183736# #张雪峰说文科都是服务业，是吗？
1695081159# #面王和面皇的较量，你爱吃哪款？
1697282838# #上图为以色列抓到的战俘。。下图为巴勒斯坦抓到的战俘。。西方世界：以色列文明，巴勒斯坦野蛮！
1699179279# #我看谁能对出来
1699317566# #这是一张1941年绘制的海报，展示了美国海军在“两洋海军法案”通过后，其舰队规模会有多庞大——自最前排起是战列舰、航空母舰、巡洋舰、驱逐舰、潜舰，以及多到根本画不出来的各式辅助船舰。。由于是1941年绘制，所以当中的船舰分成三种：已经建成服役的（灰色），正在建造中的（红色），以及仍然在
1692849913# #以后我们只能吃这玩意儿？
1693183616# #2022年我国8个超大城市夜晚亮灯图：北京和天津支撑起华北地区；上海照亮整个长三角；珠三角则是广州和深圳带领；成渝双圈当仁不让是成渝；而中部地区只有武汉苦苦支撑，有点寂寞啊！希望未来西安和郑州能够加入，南京和青岛能够加入，沈阳和大连能够加入，西部的兰州昆明要加油了…
1701217216# #转发微博
1697512677# #转发微博
1697705832# #看到这种头像就知道智商是什么情况了
1693999879# #有人说，中国失业率已经惨不忍睹……
1688981944# #转发微博
1693388522# #转发微博
1702687603# #好文啊
1691289999# #红色区域表示经济已进入发达阶段的省市，绿色区域表示经济已进入较发达阶段的省市区！。。广东这也不行啊允悲
1695537508# #转发微博
1689931768# #志愿军牺牲的特级、一级战斗英雄姓名、籍贯、毙敌人数一览！虽未谋面，却受其恩，致敬先烈！
1703078682# #冻感十足！0℃线将抵达华南北，多地将刷新今冬以来气温新低，南方的朋友们，还在炫耀你们的短袖吗？为什么不穿羽绒服呢，是因为不喜欢吗？dogedogedoge
1703916793# #转发微博
1689680533# #转发微博
1690113668# #民意调查显示，中日两国的民众，针对对方的负面印象比例：日本人对中国：87%中国人对日本：62.6%（这百分之三十七点四里面理性的有，精日的更有）
1693780761# #各地高中生立定跳远平均成绩，北方普遍弱于南方，黑龙江怎么这么低？
1701067084# #转发微博
1701910637# #今天的普通话只保留了19%的古汉语，基本上可以说是胡语。在游牧民族侵略之后，汉族向南方逃亡，古汉语的文化也流传到了南方。
1697519164# #有没有在德国待过的朋友，这位说的属实吗，反正我查阅的相关资料德国平均月薪3200欧
1695339244# #壮观，有机会要都走一遍
1696139871# #转发微博
1693449387# #转发微博
1702254569# #转发微博
1702451398# #猜猜这是哪个机场
1689546973# #一张图
1694601312# #转发微博
1691482700# #转发微博
1694918928# #好远
1691982534# #转发微博
1702535131# #下联怎么对
1691740024# #中国大陆机场单日旅客吞吐量历史纪录排行榜
1691738205# #能看懂的都是嫪毐级的人物doge
1696687974# #那些为新中国做出过贡献并且加入中国国籍的外国人。
1688859135# #历史上著名的7个馊主意，哪一个让你意难平？
1689589697# #新疆：胡扯，老子从来不熬夜doge
1701425179# #我们要反思，未能超越外国工业总和
1699323460# #长城烽火台的构造。烽火台是军事设施，有侦察、情报传递的作用，图中是以明长城的烽火台为例，看看它都有哪些设施？
1697241394# #转发微博
1693553959# #
1698406015# #支持南京大学，中国人都自信点，QS排名和诺贝尔奖差不多，是西方舆论霸权的一部分
1691562756# #唉，已经是美分晚期了，没治了
1701252966# #提起秦岭，人们第一个想到的可能是陕西省。然而，秦岭的跨度远比人们想象的要大，自西向东覆盖了青海、甘肃、陕西、山西、湖北、河南、安徽七省，四川只差一丢丢。这下终于明白了，为什么秦岭能够与淮河并列为南方与北方的分界线？原来东西跨度相当大，西入青藏高原，东接淮河足足有1600多公里。
1692064043# #转发微博
1693274230# #中国最长国道
1692503920# #你打算怎么活
1689216458# #【抽奖赠书】《中国古建筑结构图鉴》抽【2】本古建是中国传统文化的重要组成部分，具有悠久的历史和光辉的成就。每个华夏儿女都应该了解古建、爱上古建、保护古建、传承古建。《中国古建筑结构图鉴》以轻松、有趣、易懂的图解形式，系统讲解了古建出材、柱、枋、梁、斗拱、桁、屋顶、瓦作、装修等知识
1694411465# #喷点不愁找
1697536346# #某些人要的免费医疗来了，送给你们
1702015816# #2023年全世界最佳医院100强名单
1700656729# #哈马斯和以色列停火意味着什么？
1703855028# #转发微博
1697348807# #据说中国生态环境越来越差了……
1699258498# #转发微博
1700921337# #接送第十批在韩志愿军遗骸的运20机长与沈阳机场塔台的一段对话和漫天的飞雪仿佛将我们拉回了70多年前的朝鲜战场，那里有我们最可爱的志愿军战士，有十九万七千多位烈士的英魂，我们要接他们回家。
1693623847# #新中国外交发展史
1694695800# #世界各国黄金储存量，中国是多少？
1691381896# #转发微博
1696568868# #大汉英雄霍去病
1695607283# #转发微博
1699338073# #这个国家地形和通辽有的一拼
1702950115# #2022年中国大陆31个省域的文盲率
1696046876# #转发微博
1695605649# #历届亚运会金牌榜杭州亚运会
1699430889# #图一公知说的。图二实际上的。看到美国把绝大多数文科掌握在手里，我陷入了沉思doge
1692690248# #水火无情，安全才是第一要素
1703476677# #转发微博
1688808995# #转发微博
1695530080# #除了超神级，每一级别我都有所涉及，这是什么情况？
1691551387# #转发微博
1696046885# #转发微博
1697106496# #说中国人怂的，来梳理梳理新中国打的8次对外战争，无一败绩。1、1950年抗美援朝。2、1962年中印边境自卫反击。3、1962年抗美援老。4、1964年抗美援越。5、1969年中苏珍宝岛。6、1974年中越西沙海战。7、1979年对越自卫反击。8、1988年南沙海战。。至于班公湖暴揍阿三这种事，都懒得提
1695604285# #转发微博
1691551434# #转发微博
1690938919# #意思是恒大和万达都挂了？
1698120594# #转发微博
1696290694# #谎言终归会戳破
1702212323# #转发微博
1698123641# #转发微博
1688521411# #转发微博
1697694675# #转发微博
1690942755# #转发微博
1696718126# #西游记取景地，都值得一去
1699493709# #加拿大人口即将突破四千万人，70%人口集中在图中红绿蓝三个色块中。
1689722932# #转发微博
1696300125# #转发微博
1696249158# #转发微博
1700350393# #中国屋顶基本形式
1702534328# #转发微博
1695996076# #天涯共此时中秋快乐
1701822686# #这么来看，发达省份也就那样啊
1699485769# #这才是冬天的温度，各省曾经的最低温度！。你怎么也想不到云南曾经有零下27度的时候，台湾有零下18度的时候。
1699753550# #转发微博
1696819433# #分享图片
1698557986# #近现代被刺杀的全球大人物，看来看去，居然发现真的有一个货是被喷子喷死的dogedogedoge
1694760736# #这些真的都是医学常识吗？你还知道别的吗？
1703124747# #这次，我赞美国
1691709436# #水浒好汉对应现代的官职，八十万禁军教头林冲对应现在的官职只是一个营长。
1698142321# #有没有道理？
1703728856# #转发微博
1699669197# #火力十足
1697705501# #好难啊
1692662167# #就这“稳定”的环境，孙悟空来了都得给它打出翔来
1690776738# #俄罗斯社交网站上传出了一张很有意思的图片。图片显示：在美国的大西洋和太平洋两岸布满了无数的中俄军事基地。。然后向美国发出灵魂拷问：假设真的存在这种情况，你美国将会是什么反应呢？
1702510766# #将汉语纳入学校必修课国家分布图
1699693230# #转发微博
1700636528# #转发微博
1701767134# #转发微博
1703673093# #猜猜第四艘叫什么名字
1690532944# #中国24座万亿之城，这下十三太保不吵了吧
1691836498# #我想问问，曾经的微商真的赚到很多钱了吗？
1693096880# #甲乙两个阵营打起来，谁的胜算更大？
1694601307# #转发微博
1689205532# #大家觉得睡过吗？
1697519186# #转发微博
1689549676# #全国各省民富指数：浙江最富！台湾完胜广东、江苏。山东十名开外，属于第二梯队
1700007282# #2023年上半年gdp50强城市分布，能看出是哪些城市吗？
1696980660# #说的什么，我怎么一句都不明白doge。。3000年前让法老看着不顺眼。2000年前让凯撒看着不顺眼。1000年前让教皇看着不顺眼。500年前让莎翁看着不顺眼。100年前让元首看着不顺眼。这就是许多人说的最“聪明”的民族?巴以冲突
1702106181# #转发微博
1698401654# #西方舆论霸权的坍塌开始了
1693448853# #金灿荣教授说的对，美国商务部长一访华，华为就推出mate60，是真的硬刚啊
1697083157# #双标啊，这还不懂的吗？
1698825445# #还有这事？
1690032818# #广西阳朔筏工追打游客真相之一
1699765941# #此时新中国已经建立，先烈们是怀着理想主义的胜利微笑赴死的
1689235542# #夏天一定要多喝水，预防肾结石。
1702342761# #《明朝那些事儿》书中的8句名言，通俗中不乏寓意深刻，读懂使人受益匪浅。。1、能改的，叫做缺点，不能改的，叫做弱点。。2、诉诸暴力是弱者，节制自己才强大，克制情绪，收敛脾气，得以掌控人生。。3、天地有正气，正义和公道或许会迟到，却绝不会旷课。。4、宽容从来都不是软弱，你的宽容得有底线和原
1701384386# #捅了反贼窝子了
1697418231# #中国急需一个稳定和平的阿富汗，这样，即使漂亮国和中国撕破脸皮把马六甲封锁了，我们也不怕了
1696683495# #李敖当年和台独女大学生辩论，驳得对方哑口无言
1690543550# #“国优计划”30所试点高校出炉
1700810037# #每当这个时候，就对沈阳这座城市充满敬意，欢迎回家，最可爱的人，欢迎归来，中国人民志愿军的先烈们！
1697009361# #巴勒斯坦加沙地区，这里面的平民多不多？巴以冲突
1691284834# #这是强国球赛结束后的场地。。比赛后赛场是否干净可以反映出一个社会的文明程度！跟别人学习这么难吗？。广告牌竟然还写了许多不认识的字，太离谱了！doge
1697180513# #特斯拉各省渗透率
1690193652# #中国那些离所属市区超级远的假火车站
1699855934# #中国大陆的国际海底光缆接入点共有4个。青岛：2条。上海：8条。福州：1条。汕头：4条。上海线路最多。青岛一条连接东亚，一条为跨太平洋线路。福州的TSE-1是连通台湾的海峡快线。汕头目前还在规划一条金砖国家光缆。除此之外，港澳台还有多条线路与世界连通
1698624382# #在我心目中，他的地位就是这样的
1700974558# #如果你回到隋末，能统一天下吗？
1694997329# #好玩
1698193316# #王菲：汪峰的事和我有什么关系？
1702823974# #转发微博
1702982295# #中国那些虚假的省会VS真正的省会，看到江西和江苏彻底绷不住了。还有哪些省份有虚假省会和真实省会。
1690527044# #一张图，说明了全部！
1693316324# #军队基本建制
1694757997# #转发微博
1699928250# #转发微博
1688469048# #江西：又有我！
1690546700# #兄弟们，来北京了，有啥建议
1702874838# #转发微博
1703855056# #转发微博
1695365154# #转发微博
1700123584# #那就从1940开始吧。伟大的复兴之路。
1692445038# #转发微博
1702688006# #慢慢来，这个时候再吹日本真没啥意思了，学习是应该学习的，学习人家如何获得高利润，然后提高中国产业工人的工资，至于吹日本，真没必要了。
1689229955# #转发微博
1692675085# #转发微博
1690332150# #转发微博
1694072126# #加油，留给喷子们的明珠不多了。华为国产麒麟9000s问世又摘下一颗，凡是中国掌握的一律不配明珠，工业皇冠也越来越寒酸了。偷笑。明珠上还没有中国一直领先的超导、特高压、5G/6G、超算、量子通信、新能源汽车、杂交水稻、基建水利工程、人造太阳、无人机、电磁炮、寄生反卫星等技术，因为这些技术
1689929817# #这个字怎么读，我头回见
1691846377# #即时汇率
1696300170# #看地图，猜城市。提示点：。1、位于南方。2、不是广东
1704005625# #原来问题在这里
1694862633# #经历了无数的荆棘和坎坷之后，中国将沿着老一辈元勋开辟的道路阔步向前，无人可挡！
1691379052# #转发微博
1692760107# #转发微博
1701504118# #不只是形象生动
1692016155# #最穷的省会城市（GDP总量），看看你们家上榜了吗？
1702716027# #中国的三艘航母为什么叫辽宁、山东、福建，为什么第一艘航母辽宁舰的舷号是“16”，原来我们从未忘记百年耻辱！
1697431014# #转发微博
1692069944# #转发微博
1701568545# #美国各州GDP及人均GDP，我们还要继续追呀，另外，我有个疑问：为什么他们GDP那么高，却有满大街满大街的帐篷和无处不在的零元购，人家文明的美国的数据肯定不可能造假吧doge
1703729299# #山东外来人口来源最多的是东北？
1693472584# #东北属实是块好地方
1693526002# #中美文盲率比较。。1949-50：中国文盲率80%，美国不到10%。2022：中国文盲率3%，美国21%
1695172883# #全国外出打工人数最多的十个省份，山东江苏太出人预料
1691202187# #要说自由平等民主廉洁，还得大美利坚
1689028724# #世界每年死亡人数较多的原因
1691035117# #中印两国13个城市GDP大对比。（2021年，人民币），就问中国人你怕不怕dogedoge
1695264919# #各省每日人均消费，江苏是名副其实的富
1689680511# #转发微博
1692096431# #十大热门央国企
1698712301# #科威特代表痛骂以色列是白眼狼，毒蛇，杀死儿童的刽子手，请他们立即滚出联合国。全场响起热烈掌声
1695968118# #朱元璋26个儿子所在封地、结局一览！你认为谁最优秀
1695512417# #近十年东北人主要流向前十省份
1691224616# #越南通讯社在脸书发布了亚洲最受欢迎的城市排名，第一位是位于印度拉贾斯坦邦的乌代布尔市（图二），第二~第五分别是日本京都、印尼乌布、日本东京、泰国曼谷。。。呵呵，排的真特么客观
1701586466# #转发微博
1696300449# #有没有当地的朋友，这是真的吗？
1698808749# #转发微博
1700825808# #转发微博
1691552819# #你会怎么选？
1703810457# #全球最赚钱的公司
1701988722# #2023年全球最畅销电动汽车排名（按车型）。特斯拉的ModelY仍然以772,364辆的销量遥遥领先于竞争对手，是销量排名第二的特斯拉Model3销量（364,403辆）的两倍多。。中国强势崛起，有五款电动汽车上榜。
1694156962# #倒驴不倒架的英国，仍保有的14处海外领地，虽然如此，也难掩落寞
1691720204# #转发微博
1701598696# #这张图可以解读出两个道理：。1.强者从不抱怨环境。2.你以为你驱逐，实则是爱心防潮dogedogedoge
1695431192# #叫苦没用，好日子是奋斗出来的，不是抱怨出来的，也不是躺平出来的
1703201337# #我们这一代人是幸运的，也是不幸的，同志们，还需要努力啊
1689749191# #转发微博
1699234334# #全国那些超级机场航站楼。全国18座4F级机场的主要航站楼
1695876029# #转发微博
1696919907# #网上看到说一个朋友买个车位，后面一个这玩意，影响他停车，他要求开发商拆了，但不允许拆，如果拆了会承担相应的法律责任，这到底是个什么东西？。是不是新能源汽车的充电桩？
1698476234# #转发微博
1697241358# #转发微博
1703675984# #看图识城，这是哪两座城市，长得真像
1691222505# #呦，美国人好自信啊，好自由啊
1688711654# #我国各省五线城市分布，华东地区果然不一样，沿海城市中，河北居然没有一个五线城市，反而经济大省广州居然有一个上榜！
1699512537# #估摸着《志愿军》这部电影再不看就要下线了，昨晚抓紧去万达看了，战争场面就不说了，我认为彭老总在梁兴初首战失利时说的那句话才是这部电影剧本最大的亮点。
1696470921# #转发微博
1698120562# #转发微博
1694648645# #转发微博
1689151090# #你能猜出几个？
1701586303# #东北的山也不少啊
1692690575# #转发微博
1692625734# #南通三建：对，老子就是那个冤大头
1702462014# #润去美国的人真实身份到底是什么？
1696142223# #有关国旗的益智扑克牌，觉得厂家非常有大局意识。允悲
1692249736# #转发微博
1694680404# #难住我了
1693192646# #转发微博
1693194212# #转发微博
1697704740# #这次我无话可说
1697342123# #致敬先烈！
1700470075# #转发微博
1690799557# #转发微博
1699692043# #转发微博
1696979400# #看图识城，这个看出来就牛逼了。提示：图示中仅为城区面积的二十分之一不到
1692154384# #对不起，我反思
1695731968# #我投给了“必须锁喉”~
1700884929# #转发微博
1689547245# #各省在全国产量第一的产品
1694229761# #转发微博
1702419454# #吕良伟56字悼念旧爱周海媚！喊昵称催人泪下，两人曾在美国结婚
1693700956# #dogedogedogedoge
1703386619# #世间再无挖掘机之王
1695129801# #这次北方应该压过南方了
1699057714# #是什么？
1703937540# #看图识城——这是哪座城市？
1696513784# #大学生进入体制内的17次机会
1692939649# #日本的海产都卖向了哪里，我们用担心吗？
1689649758# #转发微博
1692530023# #转发微博
1697164580# #转发微博
1692176152# #湖南冒烟了
1689215894# #转发微博
1697079581# #犹太人全球分布人数一览
1692590760# #那些影视剧中最接近历史真实的骑兵冲锋场面
1699792525# #整个阿拉伯世界都在观看一场演出
1691738388# #这是中国人口分布图，直观
1697591769# #中国快餐市场品牌排名
1693316560# #为什么没有华北平原？
1697444077# #恐怕这就是美国一直要打压“tiktok”的原因，它让世界可以听到另一种声音。并不是所有的犹太人都在反对巴勒斯坦，他们也在反对以色列。。“我们想让全世界知道，因为我们是真正的犹太人，真正的信奉我们的宗教，我们坚决的反对以色列犹太复国主义的存在，他们是假的，是被美国支持的分裂势力。”。
1700450821# #他们甚至都不用编造谎言，只要掐头去尾，在配一个悲情的音乐，就可以换来大量的流量。
1692766557# #“他们不喜欢中国人，我就要做中国人！”
1692358633# #各省代表面食，东北这三太糊弄
1700872011# #祝贺呼和浩特入选最具幸福感省会城市！。。呼和浩特，这座美丽的城市，以其独特的魅力，今天被评选为2023年度最具幸福感的省会城市之一。这个荣誉是对呼和浩特市居民的肯定和鼓励，也是对内蒙古地区的骄傲。
1688598744# #1900年，48岁的朝鲜高宗李熙与26岁的儿子纯宗李坧身着富丽堂皇的军礼服，留下了一张合影。他们是那个时代的不幸君主。李熙是朝鲜历史上最后一个被清朝册封的国王，地位崇高，堪比清朝亲王那样的尊贵。。在甲午战争结束后，凭借日本的支持，朝鲜摆脱了作为清朝附庸的地位，并自立为大韩帝国，而李熙成为
1695339395# #先点名上海，全市应该补课思想政治。。西南的贵州，在班级里要合群。。战狼多的都是在边界省份，属于国防第一线。。台湾必须统一。
1688891289# #转发微博
1698798146# #中国帝陵地图——陕西爆了
1689641769# #中国火锅地图，你们家火锅属于哪一门哪一派？
1701777589# #废除死刑真的是文明的进步？这个回答好
1690248344# #“伊斯兰国”（ISIS)曾经妄想的领土范围：。“伊斯兰国”曾发布过一张领土远景图，扬言其“终极控制区”将比史上的阿拉伯帝国还大。
1696054526# #转发微博
1690072196# #这是世界各地1.5升瓶装水的价格图。
1699775717# #转发微博
1703728928# #转发微博
1700382202# #请问阁下如何应对
1694834106# #转发微博
1699590804# #转发微博
1699239662# #看图识三国，“事已急矣！汝等宜死战！”——这是哪一段？
1695545710# #这些流星雨早就有了吧
1703898071# #如果地雷和扫地机器人两者结合是不是就无敌了？
