1698541152# #有梦想的人了不起
1696658708# #每个人都在负重前行，致敬！
1693208757# #相宜网红女博士，大学教师相宜为说3次“我们日本”道歉，“我也有颗火热的中国心”，你认为应该原谅她吗？
1695909602# #杭州亚运会体操冠军邓琳琳找偶像丘妈要签名：她拿奥运冠军那年我刚出生，我退役10年了，她还在征战！
1693842619# #【陕西17岁男孩遭遇校园欺凌躲在家中不愿出门学院称宿舍比较隐私不可能安装摄像头】。　开学季，别人家的孩子都返校开学了，17岁的男孩阳阳（化名）却躲在家中不愿意出门，4个多月了，阳阳不出家门，不联系同学、朋友，不看电视、手机，也不和亲人说话，而这一切都是因为
1689955752# #列车上小情侣合吃一个苹果，你一口我一口，两人眼神深情对视。网友：这就是最美好的爱情了吧！
1699369866# #女生和同学吃饭被鼓励去向男生要微信，“勇敢的人先享受”
1695910956# #江西，9月24日，大学军训组织反恐演练，场面燃爆，反派演技太带感，网友：劫匪头头不像演的。
1692512590# #转发微博
1692510959# #给大爷看的一愣一愣的
1696649788# #现在中小学校收费都采取自愿的了费解费解费解
1697190790# #女儿是他的童墙铁皮白眼
1688713150# #转发微博
1700326486# #校园运动会开幕式感人的一幕，在老师眼里每个孩子都是最棒的。这就是人性的光辉，这样的老师会照亮孩子的一生！
1687510666# #潇洒一家人！
1686967206# #幼童高铁发烧抽搐同车医生妙手回春6月15日，湖南株洲，2岁幼童高铁上高烧抽搐不断，同车的两位医生为其中医推拿，一分钟不到出汗降温，医者仁心，多亏了这两位有爱心的医生。
1699632502# #离婚当天男子买醉，醉倒在公路边，路人见状好心帮他拨通通讯录中的“老婆”的号码，等来的竟然还是前妻，二话不说背起就往家走。说不出的心酸
1693805193# #转发微博
1701928489# #女子给老公打电话16分钟没接，女子手机定位“发现”丈夫在洗浴店自行脑补肯定去嫖娼了直接拨打110警方：谎报警情，行政拘留
1702627958# #男子上车开车走时不小心撞上石墩，石墩撞上白车后继续滚动，司机下车紧急追赶！
1699632511# #志刚旅行第六站成都——街头偶遇广东励志女孩一个人在成都生活，梦想游遍全世界。
1699607330# #转发微博
1693805178# #转发微博
1693015490# #转发微博
1687361705# #转发微博
1692602873# #除了老九，其他都是意外笑cry
1687574378# #女子看到路边可怜人本想给他们点钱，去取了现金回来竟然换人了…路上在遇到这种人千万别被骗了！
1700378259# #男子在沙滩边散步强迫症犯了，结局果然在大家预料之中允悲允悲允悲
1702641110# #玩收藏，看走了眼，买错了货，叫做“吃药”。但是，花低价买到了称心如意的货，则被称作“捡漏”。您捡过漏吗？话筒
1687091014# #转发微博
1699602069# #11月8日，云南蒙自。一6岁男孩徒手拎起2米长蛇回家被奶奶追着打。
1701927554# #两个老人不走人行道横穿马路，走进槽罐车盲区一人被卷入车底一人被撞倒。当地交警：老人送医抢救无效已死亡（制作：潇雨）（来源：动静贵州）
1693922026# #依宪治国，维护法律尊严！赞赞
1701920560# #老公因车祸去世，女子被婆婆撮合与“小叔子”结为夫妻，网友：看得出婆婆是真喜欢这个儿媳，大家能接受这种吗？
1701829261# #举报五月天博主称没有收钱说假话我相信博主应该是有实质性证据！在这个法治社会应该不会无中生有，造谣。五月天发的通告不疼不痒，要是造谣为何不报警处理？
1699628273# #男子进地铁口接女朋友被劝阻，坐在地上情绪失控大哭！“这是单向通道口禁止入内”社会新闻
1690372987# #爸爸下水救人，女儿一句话让人破防：我怕我爸爸会有危险。
1696591780# #两干部流出不雅视频被停职不得不说真辛苦，别人在放假庆国庆，你们还在加班，尤其是说干就干的工作作风要是用到工作中肯定能提拔。
1699769910# #小男孩独自一人在地铁上睡觉，“一问三不知”急坏一群大学生，目击者：爸爸忘带他下车了，孩子已安全回家
1696594419# #我不希望别人叫我女刘翔田径110米跨栏女神吴艳妮接受新华网采访直言：翔哥只代表他个人，我不希望别人叫我“女刘翔”
1699688719# #2023年西安的第一场雪，西安雪景惊艳了整个世界！一镜到底带你看遍古城雪景！
1698677554# #“众人夺魁远比一人争冠更有意义”高三最后一次运动会同学们终点前携手一起跨过终点当事人：成绩取消写1000字检讨但不后悔运动会努力
1692510801# #游客被吸入水上乐园排水口身亡8日19日，湖南桃江紫金湾欢乐王国一名游客被吸入水上乐园的排水口―――不要讲水上乐园排水口，前几年，在相邻小区泳池也见过小孩腿被吸入排水口！
1694017460# #转发微博
1702629270# #南方女生第一次打雪仗被打哭了，网友：北方打雪仗可能跟她想的不太一样
1700928844# #转发微博
1694012827# #哪个瞬间让你发现了世界bug好像真的是这样！
1692890134# #茫茫大草原上的奶奶一脸慈祥，看顾着憨态可掬的胖孙子，网友：这画面真的好治愈。
1695214886# #广西【小女孩从五个月就被爸爸带进厂！】9月19日，广西。一小女孩从五个月大就被爸爸带进厂打工，四年了宝贝也长大懂事了，真不知道是怎么熬过来的。有网友评:只有经历过的人都能体谅其中滋味。
1696689416# #妇女主任再次发声，网上评论：老中医干部给我看了下病，有人说测体温，有人说抹药，有人说，解决内部问题，有人说深入交流，有人说测深度，有人说充电……你们说的都对，只要不断章取义，不污我清白就行，我们都是好干部，为人民服务。
1687148136# #工人全部聚集在吊板上缓慢上升，身边仅仅只有半截防护栏汗汗汗
1701656928# #女子从停车杆路过，女子的脑袋被砸到，同行男子转身愤怒地将杆子踹烂，惊呆路过小女孩。
1695786646# #亚运会在杭州icon举行，杭州接到了这“泼天的富贵”。这群头顶一块布，天下我最富的人来了杭州。。。网传给酒店服务员的小费都是6万，就是因为酒店的服务员会说阿拉伯语icon，被安排当了导游，网友们喊话：我要学阿拉伯语，去当导游。。。出街扫货，只进高档商场、只买贵的。小朋友递给一块巧克力，立马回
1694354731# #转发微博
1697176139# #某位博主评价吴艳妮说“没有谷爱凌的命，得了谷爱凌的病”，你如何看待他的这一番言论？吴艳妮抢跑
1699889487# #转发微博
1687054573# #赞啊赞啊赞啊
1703387564# #三个女生在路边堆雪人一大叔路过搭话一语扎心网友：本来只有手冷现在心也冷了
1699678366# #吉林下雪。网友拍下雪后搞笑一幕，“你买个车位”“你也买”，网友：东北人都是热心肠。东北人
1696564416# #河南南阳迷笛音乐节到底有多嗨，看下现场这波操作也是666，音乐节集体和稀泥吗？江宁婆婆评南阳盗窃事件
1688266526# #转发微博
1698482148# #网传宿州男子同时娶两个新娘疑似炒作炒作无下限？这些网红为了博眼球也是拼了！。。网传安徽icon一男子同时娶两新娘？。。警方表示已经介入调查:“人马上拘留了”。
1703328983# #来福建，登福山，山居暖冬享福气。666
1700388008# #张家界比较美吧！
1702285507# #支持
1699769847# #东北人骨子里自带的防滑技能。网友：一到冬天核心就收紧了。东北人
1692888515# #抖音上唯一没产生兴趣的女人笑cry
1686984653# #转发微博
1687310086# #转发微博
1687569381# #外星人也想吃粽子。
1695650034# #【西安一女子79元网上找个开锁“师傅先强拆锁又让换锁”最后结账一共要1668元话筒】赵女士在西安市丈八四路的一小区租住了一个公寓，9月22日晚因丢钥匙，在大众点评网找到了一家“西安老兵开锁换锁中心”，电话联系后开锁师傅说开锁79元。开锁师傅上门后，表示只能强拆锁，拆完锁后又表示需要换
1694232582# #某车展，几位施主在看一台一百多万的奔驰GLS。。
1700024046# #男子喝酒后找了代驾,不料交警绕过主驾让其酒精测试,交警：帮我试下仪器是否正常
1702448731# #河南某地让多名老人寒风中。领2颗大白菜摆拍。网友：折腾人、形式主义。当地回应：政协委员私自送的(来源：大皖新闻)
1698585128# #或许只有郑州火车站才能拍到这么壮观的场面吧
1694013989# #光说说肯定没效果，罚款一百可以接受
1693019996# #本山大叔亲自给徒弟讲戏，亲自示范3遍“踩空”，“看似简单，一般人演不出那么自然”，网友：好久不见本山大叔露面了。
1698923648# #近日，山东。女孩坐九个小时车给异地男友惊喜，男孩认出女孩的一瞬间眼睛都亮了。网友：颜值肉眼可见的提升。
1694014060# #酒逢知己千杯少，话不投机半句多！
1702606863# #北京地铁昌平线两区段维持运营我害怕的事情终于出现了，北京地铁昌平线断成两半。。每次坐地铁，看着地铁接缝部位像个骨关节一样左右晃动，就一直担心什么时候这个骨关节脱臼了怎么办。。人站在这个关节上，万一脱臼了人就得掉下去，被卷入轨道，被后面的车轮压成泥。。。所以我坐地铁一般都远离接头
1699605894# #男子无视标牌进地铁站内接女友，被安保大叔阻拦后坐地大哭，大叔：这么大人了还哭闹，丢不丢人！
1698506213# #四川房东给女租客发色情视频，问陪睡多少钱一晚。租房
1699889572# #转发微博
1696649591# #河南某地区人，在车里放鞭炮，真讲究…汗河南
1699319272# #转发微博
1697177335# #未婚女子为照顾瘫痪在床的父亲34年至今末嫁，按摩、洗澡、插导尿管从不嫌脏嫌累。网友：是个好女孩，是个好闺女~~~
1692685349# #情侣七夕熬夜排队5小时领证2分钟半年未见得小情侣，在七夕这天热情相拥，深情接吻666666666666愿天下有情人终成眷属！
1695354115# #转发微博
1699607919# #女生恐高蹲地上慢慢挪动，被阿姨“无情嘲笑”恐高原谅我不厚道的笑了
1698301499# #【中央财政增发的1万亿元国债怎么用】今年四季度，中央财政将增发2023年国债1万亿元，支持灾后恢复重建和提升防灾减灾救灾能力。此次增发的国债将通过转移支付方式安排给地方，今年使用5000亿元，结转明年使用5000亿元，“地方使用，中央还钱”。这些国债将起到什么作用？如何看待赤字率？看解读↓（
1700476424# #撇的挺干净的费解费解费解
1693210879# #冯佳晨（网名皮卡晨），曾在西安大唐不夜城街头扮演“唐妞”不倒翁，借助不倒翁装置做着惊险却轻盈的动作，引发众多网友关注后，她却拒绝了娱乐公司的橄榄枝，一直在推介西安城墙、大唐芙蓉园、大明宫遗址公园，曾被聘为陕西文旅大使。她还在2021年“西安好人”评选活动中，被评为“敬业奉献好人。”
1700405708# #无意冒犯，有事找老板工程人
1702562136# #董宇辉停播飞鸟尽良弓藏兔死走狗烹
1694089337# #太好了
1700024424# #谁能理解一位父亲的心，害怕自己的女儿受欺负被骗。
1695825545# #河南一煤矿老板，宴请所有员工父母共度中秋佳节，每天3600人，连续四天。老板把钱看的淡如水都用到员工的心坎上了～～河南
1693843025# #不得不说，茅子和瑞幸这一策划无非是成功的案例666666
1693929602# #胡锡进我们需要管理自己的厌日情绪老胡我不知道你想表达什么观点？米国为什么不管好厌中情绪，小日本为啥不管好厌中情绪，真的是我们好欺负吗？长时间跪久了脊梁都直不起来了吗费解费解费解
1693805174# #转发微博
1687681710# #四川某学校庆祝学生成绩优异，用鞭炮铺满了一地，网友：这要不考上几个清华、北大都搞不了这么大阵仗
1689332875# #转发微博
1698922263# #河南一地红白喜事办席要办食品经营许可证？官方通报：涉事人员被停职。来源：
1700476529# #太没素质了吧
1686990985# #男子开车顺载亲戚出车祸，亲戚在医院治好不愿出院，要男子赔偿16W。教育德为先，大家怎么看？社会百态
1694063938# #暑假在家相差一岁的姐弟俩吵架，一个骂对方是猪生的，另一个骂对方是狗生的。妈妈：终究是我抗下了所有。
1701326997# #疑似交警执法持棍暴力击倒过路电动车，警方：正在调查
1699929828# #广西大学生穿花棉袄上课，网友：不是羽绒服买不起，而是棉袄更有性价比。
1701850801# #关注
1693842404# #瑞幸公开原料生产记录视频瑞幸咖啡：亲爱的雪我已嫁入豪门笑cry笑cry。亲爱的雪我已嫁入豪门
1699629399# #吉林86岁老人银行办存款业务，因年纪大耳背，和柜员写纸条交流，老人先存了一年期，后又改为半年期，柜员看到纸条瞬间泪崩
1698763281# #女生跑完马拉松后的第二天腿脚酸痛无比，遭亲妈无情吐槽，还是妈妈好啊～刀子嘴豆腐心，最后还抢着倒垃圾！搞笑
1695909531# #同道来此，只为艺术。故人相见，分外开心。无论是年长的还是年少的，或拿出手机拍照留存，或凑上近前细看，无不赞叹黄四德先生的功力深厚，造诣高超。
1687480479# #转发微博
1699368416# #11月5日（报道时间），"23岁教师留遗书自杀"事件后，多地周末开展教师心理培训，不参加罚200元，会后交手写心得（来源：越牛新闻）
1687689766# #【渭南市白水县林皋镇林皋村村民焦天喜剩余的征地款究竟去哪了？话筒】近日，白水县林皋镇林皋村村民焦天喜实名举报，称2016年，白水城投公司开发林皋湖旅游景区，当时由林皋镇政府、林皋村委会负责征地工作，工作程序是由村委会、镇政麻两级与村民签订征地合同，一式三份，一份交于城投公司，一份给
1702346471# #邓紫棋在某地演唱会穿婚纱引网友热议邓紫棋……
1687511647# #绿皮火车上最能看见社会百态…
1702435408# #12月12日宜威，甜品店开业当天门口摆花篮被罚款200元&nbsp;？。官方：需报备，最近都这规定。黑线
1701764787# #马路上小轿车发生剐蹭双方司机都没下车直接开走了网友：真是一场点到为止的车祸。来源：火焙鱼
1700892390# #好缺德！云南昆明一女子晒图暴露点餐码被人恶意下单几十万，好在店家及时提醒！
1696563384# #民工坐地铁发现被拍随即表演一字马被众人称赞10月3日，广东深圳，网友发视频称，地铁上还有座位，工人师傅坐在地上，我问他为什么有位置不坐，他说自己脏，不想影响别人，看见我在拍他，他满脸笑容，还摆了个一字马造型……
1698577292# #男子与大妈在地铁上因座位发生争执，男子称被大妈打了一耳光还挠伤手臂，双方争执不下，男子最终决定报警处理。
1689092971# #【外卖小哥将歪倒交通锥挨个复位】7月9日，山东日照，路边歪倒的交通锥散落一地，外卖小哥看到后，挨个将其复位，网友：扶起的是安全，留下的是人品~正能量计划（山东广播电视台）
1687076720# #女子吐槽某知名水果连锁超市，区别对待客户，看不起团购用户，店员：你不就是贪便宜吗？贪便宜就是不甜的挖鼻挖鼻女子团购3斤西瓜被店员疯狂嘲讽
1696563206# #“刘翔赢了，刘翔创造了历史”刘翔2004年雅典奥运会110米栏决赛央视直播版本，这句解说深深烙印在我们记忆中，再次重温这样举国上下都感到荣光的时刻。
1696586433# #这个男子真是太厉害了，他那一双巧手可以编织出各种各样的毛衣，可以说打败了90％的女孩子，除了不会生孩子你说还有啥不能干？
1693931205# #【谭爷爷果赖召唤术对人更管用doge】近日，四川成都。当谭爷爷大声呼喊“果赖”时，熊猫还没过来，游客们成了“果赖”，全部围在谭爷爷身边。网友：去趟熊猫基地满脑子都是果赖！
1699891207# #女生回学校遇到门卫，一句话让大爷秒变“英伦管家”。网友：大爷你就宠她吧大学生
1699666659# #屋顶飞满虫子，主人请鸡来帮忙，鸡：万万没想到还要高空作业一物降一物
1695788700# #现在学校部分高中生的身体素质，值得反思？？
1695184147# #转发微博
1689332688# #【保持平常心！打工人买彩票中千万等工作不忙才来领奖】近日，山东烟台的王先生（化姓）喜中2注双色球一等奖11953456元，他特意化身为“网红青蛙”来兑奖。“工作实在是太忙了，一直没请得了假！”，王先生说虽然中了大奖很激动，但他告诉自己还是要保持平常心，所以现在的生活还跟往常一样，正常上
1700357230# #听力障碍男生向听障女生无声表白，全程手语交流却震耳欲聋！网友：太爽了！真是一场酣畅淋漓的破防~爱情
1693016885# #8月24日，自日本核污染水排海首日晚上，多个中国渔民直播间出现大量恶评，主播情绪崩溃落泪：货真没问题。
