1691459177# #奇瑞海外出口非常猛
1701165331# #华为希望一汽集团加入余承东发布会上向一汽发出了邀请，希望一汽也加入进来。希望一汽也抓紧进来，毕竟智能化方面是华为擅长的，一汽要做好智能汽车时代的生态战略
1703550972# #纪念毛泽东同志诞辰130周年。。忆秦娥：娄山关。。(1935年2月，42岁)。。西风烈，长空雁叫霜晨月。。。霜晨月，马蹄声碎，。。喇叭声咽。。。雄关漫道真如铁，而今迈步从头越。。。从头越，苍山如海，残阳如血。
1694444602# #瞎jb带节奏
1699583504# #万一是一招致命必杀招，你也不看，直接躺？长城汽车老板的观点没有大问题，但行业竞赛正在改变，长期主义没有实际的意义，都要先不败之地
1700294807# #李雪琴恋爱还是会选相处舒服的人王建国还行，比徐志胜合适，李雪琴要是早生几年，和岳云鹏也搭
1695043578# #经常看到有人卖了北京房子移民加拿大之类。。其实，卖掉北京房子，去大理去普洱，那你也是很自在啊
1691986236# #小米有品于近日上架一款米家智能按摩椅，众筹价6999元，8月16日10点开启众筹
1688984638# #难听我不信还有比我唱歌难听的人
1691483268# #荣耀MagicBookX14Pro锐龙版R7-7840HS，16+512GB版售价4499元，首销尊享价4199元；荣耀MagicBookX16Pro锐龙版R7-7840HS，16+512GB版售价4699元，首销尊享价4399元。
1698976874# #手表系统太小了，不值得那么大动静，还是会用在手机上，只是兼容安卓很久很久
1687864651# #教主果然是教主，周鸿祎同志业务时间考了清华大学研究生，不是MBA，牛逼周鸿祎被清华录取
1693192937# #对小学远，对二胎家庭非常挑战非常大
1698762280# #多部门介入学生被逼吃粪便事件中学生最容易发生这类霸凌事件，那些霸凌同学的盲流学生应该单独放在一个军事化管理的学校里，好好修理教育，不然祸害社会，人也会彻底废掉
1693582117# #网友说的好，你孤注一掷，我一言九鼎，木姐姐是讲契约精神的
1693442985# #霉霉泰勒斯威夫特这演唱会热度太可怕了
1692195919# #中国连续第三个月减持美债金融战
1690514962# #厦门的建筑质量应该很好
1688450467# #对，太破旧的90年代房子没必要改造了
1700670585# #荣耀不借壳了，直接上市
1700743802# #荣耀100标准版的设计，大家很疑惑，说出设计故事，就不一样了，意境有了
1696404372# #周杰伦的歌为什么没有年代感因为反正也听不清楚唱了啥
1691894331# #对数学家汤家凤老师舍身炸粪坑的行为，表示敬意，TFBOYsxxxgirls这类名称本身都是俗不可耐的文化
1687755161# #不搞强刺激，带不动GDP
1697984020# #做出数学研究的顶级创新，才是神，考研算个屁
1703041752# #全球首个“疯狂动物城”园区星期二（12月19日）在上海迪士尼乐园揭幕。
1693386450# #任正非说过，如果当年政府给他个小官儿当，可能就不会创业了。所以，在准备报考公务员的同志们啊，你们可能是下一个任正非啊，快创业吧
1700720080# #OPPOReno11系列，主打专业人像摄影，三千元以内唯一单反级人像镜头，设计轻薄唯美，配色很有灵动感
1694498554# #吴泳铭出任阿里ceo阿里要年轻化了，吴泳铭将推动85后90后刷新管理层
1688950039# #朱一龙眼睛太大被风吹走了隐形眼镜哈哈哈哈哈，这不是眼睛太大，是隐形眼镜质量不合格，哪个牌子的？是博士伦么？
1692266909# #中国女性离腋毛自由有多远自由诚可贵，你的毛你做主
1698126628# #燕郊的房价还曾经飙到4万一平？真尼玛有钱。。。。。。我老家烟台最好的房子也才3万多一平，这可是GDP即将破万亿的城市
1696346947# #共享充电宝的概念股
1688026669# #7月是一个关键月份，政府据说出大招刺激经济，手机厂商们也会出大招。
1687537488# #允悲允悲允悲允悲作揖作揖作揖
1692147500# #他的名字曾经绝密28年这位于敏就是何祚庥整天念叨那位高人
1687786906# #给穷人指路没什么错，难道还给富人指路么，那不成mba了
1688201237# #人形机器人是下一个产业风口，背后带动庞大产业链崛起，会诞生下一个大疆
1693189129# #景甜20岁到35岁颜值变化景甜都35岁了，从傻白甜，进化到自然甜了么
1702008066# #万能的特朗普
1694688666# #武松价
1695084268# #【北京前8个月新建商品房销售面积同比增长12.2%】。北京市统计局数据显示，1-8月，北京市房地产开发企业房屋新开工面积为764.9万平方米，同比下降33.3%。其中，住宅新开工面积为432.2万平方米，下降29.6%；办公楼为32.8万平方米，下降42.3%；商业营业用房为28.6万平方米，下降40%。全市新建商品房销售面
1699535671# #华为黑科技，老余已经说了，让我们来说说设计和体验
1697543056# #老板，求包养允悲允悲允悲
1690815319# #靠近雄安吧
1702957045# #哈登打疯了最后一节，变成哈登的投篮训练了，快船已经磨合好了。目前来看，只有西部的掘金、湖人、森林狼‘还有东部的雄鹿凯尔特人76人能与之一战。
1698373034# #当代中国的成功，也不是什么儒家文化
1699967517# #15日，全世界的目光锁定旧金山，加州州长还提前来中国玩了两个周，回去就好好整顿了市容市貌
1689000916# #忍住，忍住，不喝可乐了。。。。
1694856069# #美国汽车工人罢工或带来50亿美元损失要求加薪40%以上啊。。。。。看来美国经济不算啊。。。。还在讨论加薪问题。。。。。
1692883800# #看到网友翻出经济学家许小年、华为轮值董事长胡厚崑的观点碰撞。十多年过去了，一笑而过，经济学家往往只看到过去，而企业家更愿意看到未来。
1698550757# #加沙地带经历迄今为止最严重轰炸以色列这次就是要清理掉加沙，联合国再不干预，加沙人民可能彻底没有家园了
1701046751# #互联网时代就是这样，谁都觉得自己聪明正确有理，并不是按照逻辑或科学素养来，粉丝热闹，无论赞骂，互联网大V往往有批奏章的骄傲哈哈哈哈哈哈哈哈哈哈哈哈
1690077360# #允悲允悲允悲允悲允悲允悲允悲允悲允悲
1687402182# #遇到这种情况，你怎么说
1694748881# #【重要技术突破】北京麟卓正式发布Windows应用兼容运行环境4.0版。该版本号称实现了在国产平台下对更多Windows应用软件的兼容运行支持。。。ARM&nbsp;架构下Windows软件兼容运行支持。。ARM平台下，首次实现了对&nbsp;Oracle数据库管理系统的兼容运行支持；。。ARM平台下，实现了对品茗胜算、PageOffice&nbsp;等
1693364882# #花粉钉子户可以换机了喵喵喵喵
1688518933# #荷兰政府表示，从2024年1月1日起，荷兰课堂上将基本禁止使用手机、平板电脑和智能手表，防止学生在课堂上分心。只有在特殊情况下才允许使用电子设备，例如在数字技能课程中、出于医疗原因或残疾人需要。via财联社
1702260594# #上周五，AITO汽车对该测试进行了详细解释：经测试媒体确认，车辆在正式测试前进行了共计71分钟的空调制热，在车内温度达到24摄氏度后，又持续制热40分钟。黑线举车举车黑线黑线黑线黑线黑线
1696407501# #江爷爷当年收缴全国枪支，很有远见
1695972785# #三星GalaxyS24手机渲染图，从华为、苹果、三星的新旗舰来看，曲面屏手机退潮了，又回到直角时代。当然，华为做的边框微曲，手感更好一些。苹果的像砖头
1691402080# #【电动汽车产业就是中国未来十年的龙头产业】浙江省政府办公厅印发《浙江省完善高质量充电基础设施网络体系促进新能源汽车下乡行动方案（2023—2025年）》（下称《方案》）。。。2025年，全省累计建成充电桩230万个以上、乡村不少于90万个，其含公共充电桩12万个、乡村不少于2万个，满足400
1703741138# #美国14岁男孩为争夺礼物枪杀姐姐这是多么自私和冷酷，才会为了一个礼物杀死自己的姐姐。14岁都上初中了，还这么幼稚
1696312679# #智能门锁还是很必要的产品，小区门禁一般都是卡片，减少带钥匙，还是很便利的。还可以丢钥匙开锁的烦恼。
1693539114# #内存卷
1692167526# #吓我一跳，一加Ace2Pro怎么找了一个日本姑娘美依礼芽代言，搜了一下，原来她在二次元圈非常受欢迎
1696664043# #美国放任抢劫零元购，真是不可思议。。。。真要变成犯罪分子的天堂了
1700482096# #连个甲流之类都检测不了，开那么多社区医院有啥用，儿童医院都排到几千号了
1700559114# #百度公告，京东CEO许冉担任百度公司的独立董事
1687079726# #35711京东新任CEO许冉公布京东未来二十年奋斗目标，将会聚焦下沉市场、技术服务、国际业务。
1700654316# #韩媒：Faker和孙兴慜两天内连续两次让中国人闭嘴
1699941105# #华为家庭存储，用上了，支持16个用户，一家人够用了，建议推出ios/macos的支持
1691662008# #帕梅拉练出完美天鹅臂这个是怎么上热搜第六位的？天鹅烧了尾巴么
1689419659# #知乎可以卖给AI公司，用来训练大模型doge，百度收了吧
1697083251# #杭州有点热，北京有点冷允悲允悲允悲
1688213241# #中国女篮亚洲杯决赛迎战日本赛程太密集了，球员容易受伤，目测下一场李梦会爆发，这一场是韩旭的三分球拯救了球队
1694489909# #蜂花商战好古老的名字，洗发水好像用过
1704013157# #对，当年李国庆嘲笑刘强东做物流：傻大黑粗。。。。。。他们夫妻可能只是想做个不亏本的生意留给儿子，而不是做多么大、多么强。
1695042205# #李楠称iPhone信号差对日常影响微乎其微哈哈哈，坐在办公室无所谓，出门就影响不少
1702299970# #金融危机下的日本。。。回想一下，过去三十多年难道不是日本AV的鼎盛期么
1695611457# #看到网友说，北京怎么多粗制滥造的房子。我要说，孩子，你错了，全国到处是粗制滥造的房子。。。。
1701140825# #哈哈哈，那是你没看今日头条和小红书，天天推大波妹言情小说
1689844847# #女生刚下山得知丢失的身份证在山顶让无人机快递下来
1694397607# #朋友们，周一福利日我来给大家送福利了！今天订阅我的年费Vplus，除专享高价值付费内容和权益外，还能参与抽奖，100%中现金！最高6666元！平台额外追加了10-100元大额红包，加码福利仅1天！快来冲吧！
1698130767# #周鸿祎称程序员节是唯一不能放假的节日当然不是，农民秋收节，当然，农民压根儿没有周末放假的概念。。。。
1698500946# #国内经济、房市的困境，根本上是疫情几年的现金收入过度消耗，有钱人就那么多，规模庞大的腰部自由现金流压力大。要么，狠降房贷利率，要么，延迟两年交房贷，把疫情几年的洞堵上，不然的话，会长期痛苦
1699183384# #这个是纯鸿蒙，功能少。
1700190920# #确实挺丑的。。。。
1698150210# #辱骂新加坡护士的女子涉谎报身份像新加坡那样严格细致的法律，也挺好，可以修理一下那些泼妇无赖
1703126787# #自己不用出手，自媒体一堆机器文章
1694662384# #华为选在孟晚舟归来日举办发布会有心人发现了这个，华为被禁四年，疫情三年，这几年太不容易了，大家都太不容易了。好在很多人记性不好，快忘记新冠了。生子当如余承东，生女当如孟晚舟，嫁人就选徐直军。徐直军管研发，出差少，哈哈哈哈
1701162962# #智界S7现场演示无人代客泊车余承东让智界S7自己开上台真是太牛了，方便实用，智能召唤
1687341974# #大学生网购毒品掺进奶茶给室友喝网购？哪个平台？
1691573922# #哈哈哈，就是这种
1700219291# #有点猛啊，我闺女也很能跑，不过800米有点长
1694695908# #委内瑞拉总统获赠华为折叠屏手机MateX5，华为手机变成国礼了赞赞赞doge
1693568981# #李宇春和我一样，已经40岁高龄了，时间过得真快
1703579399# #问界m9我喜欢这一款，基础构架安全更强，主动安全够强，智能驾驶够强，智能座舱够强，爱了
1703727326# #谁说30层的高楼以后变贫民窟？你搜一下北京棕榈泉国际公寓，30层的高楼小区，周润发等非常多明星都买了这里，你觉得会变成贫民窟么
1700705819# #困在考研里的年轻人在逃避什么逃避就业竞争，逃避可能遇到的失业
1697335368# #内塔尼亚胡，是想借机清理加沙地区，自己被阿拉伯世界骂几世，却可能被很多以色列人当做英雄。中俄、阿拉伯世界需要抓紧施压，避免出现无法挽回的人类灾难
1694239239# #还是东北人敞亮赞赞赞
1700449576# #cfo做CEO的天花板就是新浪曹国伟，然后是阿里张勇
1694657480# #冰山一角，这样的地方很多很多
1692800260# #周鸿祎也是最早做搜索的之一。iPhone也不容是最早的触屏手机，最早没啥用
1699195056# #救救gala。我以为gala乐队混不下去了呢。。。。
1697345519# #感觉屏幕有两米
1701049470# #你够狠。再看看出系统问题的是哪家哈哈哈哈笑cry
1701059182# #这个没有剧透，哈哈哈😂😂😂
1689389092# #北京的限购政策很可能要变了【央行：我国房地产市场供求关系已发生深刻变化，过往政策存在边际优化空间】人民银行货币政策司司长邹澜在发布会上表示，考虑到我国房地产市场供求关系已经发生深刻变化，过去在市场长期过热阶段陆续出台的政策存在边际优化空间，金融部门将积极配合有关部门加强政策研究，
1689838126# #网盘类产品惯用伎俩
1694770376# #真是这样，荣耀也不怕了，反正芯片能自己产了，还重回华为爸爸的怀抱。我觉得美国不至于这么极端，对他们自己没有好处
1688016408# #美国抹黑中国这么多年，新冠这一轮算过去了？
1697880311# #五星级酒店收养流浪动物获旅客称赞好的，知道了，去广州躲开文化东方这家酒店，建议这家酒店把流浪汉一起收养一下
1690105420# #有时候，网友是不讲逻辑的，因为压根儿不知道逻辑是啥。。。。。第一，名人批判和网友吐槽不是一回事；第二，批判企业行为，和贴政治标签不是一回事儿；第三，司马南最糟糕的不是批了柳传志，而是故弄玄虚，误导大众对社会风向的判断，造成了寒蝉效应。
1694731540# #所以，我不喜欢这种危险运动，老老实实地活着吧，还得赚钱养娃呢
1691569207# #全域受灾，共患难
1692582549# #台湾行政院主计总处星期五（8月18日）公布最新经济预测，将台湾今年全年经济成长率下修至1.61％，为八年来新低。
1703494625# #日本人的身高越来越矮了别管日本人身高了，人家足球还是非常强
1698762334# #问界稳了
1696252968# #看了那些汉服，确实不方便，只适合逛街。。。。还是现代服装适合现代人
1692802228# #有想象力赞赞
1694518105# #这一代问界M7很Mate，黑科技太多，我预感：问界新M7是问界的“Mate7时刻”，要爆发了
1693973052# #AI生成，说是我喜欢的类型。看看你们喜欢么
1692149769# #老牌互联网巨头的全球化在退，字节、拼多多、米哈游等次新一代在前进。
1688629241# #你也可以去拍熊出没
1700922737# #清华北大教授就什么都懂么，不是的，所以，你一个文科教授最好别瞎扯高科技话题，误导大众，胡说八道
1690970980# #哈哈哈哈
1689135898# #曹操说的对，中国人太勤了，太累了，尤其是我们这一批城市化高潮中的人。最爽的是老家的有钱人，之前遇到一个烟台卖五金的老板，几套豪宅全是烟台海边最好的位置，只有一个女儿。
1690014507# #33岁健身网红举重时遭杠铃压断脖子卧槽210公斤。。。。这是脖子扛1.4个大熊啊，真是不要命啊。。。
1694332715# #一柱擎天震日月，万里浪涛动四方
1696416868# #折叠旗舰，影像牛X，超感知镜头，拍照超有看头。华为MateX5带来业界领先的折叠影像体验。超感知XMAGE影像拥有全焦段超清拍摄能力，无论昼夜，明暗全时精彩；悬停拍摄，解锁多角度影像乐趣；风驰闪拍，抓拍快人一步！爱宠灵动眼神也能精准捕捉，质感人像大片随拍可得。
1697789078# #微博自媒体前台实名，内测，看看来总王大伯的资料允悲允悲
1701144107# #当下的经济压力，主要是化债，居民政府企业的债务杠杆都不低，到底应该怎么办？大幅度降低房贷利率，激活居民消费和房地产，大幅度降低存款利率，让有钱人的钱动起来。财富集中在60-70两代人，需要让这些人找到花钱投资的通道
1699184835# #学会用脑子分析，这不是我的测试。各类暴力测试都可搞，都比起来，拼起来，才热闹
1695175956# #华为夺得中国智能手机市场第二第36周第二，第37周估计第一，华为、荣耀这是回到2019年制裁前的市场格局了，没想到这么快
1701155473# #华为发布会智界S7采用全新OneBox造型设计，在更紧凑的车身中做出更大空间，并实现0.203Cd超低风阻。2.6㎡大天幕，兼顾隔热防晒；极致纯净的细节设计配合个性鲜明的运动美学，高端时尚；智界S7共提供鎏金黑、霜月银、陶瓷白、暖星云、天青蓝5款车漆颜色与月影灰、雀羽红、白沙杏3款内饰配色，优雅高
1696131173# #许家印欠债两万亿，没有自杀，有些人房子断供却跳楼自杀了。。。。想开点，即便断供，也要活下去，饿不死就行，活着就有各种可能性，别这么不珍惜父母赐给的生命
1693407610# #王哲林也不能太怪王哲林，王哲林本来一直就是没弹跳，需要团队战术，而中国队需要黑又硬的中锋，周琦也是个软蛋。现在，大家再去看看易建联居然是那么好，巩晓彬是那么妖，刘玉栋是那么会投篮，刘伟是那么优秀
1693809478# #设备共享赞赞
1692285295# #海荣四部曲：摔、跳、踩、砸，现在好像只差踩了
1700474154# #11月6日，雍禾医疗(02279.HK)盘中上涨5.57%，截至10:07，报3.41元/股，成交132.72万元。经济开始复苏了。。。。
1697471241# #发布了头条文章：《人命大于狗命：成都恶犬伤童，建议全城捕杀大型犬》成都咬伤女童大黑狗有主人
1700999083# #歧视消费？没人歧视消费吧，是居民的债务杠杆太重，没办法放开手消费，最终还是转发微博
1703049876# #珍珠是不是河蚌的胆结石
1700555740# #感觉你有点像果敢同盟军坏笑
1698591853# #支原体肺炎，不是新冠，别乱带节奏。家长们不要都去儿童医院，友谊医院之类的水平也很高，包括中医院也可以，不要太瞧不起中医。
1703492914# #说明有钱人还是有钱人
1692182185# #蓝绿厂打起来了
1700749233# #荣耀CEO赵明：未来操作系统是个性化的，每个人的操作系统都是不一样的
1696601415# #问界猛的节节高势不可挡
1694571967# #问——“为什么想换mate60？”。答——“因为苹果信号不好。”。问——“那你抢到mate60了吗?”。答——“没抢到。”。问——“为什么没抢到？”。答——“因为苹果信号不好。”
1692880201# #据说缅甸诈骗集团培训这么识别微信头像。。。。。。
1690351948# #石头科技不应该先出环卫智能扫地车么，怎么先搞出suv了喵喵
1700276882# #微软掌控，留下CTO就可以了
1691210261# #华为开发者大会，喝井冈山泉，这是巧合还是特意，要发扬井冈山精神？
1703039089# #从某种层面说，小鹏汽车的美女总监徐女士，是公关界的一股清流，脑子清清白白，潇潇洒洒，据说这类心里不装事的直肠子比较长寿，因为有啥怨气全喷出来了
1697456893# #大型犬应该全城捕杀，严格执行，不允许养，就要执行到底，拿出防疫的力度来两大型犬撕咬2岁半女童致严重受伤
1699194295# #那么问题来了，为什么会出现哈马斯呢？
1704158678# #国足3人染红踢不过香港市队，真是厉害了
1688984722# #在孙权墓前放中科大录取通知书这个热搜有文化，我还真没细看过三国
1691584060# #WordPress6.3公布，首次将内容、模板和模式整合到编辑器，170多项性能更新，最低要求PHP7.0–智者邦-站长帮
1696928890# #弄个中文名嘛，嗨枫枫
1695992652# #也不能怪恒大和碧桂园，全国性的潮流，货币大势，而且恒大碧桂园基本上拿不到太好的地块
1698905122# #通义灵码抠鼻抠鼻抠鼻灵码。。让我直接想到了鬼故事。。。
1688997344# #北京积分落户，每年增加近4分
1695177472# #美国2009年就开始入侵华为总部服务器美国最坏了，中情局啥事儿都干得出来。看来华为是中情局控制全球网络最大的障碍，所以，开始想整死华为。只是没想到，任正非如此的老谋深算，啥都想到了，这不，鸿蒙PC也快来了嘻嘻嘻嘻
1697816083# #以色列大使馆的微博已经被网友喷的开启评论精选了。哈哈哈
1690648570# #还要说一点，现在是全国经济大复苏的关键期，北京必须发挥龙头作用，房价高低是次要的，经济增长和复苏才是最重要的。别担心外地有钱人来北京抢房，又不是都在北京交社保，怕啥？北京也就房山、顺义可能库存大一些，其他区的新盘很少，拍地也顺利进行，北京房价再涨一轮，没什么不可以。现在就是低点
1691410468# #曝iPhone15将于9月12日发布屏占比老大难问题可以解决，芯片AI，估计这一代卖的会不错
1695084031# #【1至8月北京实现社会消费品零售总额9187.1亿元，同比增长3.3%】根据北京市统计局数据，1至8月，北京实现社会消费品零售总额9187.1亿元，同比增长3.3%。从消费形态看，实现餐饮收入878.2亿元，同比增长30.4%；实现商品零售8308.9亿元，同比增长1.1%。
1687657962# #感觉普京才是导演
1688637250# #播一部爆一部的演员李连杰李小龙成龙刘德华
1693282719# #Mate60要火爆开场了
1688375862# #这些孩子怎么教育的？让家长去吃屎吧
1697957549# #「小米澎湃OS」（XiaomiHyperOS）界面曝光
1694662150# #为什么微博不推出音频微博？长的丑的大V也好时尚一下啊微笑大家觉得呢。你看，我今天就不方便出镜哈哈哈哈哈哈
1698558789# #沈义人说，锤子科技最大的遗产是锤子便签。我认为，锤子科技最大的遗产是朱海舟，现在人在OPPO，朱海舟有锤子交互设计的灵魂因子。
1696641891# #自9月12日发布，大定已经50000万台，直接杀进排行榜最前排，用不了多久，估计销量也可以遥遥领先了
1694734893# #北京地铁部分站点取消购票实名制严格安检，就没必要实名制，当然，用手机电子票的越来越多，已经实名了。
1699289087# #一个宏大的问题，《华为为什么能成功？》我说说我的观点：。。1、早期，贸工技容易活下来，华为选择了技工贸的一条冒险路线，拿下了关键技术王牌，从此走上类似于第一性原理的根技术创新路线，非常难，投入非常大，失败风险也大。。。2、华为手机成功，大众才对华为这个企业多了一些认知和了解，之前华
1691373475# #高校1.31亿科研经费成果转化率为0只需要调查一下，钱怎么花的即可，有些高校压根儿哦没啥科研能力，做不出什么名堂
1702260334# #荣耀Magic6系列带北斗卫星通信，还有1.6亿潜望长焦
1694731713# #男子往健身房楼梯上泼机油致3人摔伤太恶劣了，最讨厌这种背后伤人的，都调解完了，还报复。你这不是报复健身房，是恶意伤害健身房的顾客。
1702949906# #这是什么
1694953292# #姚明，作为篮协主席，完全不够努力！你看人家马斯克，11个孩子，将自己的天赋更多传承给社会。。。如果姚明11个孩子，还有文班亚马什么事儿dogedogedogedogedogedogedogedogedogedoge
1688260348# #诸多车企在今日公布了6月销量，汇总如下：。。哪吒汽车全系交付12132台，其中海外1201台，哪吒GT交付1298台。。。创维汽车6月共交付3258台，海外出口862台，环比增长190.42%，1-6月销量总计9927台。。。智己LS76月销售1948台，3月交付至今累计销售7737台，累计锁单10688台，平
1699943059# #晚上回家看看新闻联播
1691296201# #这轮之后，要水利大建了
1700105057# #拜登重申不支持台湾独立高科技限制一下，民生贸易畅通，就可以了
1694600873# #足协这帮孙子，王大雷明摆着比颜骏凌强太多，宁可输球也不用王大雷。
1687850449# #家长无非两种，一种是希望孩子勇闯天涯，一种是身边触手可得、常回家看看。尤其是独生子女时代。我们那时候还好，家里两个孩子的多，家长也不懂，随便报，哈哈哈
1694680301# #真是服了，一篇清华论文，一群自媒体打鸡血地说中国光刻机弯道超车了。。。正经科技媒体没有一个敢这么说。一些社会话题的自媒体已经开始消费爱国流量了。。。。
1688016121# #天津津南区碧桂园小区下沉的事儿，最后会怎么办？我出个主意，直接改成天津斜塔，对标意大利斜塔，变成旅游景点，如何
1701184224# #现在的山东泰山队太依赖外援了，当年前锋李金羽韩鹏，中场有郑智周海滨王永珀崔鹏高尧，现在中轴线全靠外援了。。。。
1695296251# #doge
1687880383# #看了这场比赛，我有一个感觉，中国队有超龄球员
1687995736# #28个月男童误入电梯坠楼身亡这种父母太不负责任了，这么小的孩子绝对不能离开视线
1691992779# #成本价也得三四千吧，送是可以的七时吉祥
1696688335# #以色列中东战火再起，石油价格是否会飙升？俄罗斯又可以赚钱了？
1692032236# #中国的学校，为啥新建校舍很少中国建筑风格
1700884950# #为什么中国的公厕这么臭？
1695465055# #再唱亚洲雄风为运动员加油这么多年了，没有创作个新歌儿么，比如亚洲当自强、亚细亚的兄弟
1700972161# #车圈真是心胸狭窄，不像我们科技互联圈那样胸怀如大海
1698473161# #腾讯科学WE大会2023，播散科学的种子。话说腾讯在科学公益方面很用心，还赞助了未来科学大奖，这些投入和腾讯业务没有任何关系，是完全的回报社会、回报教育的善举。
1703552020# #业内人士称暴雪国服回归正逐步加快招商引资，游戏先行
1689174945# #为什么现在厨房越来越小了厨房那么大干嘛？又不是十个人做饭，够用就行了，卧室大一些就可以了
1701649758# #哈哈，姚某汽车博主评测比亚迪方程豹，
1702832200# #媒体泄密小米汽车将赔三百万罚金故意泄露的吧，没几天就发布了
1692283195# #大概率9月发布
1690447046# #举报涂磊女子所属村干部发声哈哈哈哈，看来这个是涂磊节目看多了
1695878016# #老贺牛叉doge
1692588343# #不用管李嘉诚在干什么，你看看王健林在干什么
1695478523# #猛了，问界新M7果然火了，好像已经超过15000台了
1691975123# #沙特真是豪，利雅得新月要买内马尔，牛
1700982260# #我觉得颜宁当选中科院院士，并不是山东人的骄傲，她从小在北京上学，是北京培养的，山东教育体系自己培养成长的院士才是山东骄傲，颜宁主要还是北京大兴的骄傲哈哈哈哈
1698023755# #&nbsp;韩国学者刘贤俊提出了线上空间和线下空间的理论，他指出，线下生活越来越昂贵，将穷人挤压到了线上空间。而穷人被缩窄的线下空间，则由线上空间来填补。因此，穷人越是生活在狭窄的房子里，越会在线上寻找安慰和满足。这种现象导致了整个世界的趋势，即穷人占领网络，富人走入生活
1689043442# #中国女足目前不像女篮那么强，但是，有特点，有韧性，也是很可能杀入前二的。张林艳这个小丫头值得关注
1700117603# #荣耀CEO赵明：以人为中心的创新，不断打破思维的边界和局限。荣耀研发人员达8000人，收入的10%超过用于研发。，连续三年高强度投入屏幕技术研发，三年投入10亿+显示研发经费，护眼屏创新成果惠及友商与产业链伙伴
1698202239# #这么玩就是二选一了，淘宝天猫都不敢这么玩了，李佳琦却敢，真是太优秀了
1692781568# #大妈穿睡衣逛商场，也不文明，躲不起祖宗
1695721336# #大家募捐一点钱，给猛哥找个美工吧酷
1694009498# #哈哈哈哈，没必要这样子，孩子应该独立一些
1695862078# #21年3月份，8万套
