1702782518# #董宇辉若想创业俞敏洪愿意投资董宇辉单干会成为类似李佳琦一样的带货主播？
1703823076# #雷军这个小米汽车发布会，把自家的股票$小米集团－Ｗhk01810$跌5.77%跌了不少啊！。小米汽车价格迟迟不公布。。。
1700865662# #京东方A(sz000725)超话上证指数没有利空就是最大的利空，频频的利好却成了最伤人的诱多。。周五北证又独自狂欢，北证50指数大涨6.5%，成交量近173亿元，比周四增加逾17亿元，成交额再刷历史新高。一个区区3600多亿市值的北证，就将拥有近80万亿市值的A股主板大盘搅得鸡犬不宁，这是一种莫大的讽刺
1703159007# #wps没广告了。靠什么赚钱呢？
1698545359# #老友记钱德勒扮演者去世54岁啊！从此再无“老友记”，最近这几天是怎么了？？？
1703546712# #广东千万净资产家庭近40万户恭喜广东人。。有钱人真多。
1702109194# #日本千叶县附近海域发生4.7级地震
1697521174# #城管严查遛狗不栓绳发现就暂扣执法人员有理有据回应：出了家门，就属于公共区域！
1701753597# #A股大盘已经跌成这样了，说不准偷鸡的机会有了。沪指再失守3000点赌赢的机会大了一丢丢。
1697685269# #富时中国A50指数期货持续走低，现跌超2%。做空A股势力依旧很强大。。北向资金截止目前已经流出68亿。
1699953229# #多家银行信用卡容差金额提升至100元让你多一百元吃饭，下个月发工资再还。。。。有本事，你借几个亿，就不在乎，这一百两百的。。。
1698889462# #汽车有新龙头了！$国机汽车sh600335$。国机汽车公司简介：全资子公司中汽工程与华为签订了战略合作协议，中汽工程将积极推进智能制造基础研究、装备研发、远程运维和数据服务业务，愿意与华为携手，构建长期稳定的战略合作伙伴关系。。A股进入了长期配置价值的窗口期
1696976346# #囊肿是怎么形成的甲状腺结节、乳腺结节、肺结节最为常见。。中国医学科学院肿瘤医院头颈外科主任医师、中国医学科学院肿瘤医院山西医院头颈外科主任李德志说，从临床实际情况来看，B超检查下来可能有20%-30%的人会检出大大小小的甲状腺结节，而在这些检出结节的人群中，最终确诊为癌的概率可能在2%-4%
1691730525# #男子要女孩微信被拒后对其爸爸动手该治安拘留了。。以前叫耍流氓，现在叫寻衅滋事。
1699797738# #多国爆发床虱危机从历史书上看，应该中国上个世纪80年代之前才有的东西。
1690944663# #A股依旧老生常谈。。活跃资本市场只谈了一天！！！。接下来又进入漫长的震荡阴跌阶段。
1701044573# #赛力斯回应华为成立智能汽车新公司赛力斯集团回应华为成立智能汽车新公司：已收到共同投资的邀请。。这是怕A股股价开盘跌停吧！
1699853437# #日本部分居民血检异常疑与水体受污染有关。
1686799973# #北约终极目标对付的是中国！。北约反动集团搅乱世界和平，必须解体！
1703751713# #年终奖十三薪问问大家，你们公司有年终奖吗？
1693313831# #【龙虎榜解析】不明席位疯狂出货1.27亿，游资抄底被套。。。启迪环境(000826)(-7.41%)/环保、核污染。。华鑫证券宁波分公司9353万买入。。华鑫证券上海宛平南路1138万买入。。中信建投北京东城分公司1.27亿卖出。。股价低开低走大跌，游资大资金抄底被套。。如何跑赢量化
1687225165# #目前A股又是进入PK阶段，你追我跑，你跑我买，到底是对是错，完全凭借天意！。只有下午才是安全的。
1701055103# #YG官网删除权志龙YG曾回应，权志龙已不是本社艺人。
1695625085# #华为发布会哈哈哈哈哈哈哈终于说了，遥遥领先！
1696814266# #今日A股开盘集合竞价华为板块表现都非常优秀
1690716588# #【龙虎榜解读】公募已被深套，机构集体割肉出逃。。。卫信康(603676)(-6.91%)/医药。。沪股通1449万买入。。华鑫证券上海分公司374万买入。。一家机构227万买入。。五家机构合计卖出1.01亿。。个股解析股价大幅低开低走，机构全天大幅出货。。五家机构卖出额占总成交额的56.28%。。全天超过一半的成交额为这五家机构
1700384067# #A股电风扇：芯片半导体、抖音短视频收费、算力、CPO、华为汽车、华为昇腾、网红经济、HBM等等
1688888521# #365-厦门大雨的红包有钱就是任性！我往红包里塞了现金大奖，能不能抢到就要看你们对我是不是死心塌地啦！
1688527322# #每日一餐分享老板，驴肉汤来了份。
1688091915# #携程推出企业生育补贴：每孩每年1万，连发5年。。这才是担当！。这样的企业，希望活的久一些！
1688187776# #$京东方Ａ(SZ000725)$$TCL科技(SZ000100)$面板价格下跌了，TV面板跌幅1.1%，显示器面板跌幅1.4-4.3%不等。。下周京东方A股价又凶多吉少了。
1700610030# #雨哥看盘超话英伟达：美国管制很明显对英伟达在中国的业务产生负面影响。。A股的CPO板块也一样深受其害。
1691589759# #【龙虎榜解析】某机构清仓大甩卖！！！。。南天信息(000948)(+9.98%)/互联金融,数字经济。。华鑫证券上海分公司2545万买入。。深股通2246万买入,3015万卖出。。一家机构1644万买入。。国泰君安宜昌珍珠路1613万买入。。一家机构7523万卖出。。游资炒作，尾盘异动涨停，机构大资金逢高出货。。单家机构狂卖7523万，占总
1688633121# #2023世界人工智能大会2023世界人工智能大会，AI相关板块均飘红，特别是机器人板块掀起了涨停潮，弘信电子20CM、拓维信息、五洲新春、爱仕达、万润科技、华纬科技、科力尔等等。。猜一猜我买的是哪个？
1694916516# #这么一个又丑还有辫子的形象，苹果你真不够揍，iphone15刚开卖就恶心我们
1703147704# #降息来了，外资抄底银行股，银行股无法带来A股的持续反弹。
1687682737# #今年上半年是科技人工智能，下半年科技军工！。反正A股今年没什么行业能够谈业绩的！。那就炒呗！。军工除了业绩其他都有！。关键俄乌战争都需要我们的军工！。同意的点个赞！
1700297738# #这编剧是懂会计的。现在申报增值税都一键导入数据了，附加也一起计算了，别说懂会计行吗？。只要报了主税种附加税就自动计算了，否则连申报按钮都点不了，但凡找个会计问一嘴也不至于跑网上来丢人了！！！
1689230655# #【周二潜伏的锂电池也开始启动咯】。锂电池板块震荡拉升，赢合科技涨超12%，壹石通、德方纳米涨超6%，华控赛格、星源材质等跟涨。
1703726689# #昨晚极氪007的发布会，确实是被震撼到了，今日的龙头股是哪个？
1695087670# #活跃资本市场。张江高科大资金在火拼！。。有趣就看谁厉害了！。看戏不嫌事大！！！
1698116227# #A股指数忽上忽下，是北向资金造成的。。公募基金貌似今日是买入的，证金持股在增加，主力资金在调仓！。沪指跌破3000点大关
1699415317# #A股小牛市还是要靠渣男的，等都不相信的时候，渣男可能让人高攀不起。
1703147577# #胡锡进称基金经理收入应和基金亏损一起降老胡终于又说了一句，不是A股娱乐节目的话了。
1689833137# #【大消费板块午后掀涨停潮】大消费板块午后掀涨停潮，零售、食品加工等纷纷走强，三江购物、国芳集团、新华百货、中央商场、国光连锁、人人乐、如意集团等十余股涨停。。反正，我是不买这些个股，让机构好好出货吧！
1698211778# #雨哥看盘超话【A股为何利好频出，还不上涨？】。股市的上涨，需要有巨量的资金，国家现在的资金主要留给保人民币汇率、防范化解三大风险，在美联储加息、美债收益率历史高位，外部资本不够时，郭嘉队正常不会大资金进入股市。。汇金这两次试探性买入，多多少少算为A股维稳出力。。社保资金持股要保证
1696299436# #日本开始准备核污染水第二轮排海去日本旅游的那些人，不知道他们怎么想的。。将从本月5日正式开始第二轮核污染水排海。第二轮排海计划排放量约为7800吨，排放周期约17天。。我们能做的。点赞日本地震。评论富士山火山复活。转发福岛核污水倒灌日本岛
1689130688# #港股大涨，A股还在偷偷摸摸的绿着
1687832832# #厦门的云好像动漫里走出来的厦门的云没少吃棉花糖
1697951932# #雨哥看盘超话【A股工业富联下周跌停】。突发的消息，多部门对富士康的专项税务稽查。。这个是重大的信号，目标恐怕直指苹果。。毫无疑问，华为在科技领域的突破后，摊牌的时候到了！。iPhone15物料成本558美元，中国大陆供应商占比仅剩2.5%，基本上就是富士康这点代工费。
1693529621# #改款Model3提前曝光。特斯拉model3。群里传的改款M3配置，不知真伪，如果真是这配置，竞争力如何？你会下手？国产新能源中低端还有机会吗？小米还敢造车吗？。-新增流媒体后视镜-全新轮毂和全新前保险杠-新增前置摄像头-取消转向拨杆，转向灯功能集成到方向盘上-取消怀挡杆，采用ModelS
1700113093# #高带宽存储器（HighBandwidthMemory，HBM）是超微半导体和SK海力士发布的一种基于3D堆栈工艺的高性能DRAM。。。HBM适用于高存储器带宽需求的应用场合，如GPU、路由器、交换器等。
1687958654# #【龙虎榜】游资砸盘，北向资金抄底，到底谁赢谁输呢？。明天见分晓！！！。浪潮信息(000977)(-10.01%)/计算机设备,算力；。。国泰君安上海江苏路3.04亿,1322万卖出；。。深股通7765万买入,363万卖出；。。国泰君安上海新闸路1.02亿卖出；。。长江证券上海分公司7782万卖出；。。国元证券上海虹桥路4566万卖出；。。该
1687383664# #端午安康艾叶飘香又端阳，百舸争流竞九江。端午佳节来临之际，祝你及家人身体健康，生活愉快，端午安康！端午节快乐
1700806590# #A股主板人心散了难再聚啊
1689906087# #因一句承诺男子为亡妻守墓五年一句承诺一世情！。他朝若是同淋雪，此生也算共白头，白头若是雪可替，世上何来苦心人。
1693274182# #赶紧跑路。。。。。。A股真的很神经病，昨日暴跌近10%今日大涨14%。。。。量化是否左右了a股市场
1692626606# #50多家公司掀起回购潮！。进入A股救市的第五步？。21日晚间，随着荣盛石化、广联达、福昕软件、至纯科技、创业慧康、复洁环保、祥生医疗等公司加入回购大军，近几天宣布回购股份的A股公司数量增加到50多家。。证监会研究适当延长a股交易时间
1700528647# #【特斯拉涨价关注A股特斯拉供应链】特斯拉ModelY长续航版涨价2000元。特斯拉1个月涨价4次。值得注意的是，在10月27日，特斯拉针对ModelY高性能版车型进行售价上调，上调幅度为1.4万元，调整后售价为36.39万。在11月9日，针对ModelY的长续航版进行售价上调，上涨幅度为2500元，调整后起售价3
1693191509# #印花税让你激动一个晚上，结果A股开盘，股市只让你高兴了5分钟。
1697433434# #中方呼吁召开巴以冲突国际和会说说就好，美国队长才是话事人。
1688942241# #入职要填微博名该怎么办没事，雨哥给你出主意，填写365-厦门大雨肯定有这人。
1703656369# #东方卫视跨年宣了好多演员田曦薇、于适、龚俊、刘雨昕、黄明昊、胡歌、唐嫣、美依礼芽等东方卫视跨年全阵容官宣，你最期待谁？
1696600363# #德国将在冬天启动几座封存的燃煤发电厂了。。忽悠大家都搞新能源，碳排放。。。。然后他们自己开始火力发电了。。。
1699249516# #截止目前，A股主力资金已经暂缓流入股票市场，增量后继无力！。当下，A股的反弹已经不会再像以前一样，一哄而上，都先观望，再犹豫。
1688611673# #昨日买的，今日止盈。。学量化基金高抛低吸，学机构投机取巧！
1699405180# #【“AIPin”是什么鬼？】A股相关概念股有哪些？。Humane宣布将于11月9日举行发布会，其产品正式命名为AIpin。。《时代》杂志公布了年度最佳发明奖，其中一款产品引起了广泛关注，这款产品就是Humane的两位前苹果设计师创想制造出来的一款颠覆性手机，没有屏幕的AIPin。。AiPin是一个小型、无屏幕的设
1692230208# #大学生毕业补贴高校毕业生！在厦门还可以领到这些补贴！不要错过！。就业见习补贴。。补贴标准：。。见习学员的生活补贴标准为2233元/月(每按30日计发，每日74.43元)。。。见习协议签订时长最长不超过一年，见习期满自动终止见习。。。见习期间，市人社部门统一为见习学员办理意外伤害保险。
1701426461# #【“鲶鱼须”遮住半张脸】中学老师晒班内女生发型审美。。结果网友的评论直接亮眼了。。老师：两根头发一节课捋来捋去……。网友：。别老跟青春期孩子较劲，谁还没个年轻时候呢。。你管那么多干嘛？人家嫌弃你以前杀马特了吗？。是全国统一嘛？我们这边也是这样捂脸那两撮看的好烦躁。。。。
1703145977# #贷款降息才是对A股最大的利好
1690166199# #男子不慎抠下派出所石狮子嘴里石球你手真贱，若安好便是晴天，安不好就是5天doge
1689051608# #远离房地产板块个股，看来是正确的。。房地产昨晚央媒发了『重磅利好，房企贷款延期』，早上也就一个高开结束。。【今日看盘雨哥午评】
1690120787# #【周末重磅信息】时隔5年，全军再开重要会议。。八一将至，军工会出现好机会吗？。目前，军工板块供需两端具有较高的确定性，利好政策不断，基本面有所改善，值得大家关注。
1689633080# #这则新闻距大毛吹的炸毁英国化学货船已2天了，英国完全没有正式官宣。。。两艘英国货船在奥德萨被俄军导弹命中，俄罗斯说上面是英国援助的武器，乌克兰说是化肥。这两艘化肥船爆炸后比炸药还猛，俄军对此深表遗憾。
1692854987# #富士山啊，你该醒醒了！！！。实在不行，地震，海啸都可以，灭了日本吧！。日本核污染水排海正式开始，全世界反对的声音微弱的要命。。。
1702991110# #雷军电动不是小米雷军的吧！！！
1701493910# #【A股股东人数最多的10个公司】。1.京东方A：股东数128.91万。。2.隆基绿能：股东数95.02万。。3.中国平安：股东数90.95万。。4.三一重工：股东数82.30万。。5.东方财富：股东数82.19万。。6.包钢股份：股东数80.09万。。7.三峡能源：股东数69.37万。。8.工商银行：股东数66.84万。。9.中国银行：股东数64.51万
1698966394# #因男朋友妈妈一句话分手了东北女孩不背锅，哈哈哈(✿ฺ-ω-)。。女生不上班，这事短期可以，长期恐怕不行。。黄脸婆，老公出轨。。。
1694473391# #遭遇霸凌后他们会经受极大的煎熬，变得胆怯、畏缩、自卑、孤僻，缺乏对集体归属感，导致情绪低落，怀疑自己，无助无力，兴趣减弱等。
1703493858# #确诊为孙悟空，孙悟空名场面！别吵了，烦死了。烦死了烦死了！！！
1697091805# #面对汇金公司再度增持四大行北向资金花了一天的时候，买入的金额，都不够周一下午的一个小时卖出的金额。。这样的A股，依旧是秋风习习，凉意直击心脏。。。
1694911503# #鳗鱼价格下跌超60%养殖产业被日本核污水坑的最厉害的一波人。
1698720451# #【A股为何利好频出，还不上涨？】有必要再发一次！！！。股市的上涨，需要有巨量的资金，国家现在的资金主要留给保人民币汇率、防范化解三大风险，在美联储加息、美债收益率历史高位，外部资本不够时，郭嘉队正常不会大资金进入股市。。。a股的问题是投资者普遍赚不到钱。三大风险防范：。一是防范房地产
1690514829# #今日国家队正式入场！。下周沪指3300
1695623233# #华为发布会麒麟芯片还是星闪轻舟已过万重山！。刚才星闪概念股荣联科技直线涨停。
1694159595# #【上厕所遇到蛇，你怎么办？】。厕所惊现蟒蛇，二号坑的同学要崩溃了！。这嚎叫声够刺激的，如果你遇到这种情况，你怎么办？。人民群众遇到困难一方有难八方支援赶紧来出谋献策！
1688566345# #【705复盘】这几天A股行情比较乱，没有主线，也完全没有明显的线路可循，机器人、AI、汽车、PET铜箔、自动驾驶、地产、基建、镓锗稀土轮番上阵，但是每次高潮后都是大跌，就看明天镓锗稀土能否持续咯！。我看好国产替代半导体板块。。现在美日一些半导体关联公司陷入了惊慌，日本政府已经表达不安。澳大
1702521768# #胡锡进否认清仓A股胡锡进在微博评论区更新其A股账户前一日盈亏信息，称12月13日新增损失7932元。。
1696646191# #今日国债逆回购到账了，你们赚了多少钱啊！！！
1690767776# #证券板块，其实没有实质性利好。渣男特性更鲜明。
1701831765# #花近10万买彩票中2亿真实性有待确认彩票没有内幕，你们信不信，反正我是信的
1686891981# #算力概念股反复活跃，城地香江午后直线触板，浪潮信息大涨7%。。记住大盘不行，AI就依然是主角。
1691387391# #猫都比你会玩？
1694489792# #iPhone15你们会买哪款不买，等着遥遥领先的华为mate60pro+华为王炸
1687237562# #雨哥看盘超话机器人今日成主角
1695189401# #三年以后估计英伟达要被华为GPU抢走一半业绩
1703473445# #欧美股市以及港交所等64个交易所休息！。人家过圣诞节去了。。祈祷我们A股可以红一下咯！！！
1689547040# #每天早起打卡新的一天，让快乐重启，让忧虑清零。。人生最终的价值在于觉醒和思考的能力，而不只在于生存。。。~早安。
1698804773# #雨哥看盘超话白酒板块主力资金小规模流入，算机构基金们自救而已。。隆基绿能主力资金继续大幅流出。。目前为止A股任何一个高开都是为了低走。茅台涨价20%
1691630915# #A股好玩吧！！！n盟固利涨超3670%昨日暴涨，今日暴跌！！！。就这样活跃资本市场？。有没有人管啊！！！
1692625996# #央视新闻：频繁上演的“抹黑小作文”扰乱资本市场正常秩序，投资一定要擦亮双眼。。投资者哪里能分得清楚A股小作文啊！投资者要是分得清还会炒去个股吗？
1695273324# #世界八大污染事件日本独占一半，灭小日本，罪在当代，功在千秋！
1688039447# #今晚有时间给各位老铁个股把把脉，铁粉免费个股诊断喔！。摆摊诊股（仅限本条留言，不要捉急，我看到就回答，不要担心一一答复）。。个股解析点赞富三代，评论美一生。
1689392262# #【A股如何能持续啊！】。花开堪折直须折，莫待无花空折枝。。宏观数据超预期，全球股市在上涨，A股终于在沉沦中。周四的一阳改变不了三观。。资金流向7月13日证金流入39.9亿，7月14日证金流出44亿，超额流出4亿。汇总一下主力资金7月12日流出462亿，7月13日主力买入24亿，7月14日主力流出178亿。。资
1700804009# #$比亚迪sz002594$比亚迪个股破位下跌，主要是主力资金加速流出，主力资金截止净流出11.1亿。
1702878253# #宁德时代午后跌超5%，股价续创3年多以来新低。。从而反应A股新能源汽车电气化在被弱化，智能化在崛起。
1703657202# #【2023年基金冠军花落谁家？】。A股还剩3个交易日2023年底就划算亏钱的句号，基金冠军名头“花落谁家”？。预测是北交所基金吧！拔得头筹！！！还能赚点钱！。普通股票型基金中，今年以来依然获得正收益的有3只，分别为：王平管理的招商量化精选股票A（+6.76%），林庆管理的富国文体健康A（+3.88%），金笑
