1703583509# #实在是无耻
1703586562# #近日，据国家广播电视总局官网消息，国家广播电视总局批复同意在华为技术有限公司设立“超高清技术创新与应用国家广播电视总局重点实验室”。批复明确，“超高清技术创新与应用国家广播电视总局重点实验室”要围绕超高清产业链，在内容生产、传输分发、终端呈现等领域开展全链条的关键性基础性技术创新
1703578741# #【2024大机会】林园：我判断不了行情具体是涨还是跌，那个不是我要判断的东西，但是我们相信今年股市不是已经跌了吗？已经连跌三年了，那么我相信这个涨多了就要跌，跌多了就要涨，这是永恒的规律。那么，我们再结合现在的估值，我来我判断就是明年有很多机会。所以我们始终是对未来生活的向往，我们永
1701341955# #投资要顺势，趋势不可挡！
1702121587# #美国能够紧紧抓住人工智能发展的机会，主要是因为其在科技创新、资金投入和人才储备等方面具有优势。美国拥有世界领先的科技创新能力，许多顶尖的科研机构和高校都位于美国，这为人工智能的研发提供了强大的支持。美国政府和企业对人工智能的投入非常大，不仅在研发
1695604361# #【链接——
1697181943# #转发微博
1703865590# #据“全国碳交易”微信公众号消息，2023年全国碳排放权交易市场碳排放配额年度成交量2.12亿吨，年度成交额144.44亿元，日均成交量87.58万吨。总体来看，全国碳市场上线运行以来，市场运行健康有序，交易规模逐渐扩大，交易价格稳中有升，企业交易更加积极，市场活力逐步提高。股票超话
1698326647# #赞赞
1704022127# #人形机器人有望成为千亿美元级蓝海市场。随着人形机器人功能迈向多样化和普适化，产业分工日趋成熟，成本持续下探，人形机器人有望先在工商业普及，逐步拓展至家用、公共领域。根据测算分析，预计在中性假设下，2035年全球人形机器人制造和家庭服务市场规模为1103亿美元，2025—2035年CA­GR为68.6%。
1702360987# #【小米：余承东先生无端针对我司龙骨转轴技术发布不实言论与事实严重不符】“小米公司发言人”官方微博今日发文称，近日，余承东先生无端针对我司龙骨转轴技术发布不实言论，与事实严重不符。我们请余承东先生遵循“科学与严谨”的基本规则，请勿再抹黑同行、误导公众。
1702774470# #看公司经营吧。
1694734734# #转发微博
1701345203# #人生路漫漫，要依靠自己。人生中，没有人能完全替代我们去解决问题，唯有自己才是最可靠的支持。只有这样，我们才能创造出更美好的未来。让我们学会自立自强，珍惜自己，也是为了成为更好的自己。只要我们能坚定信念，努力奋斗，我们定能走到那个美好的彼岸。向前看，相信未来，每一步都是人生旅途中必
1704121129# #中金公司对2024年的10大预测：。1．中国经济：稳增长政策持续发力，经济有望企稳回升，中性偏多。。2．A股市场：政策逐步宽松，流动性有望改善，看多股票质量。。3．美国经济：美联储偏紧政策压制经济，预计美国经济面临衰退，看空美股市场。。4．美股市场：美国陷入衰退风险，资产面临挑战，看空美股市场
1702121782# #完全有可能提前。
1694734745# #转发微博
1702781462# #美国八大科技巨头，2023年收益率：。英伟达NVDA:+226%。脸书META:+178%。特斯拉TSLA:+92%。亚马逊AMZN:+76%。微软MSFT:+57%。奈飞NFLX:+57%。苹果APPL:+51%。谷歌GOOG:+50%
1703586611# #华泰证券研报指出，供给高压下，2023年猪价旺季不旺、生猪养殖端亏损期延长且短期难现盈利迹象。现金流压力叠加生猪疫病抬头的背景下，我们预计母猪产能去化趋势有望深化，24Q2或有望出现猪周期的底部拐点。不管是从市值还是PB视角，目前生猪养殖股的估值都仍处于历史底部，板块配置的安全边际较高。
1702600832# #【广西白糖现货价格创近10年新高甘蔗种植户积极扩产】眼下正是甘蔗收获的季节，从12月1日起，广西开启了新榨季。受前期白糖期货上涨影响，白糖现货价格一路飙升，一度涨到7800元/吨，达到近十年的新高。种植户告诉记者，今年他承包了900亩地种植甘蔗，由于白糖价格高，今年甘蔗的收购首付价比往年每吨
1700569989# #股票超话据中国化学官微，11月20日，由中国化学东华公司总承包的西藏扎布耶盐湖万吨电池级碳酸锂项目实现机械竣工，标志着项目全面进入试车调试阶段。该项目是全国首个锂钾资源综合开发利用一体化项目。
1701270904# #中国化学11月29日消息，28日，中国化学先进化工材料产业链共链行动大会在天津举办。本次大会以“共建产业新生态，链筑发展新未来”为主题，由中国化学和中国工业经济联合会联合主办，中国化学天辰公司承办，东华公司和华陆公司协办，旨在推动健全完善大中小企业融通创新先进化工材料产业链生态体系，在
1702121993# #对于富一代来说，家产被败光的原因99%是由于富二代乱经营。重庆力帆，尹大小姐掌权后一顿奋斗，然后力帆破产了；长城汽车，魏大小姐积极介入公司业务，然后净利润下滑大幅下滑；海鑫钢铁，儿子李兆会接班，然后欠下100个亿后人间蒸发；。辽宁盼盼集团，儿子韩国贺接班后，防盗门都不卖了；沈阳兴隆大
1695914190# #『许老板被监视，咱买的恒大人寿保单怎么办？』
1702291731# #【突然大幅拉升央企科技指数ETF成交额创历史新高】12月11日午后，央企科技类指数ETF突然大幅拉升，成交额快速放量。其中，南方央企科技ETF成交额增长尤为迅速，截至收盘，该基金收涨2.61%，全天成交额超过5.8亿元，创该基金成立以来的成交额历史新高。（中证金牛座）
1698728651# #中国化学党委书记、董事长戴和根：积极布局战略性新兴产业和未来产业。中证网讯（记者刘丽靓）10月30日，中国化学产业链融合发展推进会在京召开。中国化学党委书记、董事长戴和根表示，70年来，中国化学秉承&amp;ldquo;化工报国、化工强国&amp;rdquo;的光荣使命，勇当国家化学工业体系建设的奠基者、落实改革开
1704022409# #医疗行业重点关注个股：，万泰生物，联影医疗和乐普医疗。股票超话
1703820812# #2024年要为未来布局。这里是大底，大底，大底。未来几年内，A股将掀起一波滔天的行情，很多人一生的财富和命运将为此而改变。股票超话
1696647115# #转发微博
1696643326# #我分享了文章
1697756306# #莫言说：“一个人最可怕的不是穷，而是内耗，别人的一句话，会拿出来反复咀嚼，过度地分析、思考以及自我否定。”&nbsp;&nbsp;&nbsp;&nbsp;
1694699991# #转发微博
1704178506# #股票超话
1691471782# #转发微博
1694700520# #转发微博
1702570234# #【波罗的海干散货运价指数延续跌势】波罗的海干散货运价指数周四小幅下跌，因所有船型运价指数下滑。波罗的海干散货运价指数下跌27点，或1.1%，至2411点。海岬型船运价指数下跌30点，或0.7%，至4276点。海岬型船日均获利下跌248美元，至35463美元。巴拿马型船运价指数下跌38点或2%，至1915点，为11月中
1702873186# #空心杯电机：专为人形机器人而生，市场空间超百亿。空心杯电机相比传统电机，具备能量转换效率高、响应速度快、体积小重量轻的优点。是人形机器人的灵巧手的关键零部件。空心杯电机原本用于无人机、电动牙刷等产品，人形机器人的应用将带来百亿增量市场空间。
1702360930# #【杭州取消限价后首次土拍揽金逾133亿绿城斥资74亿竞得四宗】杭州今日迎来取消限价后首次土拍。杭州今年第十三批供地出让10宗住宅用地，总出让面积45.74万平方米，起始出让总价128.7亿元。这10宗地块中，除临安区滨湖新城地块因故提前终止出让外，其余9宗地块全部出让成功，其中，5宗溢价成交、4宗以
1703754136# #【雷军：小米已建成并投产了9100t大压铸工厂】雷军在微博发文称，小米已建成并投产了9100t大压铸工厂，自研了整套压铸岛流水线，60台设备，精准控制400多项参数。并自研了大压铸材料、小米泰坦合金。小米已成为国内唯一拥有量产压铸材料的车厂。
1702389450# #【2023年9-10月全国锂电池总产量超过185GWh，同比增长17%】工信部数据显示，2023年9-10月，我国锂离子电池产业延续增长态势。根据锂电池行业规范公告企业信息和行业协会测算，9-10月全国锂电池总产量超过185GWh，同比增长17%。电池环节，9-10月储能型锂电池产量超过38GWh，新能源汽车用动力型锂电池装
1703902529# #2024，加油！
1699523512# #到2030年，中国的消费格局将发生巨大变革。这场变革带来的结果是，服务为GDP创造的价值将超过商品，即：服务GDP&gt;商品GDP。根据摩根士丹利预计，到2030年，中国家庭人均收入将翻一番，而购买力将由35-44岁和55岁以上年龄段（1960年代出生的婴儿潮一代及其子女）主导。
1703663646# #【马斯克：全部由AI制作的电影明年将出现】马斯克日前回应一位X用户的帖子时表示，全部由AI制作的电影有望在明年出现。马斯克评论称：“AI电影明年就会出现。”股票超话
1703900252# #人型机器人走过电机械阶段、实验室智能阶段，正在向应用阶段迈进。当下主要面临的问题主要有两方面：一智能化仍满足不了实际需求；二成本仍让场景应用仍无法大规模推广。随着政策的大力扶持，以及AI的持续深入发展，叠加规模化带来的降本，人型机器人有望在未来5年加速落地。股票超话
1703639560# #【华福证券：寻找医药行业景气度回升的机会】华福证券研报指出，2024年医药行业仍是结构性行情，核心的投资机会来自景气度回升的细分板块，以及新技术、新品类创造出新需求的主题性投资机会。寻找景气度回升的细分板块，可以从以下几个方面入手：1、政策扰动结束之后板块恢复快速增长，医疗器械优先关
1702784850# #2023年，中国新能源汽车销量预计达到930万辆，电动化渗透率达到31.2%；2024年，在核心部件动力电池成本持续下降及更多、更丰富车型推出情况下，我国新能源汽车销量仍将持续增长，预计2024年我国新能源汽车销量将达1150万辆（含出口），电动化渗透率有望超过37%。其中，新能源乘用车销量为1100万辆，电
1697770641# #据报道，联想集团宣布将于10月24日至25日，举办年度全球创新盛会TechWorld。这是该活动连续第九年举办，今年的主题是“AIforAll”，将重点关注人工智能领域，并探讨联想如何设计、推动和重新定义下一代人工智能产品、解决方案和服务，以加速为企业和消费者带来真正的人工智能驱动的成果。从联想官方
1702601148# #【新品接连触及清盘线指数基金市场“换血”】随着近年来指数基金迎来爆发式增长，市场出清也在加速上演。业内人士分析，一方面，产品端同质化导致细分类别下头部效应明显，部分小微基金加速清盘；另一方面，年内权益市场行业轮动加速，指数基金作为赛道配置的重要工具，面临资金的快进快出，部分成长
1703591109# #谁又能想到？1975年，柯达公司的工程师史蒂夫.萨松在自己的实验室里创造了世界上第一台数码相机，但他的上司认为这不过是个有趣的玩具罢了，几年后，柯达公司的工程师成功研发了第一台百万像素照相机，这是在制作清晰照片方面的重大突破，但柯达公司的领导们再一次忽视了这项成就。股票超话
1702393146# #灵鸽科技（833284）北交所IPO发行结果出炉，26.85万户投资者打新，有效申购数量233.78亿股，冻结资金约1309.2亿元，申购倍数1640.6倍，获配比例为0.06%。中签率创新低，北交所市场氛围变化如此之大出乎意料！
1704036225# #日前，国务院关税税则委员会发布2024年关税调整方案。2024年1月1日起，我国将对1010项商品实施低于最惠国税率的进口暂定税率。主要包括，降低部分先进制造业关键设备和零部件的进口关税；对部分抗癌药、罕见病药的药品和原料等实施零关税等。与此同时，根据我国与有关国家或者地区签署的自由贸易协定和
1702291536# #【理想汽车：11月提前达成全年目标，本月挑战月销5万辆目标】据理想汽车官微，在刚刚过去的2023年11月，理想汽车销量达4.18万辆，凭借理想L系列三款车型，理想汽车连续两个月销量超过4万辆。理想L9月销量1.22万辆，理想L81.27万辆，理想L71.69万辆。11月，理想汽车提前达成全年目标。12月，我们将继续
1703679634# #截至今天，A股涉及中药的上市公司分布情况为:主板的有88家、中小板的有43家、创业板的有30家、科创板的有4家。股票超话
1702132140# #转发微博
1699148000# #转发微博
1703577889# #认知变现的最短路径是股市！财富是认知的变现，而股市是把认知变现成财富的最短路径。
1701342115# #中国赞
1702570326# #【国家金融监管总局：一视同仁满足不同所有制房地产企业合理融资需求】国家金融监管总局党委书记、局长李云泽主持召开党委（扩大）会议。会议强调，稳妥防范化解重点领域金融风险。坚持目标导向、问题导向，坚决打好攻坚战和持久战，牢牢守住不发生系统性风险的底线。把握好时度效，有序推进中小金融机
1703639530# #【经济性显现，绿氢项目有望迎开工潮】“随着风电光伏装机大幅增加，2023年上网波谷电价降低到0.15元/KWh，使电解水制备绿氢的成本接近煤制氢成本，比预期提前5年进入经济性成本空间。”12月26日，中国科学院院士欧阳明高在新能源科学论坛2023上表示。业内人士表示，今年以来，绿氢应用限制陆续开放，2
1703586587# #据科技日报，美国马里兰大学研究人员开发出一种固态钠电池架构，其性能优于目前的钠离子电池。通过使用钠金属作为负极以获得更高的能量密度，该电池实现了创纪录的室温下固态钠—金属循环率。而且，电池使用更稳定的陶瓷电解质，降低了易燃性风险。业内人士认为，随着电动汽车和储能市场的快速发展，钠
1703640593# #【宁德时代：公司将推出凝聚态电池的车规级应用版本】宁德时代12月26日在互动平台表示，公司发布了凝聚态电池，正在进行民用电动载人飞机项目的合作开发，执行航空级的标准与测试，满足航空级的安全与质量要求。同时，公司还将推出凝聚态电池的车规级应用版本。股票超话
1700876931# #中国人口老龄化可以对应3大投资机会:。一是生产端降本增效带来的产业趋势:人工智能、工业机器人、自动化、半导体设备、精密仪器、IT等高端制造和高科技；。二是消费端的“银发经济”与“单身经济”：医疗及护理、加工食品、宠物消费、便利店等；。股票超话三是应对人口达峰的政策红利领域：辅助生殖、
1691745591# #转发微博
1702291551# #【中汽协：预计2023年汽车总销量3000万辆、2024年总销量约3100万辆】在今日举办的2024中国汽车市场发展预测峰会上，中国汽车工业协会副总工程师许海东表示，2023年汽车总销量3000万辆左右，同比增长11.7%。其中乘用车预计2600万辆左右；商用车预计400万辆左右；新能源汽车预计940万辆左右。中汽协同时
1700010853# #英伟达发布最新AI芯片H200或将成为其史上最赚钱产品之一。相关概念股：昌红科技(300151)、江丰电子（300666）、普冉股份(688766)、寒武纪(688256)
1702347282# #【凌云光：依托“视觉+AI”核心能力打造视觉器件、视觉系统、智能视觉装备等多元化产品】凌云光在投资者互动平台表示，公司是机器视觉行业的先行者，依托“视觉+AI”核心能力打造视觉器件、视觉系统、智能视觉装备等多元化产品，应用于消费电子、新能源、印刷包装、新型显示、文化元宇宙等多个行业的智
1702858497# #股票超话12月15日，茅台集团召开党委（扩大）会议，会议强调，要坚持全面深化改革，扩大高水平对外开放，增强核心功能、提高核心竞争力，做好国际化战略，用好对外开放平台，推动茅台高质量发展、现代化建设不断取得新成效。要深入推进生态文明建设和绿色低碳发展，聚焦“双碳”目标，走好“绿线”
1703586925# #人工智能不同于人类在这个星球上短暂的生存时间内开发出的任何工具。人类不仅仅使用人工智能，也将会被其改造，人类将被技术所改变。股票超话
1702570266# #【京沪、京广高铁部分列车限速运行】北方地区持续降雪天气，不仅导致部分列车停运，正在运行的列车也采取限速措施。京广高铁、京沪高铁部分区段限速，部分列车因此晚点运行。记者从国铁济南局了解到，受降雪影响，京沪高铁德州东至济南西间采取限速运行措施，途经上述区段的列车出现不同程度晚点。国铁
1703247788# #人形机器人并不是新概念，AGI赋予人形机器人理解和思考的能力。大模型的突破带来了产学界对人形机器人的天花板认知。股票超话
1694785470# #转发微博
1700028885# #三年一遇：全球性超级题材——Cybertruck。随着特斯拉11月30日Cybertruck正式生产交付，另一个全球超级题材将出现，保守估计量产成熟后Cybertruck年市场规模将超10000亿，全球产业共振，有望产生大量翻倍牛股。参照华为汽车产生了赛力斯这样的十倍股，上一波model3/Y产生了力劲科技这样的百倍股。这次
1702392910# #【中基协：11月新备案私募基金数量1573只新备案规模481亿元】据中基协官微消息，2023年11月，新备案私募基金数量1573只，新备案规模481.09亿元。其中，私募证券投资基金1025只，新备案规模198.5亿元；私募股权投资基金192只，新备案规模150.69亿元；创业投资基金356只，新备案规模131.9亿元。截至2023
1702958919# #“放弃向他人证明自己，。放弃向自己证明自己。。专注忘我地去做你应该做的事情，。心无旁骛地去解决问题。。当你脚踏实地的走自己的路时。那种拼命想要证明什么的冲动就会越来越少。。你也会因此变得轻松、自由。”。——查理芒格
1704038010# #赞
1702858187# #股票超话美国方面，拜登突然“打脸”特朗普引发舆论关注。当前，美股市场持续疯狂飙涨，道琼斯指数强势斩获7连阳，持续刷新历史最高纪录。当地时间12月15日，美国总统拜登在社交媒体平台上发布了一段新的竞选视频，展示了道指创下历史新高，以嘲讽“老对手”特朗普。因为特朗普曾在美国2020年总统
1702389368# #【拓维信息：已深入参与多处人工智能计算中心建设】拓维信息在互动平台表示，公司作为中国AI算力的主要提供商之一，已深入参与了多处人工智能计算中心建设。
1702355939# #【美商务部长：正与英伟达讨论对华销售AI芯片问题】据台湾《经济日报》网站12月12日报道，美国商务部长雷蒙多表示，美国政府正与英伟达讨论允许向中国销售AI芯片的议题，但强调英伟达不能把最先进的芯片卖给中企。她还说，美方正仔细研究英伟达正在为中国开发的三款AI芯片的细节。
1702778586# #由ChatGPT所带来的新一轮人工智能热潮迅速。席卷全球，可以被看作是推动数字经济时代。生产力范式变革的标志性产品。人工智能的。广泛应用将给人类未来的生产和生活方式带。来巨大而深远的影响,并有望作为新的底层通。用技术，点燃第四次科技革命！
1703577976# #转发微博
1697160950# #中国化学签署全球最大甲醇项目，总金额650亿元。10月8日，中国化学工程集团有限公司（中国化学，601117）公告称，近日，中国化学全资子公司中国化学工程第七建设有限公司与俄罗斯波罗的海甲醇有限责任公司签署全球最大甲醇项目FEED+EPC（前端工程设计+设计、采购、施工）总承包合同，合同总金额84亿欧元
1702776647# #片仔癀市值1425.3亿，市盈率50.46；。。同仁堂市值704.5亿，市盈率38.85；。。寿仙谷市值65.49亿，市盈率22.82；。。广誉远市值143.8亿，市盈率亏损！
1702858149# #东方甄选“小作文”事件迎来大结局。东方财富超话。12月18日凌晨，东方甄选微博账号发布直播预告称，俞敏洪和董宇辉将于18日晚8点进行直播。海报显示，董宇辉的身份将从“带货主播”变为“东方甄选高级合伙人”。此前，俞敏洪在直播中称，未来董宇辉一定会有话语权。
1696123105# #长寿命锌离子电池研究获新进展股票超话
1695369657# #转发微博
1704093436# #2024年有望成为AIPC元年『中信建投：2024年度二十大预测』
1694785408# #转发微博
1704037145# #未来5到10年内，中药板块市值一定会超越白酒市值，而且我也很赞同一个观点，就是中医药板块一定会有超越茅台市值的公司，并且不是一家；目前中药板块总市值不足1万亿，白酒市值近4万亿（高峰时6万多亿），中药牛市，中药ETF空间也是非常巨大。股票超话
1701332265# #$阿波罗实盘(SP1001326)$作为华为云重要生态伙伴，东方通于2019年7月开始推出全国第一款兼容鲲鹏生态的应用中间件，逐步实现多款核心中间件产品实现华为产品生态的兼容适配，为进一步加快国产中间件自主创新发展。2023年初，华为云联合东方通打造了东方通应用服务...。来自东海飞猪的讨论
1696604259# #转发微博
1703577213# #房价真的会便宜如葱吗？如果一个产业失去了成长性，在股票市场里就会拿股息率来估值，房子也是一样，会拿租售比来估值，当然有些地方没有租金收益，那么就会没有买卖价值…一个现实，房地产不要想着还有红利了，只有真实的需求，而财富一般都会在红利爆发的过程中，越积越多，产生泡沫...房地产成功完
1698840864# #海通证券11月1日发布研报，维持中国化学股票超话优于大市评级，目标价区间10.19~11.21元。截至报告日，公司最新收盘价为6.94元，较目标价有46.83%~61.53%的上行空间。海通证券预测，中国化学2023年归母净利润62.27亿元，同比增长14.99%。
1702179801# #我国最大的茶叶市场广东芳村茶叶市场又出现了一起金额可能涉及上亿元的“金融茶”崩盘，而且可能还是疑似90后操盘的。。“金融茶”看这个名字你就知道，茶叶不是喝的，是炒作的。。经济观察报报道：芳村茶城一个新茶叶公司，连续推出4批茶叶，都“暗中有...。来自青春的泥沼(雪球十年知己)的讨论
1702291786# #【李斌回应蔚来与合肥对赌1200亿：没有这回事】9日，蔚来创始人、董事长、CEO李斌表示，蔚来汽车和合肥政府不存在对赌协议，“被过度解读了”。此前曾传对赌条件之一是2024年蔚来汽车营收要达到1200亿元，同时上市至少六款新车型。李斌表示，蔚来在与合肥政府签订合作之后六个月就回购了一部分股份，20
1703658277# #开心就好
1701790079# #转发微博
1704095088# #当下，大A经过近三年的调整（隔壁香港更是调整了四年），各个板块的资产都全面低估，上证指数最低也到了2800+，即便不是立刻，但也差不多是时候重新开始进行新一轮的牛熊周期了。在这个时候，如果是脑子里深深有装着周期思维的人，只会非常兴奋而非恐慌，一个真正把投资做透的人，是真的可以做到越熊越
1704022222# #人形机器人是人工智能技术的主要载体，让人类能够更直观地体验先进的人工智能技术。当前以人形机器人为代表的新技术、新产品蓬勃发展，已成为全球科技竞争的新高地、未来产业的新赛道、经济发展的新引擎，随着商业化落地加速，我国人形机器人产业未来发展潜力巨大。建议关注个股：汇川技术、禾川科技、
1703592026# #机器拥有的学习能力和适应能力是人工智能的标志。
1698662650# #基因治疗（Genetherapy）是指将外源（正常或野生型）基因导入靶细胞，。以纠正或补充因基因缺陷和异常所引起的疾病，从而达到治疗疾病目的的技术方。法。基因治疗的概念存在狭义和广义，狭义上来说，是指采用具有正常功能的基。因置换或增补患者体内具有缺陷的基因，从而实现疾病治疗的目的；广义上来说
1702121973# #被骗了上千年，才知道那些被“阉割”过的名言后半段才是精华：。1、娶妻不贤毁三代。。完整版：娶妻不贤毁三代，嫁夫不好毁一生。。2、未经他人苦，莫劝他人善。。完整版：未经他人苦，莫劝他人善。你若经我苦，未必有我善。。3、百善孝为先，万恶淫为首。。完整版：百善孝为先，论心不论迹，论迹寒门无
1704037503# #600329达仁堂（原中新药业）深度回调，2023年6月份最高股价55.14元，最低回调至28.65元，最高点回撤下来近50%，达仁堂拥有百年的历史，公司全面布局“三核九翼”中短期战略规划和“1+5”中长期战略布局，公司按照十四五发展规划，计划到2025年公司的核心独家产品“速效救心丸”力争突破20亿；通脉养心
1701736659# #11月各汽车品牌销量数据：。。比亚迪11月新能源车销量达30.19万辆，今年累计267.2万辆。。吉利11月总计销量超20万辆：包含纯电车型35329辆、插混车型29705辆。。上汽集团11月新能源汽车销量超过15万辆。。广汽丰田11月销量76880台，凯美瑞1-11月累计销量超20万辆。。五菱汽车11
1699523701# #下一个十年里中国消费市场变化的一个重要特征是服务类消费超过实物类消费。我们预期：机构化的服务（教育，集成平台，医疗保健，养老服务，医疗保险，供应链管理），智慧生活（数字化物业管理，智能家居，和电动汽车），生活体验增强服务/产品（情感伴侣类，比如宠物，玩具，康复医疗服务，服务机器人
1703591353# #如果你害怕或拒绝人工智能，就会像柯达公司一样，最终走上一条黑暗的道路，接受人工智能，也是在拥抱迎接一个你无法想象的未来。
1704037026# #中药板块目前73家上市企业，总市值9927.1亿元，不足万亿，目前的中药就是14、15年的白酒，未来10到30年，肯定会走出百倍以上的企业，人口老龄化的时代，中药相对于西药来说，治未病、调理、保健养生等市场空间巨大；股票超话
1702601134# #【中金：碳化硅2024年有望迎接大规模放量】中金公司研报指出，近期，随着多款搭载800V平台的车型发布，以及头部材料厂商扩产计划超预期，碳化硅产业链迎来频繁催化。我们认为，需求端新能源车+光伏上量与供给端良率突破或于2024年迎来共振，碳化硅有望迎接大规模放量；国内厂商产能规划亦积极，提升了
1704023381# #未来2024年人形机器人很有可能在机器视觉（用户定位物体），本体触觉（触摸与非触摸物体），以及触觉认知模型三个方面获得突破。股票超话
1693154643# #『买重疾险，其实可以这么简单的』
1703639690# #莫言说：。精神上的慰藉，。胜过物质上的给予，。心灵的相通，超越距离障碍。。最深的感情，就是让一个人住进你的心里，。空闲下来的时候，就是你心灵的归宿，。忙碌起来的时候，是你前进时的动力。。幸福是一种感觉。总会有一个人出现，。给你久违的安全感，温暖你的世界，。弥补你所有的遗憾，让你觉得人间值
1702291825# #【海天瑞声：大模型向多模态发展后将会产生更多新型数据需求】海天瑞声近日接受机构调研时表示，大模型向多模态发展后，将会产生更多的新型数据需求。例如文生图的多模态大模型，通过文字输入生成对应图片，这就需要机器理解文字语义的同时将理解的关键词与图片的关键标签进行映射，通过对齐两种独立
1694668206# #转发微博
1697765596# #终于破3000点了
1695056432# #转发微博
1696647092# #转发微博
1702132160# #转发微博
1696604213# #转发微博
1704022623# #人形机器人是信息制造、材料、能源、生命科学等技术的集大成者，已成为世界主要国家科技竞争的新赛道。股票超话
1695899871# #看一个图就可以，没那么复杂。。2019年订单2272亿元，引发质变，主要是俄罗斯的千亿大单。。2020年订单2512亿元继续高增，主要是国内订单爆发。。它订单落实到营收和利润，一般3年左右。。所以，我们看到2019年它营收突破千亿元，是由于完成了2017年以前的订单造成的。。...。来自会文清风的讨论
1702864173# #股票超话12月17日，俞敏洪现身第四届中国职业教育发展论坛，针对近期的东方甄选他表示，“随着现代社会的发展，老板必须心甘情愿的为员工打工，方向一致，就变成合伙人关系。”他进一步称：“如果员工有能力，他又有自己的方向，你不希望这个方向，那就好好分手。”。俞敏洪认为，东方甄选出事原因
1703586628# #中信证券近日研报指出，行业周期角度，海外大厂稼动控制下存储供需逐渐改善，主流存储价格23Q3起持续回暖，并在Q4带动利基存储价格触底回升，我们看好产业链细分龙头23Q4随库存去化、需求逐步回归迎来业绩底部复苏，看好国内存储产业链周期复苏叠加国产化趋势下的投资机遇。
1702305139# #转发微博
1702787083# #读的书走的路见的人经的事越多，才越发觉自己知道的太少，而人只有知道自己无知之后，才能从骨子里谦和起来，不再孤芳自赏，不再咄咄逼人，不再恃才傲物，因而也不会再去强迫别人接受自己的观点。所以说，人总是越活越平和，称之为成长，成长是什么？就是慢慢像尊重自己一样尊重众生。
1697813052# #转发微博
1702388083# #【中指研究院陈文静：预计房地产企业端资金支持政策有望细化落实】中央经济工作会议提出，积极稳妥化解房地产风险，一视同仁满足不同所有制房地产企业的合理融资需求，促进房地产市场平稳健康发展。中指研究院市场研究总监陈文静对此表示，积极稳妥化解房地产风险仍是2024年的重要目标，当前房地产风险
1703591904# #传统的计算机将永远仅仅是任务的接受者，而真正的人工智能可能成为有自主意识的电子产品。
1696681222# #10月7日电国家外汇管理局7日发布数据显示，截至2023年9月末，我国外汇储备规模为31151亿美元，较8月末下降450亿美元，降幅为1.42%。外汇局相关负责人介绍，2023年9月，美元指数上涨，全球金融资产价格总体下跌。汇率折算和资产价格变化等因素综合作用，当月外汇储备规模下降。（记者刘开雄）
1703577923# #悲观是远见，乐观是智慧。持有优质股权资产，长期表现远好于持有现金货币。机会在悲观中酝酿，或许一轮吃饭行情已经在酝酿中。
1698388998# #秋冬科学健身跑步，锻炼的同时也要保护好自己哦！国潮户外新生活
