1688176316# #新能源车电池竟然长这样。
1688336120# #大运会火炬在成都传递，首棒火炬手吴敏霞这样说：希望参赛选手敢于有梦、勇于追梦、勤于圆梦。
1690733892# #暴雨过后洪水将两只鸡冲走！
1687090049# #男性晚睡有五大好处。今日灼见科普灼见来源：快乐天使—张灵敏
1703651875# #东北限定绿皮火车，还是东北人能整活儿？
1693395716# #餐厅后厨煤气泄漏导致起火，火焰顺着下水道迅速蔓延。危急时刻工作人员迅速关闭阀门，化解危机。
1696750063# #个子不高的她让五星红旗高高升起，为“袖珍棋王”左文静点赞！
1701558467# #公交车坐半道上司机下车啃甘蔗，女子一脸懵，下车问询，司机：没看到车上还有人，允悲允悲允悲
1692241542# #如果是你，你最喜欢哪个岗位？
1699450922# #【15年后他代父亲续拍敬礼娃娃故事心】2008年，记者杨卫华在汶川地震震区，他第一个发现在废墟中哭泣的小郎铮。随后，杨卫华与八名解放军战士一起将小郎铮救出，并拍下了那张著名的“敬礼娃娃”照片。今年，18岁的郎铮走出高考考场的瞬间，被杨卫华的儿子、记者杨博定格。自杨卫华去世后，郎铮每年
1688964641# #近日甘肃庆阳。男子被要28万8彩礼，写信给县长求整治，当地回应：将以此事为切入点抵制高彩礼。有人就说了，彩礼给多少都是双方的事，跟别人没关系。你觉得抵制高彩礼会奏效吗？
1687054383# #“人真的会在某一瞬间，一把火烧了心中所有执念”
1691051425# #8月3日，河北涿州。女子跪谢救援队。
1693211505# #好厉害满级萌娃画荷塘鱼戏图。
1703566594# #新疆大哥骑马倒马粪，操作丝滑堪比自动翻斗车，网友：这比倒马入库难多了。
1696390850# #自带清冷感的国风女儿。
1701233360# #【转起！中国CPU无需依赖任何国外授权技术新一代国产CPU正式发布】今天，一项重大的科技突破在北京发布，那是一款由我国自主研发的新一代国产CPU——龙芯3A6000。这款CPU的诞生标志着我国在信息技术领域又迈出了重要的一步，它不再依赖任何国外授权技术，完全是我国自主研发、自主可控的新一代通用
1697279168# #人民视频10月14日发布，近日黑龙江哈尔滨，“400斤大白菜、200斤葱”东北一年一度囤秋菜名场面来啦，这可是大东北独有的仪式感！
1700234573# #【鼻子酸了！抱一抱老人不会线上支付用现金给孙子交生活费：老人掏出一张张现金为孙子交生活费】11月14日，河南南阳。一位老人因为不会使用智能手机，便来到学校用现金为孙子缴纳生活费。这一幕被一旁的张老师记录了下来，“在他身上好像看到了自己的爷爷”。网友：他的微笑让我的眼眶红了。
1699057947# #男子路过幼儿园跟老师“告状”，角落里躲了个小男孩。男子：路过时看到他正冲我笑。
1687915570# #女生和自己证书合影：荣誉证书也许不能说明什么，但代表了我大学生活一直积极乐观！
1698221917# #消防员出警遇小学生放学，“迷弟们”上手摸肱二头肌，消防员：这把秀到了！
1687179728# #这波操作,河里的鱼虾都蒙圈了,网友：得到青蛙真传,太标准了。
1698452341# #医护人员试图抢救一名从废墟中救出的巴勒斯坦婴儿。
1698408661# #亚残运会有哪些硬核科技亚残运会的“硬核”科技你认识几个？多种硬核黑科技亮相亚残运会亚残运会上的助残黑科技
1697281812# #网友拍下自家闺女日常，此女已偏离淑女文静的轨道。被这个宝宝惊艳到了
1689548098# #7月15日，河南。女子晒自己有善良的公婆“为了夜里让我睡好，婆婆选择和我睡给孩子泡奶”女子:公公也从来不进我的房间。
1689944121# #师傅给船抛锚像在点炮仗，一锤砸下去赶紧跑开，网友：这玩意儿要怎么收回来？
1689727693# #居民家厨房起火，邻居小伙冲了过来......为小伙点赞goodgoodgood
1694105244# #七旬老人消防队门口摔倒，站岗消防员立即冲了上去实施紧急抢救。
1691316758# #河北保定一县领导深入一线，现场对村民做出承诺。
1700270554# #五菱星光开启预订。五菱星光五菱星光超低能耗
1701912084# #你永远可以相信中国消防【她拼命拍打车窗想叫醒沉睡车内儿子】近日，天津西青，一辆轿车停在路口红绿灯前，司机陷入深度睡眠，交警叫醒无果后，恐其发生意外报警求助并联系司机家属。赶赴，破拆前尝试让家属大声呼喊男子，通过努力最终将其叫醒。经了解得知，原是男子姥爷过世，操办丧
1691671182# #超硬核！国家电网直升机空降吊装铁塔，恢复灾区供电。
1689084753# #怕轮椅上的爸爸后仰摔倒，用头顶着爸爸后背，小小男子汉，真暖心！被这个宝宝惊艳到了
1700225943# #2023年电影总票房突破500亿元我国2023年电影总票房突破500亿！今年大热的电影，你看了哪几部？
1702779578# #不要让千年传承冠以他人姓名！自己的文化要靠自己守护。曹县汉服将传统非遗与汉服巧妙结合，让全世界看到属于中国的美！
1698746577# #【心中埋下一个航天梦！心小学生扮航天员发射5枚自制火箭模型】10月31日，神舟十六号载人飞船返回舱安全降落。同一天，湖南长沙市沙湖桥小学举办了第23届校园科技节。德育主任黄老师表示，孩子们自制的神舟十七号火箭模型、科幻画、太空主题的帽子等布满了各个角落，同学们还扮演航天员点燃自制的5
1691924255# #国防科技大学车站霸气接新生，“终于见到什么叫一身正气！”
1703655802# #【小米汽车向华为比亚迪致敬汽车界新篇章即将开启】。。在新能源汽车行业，中国企业正凭借实力与智慧引领着未来的变革。今日，雷军的一则发文引起了广泛关注，他表示深知汽车工业之复杂，开拓之不易，并向中国新能源汽车行业先行者致敬。其中，他特别提到了向比亚迪、蔚来、小鹏、理想、华为和宁德时代
1698976327# #今日灼见的精选超级购物节清单好物分享2022新款洗碗抹布不掉毛不沾油清洁洗碗巾厨房吸水加厚擦手毛巾厂。【推荐理由】这款2022新款洗碗抹布采用高质量材料制成，不掉毛不沾油，能够彻底清洁厨房中的餐具和锅碗瓢盆。加厚设计使其更耐用，长时间使用也不会磨损。同时，它还具有良好的吸水性，能
1692778861# #七夕直播近6小时仅12对新人领证？民政局：有77对，还有离婚的。今日灼见到底多少对结婚的，多少对离婚的，既然公示，为什么不把大家关心的焦点讲清楚？说还不如不说。来源：澎湃新闻
1688519256# #终究还是拗不过女孩子呀~😂今天这个牙不掉是不行了
1688380401# #遇到狗狗吃醋真没救了。警犬看到教官抱着小奶狗，吃醋地躺在地上耍起无赖，平时威风堂堂的警犬也有这一面。
1689566904# #家人探望住院的弟弟，聊得其乐融融，弟弟：有你们是我的福气！
1699764752# #爸爸的小棉袄，太暖了吧！
1688899321# #惊险一刻！小男孩海边玩水险些溺水，安防大哥及时跳入水中救出孩子，上岸后怒斥家长:你们是怎么看的！
1700983613# #让人泪目的父爱。
1698492395# #小女孩自信展示蒙古舞，这舞感是与生俱来的吧！
1696834302# #两岁三个月零五天的萌娃，自己夹青菜吃。不挑食，做啥吃啥都津津有味的。
1697682127# #第三届“一带一路”国际合作高峰论坛开幕式，习近平主席主旨演讲后，全场响起长时间热烈掌声。（央视新闻）
1697777043# #10月18日四川，男子给父母盖的养老房完工。（京山融媒）
1687824173# #25岁贵州女孩朱某菲在青岛旅游期间失联一事引发关注。从朱某菲弟弟处获悉，他的姐姐在海上被找到，人已经不幸去世。
1698081689# #10月20日，河南，秋收冬种，女孩起早贪黑开拖拉机犁地。
1694498110# #丈夫为刚出产房的妻子送上鲜花，跪在地上为妻子穿上袜子和鞋，妻子感动落泪。
1690674437# #乘车遇到孩子吵闹，列车员多次提醒无效！一名乘客挺身而出，他的话赢得了在场很多乘客的鼓掌！
1697543537# #这就是小孩姐的实力吗？来源：青春浙江
1702964432# #甘肃临夏州积石山县发生6.2级地震，多种救援力量全面抵达灾区。（央视新闻）
1697380097# #生活简单就迷人，人心简单就幸福！
1702053409# #你真是不知足！
1689896127# #事物都有尽头，唯有思念没有尽头。男孩路过外婆生前住过的房子，突然要下车过去，朝着大门的方向给外婆磕了几个头。网友：有孝道的孩子，将来必成大器
1699359926# #孙子依偎在奶奶怀里像小时候一样跟奶奶撒娇。
1699245612# #南部战队海军，40对新人举办集体婚礼！
1697814001# #以前心心念念的东西，现在不想要了，以前较真的事情，现在不在乎了，很多事情并没有想象的那么重要，当你看透一切的时候，失去比拥有更踏实！
1694335077# #【幼儿园孩子奔赴老师现场有多燃】幼儿园是幼儿展翅翱翔的起跑线，老师是幼儿茁壮成长的护航者。在安康某幼儿园有这样一位和蔼可亲，尽职尽责的老师，她就是叶永林教师！她每天早早的在学校门口迎接孩子们的到来，在学校里更是尽到老师的职责，可以说对孩子的关心做到无微不至！孩子们的健康成长与
1694783027# #在易建联退役仪式上，姚明细数了曾经的点滴，听得感动也感慨。再见阿联，更祝福阿联！
1699396685# #今日灼见的精选超级购物节清单好物分享心相印玫瑰手帕纸10包1条出行便捷随身装餐巾纸面巾纸卫生纸纸巾。【推荐理由】心相印玫瑰手帕纸，柔软舒适，质量可靠。一条手帕纸能搭配十包手帕纸，数量足够使用一段时间。不仅适合出行，还能随身携带。手帕纸既可以当作餐巾纸使用，还可以当作面巾纸和卫
1691123605# #他们也不过是个孩子，却每天冲在最前面，辛苦了，生日快乐！你永远可以相信中国消防
1703734191# #【因病少上1天班没了年终奖？法院：不能生硬执行规章制度】。。近日，一则关于年终奖的新闻引起了广泛关注。江苏的彭女士在公司从事后勤工作，去年底因病发烧，但因人手不够坚持带病工作，期间多次与公司协商，希望安排自己休息，无果后于12月29日辞职。此后，彭女士提起诉讼，要求公司支付年终奖。。。
1689434195# #7月15日（发布），山东滨州。令人羡慕的隔辈亲！孙子见到爷爷奶奶开心呼喊，奶奶一把将孙子抱起。
1697100478# #被记录真的是一件幸福的事情。
1692838558# #8月22日（发布），西藏，边境检查站警察用塔黄激励自己。“为了一次盛开扎根石缝数十年。”
1698805907# #航班遭鸟击机组带173名旅客安全返航【广西一客机遇险驾驶舱对话满满安全感】8月26日，长安航空一执飞广西梧州至海南三亚的飞机，在起飞离地的关键阶段遭遇鸟击，随后出现飞机仪表空速、高度、迎角不一致多重警告，左座驾驶杆持续剧烈抖动，右座驾驶杆几乎扳不动，驾驶舱内警告声四起，飞机面临失控
1702343836# #极致玩雪都要溢出屏幕了！
1700231601# #【抖音付费短视频只能看7天】花钱看短视频会成为趋势吗知识付费延伸到短视频了？这对短视频博主来说可以增加收益，但对于普通用户来说，就是要改变习惯了。抖音于近期测试视频内容付费服务，即用户在平台观看部分视频内容时，需要付费才能解锁全部的内容。值得注意的是，与抖音短剧付费后是可以永
1697170463# #接福的你好运要来到，人静，心安，福来。
1697946095# #老人重病即将离世，儿子带着孙子孙女赶到医院见老人最后一面。
1690986345# #你永远可以相信中国军人万余名村民被困近三天。危急时刻，总有一种安全感叫作“人民子弟兵”！致敬守护，祝福救援顺利，一切平安！来源：人民日报、央视军事
1703648121# #韩国演员李善钧在车内自杀，此前因涉毒被警方审查19小时，曾主演《寄生虫》。
1688466618# #持续强降雨致万凉铁路桥梁部分垮塌，运营受影响。愿平安🙏🙏🙏
1699692651# #宝宝两三个月没看到爷爷奶奶，再见面兴奋地满屋乱跑。
1701387133# #【因航班提前抵达，访问卡塔尔的德国总统干等半小时】当地时间29日，德国总统施泰因迈尔访问卡塔尔。据德新社报道，施泰因迈尔所乘坐的飞机比原计划提前抵达，尽管红毯和仪仗队已准备就绪，但卡塔尔外交事务国务大臣穆莱基暂未抵达。施泰因迈尔在机内等待了将近30分钟后，穆莱基前来迎接。据报道，卡
1697188584# #宝宝:原来蛋糕是这个味道啊！
1690176389# #男子试验扛个梯子能否进入景区，没想到真的畅通无阻。
1692335001# #女儿记录下这心酸一幕！大儿子患先心病15年前去世，小儿子又在一个月前意外离世，母亲端着饭碗默默流泪食不下咽。
1699484379# #男孩用心准备惊喜，满树雪爱心让女孩动容，网友：趁青春还在，一抱到“白头”。
1697000485# #股民亏钱的原因找到了。
1696402133# #少年轻生挂21楼，辅警徒手连凿11拳救下。事后发现，辅警孟金龙德两根手指骨折，手掌骨裂。
1696528182# #亚运冠军林雨薇回老家，敬酒给大家。
1692268325# #萌娃爬山，身上停满知了。
1698658459# #【买齐一年日用品要多少钱】马上要到“双十一”了，你有没有算过一年的日用品要花多少钱呢？我们首先需要确定你在一年内所需要的日用品清单。例如，纸巾、洗衣液、洗发水等，这些都是生活中必不可少的日用品。然后，我们需要计算这些日用品的总价。。。以每年需要购买4380张纸巾为例，每包纸巾按100张
1691995258# #有医院院长收受100套房7月中旬以来，监管部门连续三次表达对医疗反腐的决心，国内医药反腐风暴再次升级。截至8月12日，今年全国至少已有176位医院院长、书记被查。根据裁判文书，曾轰动一时的云南省第一人民医院原院长王天朝收受了100套住房，此外，他还收受汪某贿送的股权、人民币50万元等，收受张
1687057412# #天下父母都想望子成龙，拿到录取通知书这一刻，所有的辛苦都是值得。
1688335411# #法国大规模骚乱已蔓延至瑞士，瑞士洛桑夜间爆发骚乱有7人被拘捕，其中6人是未成年人。
1701129950# #八3班王梦惠太牛了！女生一人连续拿下9张奖状，让发奖状的老师措手不及。
