1562483710# #《山楂树之恋》，很泪崩的一部电影！其它的影片没有在意。
1576220240# #《儿子意外被狗咬伤，父亲把狗打成重伤，结果父亲变成“名人”》我和7.8万人都在看，快来一起围观
1547908589# #跟新浪看热点我在看【捷克总统：中国取消两国政府间经济合作会议】
1558989331# #分享图片
1570373941# #今天的特大喜讯，狼堡在伊蒂哈德曼城主场战胜了不可一世的英超冠军！
1578939894# #职业足球教练属于高危职业，光有职业精神还远远不够，更多的要求是以成绩给俱乐部带来金钱利益。
1549563963# #看过这场直播，戈洛塔就波兰一精神病患者，经常情绪失控。在与泰森的拳击交锋中，两回合后拒绝比赛，教练再三劝阻也无效。据说戈洛塔的出场费被扣去不少。
1610761679# #现在的学生接触的东西与我们小时候不一样了。
1549672637# #转发微博
1557438083# #《外媒：神秘中国商人李勇鸿怎样失去了AC米兰？》来源：凤凰国际iMarkets来源：FT中文网作者：英国《金融时报》雷切尔？桑德森詹姆斯？丰塔内拉汗...
1551363538# #我记得卧铺没这么大。
1552017839# #《岳云鹏《我的诈骗生涯》初中被开除理由搞笑了，真的还是神人啊！》好看视频-分享美好，看见世界
1589113736# #《男子借朋友46万，迟迟不还，朋友起诉后竟被终止案件？》此视频已有8.4万次播放，快来一起看看！
1548788409# #跟新浪看热点我在看【刚才，中国再嚗大动作，世界瞠目结舌！】
1547297437# #大概是位男护士吧！感觉是。
1551754612# #类似打油一般的通俗易懂，朗朗上口特别得劲赞赞赞给力给力给力心心心
1549780712# #种子发芽是为了寻找阳光，她懒懒地从花盆里伸出身肢，承接生命的呼唤，与自然相映成趣。。花盆久弃于阳台的一角，有它没它早已不入我的视野。刚才偶尔发现不知哪儿飞来的一枚种子居然发芽了，这大概就是人们所说的生命的奇迹了。。春天到了吗？寒风裹着雨夹雪，在年味未尽的窗外肆虐。。天下总有不散的宴
1579759619# #《贾冰爆笑吐槽王晶，你是拍电影吗，你是拍拖吧！》此视频已有8万次播放，快来一起看看！
1578448083# #瓦房店法医出据的司法鉴定涉及证明造假，挹注真正的杀人犯逃脱法律的制裁，这案件涉及到的后果太大。法医肯定受到公安局上级领导的胁迫，才伪造了鉴定结果，至于去殡仪馆偷割当事人器官，也是五年的刑责，数罪并罚，十五年官司逃不了。
1577102588# #分享图片
1566787723# #唱的什么啊？嘴里含着个大橄榄核，吐掉再唱不行啊
1547610669# #《美国为贸易战付出代价》好看视频-分享美好，看见世界
1554245071# #转发微博
1563119165# #《周群爆笑方言小品又来啦！黑暗料理拔丝老鳖卤榴莲把阿进害惨了》我和3.1万人都在看，快来一起围观
1553451915# #PP体育奥预赛-国奥8-0菲律宾取两连胜张玉宁2射1传胡靖航双响
1561599122# #把这位伪男拉出去阉了！
1549302342# #特朗普又给自己找“政绩”：他准备结束朝鲜战争(分享自
1551487508# #东突集散地曾经就在土耳其，因为要抱美国大腿分裂中国。土耳其对中国极其恶毒，但考虑到中东格局的变化我们忍了。此一时彼一时，今后我们肯定会做些有效回击。利用矛盾制造矛盾，我们的老祖宗早已布下天罗地网。
1585955443# #《全球眼：美国疫情正走向“至暗时刻”？美国死亡病例中有慢性疾病者居多》此视频已有130万次播放，快来一起看看！
1559588795# #土伦杯，咱不待见；洋伦杯，咱也不待见。咱要在乎的是不伦杯。哈哈
1561598750# #要了小命了！
1566164469# #懂球帝虽然时隔多年，但依旧有趣跳舞跳舞...-光影世界还有2656位网友也喜欢这篇文章；更多精彩内容，尽在懂球帝
1562588184# #马英九确实在背后力挺郭台铭，先拉第三名朱立伦的选票给郭台铭，结合郭台铭的选票小赢韩国瑜。大选时再暗中挹注蔡英文，让蔡英文连任。如果大陆武统台湾，马蔡将在美国成立流亡政府。。【国民党最大规模初选民调8日登场结果15日出炉】（来自
1592828007# #凤凰新闻【美国总统特朗普被架空了！西雅图闹独立，恐怕是美国解体的开始】
1596859420# #你是学哲学的？哲学家未必每天都会有新发现。发现太多，脑子太好，思维形象在你的脑袋瓜子里信手拈来真心点赞！赞赞赞鲜花鲜花鲜花
1558756721# #『熊猫守护者』
1581749530# #《中国式关系：爸爸开豪车接女儿，还给她买奢侈品，前妻脸都黑了！》此视频已有21万次播放，快来一起看看！
1547618446# #丹佛金块金砖掘金都无所谓，不过这场球输得有所谓了，不但交出了西部榜首，而且是大比分败北。
1561597129# #《特朗普这一棒敲伤自己，美国集体“炸锅”，这次，中国获世界力挺》特朗普这一棒敲伤自己，美国集体“炸锅”，这次，中国获世界力挺
1550924928# #小米运动小米运动
1580040086# #《推背图》不但推出清灭民国诞生，八年抗日五星利中国。李淳风袁天罡的《推背图》诠释了易(经)、谶、颂的挂象。《推背图》的预言靠的是推演，国家灭亡天下大同，天下是所有人的天下。我坚信国家必灭亡，天下必大同。中华文化博大精深！
1561204619# #小米运动小米运动
1556659794# #命中注定蔡英文将有牢狱之灾。我是命理师，扶乩理命还行，尤其是给伪政客算命特灵。
1627019733# #我醉过但没爱过，胡适老先生把醉爱混淆一体就像他的名字，胡乱适体。拿国学大师开涮肯定不礼貌，这不是无聊催的麽？现在多的是时间，外面散步太热，屋里闲久了无聊。喝茶抽烟看电视，刷屏翻书打牙祭，每天牵着二、三两揺头晃脑，生活质量好像出了点问题。我还是很崇拜胡适老先生的，这是真的。
1598882739# #诗的意境特好，我是从译文中获取的。建议以后的诗词歌赋转载最好都有译文，译文入境，并不比诗词本身逊色。赞赞赞鲜花鲜花鲜花
1561597118# #城市夜拍摄影大赛每天听老胡同志侃国内外大事！
1550843025# #西甲三支球队有望进八强。切尔西和阿森纳携手进前八。国米就算了，保意甲前四为重。
1588882413# #《X档案：一星期变百万富翁，神山上遍地是奇石，深处还蕴藏着玛瑙》此视频已有15万次播放，快来一起看看！
1553536321# #夜宵时分来一杯？哈哈
1568538125# #《男子直言癌症被攻破，还说正在申请专利！雷明老师一句话一针见血》我和1.1万人都在看，快来一起围观
1554309033# #日本终究迈出最危险的一步，遮羞布都不要了，连美国警告都被无视(分享自
1561663805# #《牛人制作的捕鼠神器，老鼠进去就别想出来，简直是老鼠的“天敌”》我和1.9万人都在看，快来一起围观
1548621402# #国民党不足信，民进党不可信。
1555431169# #我选择好走的路无可厚非。名人未必名言，我选择适应自己的路。别去硬拗，荆棘密布可能是捷径，但我未必能走到尽头。即使走到尽头又如何？谁能保证柳暗花明又一村？又一村不一定是我需要的，我需要平平淡淡从从容容过一生，不与世人争风流。别迷信名人名言，人微言轻是我自己的，因为我知道自己需要什么
1552079362# #转发微博
1558180451# #>>看小视频，这里有点意思。
1570901562# #马拉松没有世界纪录，只有世界最好成绩。
1562319587# #就不用法语！
1607914402# #先来半拉儿西瓜，当个吃瓜群众看看热闹。
1572007426# #分享图片
1559343270# #邻居不远，可是从来没有遇见过。一语成谶，那不是一个冬天的童话，而是一个疯狂的年代，不属于我们这辈的年代。不想记载这段历史，祖辈和父辈都被株连过，why？why？所以最好的应付是忘记而不是记取。
1556683885# #许多灵异事件是无法解释的，唯一能解释的是它事实存在。灵异是种现象，有些人把灵异事件当作善恶的因果报应。我想也是，至少可以吓阻某些作恶者必须为他的行为负责。
1557608788# #《俄罗斯警告查没黄金等于宣战，中俄若获得足够多的黄金将发生什么》好看视频-分享美好，看见世界
1575991353# #蔡英文假文凭假论文的糗事全世界都知道了，只有民进党不知道。宇昌案很快会被重新立案重审，只要韩国瑜当选。陈水扁被您打趴了，现在差不多快轮到蔡英文了。
1549770887# #足协就一大染缸，白的进去，花的流出来，谁也改变不了这条定律。数典一下与足协勾搭过的风云人物，有几位能逃脱过牢狱之灾？郑智可以踢好球，但不是玩政治的料，退役后还是进地方体育局工作比较妥当。不用他人看衰足协，体制使然。
1548399905# #《四水六岗百度百科》四水六岗是一个地理名词，“四水”指金沙江、澜沧江、怒江、雅砻江；“六岗”指擦瓦岗、芒康岗、麻则岗、木雅绕岗、色莫岗、泽贡岗，“四水六岗”是古代藏文典籍中对青康地...
1570298696# #美国耶鲁大学的女教授提建了“快乐价值”学说，许多中国人跟着翩翩起舞：做一个假洋鬼子比做中国人更有价值。我都不屑提假洋鬼子当美粉的兴奋，人各有志无须勉强。只要你敢打渔不下网，我肯定起诉你。
1586648213# #回忆时刻：时间没有现在，永恒没有未来，也没有过去。——丁尼生的早安问候
1577819899# #转发微博
1563810947# #傻逼傻到黑礁崖了。《康熙王朝》里有个桥段说是把叛徒扔进鲨鱼頻烦出没的黑礁崖。蔡英文不是叛徒，它是个十恶不赦的大汉奸卖国贼，扔下黑礁崖喂鲨鱼还省得公审呢。
1556341831# #早起头昏，晚起头晕。
1548527673# #《22战17胜武僧一龙的师兄激怒清风道长，结果仅112秒就被KO了》好看视频-分享美好，看见世界
1567041140# #明天开打！中国队进八强没问题。
1550346016# #转发微博
1555120235# #一部大烂剧，没有一个人物接地气的。可怜了倪大红，演了这么一部无厘头的烂剧。
1559855975# #嫁倭寇，做东洋婆子了泪
1569810901# #夕阳的容颜。但是太阳，他每时每刻都是夕阳也都是旭日。当他熄灭着走下山去收尽苍凉残照之际，正是他在另一面燃烧着爬上山巅散烈烈朝晖之时。——史铁生《我与地坛》
1580875364# #我在看：【我要你平安归来】跟新浪看热点
1551332666# #记载一路舒坦、一路足迹！
1574683218# #风情好望角。好望角最初被称为风暴角，而葡萄牙国王认为绕过这个海角，就会有希望，带来好运，因此将“风暴角”改名为“好望角”。
1574463566# #《男子杀害自己父母妻儿，一家六口被害，被逮捕后神情淡漠》我和32万人都在看，快来一起围观
1549950925# #税后只有25万镑，意大利的税收有这么高吗？
1578843912# #《岳云鹏孙越返场相声，不断在台上砸现挂，逗得台下观众哈哈大笑！》此视频已有12万次播放，快来一起看看！
1548089691# #我分享了【公安特警查封违法山庄，老板叫嚣后台硬，不料下一秒怕了】，快来看吧|
1563118101# #《男子声称被外星人绑架过，半睡半醒时迷糊了一下，人就飞在了空中》我和34万人都在看，快来一起围观
1561990680# #转发微博
1563172807# #鬼子差一点被打残了，如果不叫停的话会被活活打死！
1573180439# #转发微博
1549427674# #大气了我的姐！
1566248421# #画家王明月作品。王明月是一个具象肖像画家，然而他的作品已经超越了肖像画简单定义，艺术家把使用肖像作为一种创作工具，换言之他创作的不再是个人肖像，而是用个人肖像的形式来寻找、表达人类与世界纯粹的本质。图为《庭院》。
1548978468# #生活压力过大！
1586200561# #凤凰新闻分享凤凰新闻：吵起来了！遭记者逼问特朗普发飙：你有完没完！一个问题问15遍-国际纵横在线来自
1550890955# #《大爷景区上厕所，结果收费十元，谁知大爷有个厉害的保姆，免费上》好看视频-分享美好，看见世界
1573851164# #这与印度人的文化传承有着密不可分的关系。印度人不但自恃聪明而且善于白日梦，幼稚荒唐在印度比比皆是。印度人的特质是：说过的就等于做过了，一堆人坐在树荫下各自做着妙不可言的美梦，而且梦想成真之后就忘了，接着坐下来继续美梦。简单而快乐，手抓饭的手刚才当过草纸，那又怎样？不是照样吃干抹净
1575659658# #分享图片
1567026008# #《节目组在哪找的一对活宝，舞台上斗嘴堪比说相声，涂磊都乐了！》我和5.5万人都在看，快来一起围观
1565128476# #《大桥剪彩前突然断裂，2万吨钢筋从天而降，75人被夺去生命》我和1.6万人都在看，快来一起围观
1565327410# #《公司负债1.57万亿，每年利息费用就上百亿，他还要投资3000亿造车》而恒大集团只要在转型的过程中，保证地产业务持续盈利，就不会有大的问题。
1573260726# #我在熊猫守护者养的小竹子长大啦！马上可以参与守护野生滚滚的自然家园啦~你也快来加入熊猫守护者，一起保护国宝“滚滚”的家吧！
1547830366# #《美女突然接到诈骗电话，一句脏话没说，骗子却气的火冒三丈》好看视频-分享美好，看见世界
1560944900# #懂球帝每日一球|卡卡、卡福、舍甫琴科，这套配合你给几分？
1557177164# #《男子不小心把一只公鼠放进一百只母鼠里，半个月后男子头都大了》好看视频-分享美好，看见世界
1585538056# #我就没笑，找纸巾准备偷哭？
1599335720# #你停你的博，想上来随时随地。这里可以打卡，打卡说明你曾经来过。当然这里也可以刷卡，刷刷自己的心情。这里来去自由，人生相看两不厌就好。我比较随性，偶尔也会任性，随性任性会有时，只要不影响他人的生活节奏便好。老师早安，周日凌晨送上祝福，我敢说这时候送上祝福最好也最灵！鲜花心赞！
1577280073# #分享图片
1549687645# #上篮安东尼：我已经离退役不远了本赛季35岁的安东尼被公牛裁掉后，现在是一名自由球员。
1552363173# #“腹有诗书气自华”一到八句相嵌入式并无琢痕，而且意境不乱，我想这不是诗的功力。加上每首三四五六句工整对仗，一天之间完成如此浩繁之工程，诗圣也难为。诗境可遇不可求，那是很煎熬的。羡慕你，你真让我仰视鲜花给力赞作揖🙏心
1564751242# #转发微博
1552838831# #好久不见，申花拥趸！
1548480919# #累是有点累，不过能证明。。。
1558553942# #《伊朗危机重重之际，普京突然对美国出手了！》我和13万人都在看，快来一起围观
1564872109# #很喜欢喜马拉雅上京剧名家名段的节目《望江亭-只说是杨衙内又来搅乱-王蓉蓉》，快来听一听吧
1554240788# #『我的昨日数据报告』
1555426756# #《特朗普全面碾压，美国最惊心动魄时刻要开始了！》好看视频-分享美好，看见世界
1550453572# #西部队长是任命的吗？挤眼
1551708633# #希望我是你每天的第一位读者！
1565442339# #看见我笑了？真有你的想象力丰富！赞赞赞
1550925315# #太有趣了美女，教练为了救你才挂的吧哈哈
1551495052# #翻唱就是翻来覆去地唱，一面唱完了再唱另一面。哈哈
1561948946# #我分享了【大变局将至！接下来的一个月，或是改写世界格局的一月！】,快来看吧！|
1556372719# #美国的职业球员与中国的职业球员相比，无论是职业道德还是职业精神，差别很大。cba是世界第二大联赛，平心而论，不在一个级别上。
1557469072# #120分钟鏖战，点球只是几分钟的紧张。所以小编把点球当鏖战本末倒置了，应该回炉补补基础知识，
1556502324# #上篮早安早安～绿军依靠欧文的完美发挥攻克雄鹿主场！那么等到斯玛特伤愈归队，凯尔特人是不是更加占据优势了呢？早安早安～绿军依靠欧文的完美发挥攻克雄鹿主场！那么等到斯玛特伤愈归队，凯尔特人是不...
1550023400# #搜狐新闻:【三问苏宁收购万达百货：是否存在信披违规？万达还剩什么？】
1570498392# #分享图片
1564622645# #转发微博
1552787384# #我在熊猫守护者养的小竹子长大啦！离种植在陕西秦岭又近了一步噢~你也快来加入熊猫守护者，一起保护国宝“滚滚”的家吧！
1612567791# #禁食野生动物是好人的作为！
1552710367# #真实与欺骗往往一纸之隔。
1568781832# #《玖月奇迹王小玮，中国首位双排键演奏家，一曲《沙漠骆驼》听醉了》我和97万人都在看，快来一起围观
1595062849# #转发微博
1571522469# #我是不会再看央-5每周四场以上的直播，任何视频直播也不会观赏。跟新浪看热点
1552536102# #免子不吃窝边辣！
1565669900# #养不起狗！养牛养马，为的是方便当牛做马！
1571446302# #过来看看，像是路过黄金海岸时捡到了一枚贝壳。记起了《艺海拾贝》，又想起牛顿曾形容自己是海岸边一枚不起眼的贝壳，只是偶尔被游人发现。游人与贝壳之间有两个质点，通过连心线方向上的力相互吸引，这种力就是万有引力。有些时候，发现比发现本身更有意义：就像“文字，是心上开出的花朵。。。”赞
1561410364# #是叫草蜢吧，小时候在自家后院经常有遇见。它们会跳，也会飞，但是既跳不远也飞不高。觉得它们总是在漫不经心地过着与世无争的生活，它们隐藏自己，善于把自己伪装成绿叶。从春天，到秋冬，是它们的整个一生！只知道这么多，没保留。
1547802000# #他老公说：明天叫你扶着墙行走！
1573371679# #我在看：【被限制高消费？王思聪原来是被这个主播“拉下马”，欠款仅360万】跟新浪看热点
1582084575# #《新的点焊机太贵，只需几十块买组套件，改装好后比新的还好用》此视频已有1.6万次播放，快来一起看看！
1554742142# #心中的界碑比土地上的界碑更值得珍惜！也就在二、三百年前，中国的疆土面积大概是1200万平方公里左右，现在是960万平方公里。近代史决不能忘记，爱国主义教育应该隽刻在先烈的墓志铭上，再也不能让第二个海参崴成为符拉迪沃斯托克。
1567164249# #如果法律允许的话，先把这男的拉出去阉了，阉得一干二净半点不剩，看看谁还会要它，太监！
1552844954# #腾讯新闻“战斗民族”又翻车！46吨核重炮翻滚在地，“四脚朝天”来自
1576309352# #没有历史文化的美国最终会受到日本的强大军事报复。据美国著名女占星家预测，美国亡国于2075年，绝大多数白人将被迫成为难民，少部分回到欧洲。——见美国的《推背图》。跟新浪看热点
1578810932# #分享图片
1553883961# #『我的昨日数据报告』
1570636496# #狗急了要跳墙，何况是比狗还容易着急的特朗普政府。现在已经过了美国霸凌全世界的时期，未来的世界格局不再是唯美独大，美国能不急吗？
1570016767# #《用五十斤大米换来的一件器物，至少千万起拍》我和8万人都在看，快来一起围观
1579229100# #《近10万亿美元！相当于中国GDP的73.5%，美澳等11国已经“沦陷”》据国际金融协会本周一最新公布的报告显示，2019年第三季度，全球债务占全球GDP的比重已经飙升至322%，创下历史新高。
1551200919# #好像是高圆圆欸！
1574622826# #转发微博
1582625309# #分享图片
1567361350# #只要提及4.5万英镑所购置的假文凭与后来用于堵漏的50万英镑封口费，蔡英文差不多玩(完)蛋了，可惜它霉(没)蛋。一切仿佛是冥冥中的因果报应，李登辉与蔡英文兄长涉案其中有铁证勘验。现在要证实证据不是难事，只要台大提出申请完善学术规范，英国国家学术资证委员会必须依法提供证明。结果如何？现在英
1614135672# #我知道三明四季都很美，山明水明人更明，还记得以前有说过对三明的描述，说是人与自然和谐共生非三明莫属。疫情期间各自安好，我们不给国家添乱。过了这一阵再说旅游，三明当然排在前面考量。谢谢你对家乡的举荐，山明水明人更明，你是最重要的相映成趣。心心心鲜花鲜花鲜花🙏🙏🙏。
1567551501# #打败美国即如打败美国的一切，这也是一种心理暗示。
