1695514881# #怀念人壬大火包。。。
1697362347# #不知道胡同学的父母现在怎么样？
1694388937# #
1692618956# #情绪稳定，是成年人最高级的修养。。原创OldChairs老椅子教练。
1701101196# #照顾好自己的健康和情绪。。。
1695333598# #未来已来赞
1693868038# #触目惊心。
1699669526# #赞鲜花咖啡
1703610429# #赞鲜花
1702894070# #笑cry
1696544905# #赞
1702690904# #相信老师一定有智慧来妥善解决这个问题。加油！
1695522476# #咖啡
1701726794# #赞
1703610302# #咖啡
1693152021# #咖啡
1695980616# #咖啡作揖
1693898668# #咖啡
1704042146# #我居然不能点赞了坏笑
1701014485# #赞赞赞
1703779591# #坏笑
1695333665# #马斯克传读起来不累，50万字的扁幅看起来很长，但在阅读中很快就会发现整本书完全按照同一种模式在循环:马有个新的想法-马立即找人来做-新想法进展不顺利-马入驻现场-马开除员工-马给出匪夷所思的期限-马逼疯所有人-所有人振作起来-伟大的成功-马感到抑郁-找了个新女人-马又生了孩子-有个更新的想法...
1703174750# #时光机带我回到了过去可爱，你也试试？
1688975427# #随手拍
1704229715# #收藏了
1698947572# #赞赞赞
1696332368# #作揖
1690481135# #
1704041875# #时光机带我回到了6年前。
1698274216# #咖啡
1695937947# #四年前的今天。。。
1703665256# #4年前的今天
1695770818# #值得收藏。
1690861911# #请问提交信息失败~为什么我花150多买的流量不能结转到下个月？移动就是靠这个来发财的吗？
1695270974# #《埃隆·马斯克传》读书笔记。。中信出版社新出版的《埃隆·马斯克传》是一本关于特斯拉和SpaceX的创始人埃隆·马斯克的传记。这本书详细地记录了马斯克的一生，从他的童年、成长经历，到他在硅谷创立Zip2和PayPal等公司的过程，以及他如何成为特斯拉和SpaceX的创始人。书中还介绍了马斯克的一些人生哲学和
1700926055# #因为不知道什么是人生中最重要的事情，我们身边80%的人，一生中会有80%的时间在做无用功，也就是毫无意义的事情。所以，在年轻的时候，一定要知道人生最重要的事情。
1702232576# #赞
1693898624# #
1695980708# #不明觉厉坏笑
1704041970# #喜欢读书的人，运气都不会差！
1704041835# #弹指一挥间，5年过去了！
1689281128# #转发微博
1702733481# #复制董宇辉？实现10倍速的增长？这2件事情都是很有挑战的，咱们一起看看铁马三戈怎么说…
1703610404# #赞咖啡
1689824565# #一年前。。。
1700926191# #口可口可。。。
1688975348# #作揖
1692392907# #👍
1698947614# #转发微博
1696227707# #赞
1699154249# #作揖咖啡鲜花
1694916122# #让自己进步的十个习惯：。⒈永远不说不可能。。⒉凡事第一反应找方法，不是找借口。。⒊养成记录习惯，不太依赖脑袋。。⒋每天出门照镜子，给自己自信的微笑。。⒌每天自我反省。。⒍用心倾听，不打断别人的话，作个倾听高手。。⒎节俭定期存钱。。⒏遵守诚信，说到做到。。⒐时刻微笑待人处事。。⒑开会坐前排。
1703288175# #关于公民意识的几点理解：。。首先，我们应该区分政府与祖国的概念。对政府的批评不等同于对祖国的否定。如果将祖国视作一个大家庭，那么政府便是这个家庭的管家。。。其次，爱国意味着对祖国及其人民的深情厚谊，这并不等同于对政府的盲目支持。政府作为服务者，其职责是管理和服务于人民，应当尽职尽责。
1689571762# #这是8年前的当年今日笑cry
1704041992# #赞赞赞
1699628463# #赞赞赞
1704042051# #残害朱令的凶手不绳之以法，未来我们以及我们的后代都有可能都是朱令！
1702052694# #玩牌或对弈时，如果游戏规则时常改动，或是总有玩家不守规矩，那么逐渐地，其他人就会失去参与的兴趣。
1695088417# #赞
1701439425# #赞赞赞
1704042092# #好兆头！赞
1704042004# #哈哈哈哈哈哈
1689832813# #随手拍笨鸟文摘宪法伴我们成长
1692498814# #鲜花
1695980757# #NB赞赞赞
1693867921# #赞
1702857265# #东方甄选抱着一颗摇钱树，俞敏洪老师每天晚上睡不着觉，但又舍不得给出与董宇辉能力相匹配的利益，董老师是一个善良的人，暂时不会离开，但是他离开东方甄选，只是时间问题，这个与人品无关。到那个时候，俞敏洪老师哭都来不及了。
1701762104# #赞
1702856925# #小而美，真的很美好！
1699114300# #我现在已是无限容量的QQ邮箱用户。你想拥有无线容量的邮箱吗？
1698274324# #赞
1695980733# #皮带哥的下场弱
1693867959# #鲜花
1701014580# #赞赞赞
1703610339# #赞鲜花
1703359660# #言之有理！
1702084320# #这个视频也阵亡了允悲
1692218543# #赞鲜花咖啡
1688573201# #鲜花
1696458307# #值得一读
1696361461# #赞赞咖啡
1703379513# #一张图证明我来过这里
