1703687668# #赖皮寮结界风水阵被破？
1703932472# #祸不及妻女！侯友宜开记者会怒呛民进党恶意抹黑家人武统超话
1703955006# #山东一地多人持械斗殴用礼花互射场面混乱警方：因口角纠纷涉案人员全部抓获武统超话
1703930502# #日本政治资金丑闻发酵，日检方对"安倍派"成员连续三天展开搜查武统超话
1704025267# #外媒：美军空袭叙利亚，至少9人死亡武统超话
1703679579# #赖清德为年轻票提出建社会住宅李胜峰：八年睡大觉毫无政绩武统超话
1703679723# #萧美琴被美国游说后，取消莱猪标记帅化民：难怪礼义廉耻要拿掉武统超话
1703746525# #伊朗外长警告以色列：特拉维夫面临艰难的倒计时武统超话
1703679959# #中国大陆第四艘航母命名引发热议，台名嘴：希望台湾也有机会！武统超话
1703601430# #韩国宠物推车销量首次超婴儿车韩媒忧虑人口生育率的一路下跌“人们只忙于活在当下无暇顾及未来”武统超话
1703746655# #如何看待台海局势？两岸关系何去何从？潘维廉、司马南、马红漫、台妹PKGIRL视频提问，12月31日19:35思享2024台海篇专家学者将现场解答！武统超话
1703679591# #美国向台军出售库存武器蔡正元：吃人家的“军火厨余”武统超话
1703602056# #民进党“执政”8年没做一件好事赵少康:国民党不倒,台湾不会好武统超话
1703859810# #赖皮寮贴杀不辜者得不祥焉小民转贴赖皮寮警察欲约谈？
1703679735# #国台办：立即停止武装台湾，停止“毁台”“害台”行径。武统超话
1703602470# #“赖皮寮”对赖清德杀伤力巨大，街访台湾青年：我没有要投给他武统超话
1703926920# #俄媒：以色列直升机刚要降落一枚导弹就飞了过来飞机边放干扰弹边躲避武统超话
1703955002# #俄罗斯空袭乌克兰影响大，拜登催促国会批准对乌援助，这回是真的急了武统超话
1703842578# #以军再次抓捕大量男性将其扒光衣裤当街示众家属称被带走后下落不明武统超话
1703923417# #五月天遭施压"亲中"?陈凤馨轰:民进党"公然霸凌"｜陆逼五月天"表态"?谢寒冰怒谯:民进党"低级操作"
1704007398# #转发微博
1703955003# #提前过春节了，人员过多，挤都挤不动允悲允悲允悲武统超话
1703785696# #中越战争的真实影像，5小时巅峰对决毁灭性打击，者阴山孤胆擎旗手挥舞战旗
1704008023# #据伊朗努尔新闻网报道，当地时间12月29日，伊朗司法部门宣布处决4名与以色列情报和特勤局（摩萨德）有关的破坏小组成员，已于当天上午执行死刑。报道称，这4人“在摩萨德指导下，做出诸多危害伊朗国家安全的行动”。伊媒称，除了4名成员被判处死刑外，另有多名涉案人员被判处10年监禁。
1703841377# #伊朗在叙高级指挥官遭以军空袭炸死，其葬礼现场，众多伊朗民众高举反美、反以色列标语，呼吁伊朗对此事展开报复行动（来源：CCTV国际时讯）武统超话
1703930401# #以色列财长硬刚美国:只要我还在任，就不可能把税金还给巴勒斯坦武统超话
1703664428# #转发微博
1703842108# #也想参加！武统超话
1703921529# #侯友宜喊「打击校园暴力」刑事处分年龄「下修至14岁」
1704025865# #“我向大家致以新年的祝福！”跨年之夜，这个温暖而坚定的声音，给予我们前行的力量。2024新年贺词祖国统一是历史必然2024新年愿望是什么解放台湾武统超话
1703602636# #赖清德竞办吹牛疫情期间台湾经济成长世界第一罗智强当众打脸武统超话
1703769112# #第四艘航母命名引发网友热议赖岳谦：台湾应该也有机会武统超话
1703872674# #对越反击战解放军11军：22天歼敌2899人俘虏58人，提前凯旋回国的真实影像
1703841894# #特朗普在缅因州不具备2024年总统选举党内初选资格武统超话
1703842547# #以军一架UH-60黑鹰直升机遭哈马斯攻击掉头就跑并投掷干扰弹武统超话
1703786351# #79年中越沙巴决战，解放军149师对阵越军316A师，两大王牌师生死对决的真实影像
1704019835# #转发微博
1703841484# #中国战略卫星轨道炮，可在外太空进行降维打击武统超话
1703679678# #民进党创党元老魏耀乾：赖清德一路走来都在骗武统超话
1703601918# #重新开发天宁岛美国着手整固“第二岛链”郭正亮：台湾地区可能会被抛弃武统超话
1703680220# #痛批民进党拉高两岸战争风险，台议员自嘲：学好游泳打起来就跳海武统超话
1703945259# #柯文哲批癞：你要选“台湾国总统”吗？
1703945867# #侯友宜「反废死」批民进党！柯文哲表态：不执行就终身监禁
1703680122# #柯文哲副手吴欣盈再次强调：我是中国人也是台湾人武统超话
1703602338# #网友改编歌曲《天下第一赖》，讽刺赖清德变泼皮无赖网友改编歌曲《天下第一赖》，讽刺赖清德变泼皮无赖武统超话
1703679765# #甘肃省积石山县12月18日发生6.2级地震后，台湾各界和民众纷纷表达关心慰问并积极提供援助。对此国台办回应。武统超话
1703841300# #美国参议员提议：将伊朗部分地区从地图上抹去“打击伊朗他们有油田”武统超话
1703735357# #转发微博
1704040107# #TVBS辩论民调赖突大跌?
1703914540# #网斥赖摸心悼初中生死者XX他要受害者家属打给天道盟？
1704016808# #转发微博
1703932407# #算什么东西！侯友宜痛批民进党恶意抹黑自己的妻儿武统超话
1703841805# #以色列人质家属发声：抛弃我们的人都应被送进监狱尤其是内塔尼亚胡以色列武统超话
1703950156# #辩论前突爆大猛料赖要惨了🐸府多送高端9亿录音爆了？武统超话
1703785247# #转发微博
1703768705# #转发微博
1703926851# #以军士兵正在坦克外观察战况还来不及反应一枚导弹正中坦克武统超话
1703930436# #俄军对乌克兰多个城市发动大规模打击，泽连斯基当天视察前线地区武统超话
1703926908# #美国3名枪手突然对一辆汽车连开数枪女子头部中弹当场死亡武统超话
1703680375# #批民进党什么都封存赵少康狠酸：当自己是威士忌吗武统超话
1703746607# #越南总理：挫败敌对势力的一切阴谋，防止“自我演变”，特别是不能偏离社会主义方向武统超话
1703769058# #菲律宾总统称自行解决仁爱礁问题介文汲：中国反制，菲律宾认怂武统超话
1703735368# #转发微博
1703746744# #就算有国家不喜欢，印度还是要和俄罗斯交好？俄印拟联合生产军事装备武统超话
1703842486# #俄军车试图躲开乌军无人机的追击，一个大漂移后不慎翻车武统超话
1704024850# #赖清德自夸"唯一不炒房候选人"郭正亮：硬杠到底，拒不认错武统超话
1703703749# #对越自卫战胜利后，43军归途中遇越军追袭，解放军立刻杀个回马枪的真实影像
1703669291# #赖皮寮自有天收视角曝光了网笑他违法滥权铁证封存了
1703769432# #民进党“打诈督导中心主任”请假长达142天。孙大千：民进党用人只看颜色不看专业武统超话
1703680458# #赖清德谈“赖皮寮”哽咽台湾青年：把他当成笑话看，不会投给他武统超话
1703915258# #王金平预告侯康得最后赢赖萧2%TVBS新民调侯康还差赖萧4%武统超话
1703768951# #赞徐巧芯“当超级大喇叭”韩国瑜：贪官最怕她，民进党最想消灭她武统超话
1703918756# #数千名阿根廷民众上街抗议：我们选米莱做总统，不是让他当皇帝！武统超话
1703664404# #转发微博
1703768894# #民进党亲美媚日，歧视大陆尹乃菁：我才不相信赖清德会平等待人武统超话
1703930179# #“雅万高铁太成功了！”赖岳谦：这简直是如虎添翼。武统超话
1703602526# #曾任蔡英文后援会会长，绿营大佬：我错了，后悔支持民进党武统超话
1703746303# #金一南：只有毛泽东的道路，是中国革命胜利的唯一道路！纪念毛泽东诞辰130周年武统超话
1703842053# #以色列外长放话：只要埃尔多安还是土耳其总统以大使就不返回安卡拉武统超话
1703926975# #完整缴获以军无人机哈马斯武装发布组装“云雀2”视频武统超话
1703602161# #丘逢甲之孙丘应桦：祖父对我影响很大，作为中国人不能忘本武统超话
1703596878# #第四艘毫无疑问：台湾舰~
1703664539# #转发微博
1703919267# #中国有世界上最大的铁路系统介文汲：美国的铁路为什么会完蛋？都是政客搞的武统超话
1703919351# #美国退役上将炒作中美开战"中国10年内做不好与美开战准备日本韩国等盟友也会帮我们"武统超话
1703679582# #民进党什么都要“封存”30年赵少康：当自己是威士忌武统超话
1703937245# #转发微博
1703930119# #一觉醒来，南天门计划又推上高潮，国产电磁枪诞生，掌握可控核聚变，是不是穿越了！南天门计划白帝空天战机鸾鸟空天母舰电磁脉冲武统超话
1703932551# #侯友宜面对台湾大学生自嘲口才比较差，要以真诚打动他人武统超话
1703768873# #转发微博
1703931957# #以军夜间空袭加沙南部，妇女儿童被埋废墟，加沙民众怒吼:这些可是孩子啊武统超话
1703932312# #民进党破坏两岸经贸蔡正元质问：为什么不进口大陆水果，内蒙羊肉武统超话
1703932608# #当堂正的黄种人，不当日本的“二等公民”！台青投稿怒呛民进党武统超话
1703932492# #罗旺哲：国民党还在等郭台铭这颗“大补丸”。武统超话
1703680329# #民进党当局查办到大陆交流基层里长国台办：欲加之罪、何患无辞武统超话
1703604591# #侯友宜主打「治安三箭」批绿贪腐：赖清德打水漂
1703918814# #铸就中国奇迹、创造美好生活，离不开奋进的你。新年前夕，让我们一起重温新年贺词里温暖的祝福和勉励。历年新年贺词中这些话温暖人心武统超话
1703679592# #跳《科目三》扫街蓝议员竟被绿营呛是“舞统”赖岳谦：台湾的年轻人不会吃这套武统超话
1703958550# #三🐸互咬一次看
1703919398# #俄媒：阿根廷总统米莱正式拒绝加入金砖国家武统超话
1703930344# #美国务卿布林肯绕过国会审查程序，批准向以色列出售1.475亿美元军备武统超话
1703930376# #以色列财长硬刚美国:只要我还在任，就不可能把税金还给巴勒斯坦武统超话
1703919210# #莫迪称印度要成为超级大国赖岳谦：地球车到月球南极一眠不起武统超话
1704019803# #转发微博
1703664398# #转发微博
1703842145# #王建煊：如果能拿到“一国两制”，就是我们的“上上大签”！武统超话
1703868406# #PTT笑赖拿五月天骗深绿X子年轻人不吃民进党这一套了
1703841154# #侯友宜批民进党经济成绩不及格：低薪高房价，人民没享受到发展成果武统超话
1703932129# #突发！俄本土遭火箭弹袭击武统超话
1703679920# #民进党当局查办到大陆交流基层里长国台办：欲加之罪、何患无辞武统超话
1703769323# #中方减少对菲律宾的投资。介文汲：马科斯不计民生只顾外交挑衅武统超话
1703940053# #赖清德喷「柯文哲接受九二共识」遭呛：把台湾带向危险的地方
1704040052# #赵少康轰赖清德：台独工作者恐怖分子
1703689788# #女柯粉谯刘宝杰节目去你的黄暐瀚呛白莲教疯子滚好吗
1703769320# #菲律宾向美国购买二手F-16战机。帅化民：维修费都比你买的钱还贵武统超话
1704007325# #转发微博
1703680562# #拜登签字，禁用中国无人机赖岳谦：因落后而打压，违反自由贸易武统超话
1703602765# #国民党最接近胜选的一次！卢秀燕痛批：民进党贪污腐败了16年武统超话
1704009280# #中国有世界上最大的铁路系统，台名嘴：其他国家根本没办法跟中国比！武统超话
1703769441# #建厦金大桥？赵少康:"公投"同意就支持武统超话
1703931984# #胸有浩然正气，无惧邪魔歪道！武统超话
1703664424# #转发微博
1703601964# #抛弃经济自甘成为美国“马前卒”郭正亮:菲律宾成为亚洲地区的笑柄武统超话
1703864760# #初中生惨死最后烧垮赖选情？柯连打民进党抢票有利侯康？
1703937203# #转发微博
1703664702# #转发微博
1703932047# #区桂芝：我多培养一个君子，台湾社会就少一个败类武统超话
1703932102# #台湾地区领导人选举辩论会下午登场，侯友宜将以“战争与和平”等三大主轴狠打赖清德武统超话
1703601617# #举行纪念毛泽东同志诞辰130周年座谈会。座谈会前，瞻仰了毛泽东同志的遗容。武统超话
1703680242# #赖清德上台不排除两岸出现军事冲突？国台办：“台独”意味着战争武统超话
1703933189# #武统超话
1703679581# #吴钊燮开箱圣诞礼物，网友称其像个小丑帅化民：还好意思拿出来武统超话
1704009227# #柯文哲讽赖清德是“赖功德”，批民进党为一党私利牺牲人民武统超话
1703611758# #赖皮寮白贼灵异照现世报了？网看赖拿户口名簿都笑晕了
1704009131# #“凯旋苑捐了，赖皮寮捐不捐”？侯友宜讽：赖清德你的眼泪是真是假武统超话
1703695306# #武统超话ECFA
1704024759# #周锡玮：我们都是中国人，两岸同胞要一起成长，共同创造美好的未来！武统超话
1703870817# #赖皮寮连绿军基层都看不起？赖皮宫大水衝倒15🐸？
1704007283# #转发微博
1704007486# #转发微博
1703664479# #转发微博
1703785267# #转发微博
1703930167# #以色列财长硬刚美国:只要我还在任，就不可能把税金还给巴勒斯坦武统超话
1704008112# #9月3日，在公安部和云南省公安厅的组织部署下，西双版纳公安机关依托边境警务执法合作机制，与缅甸相关地方执法部门开展联合打击行动，一举打掉盘踞在缅北的电信网络诈骗窝点11个，抓获电信网络诈骗犯罪嫌疑人269名。其中，中国籍186名、缅甸籍66名、越南籍15名、马来西亚籍2名，幕后“金主”、组织头
1703930465# #美西方将没收遭冻结的3000亿美元俄资产？佩斯科夫:俄方也有一份资产清单可扣押武统超话
1703850238# #为初中生命案「心神不宁」柯文哲首轮开场默哀10秒
1703769382# #帮徐巧芯站台韩国瑜:她是超级大喇叭赵少康:换人换党做看看武统超话
1704025211# #内塔尼亚胡：加沙地带的军事行动将持续几个月武统超话
1703602798# #网友最新力作改编歌曲《南都之夜》，呛“台独”爱美日害台湾网友最新力作改编歌曲《南都之夜》，呛“台独”爱美日害台湾武统超话
1704007446# #转发微博
1703746702# #价值2.5亿美元美国将发起今年最后一轮对乌军援武统超话
1703680718# #谁人能够了解，台湾人的悲哀？网友改编《舞女》批民进党引来战火武统超话
1703926823# #俄军对乌克兰发射百枚导弹基辅等多个城市遭到袭击泽连斯基当日视察前线地区武统超话
1703776136# #余天突爆赖清德事情大条了？柯粉呛完刘宝杰后嘲原住民
1703602425# #介文汲：“台独”死路一条，务实促进统一才是台湾民众的时代使命武统超话
1703919174# #印度火车事故频发郭正亮:因为挂着不要钱武统超话
1703851078# #武统超话
1704040641# #日本投降的真实影像：日军代表罕见打白旗前往
1703648485# #巴勒斯坦男人只要被以色列抓到就是哈马斯巴以局势武统超话
1703768716# #转发微博
1703775156# #网曝赖皮寮洗洞验前世今生赖皮蝈赖皮兵民进党没眼睛？
1703841870# #乌克兰外长：欧洲不懂如何打仗武统超话
1703926961# #顶部铺满格栅装甲乌军北约援助装甲车遭俄军无人机摧毁武统超话
1703664415# #转发微博
1703747083# #见者发财！武统超话
1704019796# #转发微博
1703841512# #外媒：俄高级外交官称，若俄罗斯同北约的紧张关系升级“芬兰将首先遭殃！”武统超话
1703653167# #第四艘航母叫什么名字好？~
1703680520# #国台办：航空公司、台办、台协将协助台胞台商返台过年武统超话
1703930175# #南非出手了！以"种族灭绝罪"起诉以色列，以方反喊冤：毫无根据武统超话
1703752561# #台青投稿说唱呛爆民进党：备战就是引战，你们继续赚，台湾继续乱武统超话
1703746560# #马英九重申：台湾与大陆是“一国两区”！武统超话
1703664435# #转发微博
1703919311# #阿根廷新总统启动“休克疗法”蔡正元：给老百姓一个幻灭的幻想武统超话
1703958694# #1985年两山轮战时的真实影像，67军战士们在前线的生活场景
1703842171# #美国参议员提议：将伊朗部分地区从地图上抹去“打击伊朗他们有油田”武统超话
1703602645# #助攻“侯康配”王金平自信喊：我相信最后放鞭炮庆祝的是国民党武统超话
1703840991# #菲律宾向美国购买二手F-16战机栗正杰:你有钱养吗？武统超话
1703785208# #日本千岛群岛突发6.5级地震！或引发局地海啸！日本地震+千岛群岛+地震+海啸武统超话
1703919440# #突发！俄本土遭火箭弹袭击武统超话
1703861211# #民怒初三生死网斥又是范云蔡赖不执行死刑保护加害者？
1703958542# #1985年两山轮战时的真实影像，67军战士们的战斗场景
1703842342# #以军士兵笑称要找巴勒斯坦婴儿来杀“但已经没有了”武统超话
1703602131# #绿营大将倒戈挺侯友宜，怒轰民进党出卖欺骗农民武统超话
1703664389# #转发微博
1703918499# #赖急了黑韩国瑜广告出手了？黄暐瀚曝赖品妤林静仪倒了？武统超话
1703955933# #武统超话
1703937251# #转发微博
1703746898# #小日子风情街巴西小日子核污染武统超话
1704007463# #转发微博
1703919498# #造福台湾、关爱台湾！福建发布22条实施意见，苑举正：就是要促进统一！武统超话
1703664443# #转发微博
1703932518# #李胜峰：全台湾都知道赖清德赖皮寮造假，还在说谎武统超话
1703680624# #国台办明确回应大陆方面未来是否会全面中止ECFA武统超话
1703690409# #余天惊爆赖侯民调已误差内屏东赖嫡系被爆也有赖皮寮
1704007330# #转发微博
1703932163# #“我们与你们同在直到胜利”也门首都举行大规模集会数千民众抗议以色列对加沙的袭击武统超话
1703781868# #拜登中东乌克兰准备收尾了？
1703931862# #俄军在边境地区击落13枚乌克兰火箭弹武统超话
1703841279# #武统超话
1704009093# #新党吴成典：“台独”要枪毙的话，“去中国化”就要枪毙两次武统超话
1703841715# #M777榴弹炮，最轻的牵引是榴弹炮，不止轻威力还大！武统超话
1704009100# #中国电磁弹射技术领先美国，台退将：一次到位，直接跳代超车武统超话
1704036501# #被爆分九亿录音?高端要告了?
1703852837# #柯文哲：每次都是民进党最大助选员
1703931864# #齐射火箭弹用机枪扫射俄海军直升机黑海摧毁乌军无人艇武统超话
1703841687# #以军误杀人质最新调查结果公布：人质呼救被误认为是哈马斯“诱饵”，“士兵们当时采取了正确的行动”。武统超话
1703918642# #无人机空天母舰的遐想，运-20大型运输机投送无人机、机器狗战术，蜂群无处不在。你们认为这样的超级蜂群战术如何。视频为原创C4D制作动画展示。声明：视频为虚拟画面，仅供娱乐。武统超话
