1693979411# #被一个美吹的逻辑震惊了！。都讨饭了，还在鼓吹制度优越？？？。。不负责任转发
1692595660# #完整版来了。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1696771130# #吃完午饭，我也顺便补习一下巴勒斯坦的历史。。。不负责任转发
1697534339# #咬伤女童罗纳威主人已找到为什么两只狗在外面乱跑？是不是狗主人不想要了也没喂食，所以饿急了发疯？
1696709510# #巴勒斯坦以巴爆发大规模冲突造成严重伤亡。今天发生了这么大的事，我现在才回家开始刷推。。。不负责任转发
1691331678# #这个故事还是第一次听。。。。。很喜欢喜马拉雅上润物风雨的节目，快来听一听吧（分享自
1694423687# #博主称单克价高的国货是化妆品刺客如果我说化妆品其实成本都只有几块钱，会不会有人来打我？不管什么高级品牌，尤其是美妆产品，成本真的就几块钱，别问我咋知道的，因为我爸爸就是家化厂的哈哈哈哈哈哈哈哈哈哈
1693116183# #人活着有什么用？。戏鲸上也有这么严肃的话题，我忍不住配了一段对话。。乌合麒麟与人类同归于尽吗混蛋
1690692196# #昨天半夜更新的，这本书的主角是个画画的大学生，这是我感兴趣的地方。。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1697195590# #法国禁止所有支持巴勒斯坦游行示威法国人才不会听马克龙的话呢，今天本来就有大罢工，不知道外面啥样了。。。
1696151889# #发布了头条文章：《私房游记——咪蛋是怎么在巴黎过中秋的？》。。嘟游记记录旅行
1693479969# #喜欢混搭动植物的摄影师MichelTcherevkoff。人是真实的，不是铅笔素描，花是真实的，而虫子不是！。米歇尔具有创造性思维，能够将我们在世界上看到的现实转化为新的美丽物体。他的创作超越了我们对现实的了解，但我们却接受他的创作为真实，并被它们催眠。。当我们欣赏一些我们的头脑从未想到过的东
1697992717# #◾巴勒斯坦，2023年。以色列导弹袭击后，一名巴勒斯坦女孩的身体被烧焦。。◾1972年的越南，一名年轻的越南女孩在美国用凝固汽油弹袭击平民难民队伍后全身被烧毁。。◾越南女孩的照片荣获普利策奖，照片名为《战争的恐怖》。。但今天，所有西方媒体都会忽视这名巴勒斯坦女孩，这个世界已经变得更邪恶了
1694862130# #治愈系小咪蛋超话咪蛋的裙子和鞋都给妹妹了，妹妹马上换上臭美了，果然每个女生都是一个小公主。。她们的马麻们也有小公主梦，全靠美颜黑科技了。带娃日常
1695723817# #蛤？高铁撞死路人？
1697051667# #又是一个让西方媒体破防的女性！
1696758220# #关于哈马斯的消息，真真假假，有点俄乌战争的德性了！。。巴勒斯坦不负责任转发
1697748341# #你别虚伪了，直接说你老婆罗斯柴尔德家族就是以色列的创造者之一，听听他说的这理由，无力苍白的谎言。
1694337501# #啊哈哈哈，那我回法国拍下法国的超市吧，哈哈哈哈！
1694062425# #我有两个苹果，第一代苹果是一个美国粉丝送的，第二个苹果是4s，现在给咪蛋玩儿，但是被她摔烂了屏。那以后就换华为了，7,8年前用华为至今，去年还买了一个华为平板给女儿用。。。不负责任转发
1687761694# #𩽾𩾌目下有一种名字看上去很美的鱼——Starryhandfish星空手鱼。其实是一块行走的大饼，英文俗称：minipizza迷你匹萨。。学名叫：棘茄鱼（学名：Halieutaeastellata）为辐鳍鱼纲𩽾𩾌目棘茄鱼亚目棘茄鱼科棘茄鱼属的鱼类。分布于朝鲜、日本、印度洋北部沿岸、印度尼西亚以及中国南海、东海、
1701767068# #看会儿新闻接着睡。。巴以冲突
1697367770# #里外不是人的多一点，让他们怀疑人生挺好哒！允悲
1697703648# #女童父亲行为是否构成犯罪有一种罪叫玩忽职守罪吧，父亲也是一种职责，现在造成重大人员损失，怎么不能追究法律责任？
1701935887# #昨天带咪蛋去吃她最爱的京酱肉丝，吃完再等桃子妹妹来一起玩之前还逛了一会儿我最喜欢的玛黑区，买了四个棒棒糖蛋糕和桃子妹妹分享。治愈系小咪蛋超话水深火热的巴黎
1698184166# #巴黎，我都不敢在街上骑自行车。
1688123437# #正在写今天关于AI绘画的魔女屋lyl内容！。顺手发一些！
1703923843# #三个星期没打开Au，上周每天晚上写剧本到四五点，今天开始正常更新了，感谢小伙伴们精彩表演，点名娜娜这次大爆发。色。魔女蓝。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1694257068# #男同学被我逼着演小妹妹，演得毫无违和感哈哈哈哈哈哈哈哈。魔女蓝。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1698476553# #以色列造假成性，就算是真的，也不能改变你们对巴勒斯坦人大屠杀的事实，以色列人是地球之耻，罪恶深重，永远被全世界人唾弃的对象怒怒怒。
1696074614# #一条plog告别九月治愈系小咪蛋超话终于等到穿这条闺蜜送的美裙子上街了，真有点小嫦娥仙子的意思，今天带咪蛋去巴黎这边的中国美食街看看有啥好吃的。。中秋快乐
1695642990# #土豆啊土豆，昨天发的纳粹在加拿大议会受到欢迎，今天被骂了，然后，三哥有点飘啊！。。不负责任转发
1697798064# #发布了头条文章：《《油画故事》美少年和美少女的爱情悲剧——赫洛与勒安得耳》。。魔女屋lyl
1697295682# #这个tag是什么？Gazagenocide。。加沙大屠杀！。以色列你们还要继续杀人吗？发生在全世界眼前的种族灭绝，无人性大屠杀，这里是今天伦敦的大游行部分照片，太多了！。。巴以冲突不断升级面临失控风险
1689922784# #喜欢AI仙侠滤镜，就多玩玩！。可怜。。米小嘟
1690962528# #啊，我才知道——使用最广泛的墨卡托投影下的国家领土大小与真实大小的对比。越靠近两极的差别越大，像俄罗斯与格陵兰岛在常规地图中给我们的印象是比非洲还大，然而真实面积比非洲小多了。。。不负责任转发
1689056784# #发布了头条文章：《嘟游记——弗洛伦萨之“走马观教堂”》。。就爱旅行嘟游记魔女屋lyl
1699048016# #联合国被以色列虐成这样，真的看不下去
1690972040# #蒂芙尼·博齐克TiffanyBozic是一位加州艺术家，她通过自己的隐喻镜头探索自然世界。她运用对细节的高度关注和奥杜邦式的准确性，创作出精美绝伦、意义丰富的画作。。博齐奇开玩笑说她是“被山羊养大的”，这与事实相差不远：她的青年时代是在阿肯色州的一个农场里疯狂地度过的，后来又去了俄亥俄州的
1696680789# #不意外，这一年以色列一直在欺负巴勒斯坦，但媒体不报，巴勒斯坦属于叫天不应
1698605283# #致所有看不见真相的“混蛋”。。不负责任转发
1689150330# #最近玩戏鲸有点上头，配个音玩玩。米小嘟情感语录
1693291695# #一个惯于篡改历史的国家，有什么不能忘却的？？？。。日本正采取卑劣手段对中国倒打一耙
1694441206# #机翻：今天是中央情报局支持的智利法西斯政变和推翻“人民团结”实验的50周年——从许多方面来说，它是当今委内瑞拉、尼加拉瓜和玻利维亚社会主义政府的鼻祖。。。萨尔瓦多·阿连德、人民团结、社会运动以及群众创造力和民众能量的爆发，为20世纪关键的社会主义实验之一做出了贡献，人们对他的记忆万
1697463933# #机翻：观看美国媒体如何应对以色列的失调是一件令人着迷的事情。。美国有线电视新闻网(CNN)报道称，以色列似乎占据了主导地位。以色列国防军士气低落，对它无法参加的城市战感到恐慌。。以色列领导层正处于混乱的崩溃之中。。随着世界团结起来支持巴勒斯坦人和抵抗运动，国际舆论正在发生转变。。尽管以
1690350814# #翠绿丝伞（学名：Gliophoruspsittacina）。俗称鹦鹉伞菌或鹦鹉蜡盖，属于蜡伞科湿果伞属，广泛地分布于世界各地。翠绿丝伞是加州唯一一种同时拥有绿色外表和粘糊糊的菌盖和菌柄的真菌。青绿湿明亮的绿色表层并非因叶绿素的存在形成，全因真菌不具备叶绿素，其绿色表层是由色素造成。。。魔女屋lyl菌菇
1698224407# #哦哦哦，联合国就为了以色列一个国家存在的咯？？？。。巴以冲突
1695023450# #天下苦秦久矣！。。不负责任转发
1696171392# #斯洛伐克虽然是个咪咪小的国家，首都我去过，十几分钟就兜完了那种，但！。支持！。。不负责任转发
1694489535# #我国儿童青少年总体近视率超50%啊，这么多，还是需要多多户外运动，这是不近视最佳的方法，每天要至少户外运动一小时以上。
1699007996# #原来布林肯第三次跑去以色列是要求“临时停火”。。巴以冲突不负责任转发
1691654437# #看点新闻就开始工作。。不负责任转发
1701361946# #美欧都不想俄乌再打下去了，乌克兰还在“战斗到最后一个人”，网友都震惊了，征兵广告上甚至对老人这么说“你已经过完你这一辈子了，现在去前线。”。外国网友们纷纷议论，这场战争的目的好像就是为了消灭乌克兰人，难道打算把可萨犹太人都搬过去？？？？？。。不负责任转发
1694168782# #过半投票网友不太支持艾滋儿童入校虽然对于艾滋儿童不公平，但是因为孩子们日常接触中很容易发生磕破，出血，作为一个母亲来说，我也不同意，这样的不安全因素太多了。
1695740436# #马龙说热爱可抵岁月漫长很高兴还能在乒乓球赛场上看到他。我记得每一个超赞的中国运动员。鲜花鲜花鲜花
1693813730# #这两张图放一起看就有点意思。。图一，说如果荒岛上没有人来救你，你只要写“中国坏坏”就有一堆西媒来救你！。图二，在日本饿死的那个反贼女生，其实很多日本的反贼可以救她，但是却没有。。。不负责任转发
1704188489# #一些华丽丽的慈禧上色彩照，我也是第一次见到！。。魔女屋lyl
1701788962# #另一位令人惊叹的优秀串珠大师是安·布拉金斯基（AnnBraginsky），或者更准确地说，用俄语来说，安娜·布拉金斯卡娅（AnnaBraginskaya）。。。她说珠子是“我选择的艺术语言（或者它选择了我）”。。。她确实是一位非凡的珠饰艺术家。她的获奖设计包括华丽的海燕项链，其上呈现出精美的渐变羽毛效果。。。
1699049326# #以色列很快会无差别屠杀全世界人（其实早就这样了，根本没有任何人放在眼里。）。。巴以冲突
1688534168# #据我法国的朋友说现在骚乱已经结束了，这是之前的一些骚乱集锦。。。不负责任转发
1691654606# #一些关于星链的新闻。。不负责任转发
1696793940# #见过不要脸的，没见过这么不要脸的！。啥叫未来知识产权？。。不负责任转发
1694266702# #这个因为太辣眼睛我都不想转发吐
1699378522# #发布了头条文章：《这些“假螃蟹”，也长得太好看了！——瓷蟹》
1696948683# #中午十二点起来到现在一直在录音，现在休息下，看会儿推，吃点饼干，晾衣服，等下还要写公众号。。。不负责任转发
1695900442# #越说越离谱，土豆你真的不太行！晕费解。图二：普京签署命令将纳粹送到加拿大议会去羞辱土豆哈哈哈哈笑cry笑cry允悲允悲允悲。。不负责任转发
1701070791# #干嘛打马赛克？她很快就会去卖的
1699186704# #这纸的长度每天都在增加，就在全世界的关注下，以色列还在拼命扩大他们的占领区，真的无法无天。
1695406127# #刚又看了下这个视频，真预言贴。。。不负责任转发
1692124344# #好了，睡觉！。醒来的时候这地球还没有被AI占领吧！。。魔女屋lylAI绘画
1697195635# #加沙最大医院门口摆满遇难者尸体这个时代真的很魔幻的，看着生活在地狱里的巴勒斯坦人民，一边看着美国和以色列胡作非为。
1693938327# #呵呵，没放个牌子？
1693816570# #AI绘画超话正在玩AI绘画，一边开直播。。LD原创艺术ai绘画
1697876451# #突发：伊朗警告其公民在24小时内离开黎巴嫩。这意味着以色列仍然很有可能入侵黎巴嫩并与真主党打交道，而不是加沙。。真主党是犹太复国主义者的真正威胁，他们有十万大军，比区区哈马斯的威胁大多了。好吧，犹太复国主义者很有可能决定“全力以赴”打击真主党并在黎巴嫩领土上定居。而美国将帮助加沙
1691737260# #怪不得我和闺蜜回国都觉得乡下人进城了，这个阳澄湖服务区要搞毛啊？？。虽然我要吐槽那个室内景观，假蓝天白云啥的，但很多高科技的玩意儿很吸引人啊！。。不负责任转发
1691045344# #纽约，这个拿着垃圾桶来打劫也属于无法无天了，警察既然不管了，那只能自己保护自己了。。。不负责任转发
1688199270# #里昂的朋友担心巴黎情况下周还会恶化，但是里昂昨晚都这样了！。大家在说这次是捅了黑人阿人的窝了？。其实，每一次出事都这样，法兰西常态。。。不负责任转发
1690089310# #看点新闻准备工作，这个第一图是种草莓的机器好好玩。。无人鲨艇这个视频也很过瘾啊！。。不负责任转发
1688304884# #日野真纪MakiHino。出生于长野县。。1993年开始在西蒙学院制作玩偶。。1997年起在皮格马利翁玩偶学校师从吉田亮先生。。2010年，她开始用自己的方法制作纸娃娃。。。目前，她正在使用丙烯画制作纸娃娃和御江娃娃。。。魔女屋lyl娃娃
1697132996# #以色列在哈马斯如何杀害并斩首40名婴儿的问题上撒了谎——每个人都相信它并且吓坏了。30名巴勒斯坦儿童和11名联合国工作人员因以色列空袭而在加沙🙃丧生——无人关心。。。巴以大规模冲突进入第五天不负责任转发
1696830823# #嘿嘿嘿可怜
1688466687# #刚写完今天的魔女屋lyl，介绍一个法国手工珠宝品牌：诞生于蔚蓝海岸的法国珠宝首饰品牌：LesNéréides。。珠宝首饰
1694441135# #机翻：布林肯表示，乌克兰当局准备与俄罗斯进行谈判以结束战争。（要终局了吗？）。“当谈到谈判时，需要两个人来探戈。到目前为止，我们还没有看到弗拉基米尔·普京对外交感兴趣的任何迹象。如果他表现出兴趣，那么我认为乌克兰将首先进入谈判，我们将紧随其后。每个人都希望结束这场军事冲突，但它
1698183257# #联合国基本上就是废物啊，自己的工作人员都被炸死了，然后就跑了，几次停火决议被美以否决，这种投票制度有毛用？
1693895997# #魔女屋LYL超话她风格独特，色彩艳丽的插画，吸引了我的注意力，显然Gucci比我更早地发现她的才华——她是一位在曼谷出生和长大的泰国当代艺术家和设计师。作为独立艺术家，Phannapast创办了自己的艺术和设计工作室，并与众多国际和本地客户合作。。。她的大部分绘画风格都与童话氛围联系在一起，使
1688742385# #RithikaMerchant，一个印度女艺术家。她不介意使用任何媒介来完成自己的艺术愿景，刺绣，绘画，多媒体材料都是她的创作道具。。于2008年在纽约帕森斯设计学院获得美术学士学位。自毕业以来，她的作品广泛展出，包括在印度、西班牙、德国、法国和美国举办的多次个展。。。魔女屋lyl艺术分享
1693986355# #这种不是小朋友吃法？转成一个球？
1696770719# #吃完午饭了，继续看新闻，原来，巴勒斯坦再不打就灭国了，已经没多少领土了。。。不负责任转发
1693075992# #我咋看到这张脸就恶心呢？
1697090589# #以前我还不懂为什么那么多人说起以色列深恶痛绝，最近关注了一下之后觉得真的是毒瘤
1691608871# #今晚把小飞船做成视频了。。AI绘画LD原创艺术
1695453193# #啊哈哈哈
1697176526# #泄露陈牧驰离婚信息或触刑法这个人是谁？还挺帅的doge。关于个人信息，每个人每天不都在泄露中？哈哈
1696831862# #哈哈哈，一开始我还奇怪怎么伦敦人都支持巴勒斯坦？后来一看基本上全世界民众都支持巴勒斯坦，就很奇怪微博上很多中国人支持以色列二哈二哈二哈
1698751625# #上海把万圣节玩成cos节一年一次，发挥想象力创造力，把自己变成鬼样子，挺好的，不用大惊小怪，上纲上线哈哈哈哈哈哈。
1691290089# #很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自魔女蓝
1703928191# #在我开始写文章之前，刷一会儿X上新闻。。。巴以冲突
1691566306# #搬运点推上新闻，今天又起晚了。。。不负责任转发
1693592336# #这是一直以来西方国家在非洲掠夺的财富，要翻译吗？。。不负责任转发
1693075963# #还不知道是谁干的啊！
1689341821# #这位俄罗斯女生叫SashaRusskaya，因为全是俄语的资料，所以我这里找不到她的简介和网站哦！但她用拼布材料制作的娃娃都特别可爱，丑萌丑萌的！。。。魔女屋lyl拼布娃娃
1698448569# #好多人啊！希望明天能停火！
1695810869# #一年一度月亮见面大会提醒我了，本周六要带咪蛋去过中秋节，还没想好去哪里，肯定要穿嫦娥的汉服美一美。哈哈哈哈哈哈
1697882837# #很有建设性意义，普通人没能力救助大型犬类，明星们一天的工资就可以养活多少条狗狗了，别在微博上像个普通人一样键政，直接行动就好了酷酷酷
1694415257# #每次看外网都觉得，人类很多时候还是活在蛮荒之时——视频中的穆斯林少女被父亲逼着按手印，嫁给她不喜欢的男人。。。有点可怕的是，法国的穆斯林都在学校里找花季少女下手，洗脑她们要她们皈依伊斯兰教，这是发生在我二嫂大女儿身上的事，家长没办法只能转校，但也没办法一直看着孩子啊！。。
1703157014# #魔女屋LYL超话使用镜子拍摄五张对象的方法首次发表在1890年代的《科学美国人》上。。它很快就被收录在《摄影百科辞典》和《摄影娱乐》中。。拍摄对象面对两块镜子，两块镜子彼此成七十五度角，由此产生的反射产生了一组五个等距图像。。“多重照片”被宣传为一种“以别人看待我们的方式看待我们自
1700484930# #魔女屋LYL超话起床了，开始元气满满的一天，今天先找一些好玩的傻兔子插画吧！。。魔女屋lyl插画
1687975869# #图1震惊了——乌克兰男子和他的妻子在试图越过斯洛伐克边境时被捕。。事实证明，他们在乌克兰购买1至2岁的儿童，然后将他们出售到欧洲以获取器官。。他们计划在乌克兰以5,000美元的价格购买一个11个月大的孩子，然后在欧洲以25,000美元的价格出售。。。不负责任转发
1702205912# #加沙到底有多糟糕？一项研究刚刚得出结论，“平民死亡比例比20世纪所有世界冲突中的死亡比例都要高”，而那是20世纪，你知道，那是两次世界大战的世纪。。我们所看到的恐怖确实是前所未有的。。。2023年，人类在面对杀死妇女儿童超过任何年代的事件，仍然束手无策，这是文明的悲哀和堕落。。。巴以冲突
1701070478# #越来越多的儿童被从以色列监狱释放是的，你没有看错，孩子们。。多年来，以色列一直将儿童当作成年人关在监狱里。8年、10年、16年都没关系。他们多年来一直被监禁、虐待和殴打。他们为何被指控？。正如以色列驻联合国大使所说，他们扔石头，他们为什么扔石头？因为他们生活在赤贫之中，住在有栅栏的集中
1697233218# #我想起以前看到以色列国家出席奥运会时，大家都还很热情友好，今后不会了，看到这三个字直接联想到刽子手怒
1689664729# #呀，言论自由是不存在，所以谁才是听不得反对声音的？。。不负责任转发
1697011601# #加沙地带实际上就是以色列包围的种族隔离区，性质与1940年代纳粹在波兰建立的犹太人隔离区几乎一模一样。以色列国防军和纳粹党卫队仅对隔离区维持少量物资补给，以期让里面的人民自行慢慢消亡。这必定引发隔离区人民的反抗，纳粹对付反抗的方式是炮击，轰炸，切断食品和电力供应。这与今天以色列对加沙
1703261218# #论美国尴尬的繁荣卫士护航计划。。。。。。。。以色列的目的就是把加沙吞了，把人赶到埃及去。。。巴以冲突
1690367749# #太有爱了，小猫咪叼着火腿肠分给小狗。。。不负责任转发
1695293850# #乌克兰国防部宣布萨拉·阿什顿-西里洛已被停职，接受调查。乌克兰计划正在从内部崩溃。。。不负责任转发
1687166720# #一群在大海上找鲸鱼的摄影师没发现真的鲸鱼就在船后、、、、、、。。不负责任转发
1688227209# #啊哈哈，第一句话真理！
1703013546# #关注一下
1695919761# #趁蛋总回家前更新一篇超级短的小说。。魔女蓝。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1697831581# #一天之内先炸东正教堂，又炸清真寺，犹太人果然天怒人怨，这么喜欢招仇吗？。美军基地一直在被袭击，人民说：炸死孩子不是自卫。。我该睡了。。。巴以冲突不负责任转发
1698146410# #支原体肺炎为何会反复发作天哪，今天刚知道，我有个朋友因为咳嗽过猛把自己肋骨咳断了。我也天天咳嗽好多年了，等回国好好治吧泪泪
1690204415# #Idalusherois是一种长着一张小丑脸的蛾子，它由WilliamSchaus于1889年描述。它发现于墨西哥、委内瑞拉和巴西。。因为这个脑袋太好玩了，所以俗名就叫“小丑脸蛾子”Clown-facemoth。。魔女屋lyl蛾子
1695200181# #这种破玩意儿怎么还不取消？君主制怎么还存在？
1698400537# #啊，这张图，泪目了！。。巴以冲突
1697438494# #原来PUA始祖是犹太人啊，我越看历史越觉得从古至今，这犹太民族的确是个祸害，一直在卖惨，扮猪吃老虎。
1697830830# #柏林警方这几天一直在街头驱散示威者，非常忙碌，虽然逮捕了几百人了，但街头仍然不消停。。。巴以冲突
1695663163# #水深火热的巴黎刚去超市买东西，法国银行卡被拒收，跑到外面银行取现，国内银行卡又不识别，换法国卡，倒是可以取现，就很离谱，我怀疑跟上周我有在一个超市花钱之后，卡里没有扣钱有关，明天又要长途跋涉去银行看看到底咋回事。。。唉，又要浪费半天时间。
1689145126# #今天另一个朋友被恶意多人投诉封号，也是找了很多好友都解不开，腾讯现在是不是有点过分了？明明都是没问题的好友，就都是什么安全状态不正确，那全中国人都有问题？？腾讯微信客服
1695458673# #AI绘画超话昨晚用咪蛋画的小猫生成的AI绘画，都不如原图可爱呢，今天继续试验。
1697728091# #有媒体报道，在加沙医院爆炸现场发现一片MK-84航空炸弹的残片，MK-84是F-16主要的对地攻击的弹药之一，美国造。。虽然，大家都对是以色列炸医院的深信不疑，但是对他们公然撒谎栽赃哈马斯更觉得恶心。世界上现在已经没有比以色列为代表的最卑劣低等的人了，这里泛指一切支持以色列暴行的“人”。。。
1692036939# #今晚继续读这个三观很正的童话故事，法国人写的《自由的玫瑰》，你可能没有听过的童话故事。。魔女蓝。很喜欢喜马拉雅undefined的节目给咪蛋宝宝讲故事——好听又好看，听点有用的，每天进步一点点！
1688063042# #这么严重了
1700649950# #推动巴勒斯坦问题早日得到全面公正持久解决。。杀了多少妇女儿童，医生记者的以色列，人类之耻！。。巴以冲突
1701070739# #这些孩子们仅仅是因为扔石头，就被抓进监狱关许多年。。。越来越多的儿童被从以色列监狱释放是的，你没有看错，孩子们。。多年来，以色列一直将儿童当作成年人关在监狱里。8年、10年、16年都没关系。他们多年来一直被监禁、虐待和殴打。他们为何被指控？。正如以色列驻联合国大使所说，他们扔石头，他们为
1687522368# #发布了头条文章：《恋鞋癖之迷醉——纽约大都会博物馆馆藏美鞋一览》。。魔女屋lyl美鞋
1697020741# #以色列议员呼吁使用末日武器呼吁把犹太人都清除吗？我听错了吗？将错就错可以吗？黑线黑线黑线
1697553331# #刚研究完动物世界，现在来看看万恶的人类在干些什么？。联合国称以色列可能构成国际犯罪。。巴以冲突不负责任转发
1696070505# #终于在巴黎安顿好继友续更新这本书，这一集里有七个小伙伴的情献声，新鲜出炉，一起过中秋了。。哈哈哈哈哈哈魔女蓝。。很喜欢喜马拉雅上魔女蓝的节目，快来听一听吧（分享自
1700049498# #昨天看新闻说以色列只有45个人死亡，，，呵呵呵，真实数字没人知道。
1698223442# #调休放假对你来说方便吗一窝蜂的放假真的不太行，建议能让大家自己选择假期，这样旅游错峰出行也更合理，更能享受假期。
