1695609060# #真心希望这个是摆拍吧！（视频源于网络真实性不知）。。日常想法
1693877460# #刘强东夫妇在商场购物时等候电梯现场赞
1691559180# #专治各种不文明行为
1691410455# #段子来源于生活，八零后辛苦了
1691398802# #火车上发生这一幕，眼镜哥挺身而出，你怎么看？
1695275160# #祥瑞到家害怕着呢，小点声儿，给孩子弄吃的吧！躲雨的大熊猫已被送往救助站。。我的幽默搭子定格
1695194160# #结婚礼单上惊现“顶账”，备注里解释得明明白白。网友：他做了，我一直不敢做的事情。。我的幽默搭子定格
1702776660# #最后模仿笑死我了允悲允悲允悲允悲哈哈哈哈哈
1687624317# #瓦格纳雇佣军集团强硬回应普京讲话
1692802860# #国外网友偶然拍到麋鹿妈妈的复仇
1689936038# #视频时长2分钟，有耐心看完的，一定有所开悟。素材来原于网络，分享给大家
1698492555# #美国人用一口流利的中文，引用毛主席《为人民服务》中的话，给中美关系提出建议！
1701741791# #永远不要惯坏自己的女朋友
1701750601# #恒大蛤蟆舞震撼上线🤣🤣
1701067909# #女子为了看孩子，在校门口等了一个多小时，见到日夜思念的孩子后，想和他说说话，想带他去买点东西，不料孩子却说：拜托以后别来打扰我，女子看着孩子远去的背影伤心万分。
1694502060# #这里是天堂吗
1702172200# #广东三和大神桥洞
1700208989# #B站公布治理非法暴露他人隐私行动进展网络时代，个人隐私放在首位，这要有啥事，别人知道的真真的摊手支持整治，希望网络空间安全
1693876155# #北斗系统助力国人点亮全球足迹。中国北斗，为你骄傲❤️
1693271760# #汉奸的下场一定会很惨！！！
1702990365# #这牛是什么情况啊
1693927860# #猫妈妈叼着宝宝去挂号，向人类寻求帮助
1702628220# #你看看人家抓牌这技术…doge
1690877943# #第一眼以为是要碰瓷，看到后面原谅我没忍住笑了…
1687786515# #环保工程师看到这，头也不回就跑了
1698475032# #哈哈哈哈哈哈我要笑死了
1699436680# #好记者讲好故事有些对话可以跨越生死，有些精神可以永远传承。来看“敬礼娃娃”郎铮和记者的故事。。15年后他代父亲续拍敬礼娃娃故事敬礼娃娃跨越15年的照片背后
1687610760# #近距离感受陈冠希个人的魅力❗❗
1699789020# #监控记录丈夫家暴怀孕妻子，打至昏厥嘴巴出血。儿子哭喊跪地阻止：不要再打了。网友：看到真的咬牙切齿，可伶的孩子可伶的女人泪
1702083758# #太行崖柏，一线柏农的日常。
1702386102# #盘点监控下不可思议的瞬间
1704026273# #北京什刹海落水儿童救援实况北京什刹海有小孩落水众人接力救援
1696812060# #这下好了，可以当饭吃了
1691457300# #男子被打后跑到超市报警，嚣张地询问老板地理位置。网友：挨打的原因找到了
1694509260# #电影拍摄现场花絮嘻嘻。卡裆有点疼允悲允悲允悲允悲
1698826539# #军师不得上战场嘻嘻
1701444795# #学校操场举办抢零食大赛。一学校运动会上，老师们为学生抢零食，个个拼尽全力，这个速度就像快下雨了抢收晾在院子里的麦子一样拼手速doge。
1701684960# #男子为了八十岁的父亲和脑淤血的母亲不受冷，烧暖热炕让父亲和母亲睡在上面，“这样坑养人，人身上的寒气都能逼出”
1690590325# #“每日一遍，禁止颓废”。“不要被欲望击穿你的意志”
1690302377# #消防员遇到的奇葩救援，超乎意料之外的结局
1696747560# #男生晒出女友的迷惑行为，这到底是什么原理？
1700364660# #演员杜旭东公开道歉，承认为电诈头目庆生的错误，“受朋友之托，未查证此人身份背景”
1700626500# #离离原上谱越来越离谱
1693212360# #干的漂亮，一路走来不容易。以后祝愿你生活幸福
1690191480# #我算不算村里最成功的男人😂
1703866411# #经历过涅槃重生的女人，没有人能搅动她内心半分
1700923144# #景区内发现清洁工抬垃圾袋往路上抛撒树叶？景区回应
1694085360# #狗狗我呀，也不敢吃海鲜
1697022360# #哈哈。鸬鹚，原来你也有不行的时候。
1701154722# #老太太在一条路上长时间拍照引村民怀疑，称“现在行走的间谍可多”。这份警惕性值得肯定。。。微博喜剧现场平凡
1693581360# #任何事情刚开始都很痛苦，甚至没人支持，没人理解，但只要你成功后就会有人羡慕，甚至没有人记得你的过去……
1696318620# #这弹跳就离谱
1697084040# #原来做鱼这么简单心
1687228661# #你们觉得是这么回事不
1694081860# #无人机：好看吗，拿命换的！嘻嘻
1695996540# #别在说什么此生必驾318了，堵的连妈都不认识了。。西藏堵车震撼全家
1698457542# #三个小朋友太搞笑了😃
1693456260# #男生凌晨路边喝酒，看见远处火光以为着火了，急忙跑去灭火结果万万没想到！
1687434960# #女子出去买粽子网友：真怕她突然吐一股黑雾出来
1703483755# #这种情况怎么办？
1687411399# #女大学生COSPLAY观音菩萨考试，网友：在做题和作弊之间选择做法
1695348382# #王治郅说12块亚运金牌很沉姚明、大郅、阿联，熟悉的名字都走远了，未来中国篮球还有谁能挑起大梁？
1696382160# #吵架吵不过老婆，走路都要走到丈母娘家告状，看这架势平时没少受气！
1687596840# #你不知道的历史十大冷知识：。。一、宋朝之前，平民百姓只有一日两餐，诸侯三餐，皇家四餐。。。二、衣冠禽兽在古代指的是官员的朝服，源于明代官员的服饰，原是褒义。明代官员的服饰规定，文官官服绣禽，武将官服绘兽。。。三、老公是古时对太监的称呼。。。四、唐代儿子叫自己父亲叫大人或者哥哥。。。五、北京
1690461819# #独轮车隧道内飙车快到能反超汽车，交警回应：尚未找到该男子。
1693296060# #街访这么多女孩，最坦诚的一个赞
1691044260# #川藏线318遇到真正的仗剑走天涯
1694087160# #大家一定要记住这个人
1689323268# #这年头，养儿的意义在哪儿？
1692980160# #核废水的危害到底有多大？
1702914928# #老罗这次是直接揭老底了，17年前的事和做锤子手机时的3小时辩论都翻出来了…。。罗永浩称东方甄选会继续去董化
1694829660# #李佳琦的事暴露了一个惊天大秘。。喊话李佳琦的医生称希望提高医生收入
1690535418# #网曝女孩骑车等红绿灯时被陌生老人猥亵路人怒斥变态还被怼
1703997060# #一个人真正值得炫耀的东西，是善良，是教养，是包容，是见过世面的涵养
1697863100# #我虽然简朴，请别当我是乞丐，我凭本事捡的，你有何看法......
1696557660# #又一位女司机封神，高难度停车技术不错！
1693292460# #有没有一种可能，之前就一直在偷偷排水了…
1694352660# #男人真是什么事都干得出来
1691643724# #慌不择路啊，嘻嘻允悲
1694924160# #这狗跟我老公脾气一样！。。我的幽默搭子定格
1692458700# #吴艳妮马不停蹄，她开始备战奥运会，目标就是夺得冠军，为国争光
1695870133# #家电清洁小妙招，学到就是赚到。。。我的幽默搭子定格
1692506760# #我的神呀，果然快乐都是建立在别人的痛苦之上的嘻嘻
1691668771# #封神男团海岛路演哇塞太羡慕了啊？真的是太期待了，不知道封神男团们会告诉我们一些什么有趣的事呢
1694750460# #泰国亚锦赛她被无情夺走了冠军，杭州亚运会本土作战，她一定会为国争光！吴艳妮加油！！
1699973760# #被侵犯时发出享受的声音
1695463914# #钟丽缇大女儿去看演唱会，直接在观众席换衣服，对于她来说从小接受西式教育这些行为举止并无不妥，只是看完整个换衣过程令不少国内网友大跌眼镜，直呼太过大胆难以接受！。。涨姿势想法
1695295294# #笑晕了，这小时候的内心戏是全国统一的吗？一些死去的回忆开始疯狂攻击我了。。。我的幽默搭子定格
1700495707# #果敢同盟军即将进攻老街。。果敢同盟军最新战况，休整即将结束，即将吹响进攻果敢老街的号角
1702128352# #祝大家心想事成好运连连🙏
1701869160# #女生晒出自己产后的肚子，妈妈是世上最伟大的。
1700200860# #认亲系列，我就问你搞笑不，等我啊
1688558807# #公园保安驱赶卖冰棍大爷一怒之下把冰棍箱扔掉
1698883260# #要准备换个舅舅了……这下可麻烦大啦！
1693239360# #一时分不清谁是主角怒
1696476780# #许家印和赖昌星谁的危害更大
1697419860# #亚洲小伙在非洲教当地村民种植发家致富
1691403300# #小学生一口流利的英语惊呆外国人
1693876560# #韩国交警查酒驾现场，说话和韩剧里一模一样，全是靠吼的
1703142240# #1945年战士处决汉奸真实影像，连续两枪射出，汉奸瞬间毙命！
1687151580# #岳父送我的老车，清洗后丈母娘却后悔了！
1692667860# #在牛面前，还装牛嘻嘻嘻嘻
1696316449# #三轮车过减速带，轮胎还自己跑了
1695570360# #竟然在日本被歧视，我必须反击。。涨姿势想法
1687435380# #为了省税费这波操作也是绝了！
1694271660# #干锅花菜跟我一起学做菜吧
1703393340# #这是在干嘛？
1690082087# #睡前没有，睡后也没有，梦里啥都有？😂😂😂
1694677560# #缺德动物行为图鉴
1696578896# #陈佳鹏这个冠军不得了，太提升民族气节了赞，四平市委也好给力赞
1694230500# #两名学生在树林里发现一枚炮弹，徒手挖出后送进了校长办公室...
1697026538# #喝茶就一个字得品。赵本山程野
1691037960# #抗洪中的感人一幕蓝天救援队队长艰难拖着橡皮艇向前走
1702361822# #我们都忙着看风景，他们却把自己站成了风景。你愿意为这些风雪中守卫祖国的身影点赞吗？
1692947760# #这个无文案
1701158724# #自从有了闺女，我在这个男人眼里就变成了空气。
1696469880# #你那里的高速堵不堵啊！
1700148204# #家有碎嘴男
1694842260# #不讲道理的女性。.
1698226153# #看把姑娘饿廋的允悲
1699866120# #没想到还有这招？？
1695874445# #蒙眼挑战之西瓜专治不开心
1692698460# #这包袱抖的，一个字，绝！允悲赞
1703055660# #泰迪也疯狂
1688016108# #两口子办离婚，吵架跟说相声一样，太逗了
1697061960# #它怎么还duangduang的
1690902960# #没想到前妻和妈妈见面能有这么多“惊喜”
1697989885# #为了拍个视频何苦，等下梦想成真怎么办🙏
1698467332# #就喜欢给小姐姐擦汗
1703067360# #谁家老公一年只存八万，每天准时下班回来带娃，说是帮我减轻负担，他却不知道我已经有了离婚的想法
1698288154# #主人船上一声呼唤，猫咪神同步纵身一跃跳上船！网友：《环太平洋》同步训练曝光
1693707360# #分析透彻，一针见血
1691744580# #请各位司机师傅注意，开车前必须围车辆观察一下，确认安全后在启动车辆行驶，以免碰上此类事件。
1700041390# #哈哈哈哈哈这配音绝了赞
1696590999# #弟弟穿婚纱整蛊姐夫，亲友笑成了一团。
1702474592# #南京城沦陷前是什么样。1937年民国时期，南京沦陷前百姓逃难珍贵影像，现场人山人海
1696301492# #来接妹妹，没想到他同学竟然...
1690601520# #工艺再精湛我也不会用日本和德国的东西！
1699096740# #恭喜你，比你闺蜜先刷到
1690541160# #澳门赌王之女何超琼参加活动现场，气质非凡👍👍👍
1697343267# #假如一觉醒来回到30年前，没有大鱼大肉，没有网络，只有年轻的父母，而且很穷，你愿意吗？
1688609087# #和我比心嘛
1696662060# #救苦救难积德行善嘻嘻
1693482360# #跟黑人同居过的女生没人敢娶了吗？
1695890519# #沈阳抗美援朝烈士陵园敬献花圈。陈凯歌陈红朱亚文张子枫黄晓明陈飞宇魏晨
1696222860# #爸爸为了下车抽烟把儿子落在高铁上，男孩淡定地向妈妈“告状”。
1692507660# #你啥都不懂还给我鉴定😡
1692542760# #搭讪翻车名场面，缘分不仅需要勇气还需要有运气
1701869940# #帅哥坐摩的吗？
1703061378# #这才是真正有用的生活小妙招，学到就是赚到
1700550060# #单见着它俩哪个都够吓我一跳了
1696598314# #高校大瓜男主63页PPT曝光某大学女友出轨多人，聊天记录全曝光
1694417460# #伴郎翻墙，帮好兄弟开门，踩裂墙体，掉进院内大盆：这兄弟能处，幸好摔得轻！
1703764887# #哈哈哈哈哈哈哈哈笑得停不下来啊
1698402116# #大学生和小学生比赛蹬车，结果却被小学生们碾压！
1702611061# #淘宝回应小伙网购工业品造出飞行自行车高手在民间啊！不得不说真的可以很厉害了。完全被这个给吸引到了，没想到我竟然这么厉害。这波涨了大见识了，这位小伙子太有才华了啊赞
1700833156# #强力防蚊马甲，🦟根本无法靠近，非常耐思
1701660960# #这种兰花，是把花剑剪下来，插到含香精的溶液中，让花剑吸收香精，花就散发香味，这种香不是自然花香，香精香冲鼻子，花苗再喷上激素，维持叶面油光锃亮，然后把花剑插进兰花球根中伪装好，这样的兰花买回家三五天后，花不仅香而且开始枯萎，兰花也开始腐败。这样的花用到三种技术，喷激素，泡香精，拼
1688054040# #说不出的心酸农民背的太多了，走到半路背不动了，没办法，只能坚持一下背回家了！
1701183503# #这个算好的了，至少知道自己错了不吭声，我家这货敢说她会飞起来咬人允悲
1700309108# #酒局出丑，学会闭嘴很重要
1695878806# #当鹦鹉“自嗨”被发现时…网友：在一只鸟身上读懂了“尴尬”
1689977520# #风水轮流转，姥爷也有今天。
1700974860# #罕见江苏柳琴戏，唱腔太短了，好听。赞赞赞
1690881420# #娘，永远都不欠孩儿的
1696936860# #斩断外籍势力涉黄行为
1690805820# #现实版的骨瘦如柴了，风一刮真怕她飞走了嘻嘻
1692944160# #不利于夫妻和谐的，必须给予严厉打击，就比如…😏
1689127702# #分别五年，高原战士再见父母，摘下面罩的那一刻破防了。
1695397680# #“这条视频被施了魔法，不管你写下什么愿望，明年都会实现～”。。我的幽默搭子定格
1698316394# #绵羊音天花板嘻嘻哈哈哈笑cry笑cry笑cry
1697426400# #憨憨女生的社死瞬间
1701875986# #演员邵逸凡自曝多次被迫假唱演员邵逸凡揭行业假唱内幕：奥运小女孩也假唱，崔健真唱没上春晚
1701082908# #如果你的账上突然多了一千万，你会怎么说？
1701250740# #女友用一整勺盐试探男友结果…“看得出来男朋友在努力爱着我”
1695264360# #当地的华人导游每带中国人去这里参观，总会提醒一句：看牌位上的字时要蹲着看，如果弯腰，就等于给日本侵略者鞠了一个躬。感谢您和我们一起努力
1696229119# #一个敢甩，一个敢接赞
1695357960# #70多岁退休教师暑假辅导孙子画面真实又有趣网友：在作业面前，隔辈亲也不亲了。。我的幽默搭子定格
1692833700# #据报道，辱骂李玟的好声音女导演身份曝光，她名叫柳骊，是上海人，曾在蓝台工作，也是星空华文的股东。据称，柳骊的背景十分强大，她的爷爷曾是某电影厂的厂长，祖孙三代都从事与电视电影相关的工作。柳骊认识许多圈内人士，人脉广泛，她甚至可以轻松解决列车故障问题。好声音总导演称柳骊是一个万能的
1690808928# #努力的女孩，加油
1689077548# #有个疼你的人真的很幸福
1693967460# #向英勇无畏的俄罗斯勇士致敬，你们是最棒的赞赞赞
1694451141# #这是谁家啊？
1690783260# #谁能告诉我姐结婚的一百个好处，我是说服不了她了
1696555860# #只要我不尴尬，。尴尬的就是空姐😂😂
1695281460# #哇。这个猫好聪明。。我的幽默搭子定格
1694587560# #说她是西游第一美不过分吧！不仅有颜还有才，没演戏之前曾在科学院工作，妥妥的小说女主人设啊！她总能给人一种端庄大气，岁月静好的美
1703993599# #这交警也是人才，这音乐配的是绝了允悲允悲
1696608420# #隧道挖到暗河了！快走！
1696922160# #米格23空中出现故障，飞行员弹射出仓！
1704021360# #致敬中国军人！！
1702641443# #2023这个世界发生了什么。。2023年有什么令你难忘的瞬间吗？。。公主王子请一起回顾2023…
1690210802# #卡车人的生活唱出了心酸勇敢坚强赞赞赞
1689673566# #贾姨又一次揭秘人贩子套路
1701248132# #王菲早年波光粼粼妆王菲颜值气质巅峰时刻应该是和谢霆锋恋爱时候吧！
1694231340# #听说吃鱼籽不识数你小时候吃过吗？
1692521160# #人在金钱面前都是那么渺小，永远都不堪一击。
1698805590# #真的！！男人们滑到这个视频…..基本都是从头看到尾666666666
1703667908# #戏唱的好东家送的福利
1697815060# #香港地铁判官竟在我身边！粤语骂人真的也太有气势了吧哈哈哈🤣
1702035663# #下一代互联网专利中国企业登顶现在的生活离开互联网走不动路！懒得做饭懒得出门，就点个外卖，出门也有那么多打车软件，随叫随到，订酒店、订景区、手机支付、线上购物...一切都方便得不得了。。。感觉生活越来越便捷了，都是互联网带来的便利和新鲜体验。而且咱们国家的互联网发展后劲十足，现在好多
1701082152# #给婵宝丢的娃娃她接住了偷笑
1693563360# #山东女子学院女性学专业迎来首位男同学。“男生也要报考，为更多女性发声。”
1703046673# #不可思议，乌鸦为什么会阻止金雕捕食狐狸？
1699172654# #小时候努力模仿着大人的样子长大后却发现再也回不去了
1691066661# #城管收了老人的秤和三轮车钥匙老人报警警察让城管把东西归还。这波操作给人民警察点赞👍
1702870210# #阳谋的嫂子
1689738972# #原来真的有这么一个地方可以让你忘掉所有烦恼
1690471620# #不是中国的玩意儿
1695553441# #宝宝的迷惑行为允悲。。涨姿势想法
1699709044# #干掉你的不一定是同行
1688447820# #越野车轮胎不慎脱圈，男子用“火补疗法”瞬间修好。网友：这是什么原理
1693447260# #这些老品牌，竟然是外国牌子！
1703133837# #1950年长津湖战役真实影像，志愿军双脚被冻肿，看完让人泪崩
1701859200# #给牛喂饲料，结果忘了喂最后一头，想起来时，牛的表情亮了
1703392440# #今天是长津湖战役胜利的日子12月24日不是“平安夜”，是长津湖战役胜利的日子
1688090520# #挑战:一只手臂把人抬起，你可以吗？
1696128720# #许家印被抓，还能交房吗？地产时代是要结束了吗
1691477717# #高手在民间，下雨天两台车窄桥相遇，一个敢倒一个敢过，真担心掉下去了
1702710181# #南京大屠杀公祭日学校对学生红色教育家长反对并举报
1689825300# #有没有同款老人允悲我们老了会不会也这样嘻嘻
1695384120# #祖国统一势不可挡！中国必将统一！！！
1689762631# #有一说一这店长什么水平啊？
1699532026# #妈妈扛着孩子在客厅玩一旁的爸爸见后:好了好了到我了结果...网友：万万没想到还有他的份儿
1691057760# #蔬菜切法，赶紧收藏起来慢慢学
1691741963# #没有男朋友会快乐吗？但我知道没有女朋友会不快乐允悲委屈作揖作揖
1699710000# #花式玩棒球棒最后一下太帅了赞
1694391660# #曾经的郑智哭着表示愧对球迷，如今面对球迷的质疑却这种反应！唉~这就是中国足球吧！。。。我的幽默搭子生活
1690430520# #弟弟调皮磕到沙发，妈妈却怪沙发不好！接下来女儿的话值得所有人深思
1693922460# #大量移民到巴西、究竟有何目的
1688955677# #愿得一人心不用再相亲
1690167420# #今天的黄果树景区，人多不多你说了算偷笑偷笑偷笑
1690468380# #小男孩在阳台上打闹着玩，不慎从6楼坠落，千钧一发之刻众人合力救下了孩子
1687966039# #此生必駕318，开了一半想回家
1693918860# #李双江儿子：被维也纳，艺术大学录取！
1693716360# #孩子成长是需要阳光的！
1688531460# #真是出乎意料啊允悲
1699785420# #61岁董文华商演，歌声大不如以前，出场费比蒋大为高
1689211584# #爸爸回应7岁女孩满头大汗咬牙不放弃做收腹举腿：业余爱好都是很开心，专业性的东西都很苦
1695482640# #吃了甲方吃乙方一个字牛！。。涨姿势想法
1695309660# #司机让乘客报手机尾号，乘客报了半天也没搞明白！。。我的幽默搭子定格
1700991060# #我嘞个豆这么幸福
1695368761# #网友都说我微博是高质量博文，你认可吗？。。我的幽默搭子定格
1690382820# #刀郎新歌爆红，那英被嘲骂130多万条，昔日问怎么关评论视频走红
1702652582# #Uzi元梦之星ID大家玩上了吗？都叫什么id呀
1701957250# #极品损友啊！
1695051060# #张本智和作为中国人跑去日本参加乒乓球，现在要返回中国四川祭祖，四川当地人不让他回来，还骂他汉奸！。。.
1696419233# #百口莫辩，跳黄河都洗不清了吧
1695548760# #哈哈哈对方演技技高一筹！。。涨姿势想法韩国选手掌掴对手被罚下场
1695568560# #美国和北约是世界动荡的根源！。。涨姿势想法
1687427856# #巧了她叫张开凤，我叫王利统…偷笑
1687230901# #本以为大儿媳妇好，结果万万没想到！
1698304684# #山东土豪直播间花2000万包邮轮&nbsp;。原来真的有人花2000万包船。。&nbsp;确实被震撼惊艳到了啊？！这也太土豪了
1691298900# #下山猛虎战群狼，保安注定比天狂。
1687667640# #倘若我方派出控球厚卫，你将如何应对？
1696647660# #历史总是惊人的相似
1698745034# #惊艳了全世界的美人，被法国男人誉为“永远挚爱”
1701394098# #拍段子？
1692574800# #七夕情人节你要带谁来玩这个？
