1697630857# #外媒称浸信会医院遭袭已致至少500人死亡看着真惨。。。
1697297322# #又一则以色列国防军坦克在加沙地带边境集结的画面。巴以冲突不断升级面临失控风险
1695649852# #美国之阴造谣抹黑之前把功课做足，不然打脸很疼。
1697795196# #英国右翼分子与巴勒斯坦支持者相互殴打
1694612090# #墨西哥国会展出两具外星人尸体墨西哥国会在周三向政界人士展示了两具“外星人”尸体，组织者称，这些尸体样本有一千年的历史，是从秘鲁的库斯科（Cusco）找到的。UFO
1699588801# #“台中海巡队”声称，8日在苗栗县通霄镇外海20海里海域发现1艘大陆渔船“越界”作业，渔船拒检后，“海巡队”强行登检，“査获”250公斤渔货全部抛入海里，还将船上13人押到台中港调查。
1693818805# #民进党“民代”蔡易余称：赖清德的民调支持度要争取突破百分之50.台湾
1697801803# #沈富雄：美国外强中干台湾
1703335759# #王浩宇：台湾买得贵我骄傲。。。
1694104607# #台湾省百货超市包菜1颗654元（150人民币）
1703934350# #终于说出真心话了。赖清德称冥国给台湾带来的是灾难
1697199600# #呆弯经济崩潰。。。
1703855703# #相隔四年，号称最大的台北车展就这种规模？。门票300元
1700640359# #比亚迪月销30万辆！郭正亮：太不可思议，其他国家很难竞争了台湾。来源：台媒
1693667720# #好久没见高晓松发博了
1697387752# #以色列国防军士兵:“我希望以色列杀死每一个巴勒斯坦儿童”，并承认他杀死了每一个他看到的巴勒斯坦人。
1697036808# #阿根廷举行大规模支持以色列的活动。
1698068824# #一名巴勒斯坦男子在加沙街头庆祝哈马斯向以色列发射火箭弹。。不久之后，他发布了一段自己在以色列空袭后在医院哭泣的视频二哈
1697792422# #台湾省防卫部门：26架解放军飞机和7艘解放军舰艇台湾省周边演训，18架越过“海峡中线”
1697250009# #哈马斯发布士兵照顾以色列儿童的视频
1697961430# #台湾省刷分天后戴資穎明年退役
1696768728# #以色列特拉维夫遭受炮击
1697857180# #今天，一大群支持巴勒斯坦的抗议者聚集在华盛顿特区的国家广场进行大规模祈祷。
1694945773# #日本网红恶意检举华人在荒地种菜二哈
1694250781# #朝鲜发布首艘战术核攻击潜艇下水画面
1696848785# #英国穆斯林公开发言支持巴勒斯坦。“真主至大！真主至大！”
1697368177# #以色列军人救了一条狗。。。
1697359957# #以色列国防部称加沙北部的人要逃只有一条路线了，从上午10点到下午1点，以色列国防军不会在这条路线上进行任何行动。衰
1693829801# #方济各访问蒙古国时称中国人民是“高尚”的人民，呼吁中国的天主教徒要做”好的基督徒和好的公民”。
1693704412# #造神了
1693829215# #猪油时报：霍华德说想当台湾人
1696937273# #以色列切断加沙地带的所有供水线路
1696086823# #9月28日，美国密西根州弗林特一所高中：一名女学生向老师扔椅子，教师当场失去知觉。
1703412798# #绿蛙脑回路挺神奇的
1694693232# #马斯克：台湾是中国不可分割的一部分，台湾和中国的关系就像夏威夷和美国的关系。马斯克表态台湾是中国一部分
1701355992# #台专家：大陆高瞻远瞩，20年前就投资电动车基础建设台湾
1696679916# #欧盟议员在欧盟会议上提议：。为了恢复人类共同价值观有必要将CNN.美联社，德国之声，路透社和其他类似的媒体列为恐怖组织
1702738170# #大陆第四艘075下水！帅化民：兵力投送能力太强了台湾
1697806095# #巴勒斯坦女孩得知母亲被以色列轰炸丧生而痛哭。以色列巴勒斯坦冲突
1696850683# #一枚从加沙发射的火箭击中了以色列阿什凯隆一户人家的屋顶，未爆炸。
1694238287# #看来德国公民已经受够了气候抗议者
1695984384# #台媒称台湾海巡署“扣押”大陆渔船时遭到“抵抗”
1695031753# #今天103架解放军战机台湾省周边演训，台媒：台军的警铃声整天都没停过
1696253816# #真井蛙。今晚中国台北女篮输给中国女篮44分，台湾球迷居然认为中国女篮很差被怼。允悲
1703607761# #一名乌克兰士兵“精准地”向战友脚下投掷了一枚手榴弹，挫败了乌克兰武装部队士兵对俄罗斯军队控制的高地的整个进攻。。。给俄罗斯这边都看傻了……
1697114441# #一句台词没有演绎了时代的变迁，优秀的同学们创意很好
1703940379# #这种人渣就应该化学阉割电梯内猥亵小女孩男子已被警方抓获
1697714302# #巴勒斯坦驻华大使馆11年后再次发微博。巴大使对中国朋友的同情和支持表示感谢。。2012发的最后一条条微博
1697191679# #今天以色列国防军公布Flotilla13精锐部队攻入苏法哨所的画面.。60名哈马斯死亡.27人被捕.其中包括哈马斯南部海军师副司令穆罕默德·阿布·阿里。。解救了250名人质！
1696770015# #阿富汗地震已致超2000人遇难。阿富汗西部强烈地震造成的遇难人数已上升至2060人。报道称，这是该国20年来遭受的最严重的地震之一。。阿富汗国家灾难部门表示，当地时间7日，阿富汗西部发生6.3级强烈地震，随后发生强烈余震
1699459092# #以色列袭击了向加沙市谢法医院运送援助物资的红十字会车队
1702985912# #谢寒冰奉劝日本：在东亚做生意不跟大陆搞好关系恐赔了夫人又折兵台湾
1703246894# #
1695403577# #王菊：外务省继续加钱
1695127875# #蔡正元：台湾就是福建台湾省！金门马祖应做示范区！应让大陆人买地搞企业！
1694965961# #台媒：侯友谊窜访美国，与美国议员交谈。
1701170628# #台专家：比亚迪仰望U8是全世界最强的电动SUV台湾
1697116609# #一名举着巴勒斯坦国旗的示威者在曼彻斯特被捕，罪名是在声援以色列的静坐期间挑衅犹太社区..
1695534679# #乌克兰难民损坏了一家德国超市的食物，他认为德国超市的食物质量不如他在家乡吃的食物
1694875915# #9月14日徐州，男子为孩子，街头求助捐款。。路人：如果你有身份证证明孩子是你的，我们会组织更多人给你捐款。
1694319634# #在波兰举行的欧洲杯预选赛，乌克兰对阵英格兰时，乌克兰球迷打出纳粹《亚速营》的旗帜。
1697992410# #以色列国防军表示，其坦克意外向埃及边境哨所开火，并表示歉意，并指出该事件正在调查中。
1701425935# #台媒体人介文汲：讲到大陆空间站的成就，我就非常感动台湾
1702991874# #日菲首脑会谈，小马科斯求助岸田文雄台教授：日本有胆就来试试台湾
1702094259# #中国135艘船只齐聚南海牛轭礁，台退将：美菲碰瓷根本不是对手台湾
1695732579# #韩国星期二(9月26日)举行纪念“国军日”大规模阅兵，这也是韩国自2013年以来，在首尔街道上再度举行阅兵活动。
1703775838# #偷狗贼
1697373618# #记者围观加沙城外以色列的坦克装甲阵地以军发言人称以军将在中东任何地方行动
1694324456# #周杰伦天津演唱会第三场,与身穿白色婚纱的小姐姐合唱《屋顶》
1703258530# #这是图啥呢这么冷
1696681265# #哈马斯无人机袭击以色列坦克
1696139232# #苏贞昌新书开卖
1701174471# #郭正亮预测：福建舰将部署在台湾省东部地区，紧盯美日。台湾
1696937239# #车臣总统卡德罗夫宣布支持巴勒斯坦，并准备向加沙地带派遣车臣维和部队
1696306555# #台湾“中央社”报道说。英国“独立报”（TheIndependent）报道说，。英国“观察者周报”（TheSpectator）主办的保守党次要活动上，。英国外交大臣JamesCleverly说，。台海战争“对全球经济将是灾难性坏事”，也将“导致中国经济崩溃”……二哈
1694436931# #台湾为了展示自己的“实力”，千里迢迢运了辆三轮车到德国参展。
1696417825# #女子摇晃水上项目两边抓绳，发布者称因其孩子玩的时候掉水里了，她想让所有人都掉下去
1697195236# #台湾省101大楼亮灯支持以色列
1694006413# #国国务院副发言人帕特尔(VerdantPatel)9月5日在例行记者会上重申，美国对日本的排放计划感到满意。吐
1703939995# #男子列车上得知儿子去世痛哭12月30日凌晨1点05分，杭州至惠州的T101次列车正在夜色中疾驰。车厢内一片寂静，乘客们大多沉浸在梦乡之中。然而，此时一通电话打破了这份宁静，车厢内一名男子突然崩溃大哭。这突如其来的哭泣声，瞬间将所有乘客从梦中惊醒。。在众人困惑之际，一名好心乘客上前询问。原来
1697464088# #去高雄看破旧房子，还是去西门町看90年代的街道，天天马路上看摩托车吐吐吐？
1697870332# #巴勒斯坦人举着俄罗斯国旗以及普京和金正恩的肖像示威反对以色列国防军的行动。
1703911558# #猪油时报就是这样不断在洗脑台湾人。大陆发射卫星，骗台湾人是针对台湾地区
1696773078# #杭州亚运，韩国棒球队夺冠后想要在场地插国旗被工作人员阻止。。不懂棒球，这是个什么意思？
1700580814# #郭正亮：美国必须要正视亚洲是由中国主导这个现实台湾。来源：台媒
1695052836# #九一八，今天国民党很安静
1699536183# #加沙的以色列士兵：。“我们回来了，大约20年前他们就把我们从这里驱逐了。这场战斗开始时我们是分裂的，但结束时我们是团结的。我们正在为以色列的土地而战，这是我们的土地！回到我们的土地，这就是胜利。”巴以冲突
1697888873# #吓人，两架飞机在跳伞时坠毁
1697643273# #以色列的官方微博搞精选评论，结果还是被睿智的网友们突破了。。你精选评论，我就支持你，完事儿把头像换成希特勒允悲
1703771190# #中东土豪的生活就是这样朴实无华：每天从三百平米的床上醒来，然后吃饱饭和老虎玩
1693674382# #中国男篮小组倒数第一，又被绿蛙嘲讽了。。。
1694537148# #当地时间12日，美国众议院议长麦卡锡在社交媒体上表示，美国众议院将对总统拜登展开弹劾调查。
1703412465# #欧洲经济复苏明显，街上人潮汹涌。
1696340909# #杭州亚运会棒球小组赛：中国队1-0力挫日本，小组头名出线！。绿蛙吓到了？
1693921551# #美国第一夫人新冠检测呈阳性
1699606154# #加沙城南部的一个高档地区，只是为了让您了解，对于某些（如果不是全部）加沙人来说，生活本可以是美好的。巴以冲突
1697949360# #以色列空军在黎巴嫩南部发射燃烧弹。
1697960296# #昨晚，一位父亲和他的小女儿在加沙被以色列杀害。
1697629416# #今天，瑞典环保小公主在英国伦敦反对石油和天然气的示威活动中发表讲话后被警方拘捕。
1701172656# #台专家：大陆电动车太强了，全球没有国家能PK台湾
1697199931# #约旦大规模游行声援巴勒斯坦
1694799404# #在宾夕法尼亚州最好的学校里
1699545380# #张家界涉事正新鸡排加盟店已被查封11月6日，有网友发视频爆料称在湖南张家界天门山索道某正新鸡排小吃店发现有老鼠在后厨炸锅和食物托盘上乱窜。。官方通报张家界景区小吃店老鼠扎堆乱窜：属实，涉事店已查封。
1697464979# #德国警察揍巴勒斯坦支持者。
1703941188# #厉害了。台湾初中生带枪到学校。。。
1694940852# #台湾一群名嘴讨论雄三导弹：打渔船都那么准，绝对能击沉山东舰！
1702203939# #蔡正元：当年不帮大陆的日韩车企现在被华为比亚迪甩在身后台湾
1695971704# #打爆。。。
1697801619# #按照多方的遥感卫星数据，在19日时，“里根”号穿越巴士海峡，正式进入了南海海域活动。截至20日下午，这艘航母应该已经到了黄岩岛西南偏南约40海里的位置上。
1696688991# #以色列多地遭哈马斯火箭弹袭击、冒出滚滚黑烟
1695142604# #9月15日，印度古吉拉特邦一支印度教游行队伍进入穆斯林地区，高呼反穆斯林口号并向清真寺投掷石块。
1703327377# #"他们为什么不开门？"。以色列士兵在一个被摧毁的民房前敲门，讽刺加沙的受害者。
1693662492# #9月2日，四川成都，男的看女生旁边有个位置想坐，女的不让，态度很硬。拍摄者：男的态度也硬，然后坐了，因为男的是无座，然后两人吵起来了，还差点打架。。高铁的无座票是无固定座位，不是站票，怎么不让坐？
1693703686# #太好笑了，民进党网军：柯文哲要为夏威夷火灾负责允悲
1695638248# #杭州亚运会男足小组赛，中国台北队遗憾告负，谢场时观众为中国台北队高喊加油。。领队泪洒现场敬礼致谢
1697273410# #台湾媒体人谢寒冰喷侯友谊、柯文哲、郭台铭＂全是垃圾＂
1697714013# #西班牙巴塞罗那的大规模反以色列抗议活动以色列巴勒斯坦冲突
1697880324# #太可恶了
1697636173# #天亮了，遭袭击后的加沙地带阿赫利浸信医院画面。外媒称浸信会医院遭袭已致至少500人死亡
1698068153# #10月22日，江苏淮安，商铺监控记录电动车“危险地段”，路面存在高低差过往电车频繁中招，这样突然出现高低差的路段，您遇到过吗？
1695960550# #昨日23架解放军飞机和5艘解放军舰艇台湾省周边巡航
1697734492# #美国国务院发布“全球谨慎”旅行警报。由于世界各地紧张局势加剧，可能发生针对美国公民和利益的恐怖攻击、示威或暴力行为，美国国务院建议海外美国公民更加谨慎。
1694923526# #帅！中国三军仪仗队亮相墨西哥独立213周年庆典阅兵式
1693705011# #台湾某高中戏剧社创作的一首《蛙军之歌》
1693663889# #落伍了，我今天才第一次看他的视频二哈秀才被封
1694709153# #利比亚洪灾后，海滩冲出30具尸体。据报道，截至14日上午，德尔纳市遇难人数上升至5500人，仍有至少9000多人失踪。该市市长在接受采访时表示，考虑到被冲毁的社区数量，遇难人数可能会攀升至20000人。
1695661161# #菲律宾官员9月25日说，菲律宾海岸警卫队当天拆除了我海警布设在黄岩岛东南部的阻拦网
1697386775# #加沙医院里，人们正在逗着奥马尔和苏索，但没人知道他们的父母是否还在世。
1697986127# #德国总统在支持以色列的集会上说：“对犹太人和犹太机构的每一次袭击都是德国的耻辱，每一次袭击都让我感到羞耻和愤怒。”
1697346371# #文化输出台湾
1701532574# #日公布“撤侨”计划，帅化民嘲讽：把留在台湾的30万日本后裔带走
1694849178# #美国金门大桥被马斯克吐槽。
1696778934# #猪油时报：台湾省选手太厉害，把大陆司机都吓到了允悲允悲允悲
1698065726# #以色列媒体：瑞典环保少女通贝里将从以色列学校课程中消失。。由于通贝里发表了支持巴勒斯坦人的声明，因此决定删除对该活动人士在教材的提及。。“教育部已将通贝里从学校教材中删除。她不能再成为以色列学生教育的榜样”
1694611748# #两名黑人在日本街头挑衅，被白人男子KO
1694695955# #美国运输安全管理局特工在迈阿密国际机场偷窃乘客行李
1697812263# #10月19日湖北武汉，网友在高速上遇一辆宝马轿车寻求帮助。宝马车主称：现金和手机都丢了，要借二三百元加油，到地方后双倍返还。。这话术，比直播间卖货还有水平
1697803839# #猪油时报：连日本AV女星都喜欢台湾人喵喵
1703865797# #波兰总统安杰伊·杜达在来自乌克兰的不明飞行物侵犯波兰领空后，开始与波军和波兰安全系统分别召开紧急会议
1694435408# #魔法打败魔法
1695473309# #台湾地区屏东科技产业园区内一制作高尔夫球的厂商明扬国际公司22日傍晚发生爆炸，已造成4名消防员死亡、逾百人受伤，仍有6名员工被困。大火燃烧12个小时未灭，仍冒出阵阵火光，消防员持续射水降温灭火。。消防队现场时，厂商曾表示厂区内有过氧化氢等化学物质，并告知大概存放位置及起火地点，队员当下
1699603986# #弯弯又被美国爸爸抛弃了？
1703157248# #绿蛙：连狗都支持赖清德。。。
1696867438# #以色列国防部长：“我们正在与人形动物作战。”以色列巴勒斯坦冲突
1693633768# #杜峰说中国男篮不比日本差，猪油时报小编又不满了
1701526236# #台大教授：马斯克称中国商场都在卖电动车，外国人不去看看的话就落伍了台湾第一届中国国际供应链促进博览会
1697349071# #韩国民众表达了对巴勒斯坦的声援和支持以色列巴勒斯坦冲突
1696684580# #上海一渣土车操作不当致多车连撞10月6日，上海沪崇高速月罗公路出口一辆渣土车造成多车连环相撞。当日18时05分，月罗公路下匝道发生多车追尾事故。经初步调查，货车司机李某操作不当追尾前方多辆机动车。。事故中有3人送医，经检查无大碍，当日19时15分许，受损车辆全部撤离，现场交通秩序恢复。经检
1697638168# #10月17日，有网友在社交平台发布视频称，上海一女司机疑似不满执法女交警，用车头顶着交警前行引发关注。。警方通报上海街头小客车顶行协管员：涉事女子阻碍医院出口拒绝驶离，强行驾车将协管员顶出10余米
1702183962# #台湾新课纲“被删17篇古文”郭正亮：大陆年轻人都会讲文言文台湾
1701074934# #大陆福建舰海试，台退将帅化民：武统已无法“阻挡”。台湾
1703426838# #台媒：科目三神曲，近来暴红，台湾也在赶流行，许多客人，到海底捞居然指定要看店员跳这支舞，偏偏台中有一间分店，全店只有一名男店员会跳，他狂被点台，出场率超高。
1693929083# #有网友爆料，广州华立学院食堂内一档口因每份饭售价低于13元不进行涨价，结果收到300元处罚。广州市增城区市场监督管理局表示，公司没有处罚权，已要求涉事公司进行整改，经查，并未发现该公司有价格违法的行为。
1697804225# #前几天德国总理舒尔茨访问以色列遭遇防空警报，代表团卧地躲火箭弹。但眼尖的网友发现后面飞机上的人若无其事安全地离开飞机。又在演戏了
1697118467# #黎巴嫩真主党对以色列发动攻击，黎巴嫩真主党发布视频，在黎以边境用导弹袭击以色列士兵画面
1701583987# #介文汲：如果没有军事实力大幅增长，美对大陆态度会“更为嚣张”台湾
1696575786# #中国女篮最后一攻战术板中国女篮冠军
1696598593# #男子花168元买的特产烤羊腿，拆开全是骨头后傻眼
1694230151# #9月8日，在巴黎法兰西体育场橄榄球世界杯开幕式上，法国总统马克龙讲话时，场内响起嘘声和口哨声。
1703234289# #台北市41名里长被控所谓“到大陆旅游”，竟被台北地检署搜查及约谈
1694794159# #台湾高雄的除虫业者爆料，卫生局防治登革热，所喷洒的药剂，稀释浓度过高，超标30倍，他每次完成喷药工作，都会感到头晕呼吸急促，质疑市府是否为了防堵疫情，罔顾人民健康
1696694594# #哈马斯声称缴获了14辆以色列坦克和1辆步兵战车以巴爆发大规模冲突造成严重伤亡
1697629276# #前久被赶下台的美国众议会议长麦卡锡（KevinMcCarthy）。带着全家和朋友几十人免费游览日本，车旅费，在日费用全由日本政府承担，出行还有警察开道！！
1697719554# #台湾省网红馆长：民进党这些人知道当兵的感觉吗
1702027239# #台湾地区专家：美国封锁中国大陆的任何领域大陆都可以突围
1694341093# #王菊到福岛吃海鲜了
1697725131# #台湾省物价：几样素菜124人民币
1697814360# #瑞典环保小公主发表帖子支持加沙。
1697977608# #台湾台中，警匪枪战，现场缴获9把枪…
1695966170# #男子网购运动鞋，打开后发现是“四大品牌联名定制款”，49块钱一双鞋穿出4个大牌！笑cry
1693640226# #近日，在黑龙江佳木斯，网曝桦南小神童幼儿园老师长期殴打、粗暴踢拽学生。
1693842070# #有网友反映毕节一学校保安在校门口搜查学生带零食情况，搜出来的零食就被扔在地上。学校回应：学校有规定不能带，保安处理方式粗暴，会改进。
1693833312# #台湾知名店牛肉面
1697733749# #在荷兰，机场和火车站的亲巴勒斯坦的示威活动被禁止。
1694180953# #“高素质”的呆弯人在高铁上唱卡拉OK台湾
1697116379# #查尔斯.舒默，1950年11月23日生于纽约布鲁克林一个犹太人家庭。喵喵
1703607061# #12月25日，日本爱知县国道上，一辆等待红绿灯轿车的车顶被从上空掉落的金属部件砸中，并砸中车内女司机的手臂导致受伤。警方认为可能是从飞机上掉落的零件。。掉落的是直径约10厘米的圆盘状金属零件，重约600克，装有4根螺栓。汽车车顶出现了长1米、宽30厘米的凹陷，并出现了15厘米左右的裂缝。
1701680845# #大陆建“超级隧道”贯穿天山，台主播：已经没有什么能限制大陆了台湾
1703336220# #英国外交大臣戴维·卡梅伦勋爵宣布，英国支持安理会决议，呼吁人道主义援助立即安全进入加沙，并为可持续停火创造必要条件。
1697458074# #螃蟹保护组织？
1701601716# #比亚迪电动车在各地被抢购,台专家：只卖10几万人民币,台湾人买电车都很贵台湾
1697296455# #一名手持巴勒斯坦国旗的人在巴黎共和国广场被逮捕，因为法国内政部此前宣布禁止所有支持巴勒斯坦的抗议活动。内政部部长热拉尔德·达尔马宁表示，这些抗议活动可能会对公共秩序造成干扰，任何组织此类抗议活动的行为都将导致逮捕。巴以冲突
1694361092# #前有美国商务部长雷蒙多为中国华为代言。后有美国驻华大使伯恩斯为中国高铁代言
1695539533# #台湾喜迎蛋价再次上涨
1697987566# #台湾媒体报道，当年，美国需要菲律宾做事，菲律宾跟美国要中业岛，美国跟台湾打招呼，台湾以"躲避台风"为由撤掉中业岛防务，让菲律宾趁机占岛。不明真相的台军基层人员曾试图夺回中业岛，被台湾高层打电话终止行动。可见，是台湾当局将中业岛送给了菲律宾。。一群卖国贼
1697121071# #白宫：美国不会永远支持乌克兰—官方声明这是公开、直接的表述。白宫战略沟通协调员约翰·柯比于10月11日宣布了这一消息。。“今天我们宣布向基辅拨款2亿美元，我们将继续提供力所能及的帮助，但帮助不会是无止境的，”他在向记者举行的吹风会上表示。
1694428182# #韩国女主播在香港地铁站直播时候遭到一外籍男人公开猥亵。
1694363131# #跳的太棒了。把我手机都跳卡住了
1694847574# #台湾年轻人：两岸都是中华民族，擒贼先擒王先抓蔡英文。
1697949755# #“爸爸，除了你家里已经没有人了，爸爸，睁开眼睛，爸爸”。一名年轻人在以色列对加沙努塞拉特市场轰炸中丧生的父亲告别。巴以冲突超5800人死亡
1694524704# #台专家：台湾民众现在最优先的想法就是不要打仗，安居乐业。
1699526964# #一中国女子在日本街头被杀害当地时间11月9日3时许，在松户市古崎的民宅用地内发生了两名男性殴打一名女性的事件，被害女性在送医后死亡。两名凶手均为年轻男性，一人体格健壮，另一人体型偏瘦，两人目前仍在逃。据称，被害者为中国籍。
1696775967# #罗马和纽约7日夜晚用以色列国旗颜色点亮标志性建筑，表达对以色列的支持。
1700406111# #一名大陆网友在英国购买了两条自行车的车轮内胎，收到时发现车胎的标签写着MADEINTAIWAN（PROVINCEOFCHINA），意指：台湾是中国的一个省
1703773200# #信传媒民调：赖29.5%柯27.8%侯22.7%。赖清德看好度跌破4成。侯友宜再度沦老三
1697629160# #在伊斯坦布尔，人们向以色列领事馆大楼燃放烟花。加沙地带一医院遭袭数百人死亡
1702107186# #大陆发布最大核动力集装箱船帅化民：相比之下台湾眼光太短浅台湾
1703922340# #选举选到糟蹋人家妻女。呆弯岛选票特色
1695474718# #快乐美利坚，惊喜每一天！。欢迎收看本期大型真人秀栏目，《比比谁跑得快》
1702984704# #菲律宾要找日本在南海勘探能源谢寒冰：中国没有同意谁敢勘探台湾日本菲律宾将允许彼此军事入驻
1697343938# #以色列战机袭击叙利亚阿勒颇国际机场
1697971277# #我依法拦阻擅闯仁爱礁邻近海域菲船只我方海警提供的视频
1696517128# #香港金钟政府总部外昨日有17岁少年持刀袭击保安，两名保安分别被割伤手和扭伤脚，警方随即赶至拘捕涉嫌伤人的少年。
1696842365# #以色列继续轰炸加沙地带
1693827849# #日本700亿“公关”，这推文居然200万观看
1695791771# #吃了臭蛋的绿蛙口气就是不一样，有底气
1702888511# #022导弹艇+鹰击射程远超想象！台舰长：大陆国产“黑科技”再现台湾
1696948909# #白宫国家安全部发言人约翰·柯比在谈到以色列的死亡时硬挤也挤不出眼泪，只能用哭腔掩饰流不出的泪，反而加剧了面部表情给挤扭曲了。
1693922103# #吐槽台湾人缺点的港人，被骂“滚回香港”了。。。
1703842101# #侯友谊
1701272658# #很懂台湾
1697343851# #德国警察在柏林逮捕一名拒绝摘下巴勒斯坦头巾的反以色列抗议者
1699456516# #台名嘴郭正亮被沈富雄问到为什么受到大陆网民欢迎：因为讲话公正。台湾
