1692780922# #单身狗单身狗单身狗单身狗单身狗
1702105378# #别的类别不好评价，但是社会学和哲学这两类书目列的，挺煞笔的……
1688010370# #看完感觉整个人都降温了……
1700111730# #卧槽！！！！！！！！！！我人生！！！！第一次！！！自己抢到票！！！！恭喜我自己！！！！
1692373504# #烧导真是个体面人，连粉丝的体面也给了。很喜欢这种语言理性、情绪稳定、逻辑通畅的合作对象，看得我太舒服了，给予我荧幕内外都极其愉悦的观影体验。孤门🙏
1701523241# #张艺兴超话。张艺兴：欢乐的时间总是过得……十分欢乐。皮这一下很开心
1696609661# #祝你今天生日快乐，祝我明天生日快乐。
1690970581# #孤注一掷话题度真的好高，不怎么看电影的同事说她打算去看，打车跟司机闲聊他也是想去看，去电影院候场不小心听到旁边一家人聊天，围在孤注一掷的海报边上说这个缅北诈骗的可以看一看。我是很少在身边听到一个电影的提及率这么高，而且都不是我主动提的！我一边听一边还要全程绷着嘴生怕自己的嘴角压不
1691321033# #救命了烧导，也太憨了笑cry
1697123788# #这篇写的真好悲伤
1699717887# #好喜欢看Cindy简简单单就逼疯全世界了舔屏多来点，爱看舔屏
1700664818# #历史是人民创造的，世界历史是世界人民创造的，我们争取到了越来越多的民意基础，也夯实了领导未来全球化的道德基础爱你
1691076974# #睡了睡了，没截到整数好气！
1703487626# #开始展望敦煌！憧憬憧憬
1691478140# #可以啊这个采访，言之有物，态度谦逊，逻辑严谨，我能说吗，吊打了一众人哆啦A梦害怕
1689418975# #要说不说，我其实觉得艺兴挺会挑本子。或者说他的影视道路走的很稳，他的很多配角也接的很合适。在古早的四大流量勇闯电影圈最终被退货的时期，他用一部部高光角色磨出了自己作为演员的质感和厚度，这个时候再来开拓电影圈其实是非常恰当的、合适的。希望他一切顺利抱一抱
1688976854# #最近把跃动青春的动画和漫画都补完了，真好看啊，大概是我见过描写青春期女孩最真实的漫画了。里面最动人的不主要是爱情，而是关于少女青春期的萌动和友情，描绘得十分真实灵动而且美好。看到小诚晚上跑去找结月谈心的情节半夜哭得眼睫毛掉了3根，这种坦率真诚并且真心实意为对方着想的友情，本就不可
1695177236# #我：这么多年过去了我早已经长了一颗钢铁心，不过是黑粉道歉我一笑置之。。也是我：咦？胸口这是什么东西，疼疼的……谁往我眼睛里放青柿子了，怎么又酸又涩的……
1699608399# #啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊好油裂开
1699884318# #我有时候想到日韩这俩孙子今年勇当反华急先锋那是一点回旋余地都没给自己留，把老中惹毛得一点都不想搭理他俩了，结果回头看到他俩的野爹老美跟老中眉来眼去上了，就觉得好笑开学季
1703502779# #woc，我真是受不了一点，中国共产党永远都是革命党，只有各阶段革命任务不同的区别，从来没有是不是革命党的区别。老胡这水平，要不还是退党吧裂开
1695177474# #泪泪泪终于
1689423399# #我其实觉得这个“四大掀桌咖”的提法挺好玩的，我呢，是奉劝演员多演一些【角色合适】的作品，而不是只去演【番位合适】的作品。最终演员都是要靠【角色】和【作品】立身，所谓四大掀桌咖其实就是演员遇到了合适的角色而获得路人的认可。不过演戏看重番位这个问题不是只有流量才会有，演技大咖一样也会
1698210902# #学到了笑cry
1699317380# #问个小问题：成都演唱会必须要有纸质票吗？还是说凭身份证+电子凭证就能进？
1701587160# #这个歌单特别适合看书写字坐车路上听，心能够静下来。alive很神奇，虽然是节奏比较强的歌，但在这个歌单里一点都不突兀，反而会有小小的刺激神经的感觉彩虹屁
1698062794# #极端宗教主义也好恐怖主义也好，盘踞在中西亚中东这片土地上的问题虽然是政治问题，却不能用政治来解决。其根源是物质与精神的双重贫困，所以要用发展来解决，这才能治本。这条解决路径我们在新疆验证过是有效的。一带一路才是中西亚中东唯一看得见未来的解决方案。
1701559170# #要离开重庆了，我嗷嗷大哭，下次见是什么时候呢悲伤
1691903702# #笑嘻了，确实如此，不管你看与不看，反诈知识都会在这场关于电影的论战中强吻你爱你
1695181521# #看了一下，4年前起诉的3个人都已经有阶段性成果了
1694321599# #2021虽然我很喜欢oddtaxi但我的年度最佳是lovelivesuperstar。2022虽然我很喜欢间谍过家家但我的年度最佳是孤独摇滚。2023我的年度最佳已提前锁定跃动青春。合并同类项的话，好像我的年度最佳都是女孩子们有很多互动的动画可怜
1700323831# #乱了乱了，我现在情绪全乱了，一会儿一个状态。
1695727339# #好事成双家庭戏部分挺好看的，职场戏部分偏偏是讲的互联网大厂我看着真的贼出戏笑cry互联网大佬尤其技术大佬一般不会穿西装三件套笑cry真正的大佬具体穿搭可参考潘生，那才是比较正宗的笑cry
1701525019# #《breathe》作为最后一场的最后一首歌，杀伤力绝了泪泪泪
1701520981# #不许说没有永远！！泪泪
1692840966# #日本核污染水下午排入海洋日本这个国家也是很神奇，做事情从来不考虑历史后果。他们今天排，未来会被永远刻在耻辱柱上，每一个中国人、太平洋国家的人都会永远记得有个下贱的国家在海里排了核污水。现在这个吊比国家选择不负责任，那么未来就等着时时刻刻偿还责任吧。
1692852755# #妈了个巴子的，我真的好气啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
1702881350# #我还记得随着这个杀人案爆出了俞大学时期为了追女朋友，不仅一直跟踪女方，还以跳湖为威胁逼人答应和他交往。我也很好奇怎么大家都不记得了微笑
1697214554# #我相信随着中国的强大，阿拉伯世界一定会回到应有的历史轨道的，重回丝绸之路的荣光。我能想到的，能够解决这个地区的矛盾与冲突的方案，只有一带一路。我不知道有生之年可不可以看到一个和平的中东，但是真的不忍心再看普通的人民活得如此绝望了。
1697454355# #我真是好喜欢央视频道轮播的各省推介广告，而且这玩意儿是不断更新的。比如新疆的广告就应景地换成了冰雪旅游相关的片子，山东的广告跟去年相比新增了淄博烧烤这个新名片，贵州的广告则是放了这两年最火爆的村超、村BA。各省推介广告不止是风景展示，还有人文宣传，有的省甚至会介绍本土优秀企业，比如
1701567228# #像我这种有点正经又有点认真的人，简直无法想象自己在这种人面前说出自己的真心和理想会得到怎样的嘲笑。在这帮人眼里，大概就是：侈言理想者，嘲无赦。微笑
1700799815# #苦涩
1691163017# #把讨论空间留给电影！
1699520562# #今天也想和小壳壳们聊聊天，想知道有没有莲粉在喜欢上艺兴之后性格发生变化的？。我先来说我寄几。我原先自以为自己擅长待人接物，后来发现都很虚浮，做事情也是三分钟热度根本不自律。后来经历了漫长一阵儿emo期，那时候真的很惭愧自己完全比不上喜欢的人。再后来为了寻求改变，我会在为人处世上去模仿
1700477446# #昨天新闻频道用了15分钟来讲整治网络戾气的专项行动，其中对“网络厕所”进行了很全面的介绍。
1704815000# #龙年大兴啊！我的天呐！吉利话不就咵咵来了吗！
1697456214# #好！
1699543711# #游客照拍滴越来越好了，比我强哇
1701780560# #107s，好数字。
1693893010# #“当你得道于这个行业，可能未来你还需要反哺给到这个行业。”牛逼，这就是格局。
1700323433# #我这辈子都不能和苦行僧和解
1701707309# #5000字的报告写完了，我胡说八道的能力真是有所加强了酷
1691227987# #说一个孤注一掷的尺度问题，其实我不是特别喜欢在电影院看到虐女和性画面太多的电影。这一点孤注一掷把握的特别好，打戏主要是男主在承担，里面就算是惩罚女主角，也只是签子插指甲盖，没有其他严重的性虐待场景，我真是谢天谢地。。我现在尤记得风声里面，为了严刑拷打女主角，用了专门针对女性的酷刑
1691152720# #今年暑期档真的很热闹，明天应该会是暑期档唯一一天大盘预售破亿的，目前是整个暑期档开局预售最高的一天。
1701660046# #我也想要这么清晰的事业规划悲伤
1701438464# #多演，爱看！哇
1689181560# #怎么说，就是上周看完《跃动青春》，今天又开始二刷了，真好看啊苦涩
1702271491# #就算是男朋友都没有这么给我报备行程的可怜他超乖太阳
1700313688# #财神爷斗舞别笑死我笑cry笑cry笑cry
1701584097# #精挑细选出我近期的听歌list，最近对兴式旋律非常之上瘾丰收了。张艺兴超话
1698462507# #转发微博
1692250808# #电影孤注一掷超话三刷获得的细节：安娜上楼时旁边不止有反诈广告，背景还有洗麻将的声音，也许就是这个声音推动了她去找朋友争取荷官的工作。
1701992194# #妈的，这里的床好难受，忒软，我这周根本没有真正得到休息过，越睡身体越累，好痛的脖子好酸的腰裂开
1700091504# #睡了12个多小时我的天……
1700315263# #要打就去练舞室打呀
1697466907# #这几天北京起码得来了全世界一半以上国家的首脑政要，家里来且了，可热闹了求关注
1697212932# #悲伤🙏
1701779285# #再听《青春快乐》，好有儿歌的感觉笑cry好适合幼儿园小朋友们做操、跳集体舞，节奏也轻快的刚刚好笑cry
1701511411# #华熙live真的让我恐高跪了好高啊
1700977244# #90s我的天
1699945822# #8888，好数字，就是最近涨得有点快傻眼
1700797201# #怎么说呢，我确实说过乐于看ssq影响力下降，不过从考死猫被母公司收回版权到窝瓜土掉渣的盛（剩）会，ssq真是让我感到超出预期的下坡路。。想起来前几年🥭🐙还在当主编的时候，大半个娱乐圈都要去她们搭起的名利场争奇斗艳。而如今名利场中生大花一应不在，真是令人唏嘘（我装的）。。在大家都过着精
1699440056# #好的，我的yy结束了。所以林臧什么时候来，虽然还不曾认识，但是我知道那是我素未谋面的丈夫。
1692249956# #艺兴在最近的一个采访里还提到了这位网安大佬，说在这位朋友的每一句话中感受到了这位朋友的大爱。真的很好，都是惺惺相惜的人，我也感受到了你们身上的侠客精神。
1701942206# #抓狂抓狂抓狂什么时候出啊抓心挠肝
1697278915# #好耶
1691150918# #我灯塔卡住了，6kw死活刷不出来……
1703998675# #真漂亮啊哇
1702356528# #人类对于正确性的追求有时候确实会超乎物质基础和个人利益的计算，我也是很费解。因为我也比较喜欢键政，所以我知道这种圈层内部的派系斗争不是什么稀罕事，很多人键政键成魔怔人的，动不动就是对冲、加速甚至开盒，跟宗教里面“异端比异教徒更可恨”的心态差不多。不得不说人类是天生的政治动物，就算
1692751285# #，30亿别跳舞了，去录个综艺吧，hi6也行。一是为了宣电影讲反诈，二呢，主要是为了宣成绩，让张艺兴回家乡报个喜，要大宣特宣！
1701573859# #午饭时间放breathe做bgm，眼泪拌饭吃苦涩
1700308607# #我散光也别太离谱了，紫色荧光棒我都看的是紫色+蓝色的……丰收了
1703488816# #火华跟莲聊的可开心了，之前片场的时候也聊的可开心了，好久没见了吧羞嗒嗒
1692011190# #仙品官周awsl
1701534179# #我好爱breathe悲伤悲伤悲伤
1703592225# #这一期超漂亮！求求你们看一看可怜
1691229781# #他庆幸她劫后余生，她庆幸他逃出生天苦涩是战友
1691406673# #但凡主创心思邪性一点，这个片都可以拍成下三路。难道主创不知道那里有多么惨无人道吗？主创们很好，他们拍得真实，但不猎奇。这是给人民群众拍的反诈片，不是给猎奇爱好者拍的小众cult片。
1688441836# #这一身真的真的真的真的真的太程序员了，不仅在于穿搭，关键在于这个黑色的书包，太经典了，里面常年背着程序员吃饭的家伙笑cry
1690989484# #哇！说得蛮好！
1691687723# #哇去！专业的来了！
1700579385# #刚突然发现我为什么会这么觉得了，是因为飞天的练习室，有几个镜头真的，虔诚佛子不外如是丰收了快给我演（不
1700828909# #笑cry
1691457444# #电影孤注一掷还是希望大家能注意，电影背景是2018年，跟现在2023年的缅北诈骗现状还是有点区别的。疫情前我们提到诈骗电话都知道是南方口音，现在你不觉得诈骗人员的普通话越来越好了吗？诈骗形势早就不一样了，疫情3年让诈骗园区更加变本加厉，应当认识到电影和现实的联系与区别，切勿拿电影完全类
1700099258# #给我夹了可还行哼
1694877999# #突然发现rightback很有独角戏的味道，怪不得我听到这首歌有种初恋般的感觉！
1701526449# #breathe结束之后，他从升降台下去，我感觉我灵魂被抽离，愣坐了很久。很难受，现在魂儿还是没有回来。
1693998310# #新疆首批成熟螃蟹销往长三角我姐前天还跟我说吃螃蟹的事呢打call国庆节回家吃螃蟹吃羊肉想想都开心赢牛奶
1693879403# #现在孤在Malaysia走了一遍国内的全流程：。1.点映规模大（创华语片在马的点映规模纪录）。2.点映票房爆了（创内地影片在马的点映票房纪录）。3.因为点映太爆直接提档上映。怎么说，是不是还想说孤又在国外破坏外国电影市场规则了笑cry。不阴阳怪气地强调一下：点映规模大、点映票房爆以及提档上映是很明显
1697202046# #我有种预感，这次一带一路高峰论坛结束后，一带一路可能会进入高速发展期，尤其是未来十到二十年，非洲大陆的市场会越来越大。
1696686469# #永远会为男人帮对小羊的偏爱而眼睛湿湿悲伤悲伤
1692470321# #我是有点震惊有些人是不知道坏猴子的，我从2018年当药神精股的时候，就十分感动于中国电影人的传承精神，而坏猴子就是中国电影人传帮带最集中的体现。所以其实我从一开始就没有低估《捕鱼行动》这个饼，毕竟是坏猴子，我是寄希望于坏猴子的年轻导演的。只是能有这么好的成绩确实出人意料，这是我不敢想
1692759130# #我滴乖乖，我看见了什么，于谦夸堡宗啦！doge
1704793420# #我真是挺烦韦伯之叶这个活动的，一个死气沉沉的平台，搞个活动水了一堆赛博信息垃圾，看着热门wb几百转评好不热闹，点进去好家伙一个活人都没有，评论里全是文不对题的阴兵，还不如红薯痘印活人多（并不是说让这两个平台也搞活动的意思
1689127580# #我喜欢的演技就是松弛而又准确的演技。准确的演技，是能够保证演出来角色言行举止和情绪是符合剧情的，是对的，是能够让观众理解的；松弛的演技（いわゆる自然），则是让你的行为举止、表情、情绪如呼吸一般自然流露，让行为动机充满说服力，没有太重的表演痕迹。。在我这里，最基本的要求是准确，如果
1703497174# #可爱得我要疯掉了抓狂
1701530873# #《breathe》很有青春大电影的endingsong的感觉，呐喊，昂扬，但重复的段落里又像是有许多不甘，多像青春的模样。
1697798238# #cnm出了地铁发现鞋子侧边黏了一口痰老子一边擦一边哕tnnd哪个狗杂种这么没素质吐痰专挑有人的地方吐怒怒怒怒
1699683230# #你的司南人来了
1700196720# #怪不得，我说我咋不知道成都有店呢，原来是9月开的新店，终于能让我去看看这家店具体啥样了色
1692007533# #来一口干杯馋嘴
1693279370# #日本正采取卑劣手段对中国倒打一耙。日本排核污水使用的舆论战术这件事我想用粉圈一些常见的套路来解释一下，我估计大家会更好理解。。假设有这么两个明星A和B，AB的粉圈一直属于对家，经常互撕，圈外路人都知道这两家粉丝不对付。A粉在长久的互撕中发现了B明星本人的一些违法乱纪操作，在又一次骂战中
1691495770# #朋友们，我关于小孤的一切解读、文案、分享有需要的全平台都可以随便搬，如果有比较擅长做视频的拿去做剧情解读就更好了，不用向我要授权哈互粉
1696313935# #阿勒泰特色黑蘑菇，黑蘑菇牛排汤，嘎嘎好喝开学季
1695830978# #捏马，这就是电影咖的social吗？喜欢捏看书
1704814868# #我说真的，亲爱的壳壳朋友们你们看呢？
1694516804# #关于电影所谓“蹭热点”的评论，一直让我感觉很奇怪。电影除了艺术性，也要考虑时代性和现实性，“聆听时代声音、把握人民意愿、反映社会关切”也应该成为创作的内容之一。尤其是在社会主义国家，创作更应该从人民立场出发，将思想性和艺术性统一起来，将社会价值和商业价值统一起来，其中思想性、社会
1692839989# #烧，莲，还有他们的电影孤注一掷，从头到尾给我的感觉就是：。但行好事，莫问前程，而前程自至。。是他们应得的。
1701685841# #一下课赶紧摸出手机听新歌，绝了，本歌迷朋友好幸福泪
1699236858# #无论如何，爱是我们的主旋律，我会一直在抱一抱
1691739744# #上班时间偷偷抹泪的我，不知道该如何面对如此真诚滚烫的一颗心
1700107408# #双创成效要由人民来检阅笑而不语
1695175847# #除了道歉，别的呢？我想看铁窗泪
1692630504# #小孤点映大爆后，很多人因为它的走势不如其他爆片多次工作日逆跌，怀疑它会后继乏力。但我丝毫不这么觉得，我反而觉得它的长线应该会很不错，是那种绵长持久的。首周由于电影口碑还待发酵，许多同期其他对手趁机浑水摸鱼抹黑小孤，直到第二周第三周口碑才逐渐稳定下来。我初步观察，还有许多有观影意愿
1688035290# #突然想到一个特别损的，何非点的弹窗广告，可能是潘生写的笑cry
1704449489# #一些E人时刻：坐地铁，有两个空位置，我跟另一个门上来的大哥奔着这俩座位相迎走来，我抬头对大哥说：“来，坐。”然后两个人一人一个位置一起坐下了。。感觉像是在家里招待人一样自然。
1702129080# #😭😭😭😭😭😭我是真的会心疼！
1691107277# #艺兴现在的状态非常令我放心，甚至我们的心态都是一样的：坚定的方向感，没有迷茫，只有我需要做的事；跟过去的一切和解，认定这些好与不好共同成就了自己；拥有做选择的能力，不为自己设限，相信信念会是自我实现的预言。
1699493478# #呵呵，昨天因为看莲莲的镇和岸的剪辑，嗨到两点多睡不着，脑子里都是瑟瑟。可太想看他演这种充满矛盾的角色了，Cindy的演员饭靠他一双会讲故事的眼睛就端稳了，说这些干饭人干饭人
1695281081# #蹲课憧憬
1699866490# #去年体检报告4条建议，今年体检报告11条建议，比较让我揪心的是比去年崭新多了心脏的问题和乳腺结节揣手
1692410293# #抱一抱
1704702593# #跟姐姐聊天，突然想起来我高中化学跟同学拉开差距的地方是学习摩尔这里开始的。在此之前我从不知道我化学好，毕竟我还有过化学方程式都默写错了还被老师留堂的经历（全班只错了3、4个人）；在此之后我的化学永远是年级第一，最高能够拉开第二名20多分的差距。从那之后，多复杂的化学方程式只看过一眼就
1693970690# #标题也太偏颇了。不能说“粮食非常安全”，应该说主粮是安全的，问题是中国人现在的饮食结构变化很大，实际上居民对于主粮的消费已经不如过去，所以现在国家更多开始强调“大食物安全观”。拿过去看重的主粮产量指标来断定现在“粮食非常安全”是一种刻舟求剑。
1691223568# #最后字幕：本片并无任何动物受到伤害。。还好还好，哈基米没事可怜可怜。电影孤注一掷
1691123399# #共产主义不是终点，是我们每一步实践的过程。这种自发的劳动和组织力，正是我们通向共产主义正确道路的证明。
1693893486# #追兴追自卑了，看他访谈已经陷入自愧不如的焦虑中了。他出组前，我半年看了三、四本书，拢共有800多页，平均每月阅读时长超过20h。他出组一个月，我这一个月翻书不过几次，时长不超过1h，拢共看了10来页，每天的状态就是：嘿嘿，莲莲。。追兴和看书不可兼顾……色字头上一把刀微笑
1691225118# #我的评分：星星星星星星星星星星。电影看完了，我全程都是吊着一口气，代入感太强了，出了电影院才发现自己在中国，看大家三三两两在广场上慢悠悠走着，我仿佛是被解救成功的潘生，感受到了生的希望。。我很少见诈骗题材的故事会从程序员这个角度展开，而不是单纯的从警
1704339532# #2022年看完了7本书，其中还包括《资本论》和《唯物主义和经验批判主义》这两本大部头。2023年跟2022年相比，完整看完的是3本书，其中两本xi选算是大部头，另外还有三本书都只看了一半。。内心有些许惭愧，23年的进步没有22年的多。因此我连年度总结都姗姗来迟。
1692514283# #我有时候对于外国大片真的也不懂啊，就拿即将上映的《奥本海默》来说，为啥《奥本海默》原片会有裸女镜头而且好多人还以讨论这段镜头为乐趣呢？连裸女镜头被p上衣服也津津乐道。我就很好奇，裸女镜头对于构建奥本海默角色、故事有什么必要的理由吗？就，好好一个人物传记干嘛一定要拍性爱？这裸女倒不
1693542503# #歌手张艺兴鼓掌
1698371981# #我有过半夜心脏抽抽地疼，一转动身体就感觉自己心脏跟快要断了的弦一样绷得紧紧的，当时我只有一个感觉那就是一定不能翻身，翻了身这根弦怕是要断。然后我就这么保持一个姿势生挺着睡觉……好好休息，保重身体。
1695002963# #自从看了戒社之后我再也看不得妈传菜那个梗了，就是难受……
1704816255# #春节档电影本身就是社交性远强于艺术性，咱讨巧走玄学宣发也算合时宜。龙年看成龙、龙年大兴这种好彩头对于年轻人或许吸引力不高，但是对于中年人可能是绝杀允悲允悲
1688703652# #朋友们，这可是重大利好诶，整治bot类型账号有规可依了
1704678211# #路过啃一口羊妹锁骨
1695635752# #网红新业态，直播一条街
1691926064# #行8
1691151078# #6kw了
1691586063# #电影孤注一掷没想到叫我发现了电影官方首张官宣图还藏了电影的主线和谜底。。1.esc键，就是escape，逃脱。。2.键上刻了两点和六点，提示了破局的关键是二进制和数字6，6=110。。3.esc键整体做的像一个骰子，这就是意味着赌博，被钩子钓上了，就是你一旦进入赌局你就上钩了。咏梅老师的话“不怕你赢，就
1703503822# #breathe，请
1691237243# #我说这片子是拖家带口观看模式，各位亲自看完以后可以验证我说的是不是。我这么说的时候距离电影上映还有2个多小时，我是纯粹根据买票规律和身边现象推测来的。酷
1689818476# #看书看到这里挺震撼的，也挺好笑的，网上好多键盘政治家在说问题的时候仿佛是发现了不得了的事情，但是中央实际上2014年就已经知道这些问题并且开始做调整了。这么来看，中央比网络键政的视野超前至少9年。
1700113126# #：中美关系希望在人民，基础在民间，未来在青年，活力在地方。看吧看吧开学季
