1701921879# #南方也有大浴池啊，大家不都是坦诚相待？
1695450741# #中职怎么是专科生了？
1699235188# #那得问夹总！
1702262813# #白岩松称2亿彩票一事需要有说服力的交代只要真想查，很简单，查下资金流向，一查一个准，清清楚楚。。这么一笔巨款，只要查资金流向就行，是真是假，一查便知。只怕有些人不想查。
1687572801# #苏南的家长都不愿意孩子出包邮区上大学，明明去外地可以上更好的大学。前几天遇到一熟人在埋怨她姐让孩子考了吉林某一本院校，说孩子在那受罪，报本地的某校（二本）多好。我孩子的同学也是的，外地的一本院校不去，情愿选择咱江苏的二本院校。
1703854195# #内行揭秘羽绒服吊牌价真相衣服的价格一贯如此，在吊牌价的基础上打一到二折。
1690590422# #美女很生猛，巾帼不让须眉。
1690527877# #那么多网约车，随便打个最多600块钱。
1696338245# #我们这的小时工工资从没低过18的。深圳才9块，有点不信。
1693617525# #这个现象不仅仅是天津有，别的地方也🈶不少类似情况。
1687393589# #瘦子被控性侵s小姐，我以为又是s家。
1690778788# #全面落实带薪休假制度不落实不执行的怎么办？
1703235172# #喝惯了红茶，再也喝不惯绿茶了。
1688359615# #葛斯齐喊话蔡徐坤前凡后坤，别再避重就轻，混淆视听。蔡徐坤回应蔡徐坤工作室声明汪峰发了个锤子
1687305248# #前员工揭暴力催收行业内幕M先生曾在催收行业工作四年，主要从事“外勤”工作，退出催收行业后，他一直致力于帮助被暴力催收的人维权。谈起退出催收行业的原因，M先生表示，“印象最深刻的是，有一次上门到成都的一名受害人家里，几名债权人把当事人扣在了宾馆对其进行殴打，后来听说当事人又被套路了
1698148966# #心疼我怡这是啥情况啊
1697674173# #4万多的钻石内裤在上海也卖不动把里面也挂上钻石就卖得动了。
1701048995# #小伙疑叫老板娘花姑娘当天被辞退这就是一二货。。叫花姑娘，得是非常熟悉的人之间开玩笑叫叫，你对不认识的女性去叫花姑娘，不是找不痛快？。况且冲小伙子这情商，估计在哪都不受待见。。上班还玩游戏，睡觉。。辞退一点不冤。人生的课还得好好上。
1695163721# #石家庄某小区尸体残肢疑为女性这个很好查了吧，就是明牌。
1694442497# #长的奇形怪状的都能成网红，真的赶上好时代了。放以前，这号的，身上衣服至少有10个洞。
1688302834# #这么多成色新的电车流入二手市场了。
1687258665# #在医院ICU住了四年得多少钱普通人就算了。
1691374643# #转发微博
1697600033# #大爱！临漳90后小伙为捐干细胞减重40斤，毅然捐献造血干细胞，为他人点燃生命之火！为他点赞goodgoodgood
1698076199# #超千名网友向被狗咬伤女童申请退款省下来改善下自己的生活或捐给更需要的人。。孩子治疗费用社区垫了，狗主也愿意赔偿，家庭条件也不错。
1688466703# #痞幼三亚被偷住别墅喝光茅台房主是痞幼这太厉害了，有别墅住有茅台喝，现在进去会不会不习惯？哈哈哈哈哈哈。网红真有钱，被前男女坑了一个亿的也是她。被师傅那明啥的也是她。
1691117438# #都美竹起诉陈岚公司吓死我了，对于我这样的没时间、没精力、没钱的“三无”人员，可不希望平白无故地卷入牢什子诉讼。刚把发的东西捊了一遍，幸好没有发某些人的照片，不存在肖像侵权。。查完，松了口气。
1695817503# #“不满意的，可以下海去私立医院干，那里是市场经济。”鼓掌
1697725845# #挠了我，我还想多活几天。
1692233389# #问就是睡一觉就过去了，绝口不提边境线几百公里的铁丝网和崇山峻岭
1699669081# #这标题整的，强奸就强奸，和未婚已婚有什么关系？如果是未成年，区分一下那倒是有必要的。『未婚女讲述遭永州工商联副会长强奸，称对方托人说情愿赔150万及两套房，警方刑拘涉案男一年3次送检未批捕』
1699620422# #谢娜我回家了又去主持了？以前咋了？
1692708803# #这珍珠项链戴哪？哈哈挤眼
1699882460# #王自如采访我看王自如适合干董事长。
1689262483# #杨釆钰？
1698503167# #转发微博
1700660812# #成都KTV陪酒坠楼女孩母亲发声凡是提供未成年有偿陪侍的，关店，行业禁入。。有偿陪侍及与夜场种种这种事抓的紧了，必然导致价格水涨船高，价格高必然吸引更多从业者想加入，包括未成年人禁不住高收入诱惑。。这玩意儿与人刻在基因里的本能有关，只要有需求，禁与不禁都会存在。。宽紧有度，价格不高，挣
1688902204# #怎么换，没法换。
1696421733# #人间行囊背负太多，便成了羁绊，太想赢到输不起，不过一念之间。你的个性，本来在赛场内外收割了一众粉丝，口碑总体尚好，但凡事有度，一旦执念太深，捅破越限，物极必反，收获的不是尴尬也是尴尬，即便你不尴尬，我也尴尬。
1701780628# #上海交大回应保卫处招管培生保卫处又不是保安，是管保安的。
1690100287# #就是买个电动男朋也得充电吧。
1704081812# #朱令这案子，可以下个定论：孙维肯定是凶手，至于是她一人干的还是同舍三个人合伙干的存疑，打个问号。金亚和王琪起码是知情者。。。如果是三人合谋干的，孙维也是主凶。。。这个案子也仅能是这个结果了，就是不受追诉期影响，也就是这样了。。。至于民间的舆论和声讨也仅限于民间，最多施以压力，让凶手坐寝
1693184795# #唐尚珺宣布继续复读作孽，高中的课本滚瓜烂熟，每个字在哪页都一清二楚。今年完全可以上岸的，说明心中还是有执念。
1687154048# #宋佳的戏都不错，演技没得说，杠杠的。相比较我更喜欢她酒后半夜发微博发了又删。坏笑
1690787297# #水陆双栖汽车早点上市吧，免得夫妻俩一个要买ＳＵＶ一个要买冲锋舟的。
1698148038# #李尚福被免去中国国防部部长职务那二个部长怎么了？
1699878922# #比市场价。不过又不是每晚都日的吧。
1690079891# #刀郎新歌歌词听了下，确实好听。
1697587348# #布兰妮曾为贾老板堕胎尼玛，贾老板，我以为是下周就回国的那个贾老板呢。
1689511022# #这是哪个聪明的小贩使的坏，让她们忙着内薅了。
1690897397# #关键看企业标准和双方的合同中有无约定？
1687143482# #刚大领导发信息来，说家里大暴雨，她们上班是坐船进入单位的。微笑
1687707757# #你这是在引战，法官见你们头大。允悲
1700455723# #乌尔善取关几个意思？不封神改封关了？
1687759142# #不算，合法规避，本人已实践多次。
1702861062# #现在跑网约车，得用自己的电车跑，还能将就。租车跑，基本上是给平台打工。
1690194246# #电车方便死了吧doge
1696776782# #你想量人家尺寸就明说。
1689905573# #警方通报男子将妻子捅伤致死夫妻过不下去就离婚啊，现在离婚又不是什么丢人的事。选择互相毁灭、同归于尽的方式，实在没必要。
1689151468# #转发微博
1701577806# #张雨绮第一次开蚌全记录这搞的，是不是有内涵？
1689385900# #唐双宁被查触目惊心，这种坏逼贪官多了，贪腐成本都转嫁到物价上，苦了平民。
1700876897# #做头发的说，你瞧不起谁呢？李易峰说，从不缺女人，就是喜欢嫖。牛萌萌说，现在谁还吸烟。
1695026108# #王宝强带冯清与朋友聚餐这俩人能有共同语言？思维维度能在同一层次？
1693188695# #证券交易印花税实施减半征收今天大A股发力了。
1696415632# #Angelababy方回应头像无法更换人家看个疯马秀又怎么了？那些去过泰国的，你们说说，都看些啥了？比疯马秀疯哪去了？
1689176977# #转发微博
1699446354# #仲尼仲尼是谁？
1699019362# #欢迎你来嘉兴旅游，放心这儿没有猥琐男。允悲
1697721226# #专家称海滩失踪女童父亲太理想化就是粗心引发的惨剧。
1700791393# #是的，非常下作。
1691031970# #上海没有海？
1701494898# #庄律你看看，现在小视频平台都这样玩了。
1695341183# #警方通报女生实习被安排为男宾洗澡色情倒也不是，只是擦边。
1687150166# #转发微博
1698495174# #女子实名举报被村支书强迫发生关系村支书霸占村花七年，不从便威胁殴打。。等一官方通报。。陈厅去查查。允悲女子实名举报被村支书强迫发生关系女子实名举报被村支书强迫发生关系
1693383737# #孙菲菲我是娱乐圈霸凌事件亲历者和一帮地痞流氓讲不出道理。
1687793174# #蔡徐坤回应和歌迷互动
1702110106# #这方面老下活的通透。
1687655520# #她7岁开始学习川剧，18岁开始独自闯荡，从绵阳到成都，从成都到上海，从上海再到成都，然后走向世界，现在又从川剧艺术家到网络主播，挑起了非遗传承的大梁。为吴菁菁点赞good
1702308902# #武大教授汤志刚被实名举报更新版翟欣欣。
1687777732# #疑蔡徐坤妈妈调取C女士个人信息真的经不起扒，越扒越多。
1701586693# #官方通报三甲医院超收医疗费21.82万三甲医院都这样谋财害命了，太特么的无耻。
1698581783# #中国驻美大使馆发紧急提醒美国到处发生枪击案。
1699106693# #外卖1400元牛杂汤提供非法服务系不实信息抓人。。不知道造谣的人脑子是什么样的结构？
1693368186# #叶璇李国庆这俩人弄一块去了？炒作带货吧？
1687787471# #王俊凯这个突然热搜，让我误解了。允悲
1699717622# #是不是我的观念跟不上时代了？
1697674491# #女生在女同事家留宿被父亲打致耳穿孔对女孩子管严点好，打的太重了，孩子都成年了，说教就行。。女孩子走偏了，开始很多都是以闺蜜什么的做掩护。
1702643676# #有公证协议就可以过户不需要起诉
1693625558# #拿大乃吓小就。吓死我这个资深老宝宝了。
1686927950# #现在只好瘸子xx，硬撑。允悲
1689576575# #有鱼吗？
1701577584# #被公职人员占用的公租房小区已腾退五六百户说明这个地方的生态环境已非常恶劣。有条件的还是朝经济发达地区转移吧！。经济发达地区，政府不缺钱，不会干与民争利的事，也不会靠乱罚款来维持开支。
1690113845# #魏大勋的爆火意味着什么意味着把姐姐侍候好的重要性。
1696817220# #哈哈
1690860916# #昨天竟然无意中刷到某女星的那个照片，不知是不是某体育明星前男友拍的那些？。哎，都在网上传了！
1697621665# #南京警方称酒吧街醉酒事件2人认识这事主要看女方说词了，如果女方说俩人认识，自己是自愿的。那警方也不能怎么办吧。
1689297025# #从中原理工专修学院飞出的金凤凰，刘乙冰。
1699860166# #泉州洛江区原区长水上餐厅就餐时落水身亡不会是酒喝多了吧？。够霉的。
1695721008# #吃完了，抹抹嘴，然后俩人深深的一个吻。
1698990041# #今天气温！
1692252401# #转发微博
1693183915# #中国烟草回应卷烟涨价传言已涨的吃不消了，原来7.5元的红双喜现在涨到12，13。现在各地10元左右的烟普遍紧张。
1697797539# #我国流浪猫狗数量近1亿只放任下去终究会成为灾难。
1698917930# #转发微博
1697505192# #唐山的。
1703816395# #雷布斯钱多，弄个小米捷。
1690944545# #什么题材的？
1687670692# #那为什么？上交大，吉大，重大，中政大这些大学都不入他的眼。馋嘴
1698317952# #女子网约车上化妆遭司机停车赶人这种人还能出来跑网约车？。。网约车其实也是服务行业，不适合个性太强的人做。你出来是做生意赚钱的，不是整事情的，发生争执耽误时间，影响生意，被投诉了还得被罚款扣服务分降低成交率，多不值得。。。我倒是喜欢接女乘客，她们香喷喷的，整个车都香。
1695735220# #郑爽被判赔偿投资方6000万元一丢丢，毛毛雨啦！
1692408938# #是的，我也看到过。
1688703215# #【16家车企承诺不打价格战】中新财经从2023中国汽车论坛获悉，7月6日，一汽、东风、长安、比亚迪、特斯拉等16家主流汽车企业高层在现场联合签署了《汽车行业维护公平竞争市场秩序承诺书》，其中提出，坚持遵守行规行约，规范市场营销活动，维护公平竞争秩序，不以非正常价格扰乱市场公平竞争秩序；注
1703478173# #转发微博
1695340927# #我来弄栋住。允悲
1688015212# #相逢一炮泯恩仇。
1688722108# #这价肯定是核心区深推油。
1687152528# #黄子佼承认性骚扰信息量挺大的，曝大小S和卤蛋都吸毒。
1689691823# #警方通报75岁男子按摩店内死亡足疗店也够倒霉的，这还有谁敢去消费？
1701656925# #我们这没发过！当初我曾向政府部门提议发些药，政府回答，药不能乱发，个体差异，还有禁忌的，吃出人命来麻烦。
1702019334# #该死的录音和哨兵模式。
1698316154# #刘大锤曝某一线男演员出轨一律按处理。
1688887369# #谢谢少帅！！！鼓掌
1688210269# #蔡徐坤豆瓣主页作品被清空又是一个被妈玩完的。
1689032704# #我老家我们组绝大部分姓周，看过外村少姓被排挤过。
1688308555# #转发微博
1699608297# #转发微博
1700558570# #转发微博
1688779057# #现在钱难赚，想走捷径的捞女增多。
1703820785# #朱令这案子问下傅政华，他什么都清楚。。问下童爱军，实验室丢了几克铊盐，她一清二楚。。。金亚和王琪是和凶手关系最铁最紧密的知情人，她们知道的甚至超过凶手的家人。。。凶手对朱令投毒，虽然投的都是朱令私人用品中，但没误伤。住过集体宿舍的都知道，同舍之间有时也会难免动用他人私人用品。分享同舍
1687571880# #程序员忙里偷闲2年做出了一部历史剧，26个小时讲透五代十国历史……这个牛！不一般牛！
1702891372# #“上岸”全流程，用心做好那些事，老天不负有心人，你一定可以闯关上岸！祝福全国学子们考研成功上岸，愿前路璀璨！
1698242442# #上次4.5分钟的美妞又结束了？
1698828856# #湖南桑植交警被指追车造成2人死亡前些年某地交管也是追查摩托车时造成驾车人死亡，家属把死者抬放到交管所的院子里闹了好久。
1690190238# #齐齐哈尔34中体育馆坍塌11人死亡屋顶违规堆放珍珠岩，这么低级的错误都能犯。这建设单位瞎搞。
1702261973# #涝的涝死，旱的旱死。
1687781988# #2022中央财政赤字26500亿元我又想到了梁万年和吴尊友。
1695018905# #想看看高段位的！
1689607415# #南京街头路怒事件打人者被刑拘这下开心了。。美女绝不能谅解，必须让法治的拳头还击回去，让他有本事在里面对着铁窗挥拳头。
1697721571# #辽宁原副省长王大伟一审被控受贿5.55亿余元腐败成本都由谁在承担？
1695121375# #95号汽油或将进入9元时代涨个没完？
1702453769# #赤脚追2公里，抓住小偷，太牛了！这个物业公司不错！
1692323503# #不能相互打听工资说是这样说，一线员工还是互相打听互相看工资条的，差几块钱都要上来找的。只有我这傻不拉叽的，从来不打听别人的工资多少。
1690778674# #有钱消费吗？我也想消费呢，摸索了半天口袋，摸出一支烟，点上，深深的吸了一口。
1696980264# #科技与狠活。
1696498450# #转发微博
1701087786# #不是某老师消灭证据，只是某老师粗心大意警惕性不就高。校保卫部门派出所警惕性也不高。朱家4月28日报案，他们没立即封锁宿舍保护现场和物证，到5月5日才向市局报案。
1687700183# #取消调休和落实双休你更支持哪个落实双休，劳动法就是个笑话。
1687323733# #河北科技大学可惜了！。孩子们要多接受些挫折教育，无论经受了什么，都要做个打不死的小强。
1691988079# #有医院院长收受100套房医疗反腐这事儿，院长们不但大把捞钱捞物，睡药代睡下属，狠起来连儿媳妇都不放过。。这个故事我以前讲过。。镇医院院长、儿子、儿媳妇都在一个医院。院长不但睡药代睡下属，就连儿媳妇也没放过。。五一节，院长刻意安排儿子去医院值班，他和儿媳妇在家翻云覆雨，也是巧了，活该出
1697587437# #难道陈牧驰是男女通吃的双？
1696859950# #都美竹肖像权案败诉还告吗？一起诉讼费300，另加律师费，得倒贴。
1699311340# #意思是黄先生也吃过软饭。
1687445135# #拖线的移动风扇就行。
1699970920# #允悲
1692059238# #促进消费回归应为最紧迫政策目标拿什么消费，刷脸吗？
1687736999# #【河南一书法家在酒店杀害女子后潜逃，警方发布悬赏通告】据新京报报道：6月23日晚，河南商丘永城市发生一起刑事案件。24日，永城市公安局发布悬赏通告，47岁男子靳创民具有重大作案嫌疑。25日下午，新京报记者从当地相关部门获悉，嫌疑人靳创民系一名书法家，在永城新城区某酒店内作案后潜逃，案中
1687754605# #蔡徐坤回应和歌迷互动小蔡最多也就塌房，不会像吴签那样进去，两个成年人之间的你情我愿的YY情，下雨时没披雨衣，结果玩走火了。。之于，在门口装摄像头，涉违法，问题也不是太大。
1698553703# #女子被公司辞退赔偿金是几十公斤硬币欺负一个女孩子。。。把公司老板拖过来弄俩大耳刮子就好了。
1686928309# #这事得请教。
1701266308# #可以这样操作？哈哈
1689211738# #转发微博
1698327992# #巴黎世家4千元新发带上海门店已售罄真有人系这种法带？
1699711084# #殷桃人最怕的是没了心气儿重庆一直流传着美女的传说。
1688090958# #允悲
1700633453# #小S老公辣妹有汪小菲这冤大头赞助，玩的嗨。
1694471508# #加钟！
1699448592# #有这事？
1701089409# #我以前也练过，没马老师练的好。以前皮肤干燥，身上痒痒，就经常这样。
1687238708# #倪妮被文咏珊撩到脸红倪妮鼻子突然不塌了。
1699596012# #女主演是刀尖的风声起来了，里面的女主演好好看，像山口百惠爱你
1687663309# #调休我们端午放一天，上二天再休一天，也挺好的。
1693399391# #终于晚上睡觉不用开空调了。
1693670857# #大千，还是大扦？
1698987674# #传媒学院美女多！允悲
1696870620# #上海警方通报4岁女童在海边走失上海4岁女童搜索区域已到浙江舟山上海4岁孩子海边走失事件越发怪异。。孩子爸爸的微博已搜不到，某音仅剩一条内容，什么个情况？。图4、5疑似孩子是被人带走了。但可以排除是好心人收留。剩下可能就是“有心人”这一条。。如果此事被证实是出策划炒作，估计孩子爸得进
1687394592# #安康！
1698324809# #张庭老公号召TST代理商回归事情摆平了，继续忽悠继续割韭菜。可把小陶虹徐铮夫妻俩吓的不轻。
1693534224# #看到有人加价几百元从黄牛手里买华为Mate60Pro。觉得真的没必要，机是好机，早几天买晚几天买没什么区别，又不急这几天。
1689030894# #法律概论是我的必修课，你就是那种拉不住救不了拼命要朝火坑里跳的。
1692115896# #招些普工，也比往年招的晚招的少。
1699458452# #哈哈
1689608012# #周围台企不少，常听身边朋友念叨，那些台商在私下一直把大陆和台湾当两个国家，从来没有认同感。说起大陆都是你们中国。听得他们很尴尬，又不好争论，毕竟端着人家的饭碗。。。台媒:北京大学党委书记郝平率大陆学生交流团抵台进行交流，由马英九基金会执行长萧旭岑接机，交流团来自北京大学、清华大学
1698399016# #徐进厉害，要把小三接回家和正房同吃同住。
1695821119# #我以为是谁把烟屁股扔马老师衣服里了。允悲
1688395480# #我老丈母娘被骗买的是净水机。净水机和空气净化器都是智商税。
1699667576# #已经是公开的秘密。
1696403574# #湖南婚车事故记录仪显示婚车突然变道是婚车想借道超车，与迎面驶来的环卫车辆相撞。婚车司机操作太粗糙。
1690779188# #长大后别淋裤子上就好了。
1689559553# #这谎没法圆。除非牺牲下夫人，就说是俩口子吵架，夫人趁其睡着，拿了他手机发的。
1696416735# #黄晓明因为被嘲笑英文去演了英语老师黄晓明去油成功。
1691279524# #山东地震5.5级，震源深度10公里，破坏力不大。
1692508179# #境外诈骗目标多为教师医生等编制人员为什么目标是教师医生？
1693892188# #转发微博
1701782412# #银行通报员工举报遭领导施压发生关系无非二种情况：一，被丈夫发现了，瞒不住了，开脱。参见都是月亮惹的祸。二，男的允诺的没做到。
1687748810# #补一条浙江的：高考人数39.09万，600以上的52596人。
1695131744# #秦奋捞偏门出生的二代，X变T。
1697690604# #转发微博
1703116922# #苹果手机估价近3000回收却给500高价回收。这个梗还有几个不知道的？
1687769153# #开心一刻
1689773029# #警方正调查员工如厕照片被发在聊天群未在厕所安装监控，未安装摄像头，哪是哪来的三人上厕所照片？这照片明显是从前上方朝下拍的角度。
1697499601# #不伤人，没有攻击性的应该允许。
1690269974# #吴亦凡经纪公司涉多起代言纠纷哦豁，当初老老实实赔点钱把都美竹嘴捂住得了，认栽。
1690685495# #刘涛终于还是离了？
1702262957# #警方证实华夏银行天津分行行长坠楼晚上睡不着的松了口气。
1698505333# #两家医院涉嫌骗保3.3亿143人被抓民营医院都查查，没有不套医保的。
1689034555# #游泳溺死捞鱼摸虾溺死的与桥有什么关系？
1690945415# #四川宜宾医疗系统塌方性腐败只要查下不腐败的有几个就行，省事高效。
1688441251# #代言人会影响你对品牌的选择吗那倒不至于，该喝燕京啤酒的还是照样喝，艺人的事是艺人的，与品牌有什么关系。
1695721396# #挖呀挖黄老师开启直播带货网红的尽头是带货。
1697985720# #李小冉她们出。
1688541383# #女子不穿内裤试衣隔天要求退换遭拒怎么知道没穿内裤的？
1699968698# #挺喜欢看叶璇妹子和李国庆的二人转。老李也是老司机，但是飚不过你。
1699429667# #针对不同的需求防毒面具有选型要求的。你可以查下标准。
1692749745# #抓住关键信息点：花30万走特招入职，局长25万。
1688370954# #蔡徐坤回应蔡徐坤工作室声明蔡徐坤团队的公关能力还是很厉害的。这几篇爆热的放以往都是几十万阅读量起步，被一只无形的大手给控了。
1698537125# #暨南大学81名新生放弃入学资格暨南大学是双一流、211大学。放弃入学资格实属不明智，管它专业冷热，毕业后从事专业工作的很少，大多数用人单位还是看学校。。。再一个，入学后，努力点，调专业或跨专业考研都可以的，总比放弃后再去努力高考强。
1694604956# #这公司牛！弱弱的问一句：能不能直接点，每人发一部？
1703386988# #朱令案中，除了凶手孙维外，还有一个人非常可怕，她是整个朱令事件的谋划和军事。。这个人就是王琪。。朱令宿舍的另外三个同学中，孙维和朱令家庭背景深厚，相似，属第一世界。。朱令加入社团后，很少在宿舍和她们接触，晚上又晚归影响她们休息。。朱令很少在宿舍，除了社团活动和练习乐器外，也有被孤立后
1691375397# #弯哥大号好像没了，只有小号了？
1701044001# #马英九称台湾是台湾省不是国名不要嗨了！。马英九后面还有话，怎不放出来？台湾是台湾省不是国名，是中华民国的。老调调了。
1697893069# #吴楚一直播陈牧驰也是倒霉透顶。刚红，就被拉下来摁地上摩擦。
1700559161# #都美竹录音都美竹的热搜突然多起来了，什么情况？
1690166692# #这有什么，我以前一男同事身高也就１５０左右吧，讨了个170的老婆，女的长的还很不错的。问他怎么追到手的，他说：见面时他对她说，人小D又不小的。
1694184737# #转发微博
1695598804# #官方通报校长和主任外出考察同房过夜这种事情没引发舆论也不可能这样处理，二个“能人”落到这个结果让人唏嘘。。这么隐私的监控是如何流出的？
1692348477# #馋嘴
1698913856# #尼玛，一开始我以为是唱歌（CG）被抓，仔细想想才弄明白。支持美女，这种事就应该揪男的。。。【笑喷了！大学校园CG风波】疑似山东某大学一男生CG被女友当场曝光，引发同学们围观和调侃……现场吃瓜大学生们太逗了！允悲
1688393385# #自来水都烫人。
1699406767# #是的！
1692612118# #不允许房产商降价，就不允许房产商尽快回笼资金自救，是把房产商朝死路上逼。别以为老百姓口袋里有多少仔儿，别想着把老百姓口袋里那点仔儿掏空。没钱，咱不买总可以吧！
1697034837# #装个芯片成本在100左右。
1688533873# #兜底的市场化改革，发点底薪，然后又不用坐班，随便去哪儿赚钱都没人管你。
1688230160# #转发微博
1690248366# #我们那会就一张纸！整这些花里胡哨的干啥，有这钱让学生吃好点吃便宜点多好！
1697333925# #陈牧驰他确实是我的室友小伙子挺帅的，现在找了多富姐，挺好的。
1687791598# #女子被丈夫家暴16次需终身挂粪袋2年被家暴16次女子希望按杀人未遂立案这男人不是个东西，该受到刑事制裁。但我总觉得被家暴16次，其中还有值得深思的地方。
1698234822# #男子为找特殊服务1周内被骗2次这…也能出来混？
1695216350# #你喜欢的。
1689683938# #美团外卖刘亦菲这标题起的。
1694703970# #北师大研究生因2字报考事业单位遭拒学校搞“创新”，画蛇添足，害苦学生。
1689580764# #大学生约嫖后拒绝发生关系仍被拘这个事呢，违法仍然是违法，但不应该处理，批评教育或警告下都可以。处理的有些重了。也说明这大学生够霉的，竟然被抓到了。
1691116921# #发改委发布会把油价降一半，或者真正跟国际接轨，消费立马上来。。现在国际油价80美元/桶，我们的价格和140美元/桶时一样。
1696755061# #江歌妈妈已成立传媒公司正常，任何人都有权利合法成立传媒公司。。有没有人当韭菜买单是另外一回事。
1687482611# #银川开展为期1个月安全生产大排查安全生产大排查应该的，但不至于让所有店铺停业吧。。。这起事故原因很简单，气瓶附件有问题，这与液化气经营单位有关，发现液化气罐阀门损坏液化气泄漏后，处置不当造成的。。。液化气经营单位有责任。
1691306143# #转发微博
1699278873# #佳木斯一体育馆发生坍塌上次齐齐哈尔34中体育馆坍塌是屋顶堆了东西。这次屋顶仅仅是积雪。积雪根本不可能导致屋顶坍塌吧。佳木斯一体育馆发生坍塌痛心，距齐齐哈尔34中体育馆坍塌不到半年呢，这次又来，祈祷老师和孩子们平安无事！
1703203901# #中产收割机。
1702141430# #男子裤裆藏3只小动物过海关被查好家伙，2只水獭1只土拨鼠，怎没把那话儿啃掉的？
1692869094# #看你还敢偷吃？
1700052550# #四川南充破获特大电信网络诈骗案就担心这些从缅甸押回来的坏怂在国内重操旧业。
1692945989# #推动落实购买首套房贷款认房不用认贷工具箱里的工具可不少，最关键最管用的工具-降价就是不拿出来用。拿出来的工具都是些不痛不痒的工具。
1687588113# #转发微博
1689669276# #又是道智商题。
1694876290# #知情人称母子坠楼案2孩子是被扔下楼一个家庭毁了。
1697281553# #纪委称已几天没见郑强来上班郑教授干啥去了？
1697507551# #转发微博
1703976743# #【官方通报青岛一保税仓库起火：无人员伤亡，消防部门正全力扑救】据12月30日19时47分许，青岛一保税仓库起火，无人员伤亡，目前消防部门正在全力扑救，起火原因正在调查中。
1696083064# #吉林浮桥案最新消息涉黑涉恶的案子被轻描淡写的判了。
1702089956# #我好久没理发了。
1693187411# #请大英博物馆无偿归还中国文物广西美女霸王花孔小美唱山歌。
1698966500# #官方回应前妻举报副市长与女同事暖昧被举报与女同事“强强联合”的副市长面临考验，不知道经不经得起查？
1698328744# #不怕。允悲
1689001300# #哇
1701864007# #喜欢猫的可以联系！
1699360135# #我觉得可能是有些信息有偏差。
1689118503# #姐姐30万赎弟弟没出缅甸又遭转卖造孽，那旮旯得用武警去荡平了才能太平。
1698235394# #特斯拉维权女车主发文称胜诉我以为是她和特斯拉的诉讼胜了，简直不可相信，点开一看，还真的不是。
1689607204# #姚笛最新状态哎，不忍直视。好好的一手牌打的像腹泻。颜值管理也是失败典范，就像农村菜场卖菜的大妈。
1692403080# #母女导航被困悬崖边消防5小时救出被导航带沟里去了。我有过被导航带到断头路上的。
1698752196# #恒大歌舞团团长白珊珊发声这发声越描越黑。
1697015863# #大S亲密关系情感的高位这家人戏太多太多。
1699599853# #吴艳妮说我真抢跑了又怎么了这是抢跑第一。
1693569757# #你要深刻的反省！允悲
1687220292# #大S工作室回应吸毒指控女版周立波，死鸭子嘴硬。
1687596016# #一边是考试，一边是救人，00后小伙做出这样的决定：缓考救人。他用爱点亮他人的生命之光，他用善举传承生命之花。为小肖点赞good
1702477985# #周海媚的独居者之困身边有个人，能及时就医也不至于这样，又不是绝症。。所以人啊，还是要结婚生孩子。
