1701961393# #有很多疑团等待揭开
1697470790# #无差别轰炸加沙居民区的是哪个？。又在微博上搞道德绑架，对中国外交政策指手画脚，要求中国如何如何做，你不配！。你的微博内容招人讨厌，滚犊子！
1693472697# #是啊，无票想进站，还理直气壮？这就是媒体人？
1700455516# #西安【男子邀请女子兴奋一下被怼后称开玩笑】11月9日，陕西西安。女子爆料称被陌生男子骚扰，对方邀请自己“一起玩一玩，一起兴奋一下”。女子开始录视频，警告对方离自己远点，不然报警。男子则解释：“你不是美女吗？我才开玩笑的。”
1699976187# #河南武陟县一中学发生踩踏事件被舆情倒逼出来的一份情况通报
1698468013# #转发微博
1693184070# #中国烟草回应卷烟涨价传言辟谣！
1700790228# #盎撒犹太人的真实嘴脸。
1695711768# #转发微博
1693318154# #转发微博
1703039828# #从英语口语中听出了“一笔一画”
1697350558# #视频号2023年10月15日所发的内容，没有标注时间、地点。旧闻新炒！。该事件发生于2021年6月29日，地点是天津高新区。
1698156371# #该新闻发生在2020年7月3日。。7月3日18时46分，洪山警方接到报警：雄楚大道某家居城附近有车辆鸣笛扰民。杨家湾警务站一名民警和一名辅警迅速到场处理。处警过程中，驾车男子突然加速将辅警撞至路边花坛，又下车袭击民警。民警依法开枪将该男子左大腿击伤，并在增援民警配合下将其控制。。经查，
1691416334# #转发微博
1702422323# #一家互联网企业自定标准测试车辆性能，当个娱乐节目让大家看看得了。
1693317617# #热点舆情鲁山雕塑舆情后续应对与处置有点离谱了，博主发了视频，要求删帖还附上了博主家庭住址和儿子的身份证号码。赤裸裸地威胁！。火上浇油的处置！网红博主敢在网上蹭热点，发一封邮件能吓唬住这些见多识广的网红博主吗？。XX之举！
1700723356# #青岛的？小杨哥回应徒弟圣罗兰事件
1697362035# #清朗行动清朗行动从整治官媒旧闻新炒开始。网友提示留言被你删除，你的小编执意搞旧闻新炒啊！。官媒要做好榜样哦，清朗行动，做表率！
1700091910# #转发微博
1699527170# #体育馆遇难者家属称遭人施压签协议【体育馆遇难者亲属称不要赔偿要真相】11月6日，黑龙江佳木斯桦南县一体育馆发生坍塌事故，3名初中生遇难。11月9日下午，记者在佳木斯殡仪馆见到了一位遇难学生的亲属。该亲属表示，这些天一直都有工作人员来问候，可是事情始终没有解决。体育馆是怎么塌的？这得
1700526948# #肇事司机（一所民办学校的保安），职业身份被放在新闻标题上。乍一看标题，误认为是学校保安在校园内驾车肇事。。醉驾，肇事，刑事案，依法办！。以往，媒体关注肇事者身份，如果是公职人员、官员、富翁、明星等知名人士，其身份会成为新闻亮点。。如今，大皖过度亲民，把“知名”身价打了下来，
1703969102# #转发微博
1699502958# #老鼠、狗、猫，三大动物闹腾一年，舆情不断。。老鼠配菜猫被虐，狗儿咬人惹人怪，三个动物舆情主角。🐭🐱🐶
1700056455# #官方说了啥？骗的补贴就这么算了？
1698024543# #官方回应执法人员被曝带人偷红高粱南阳迷笛音乐节财物被盗事件余波未平，这又出现固始县执法人员盗剪高粱的案件。
1697330392# #周口一玉米种植地被五百余人哄抢在收割过的田地里“捡拾”，是为了避免浪费粮食；。几百人哄抢未收割的粮食，“警车来了都没用”……。南阳迷笛音乐节之后，周口这起事件又一次给当地形象减分了。
1693242690# #可以再打一把悲情牌，这不是抖音迫害她吗，可以从抖音“辞职”啊允悲
1694522464# #胡锡进我们应接受李佳琦的道歉就知道老胡要来装一装，每个热点，老胡都要曝一次自己的智商与众不同……
1697469099# #警方已发现咬人黑狗行踪必须禁止喂养大型犬、烈性犬了！
1695339131# #许家印曾富可敌国，现负可敌国。
1698742995# #他们搞双标，厚颜无耻
1702304239# #转发微博
1693358672# #鲁山县通报花700多万建牛郎织女雕塑一个“滚”字滚出了个大舆情，局长被免职不冤；工作人员被处分，咎由自取；知错不改，私自获取公民个人隐私信息，并施以威胁，违法违规，又蠢又坏。不要漏掉这个泄露隐私信息的角色，这是又坏又蠢又恶的角色。
1701418621# #上海独生女继承2亿遗产后被离婚网友揭露：律师为了打广告编的情感故事，媒体被骗的一脸懵逼。
1701597923# #请不要造谣！这张违法告知图片真实吗？传播谣言是要担责的。
1693323568# #笑cry
1699085890# #盘点河南多地哄抢事件通报看图，舆情连续发生，正向引导很重要。
1701780001# #这种内容媒体挺喜欢的并不简单
1696640774# #喵星人虎斑
1701575280# #这是无脑逻辑
1702299302# #基金会已收到中奖者5300万捐款上一次舆情是福彩，这次是体彩。
1698886074# #警方回应承包户白术遭村民哄抢周口淮阳官方情况通报称，种植户允许村民到田地内捡拾遗留药材已是多年来的习惯。。“习惯”不一定合法！当地官方没有正视问题，认为这是当地的“习惯”，找不到问题症结！。在法不责众心理加持下，在风俗习惯的护佑下，类似的错还会再犯！
1698967856# #热点舆情湖南桂阳教育局党委书记、局长张行秋以通讯员第一作者的身份在中国教育报—中国教育新闻网发表了一篇“湖南桂阳：推行教师包联机制筑牢学生安全防线”的新闻稿。。此文一出，评论区一边倒，中国教育新闻网删除此稿。。为什么删？因为心虚！。张行秋局长，你是第一作者，文字是你写的
1701173958# #【安徽街头一表演被指低俗演艺公司：闹着玩】11月25日，安徽亳州。利辛一街头表演被指低俗，几名身着清凉的女子做着夸张的舞蹈动作，将一男子强压地上，疑欲扒其衣物。另一个视频中，一名女子将私处和胸部抵在高速旋转的农用发动机轮上，面露痛苦表情。演艺公司回应，是正经演出，系同事闹着玩。
1703297340# #冬至众里寻他千百度，蓦然回首，杭州天气仍在灯火阑珊处：99999.9度！微博辟谣
1699016652# #河南1妇幼保健院被曝欠薪1年多医院欠薪，医生维权。。当地卫健委工作人员接受媒体采访，朴实无华，诚意满满，如实回答记者提问。。问：医生反映拖欠工资一年，有没有这个事？。答：嗯….好像有。。问：啥原因拖欠工资呢？。答：没钱！。问：怎么解决医生的诉求呢？。答：不知道！
1703463706# #迷惑行为大赏网友爆料：亳州洒水车在零下五度天气下洒水作业。。网友调侃：洒水车是骨伤医院战略合作伙伴。。眼里只有经济绩效的洒水车，心中不会考虑群众利益。亳州身边事
1701094008# #水果姐李桂琴没有人能随随便便成功！。。平凡的人们，怎么会突然爆红！。。用我们的歌换你真心笑容。。祝福你的人生从此与众不同。。实力➕机遇➕策划。。这位大姐的歌喉确实不错！。。造星的第一步基本成功！
1695830719# #卡塔尔球员围攻裁判大皖说安徽人进球，极目说湖北运动员进的，。都没毛病。。他们说的是同一个人同一个事！
1695138722# #网易新闻居然把自媒体的言论挂在“新闻”下，明显是误导欺诈。居然一直没有部门去制止和处罚它？
1691799792# #转发微博
1692106687# #女子上山找鸡枞菌被吓到头皮发麻张雪峰是对的！
1693554731# #台风苏拉路径又变了今年第9号台风“苏拉”将登陆广东，对全省铁路运输造成巨大影响。为确保铁路运输安全，铁路部门决定9月1日20时至9月2日18时，对进出广东省列车全部停运。由此给广大旅客出行带来不便，敬请谅解。。。预计9月2日18时起，逐步恢复京广高铁、南广高铁、贵广高铁、京广普速铁路等线路列
1694434388# #一铲子一铲子下去，血肉模糊。
1696346728# #湖南岳阳一婚车发生车祸媒体是话题主持人，务必严谨一点。
1703774668# #七年前的案件？？？
1698376015# #转发微博
1700550885# #价值观歪了，这女的追求的价值观是歪的。
1697283037# #为何拐骗儿童比拐卖量刑轻两罪合一吧，无论是拐骗还是拐卖，给受害人和其家人所造成的伤害是一样的！。骨肉分离，家破人亡，拐卖与拐骗儿童都是严重犯罪！
1697390199# #官媒视频号潜移默化式的低红高黑。@光明日报
1693384810# #孙菲菲我是娱乐圈霸凌事件亲历者这起案件发生在2010年？？？？
1692201111# #内容真好，我们太缺有战斗性的媒体和有战斗力的记者了……都是国家队级别的外宣团队，看看“玉渊谭天”，再看看那些事事“绿灯”的团队，有些可以拿掉了，有些该大力扶植了！
1696348122# #转发微博
1701846546# #这是假新闻！官媒传播虚假新闻！
1698728480# #只有你想不到，没有他们不敢做的。怒怒怒
1693358253# #鲁山县通报花700多万建牛郎织女雕塑好尴尬！。8月26日，鲁山举办“反对浪费、崇尚节约”主题的颁奖仪式。。网友说：这么大场面，难道不浪费吗？
1691161221# #别围这么多人，暗访，暗访…..@利辛发布
1698318908# #长江大学反诈
1699973580# #事故发生一天了，官方无通报，当前的网络传播模式，这事故怎么可能瞒得住？
1699767582# #广西一面包车与货车碰撞致6死1伤交通事故猛于虎！
1700485542# #黑龙江一平房突发火灾7人遇难冬季是火灾高发期，注意防火，安全生活。
1700741036# #吸进还是洗褪？
1694858601# #iPhone15Pro系列存在变色和吸指纹问题苹果13，手机系统升级之后，已经出现多次屏幕卡顿。就是这么巧合，新机又要上市了。
1698918846# #热点舆情据事前被老师批评，警方已介入调查。一位龙岩官方人士透露，该学生因与同学发生矛盾并掐了同学脖子，后被老师批评，遭软尺打手和罚站。学生放学回家后，悲剧发生。
1691220023# #桌子上摆着一本书，没人看….你们宣传有点高级黑了
1695006031# #918【不能忘！撞钟和鸣警警示世人勿忘国耻】这组触目惊心的数字不容忘却“小时候经常听爷爷唱‘九一八’的歌，一边唱一边哭，那时候不知道原因，现在知道了，那是他心里的痛，是这个国家的痛。”“几十年，似乎很短，一回头就能看到过去；又似乎很长，长到成为了刻骨铭心的历史，被我们深深纪念
1693810061# #瑞幸回应喝茅台联名咖啡能否开车媒体免费替瑞幸做了一次广告，假如有四分之一的人口想买一杯尝尝，大约就是三亿杯。。你品，你细品…。能收割美国股民的商家，手段也是很厉害的！
1701818061# #襄阳日报这个标题夺人眼球，法盲制作的新闻标题。
1691835956# #转发微博
1693229308# #美团共享电单车，你随车配的安全头盔太离谱了。国家强制标准已经出台了，美团单车，这糊弄的太敷衍了！
1691288718# #不信谣不传谣！
1696593505# #南阳女主持人含泪控诉建议这位女主持人看一看评论，哭诉上了热搜，南阳舆情又出新热搜话题，舆论引导效果堪忧。。令当地官员忌讳的是，这位女主持还特意提到了市委书记，把书记扯进了热搜中，引导不成功。
1704092378# #@淮南发布
1703023106# #转发微博
1693803141# #转发微博
1697363929# #贵州村BA打出了文旅的品牌；河南洛阳的村BA真的打了起来！
1698739652# #视频中说的是：招聘成功了吧？
1695252226# #近期关于预制菜进校园的话题越来越热，看清本质：经济利益最大化。。无利不起早。如今的校园食堂也是通过招标方式推向市场。商家想增加收入，就要压低成本，降低成本就带来了质量把控的风险。食品安全，这是家长们最担心的问题！。谁支持？谁反对？捋清利益链条，答案就在其中。
1695255011# #宿州“快来吧命吧”。不懂就问：“快来吧命吧”。到底是什么意思呢？。解释一：快来改变你的命运吧！。解释二：快来吧，要你命！。解释三：快来，豁出命，一起嗨。。解释四：语气助词，造出的新词搭配。。解释五：没有解释。
1698883103# #街道办通报新白菜剁碎凑厨余活久见，垃圾不够用蔬菜来凑。。为什么要凑厨余垃圾？
1703221759# #挖鼻挖鼻挖鼻
1691392055# #转发微博
1694948866# #交通安全，交通安全！！！
1698849146# #万女士说，经过清点，药材被抢走了约2万斤，“白术是一年一收成，今年能卖到10元一斤。”二万斤是什么概念呢？这些老人捡走了近十吨重的药材…….
1702286535# #亳州身边事安徽一县城公交车停运2023年12月11日，亳州利辛：。1、利辛县气象部门发布寒潮蓝色预警；。2、12月11日，利辛县公交停运一天；。网传文件显示，是利辛政府要求的第二次延续经营协议已经到期，有关约定的地补资金也未能到位，不得已停运……。利辛发布公告称，经营合同到期，现变更
1702308439# #男子花100块买彩票中8662万捐5300万“中奖者表示“不太会选”，随后中奖者机选了一组号，还进行了10倍的投注；。“钱太多，在当地花不完……”。中奖8662万元，捐5300万元，捐出三分之二奖金，大手笔。。这则体彩新闻又考验公众智商的时候到了！
1692157978# #视觉中国创始人称是误会无耻的推脱之词。
1699154981# #家长回应14岁女儿遭小超市老板猥亵根据评论整理资料，针对网友质疑点准备情况通报…
1696065016# #中秋国庆假期第2天你在干什么在看辟谣啊。
1699153419# #当造谣能收获更多红利，一旦成为习惯，他会乐此不疲！
1703520969# #他说，人民万岁！
1699419041# #制造话题引导舆论，官司输了是因为被法院针对，而不是因为诉棍无能或者委托人（律师费给的很高）的问题。
1704092222# #@淮南日报社
1699975844# #河南武陟县一中学发生踩踏事件武陟发布微信公众号已经停更一年半时间，因为这起事故，唤醒了这个沉睡一年半的官方账号。
1696064771# #高铁因超员触发警报无法发车谁在造谣？官方辟谣高铁超员触发报警
1702534525# #由此可见，之前的药商暴利
1701768440# #这个坠江和自溺有无区别
1700645943# #热点舆情【2.5天带薪休假舆情】简单回溯，周一发，周三上午出现舆情，也差不多是“2.5天”，时间有所巧合。捋一捋阜阳“2.5天带薪休假舆情”的脉络。。本周一，有媒体解读《关于深化文旅融合彰显淮河文化加快建设高品质区域性文旅中心的实施意见》这份报告（简称实施意见）。其中，关于带薪休
1698069727# #杭医将打造生态无蚊校园再过几天，霜降之后，实现生态无蚊校园不是梦！
1696384918# #湖南岳阳一婚车发生车祸大众网新闻报道严重失实。。类似交通事故的突发事件，要根据监控、目击证人、痕迹检验、技术鉴定等等科学全面调查，才会有客观的结论。。媒体先行公布结果，误导舆论，导致争议不断。清朗行动
1698394199# #辛巴称李佳琦成平台竞争的牺牲品是炒作吗
1702616931# #公开信息显示，范炜于2019年5月当选太原市新媒体协会会长，2022年2月被推荐为第五届运城市政协委员，2023年1月被推荐为第十三届山西省政协委员，2023年2月担任农工党山西省委融媒体专委会主任。
1695256026# #月薪6000小伙为见女主播打赏9000万元企业财务监管有漏洞！。女主播退钱了，平台扣除的部分是不是也退了？
1697123657# #郑强回应婚内出轨包养情妇不懂就问：香港新闻社”是谁？。照片背景墙
1701571641# #女子排队礼让孕妇后被他人暖心礼让我们不拒绝正能量，但不建议摆拍。迷惑行为大赏西安这家医院曾经因西安孕妇流产事件被处罚！→→。“陕西西安卫健委13日发布通告，本轮疫情发生后，西安高新医院、西安国际医学中心医院未能将“人民至上，生命至上”贯彻落实到医疗救治工作中，责任意识淡薄
1703124282# #遇到舆情怎么办？。答案很简单，依法办！。涉及公职人员违法违纪违规，依法调查依法处理，在大是大非面前，违法者咎由自取。如果采取捂、堵、删的措施掩盖问题，就会将小疮演化成大脓疮，早晚会溃破，毒性很强。。媒体人用负面信息来要挟，达到某种利益诉求。如果妥协了，有第一次就会有第二次和无数个下
1696902312# #转发微博
1694072258# #快滚……
1698658018# #矩阵账号热衷于发“早安、晚安”帖，各种相互转评赞，互相捧场，你好我好大家好。这种操作能带来流量，让数据好看。但是，对政务账号来说，这种操作仅是小圈子里的自娱自乐。一旦遇到舆情，流量越大，反噬越重，留人话柄。。扪心自问，所在单位开设政务账号是何初衷？。不忘初心方得始终！。把
1691305889# #英雄走好
1696863276# #转发微博
1703328293# #胡控制不住内心深处的蠢蠢欲动
1702993310# #是夸评论员敬业呢？还是不够专业呢？
1697470552# #又搞道德绑架，中国立场不需要你来指手画脚！
1704025076# #话筒
1700486381# #【B站通报人肉开盒案例：案涉18省市，一未成年人被警方行拘】近日，B站通报了一起“人肉开盒”案例：违法者共计40余人，案涉18省市，主要活动者是未成年人。“人肉开盒”指利用非法手段公开曝光他人隐私数据与信息。（素材来源哔哩哔哩社区小管家）
1693184270# #中国烟草回应卷烟涨价传言谣言说的是烟草全部涨价10%，辟谣了。不可能全部涨价的，烟草有最高限价，那一批价格已经到了顶端的高档烟挤眼没有涨价的空间了。允悲允悲允悲允悲。辟谣要看清造谣的内容……
1693472908# #嚣了一次张，激起众怒，挨了路人三顿打！【欺负保安，一cos女生4分钟挨了围观群众的3顿打吃瓜】。时间：8月29日。坐标：福建福州或者平潭兴福兴购物广场附近。事件：一网友发视频称，一cos的女生要把共享单车停在步行街门口，在遭到保安阻止后对保安大打出手。当路人过来劝架后，又对路人出手，最后引发
1699931293# #创城记
1694488093# #李佳琦哭完继续带货卧槽
1693234709# #迷惑行为大赏包头民政：撤销登记……。包头文联：不需要办理民政登记注册手续……
1698157344# #山东通报小学安装窗帘问题这不是窗帘装不装的问题，是校长对待问题，解决问题的态度问题。停职是上级对待此事的一种态度！。老师用网络舆情解决了一件“小事”，当地教育形象受损，校长停职，爆料的老师未必收获利好！多方受损，皆输！
1691354235# #暑假期间，这是培训机构的学生吗？
1692692022# #转发微博
1703576057# #清朗行动这次不配文字。
1700486170# #在中国的互联网可劲闹腾，以色列大使馆、领事馆微博小编常驻香港🇭🇰
1695292599# #赛出水平，赛出风格good
1702295527# #看看中国反邪教设置的话题，北京就变成了下雪的北京真是啪啪打北京广电的脸。
1701326801# #话筒话筒话筒
1694137936# #任性不能当个性！
1692369797# #广州美食打卡广州中泰缅老警方合作打击赌诈集团
1697700403# #A股“让老百姓通过股票基金也能赚到钱……”。。———年度最佳短篇科幻小说。
1704091703# #市委十一届五次全体会议召开。市委常委会主持任泽锋讲话张志强陈儒江蔡宜骅出席。审议通过《中国共产党淮南市第十一届委员会第五次全体会议决议》。12月30日，中国共产党淮南市第十一届委员会第五次全体会议在市政务中心举行。出席这次全会的有市委委员43人，市委候补委员6人。全会由市委常委会主持。市
1704117500# #转发微博
1695375793# #英语老师3天忘光所有单词查出痴呆症
1701745722# #热点舆情高安官方回应了，城管执法人员在工作日违规饮酒，违规执法！。几个疑问：城管能否单独上路对机动车进行处罚？。该机动车驾驶人违反哪条法律法规？应受到何种处罚？。行政处罚应按规定开具行政处罚文书，实行罚缴分离。这位城管执法人员开具的是一张村级收据，现场扫码到个人账户收钱。。江
1701220876# #山西花859万采购防止返贫监测系统花费巨资上了系统，又新增一个App或者小程序，让基层填报各种数据，旨在形式上“防止返贫”。。此类软件的科技含量到底值多少钱？懂的自然懂！
1699019979# #转发微博
1701220682# #老胡擅长自我否定，制造网络争议
1695678937# #祝贺《拂晓报》创刊85周年！。金秋十月，丹桂飘香，秋高气爽，欢迎党媒的记者大咖们去宿州采风采访！
1703578719# #网友王大爷认为，死于血糖过高
1701788755# #希望更多人看到，此前的几十家媒体错误解读新国标！
1699441665# #转发微博
1704020738# #转发微博
1695519078# #毫厘之差，亳州毫无压力。。权当又一次事件营销。。亳亳亳
1701858288# #转发微博
1696551733# #陈某煽动误导村民拿东西被刑拘【南阳迷笛，如何脱困？】。首先，官方要对引发舆情的财物丢失事件做准确定性，明确事件性质是关键，如果涉嫌盗窃，警方要依法办案。。信息发布切勿喧宾夺主！南阳迷笛音乐节露营地的财物被盗事件发生之后，南阳警方、南阳政府至今没有公开发声回应。。迷笛
1698726249# #转发微博
1691758804# #转发微博
1701790431# #谣言百家传，辟谣无人看！
1702179502# #责任完全在菲方。再三挑衅，呲他！
1696476898# #迷笛这个通报把“傻逼”都写进去了，“牛逼”！估计还l嫌舆情不够热度。再来一把火
1702968233# #子弟兵、武警和消防救援赶往灾区！
1699831522# #这条“痛诉”暴力强拆的卖惨微博，有图有视频，文字洋洋洒洒哭诉遭强拆。看到微博评论区，就决定截图保存。。不出所料，作者自己删了微博。。这届网友没有一股脑跟风！。论评论的重要性！
1697389779# #清朗行动光明日报视频号，济宁消防帮助老大爷推车，八天时间先后发布了三次：。8天前，“老人蹬三轮上坡消防员一拥而上整起飞”，标注事发时间10月6日，山东济宁，来源于“闪电新闻”；。7天前，“这温馨的一幕，太暖了”，标注事发地点“山东济宁”，未注明事发时间和信息来源；。5天前，“快乐到飞起
1702308627# #男子花100块买彩票中8662万捐5300万“中奖者表示“不太会选”，随后中奖者机选了一组号，还进行了10倍的投注；。“钱太多，在当地花不完……”。中奖8662万元，捐5300万元，捐出三分之二奖金，大手笔。。这则体彩新闻又考验公众智商的时候到了！周海媚工作人员拒绝回应网传消息
1704092299# #@淮南日报社
1702369477# #发八万亿，专家太保守了。
1700723676# #女子拿鞭引导男子跪地爬行双双被拘这对男女网友为寻求刺激，双双被拘留。
1693179982# #她演的不够好，哭起来样子很假很假！
1698678195# #转发微博
1701251393# #当事人发抖音时没想那么多。她想展示这次死里逃生的过程，展示家人对她的关爱。没想到会引发舆情。
1700360721# #转发微博
1693468136# #平顶山就牛郎织女雕塑成立调查组发布通报，该信息来源于
1702006539# #中国福彩客服证实2.2亿巨奖系同一人所中明明可以明抢的，但却依法依规的掏走。
1704079845# #罪犯子女考公限制是否应取消有些身居高位的父辈贪腐捞足，又在给后辈开路。
1700438441# #烂到家的组织者！
1702983183# #甘肃地震已致126人遇难愿伤亡少一点！
1704092256# #@淮南发布
1702389222# #知情人称周海媚还在医院治疗中一路走好！周海媚去世
1703505583# #【没完没了为哪般？挑起纷争，撕裂社会】基督教徒的儿子，自然要为基督教发声！
1694144635# #新闻可知，造成事故的原因主要是司机操作不当，存在交通违法行为。即使现场没有护栏，车辆也有可能撞到建筑物或其他车辆或设施，依然会引发伤害。。按评论文章的理论，因为护栏自身有问题，设置不合理，没有护栏就没有伤害。。类推，这是汽车导致发生车祸，应该叫停汽车生产和使用。。PS：论点
1692956062# #日本核污染水排海民众忍无可忍网易小编玩火，账号被封。
1699765492# #镇长情绪失控，拍桌子了！并非用水瓶砸人。
1696667495# #他一定是在享福的。
1700360459# #转发微博
1702347548# #你这个专业给利辛发布点赞的，应该继续点起来
1701095344# #正视问题，解决问题！
1696038768# #许家印家族分红套现500亿利益个人化，债务公司化，风险社会化。怒怒怒
1699688921# #→→
1702562580# #转发微博
1700035329# #转发微博
1699527040# #所有的表演和谣言只为一个目的：赚钱。
1701941168# #还是她？
1694758953# #转发微博
1701468526# #什么目的费解
1696640223# #官方通报已婚女子陪领导喝酒醉卧街头这个热搜貌似就错了，与官方通报内容不符。。应该是未婚女科长与已婚从事自由职业男子交往，因感情纠纷，男子曝光女科长陪领导醉酒….
1701671765# #草
1692147552# #自己拍的照片被视觉中国告侵权统计一下，视觉中国共起诉了多少起“维权”案例。。视觉中国把法务当成了营销……
1697493107# #连联合国工作人员你们都炸，连听你们的话逃离加沙的难民你们都炸，连医院、学校你们都不放过，你们炸死那么多巴勒斯坦儿童甚至是婴儿还能反过来倒打一耙，你们这是什么主义?
1702007191# #中国福彩客服证实2.2亿巨奖系同一人所中福彩中心三任主任陈传书、鲍学全、王素英，两个副主任王云戈、冯立志，先后落马。。（此文发布于2018年！！！）
1702354355# #转发微博
1701874852# #《五问》中，也提到救助中的关键一环，是“小姑姑”联系到儿媳，儿媳又求助单位领导，“其间有多位热心人士接力传递信息，最后联络上了上海市人民政府驻西藏办事处”。至于多位热心人士如何接力传递信息，文中则显得语焉不详。这是承上启下的关键一环。
1698834863# #教体局已介入郑州女教师跳楼轻生事件【广西一学校小卖部租赁权拍出320万元，当地教育局：会跟领导反映】10月31日，广西玉林。网友发布视频称北流市明瑞高级中学负一楼150平米小买部，从起拍价110万元起，多次加价后，最终拍到320万元。铜州拍卖行工作人员表示事情属实。当地教育局工作人员：“会跟
1691271705# #山东平原5.5级地震安徽阜阳现在大雨倾盆
1699713850# #猫仔猫咪超话
1694993963# #999元1间酱香大床房贵不贵昨天宣传的“茅房”，已经下架。。传奇酱香，过浓易臭。
1696901524# #要是因为官媒网暴，导致当事人或当事人的亲属自杀自残，所产生的后果，谁来担责呢？当事人有罪有错，自会有国法党规党纪处理，不应该媒体以网暴方式搞舆论断案。你在这个阶段就在新闻标题直呼其名，是否妥当？
1692546405# #浙江广电集团回应国企旗下的“三甲”医院改制转为民营私立性质，不多见！迷惑行为大赏皖北煤电集团总医院在宿州是实力很强的综合性医院。
1697901173# #转发微博
1692201228# #到底是谁当它保护伞？
1702542994# #投机取巧能获利，。实干苦干白忙活，。久而久之，政务账号自损公信力，沦为刷屏机器，逐步丢掉舆论阵地。。政务微博这个品牌也会慢慢丧失竞争力！今年，越来越多政务账号申请注销。。往小了说，是投机取巧。往大了说，弄虚作假，形式主义。
1700055937# #相同的错误犯一次可以理解，再二再三又再四，不到一年4次类似情况，不得不让人遐想：学校与社会机构有无利益输送！
1691247314# #实事求是地说，宿州文旅材料写的很棒！妙笔生花，化腐朽为神奇……
1701174263# #安徽街头一表演被指低俗几分钟，就被夹了，那就截图发出来吧。亳州清朗行动
1701598016# #清朗行动传播谣言，要承担法律责任。微博辟谣
1698567772# #喵星人婀娜多姿
1701597494# #是你吗
1703897080# #小镇做题家之后的不孕逃离家乡小城
1703672357# #转发微博
