1600642006# #厦门-音乐广场等
1569887456# #上海旅游节—花车巡游
1600388370# #厦门-南普陀寺
1566525379# #看看这个猫咪的视频很笑人，就和人样，孩子不听话妈妈不舍得打，爸爸过来打，😄😄😄😄
1546820246# #俄罗斯安装了目前最先进的人行交通信号设施。它用3D投影技术投射出光影幕墙，保证了行人和车辆的安全。发出来大家开开眼界。
1597901354# #天才与憨大仅一步之遥
1534691701# #跑酷
1614817882# #手影舞（达人秀）
1535931877# #杂技
1607977418# #身体的求救信号，千万别忽视！
1608505242# #摩托车腾空特技表演
1534036534# #税务知识（0021）。企业所得税税前扣除知多少？①。大家都知道企业所得税有税前扣除项目，那具体有哪些项目可扣除，扣除标准又是多少呢？今天就和大家一起来了解一些热点扣除项目~不要错过哦！。一、工资薪金。根据《国家税务总局关于企业工资薪金以及职工福利费扣除问题的通知》（国税函〔2009〕3号）：。
1553294607# #如果有一天。我老无所依。最大的依靠不是孩子
1542532591# #上海建筑。上海国际饭店。民国二十一年(1932年)，四行储蓄会(由大陆、盐业、中南、金城等四家银行组成)投资提议，在上海建立“远东第一高楼”的标志性建筑，设想借此树立储蓄会“实力雄厚、信誉可靠”的形象。美商信通汽车公司经理卢寿联得知后，向发起人吴鼎昌提议“开一家豪华饭店要比建办公楼更赚钱”
1578002654# #陆家嘴
1568609545# #成龙电影艺术馆
1551054052# #赛狗🐶
1538177320# #税务知识（0089）。临时工工资不能税前扣除了，有这说法吗？。问。听说临时工工资将来不能税前扣除了，有这说法吗？。答。没有这样的说法。但是有限制条件了。。政策依据：。国家税务总局2018年28号《企业所得税税前扣除凭证管理办法》。第九条 企业在境内发生的支出项目属于增值税应税项目（以下简称“应税项
1580507623# #螃蟹🦀吃活贝壳
1638958667# #苔圣园酒家
1534577151# #税务知识（0038）。总账会计岗位职责、成本会计岗位职责、往来应付会计岗位职责。。总账会计岗位职责。1、负责审核出纳现金及银行存款余额是否账实相符，并与ERP系统相核对。。2、负责现金收支单据的审查。审查单据是否符合相关规定，项目是否填写齐全，数字计算是否正确，大小金额是否相符，有关签名和盖
1597301764# #大前天上海的夜晚，来了一场大雷雨。在上海陆家嘴的上海中心，及东方明珠受到雷电招遇！有关方面的监控意外拍攝到的高清照片。
1636553920# #前滩太古里
1616971434# #杨浦滨江风景
1539663092# #税务知识（0091）。新版个人所得税税率表的3个变化你知道吗？。10月1日起，除了工薪所得基本减除费用标准提高至每月5000元外，还将实施新的个人所得税税率表。和之前相比，新版税率表有哪些变化呢？让我们一起来看看。
1594673492# #隐藏式创意家居，既省空间又美观，这设计简直绝了。
1594936272# #曹村源园-曹杨新村村史馆
1554592092# #清蒸武昌鱼
1597790363# #希特勒之死
1609106191# #芯片制造到底有多难？
1616625923# #九子公园
1534344157# #上海建筑（园林）。复兴公园。复兴公园位于上海雁荡路105号，东邻重庆南路，南临复兴中路，西近思南路，北与科学会堂等为界。当时有个姓顾的人家在此建造了一个私人小花园，人们称之为“顾家宅花园”，这便是复兴公园最初的雏形。1946年元旦，公园改名为复兴公园，有“民族复兴”之意。。这是上海唯一一座
1570920214# #松江仓城老宅—秀南街杜氏宅
1623905433# #普陀区美术馆
1576191721# #方清平单口相声②
1581550532# #一名日本女孩怀抱捐款箱，拼命向路人鞠躬为武汉抗击“新冠肺炎”募集资金的视频让人泪目。该女孩在记者采访时说，“中国是一个温暖的国家，疫情过后想去武汉看樱花”。
1570748406# #松江仓城老宅—杜氏雕花楼（松江中山西路266号）
1572935137# #钜遇聚
1577052269# #叠罗汉
1580688851# #【长寿秘诀】广西玉林晚报搞过一个“万岁活动”（访问调查100个百岁老人）。一些国家级的生物学家，营养学家，医学家参与其中，想找出长寿规律，结果经过半年之久的调研，找不出规律。因为被调查者有爱动的有不爱动的，有一辈子不干活的，有一辈子干重体力劳动的，有爱喝酒抽烟的，有从來不喝酒抽烟的
1535425830# #剪纸艺术。作为一名艺术家，PippaDyrlaga利用传统剪纸技巧，创造当代艺术。她的创作的包含各种尺寸，从两米高到十厘米大小的都有。同时她的创作也几乎总是会用一张简单干净的白纸开始的。。创作中，她会首先画出一个简单的比例，随着创作的进行，每一个区域做大量的修改，因此随着创作的进行，最终结
1574899228# #這是每400年在喜馬拉雅山盛開一次的马哈梅鲁（Mahameru）花。。即使只在照片中，我們這一代人也很幸運能看到它。
1579241806# #无人机
1536968108# #上海建筑。川沙。川沙，地处长江三角洲的东缘，人称大三角中的小三角。虽是滨海弹丸之地，但扼拥长江，屏依上海，雄川丽水，地沃产丰，有着独特的地理优势和发展条件。。老浦东称之为北沙，称南汇新场地区为南沙。千百年来，长江的流沙受海潮的顶托在此沉积，形成一个个沙洲，后来逐渐连片成陆，因而取名
1632741074# #粤菜海鲜馆
1546127391# #税务知识（0134）。公司出差管理制度。第1条目的。为公司员工出差有序管理，严格控制费用开支，根据国家财产部有关规定及公司具体情况，制定本规定。。第2条出差定义。因处理公务或参加培训须离开工作所在地一日以上，视为出差。出差可分为国内出差及国外出差两种。。第3条国内出差。3.1出差申请。3.1.1员
1580346919# #30秒认识中国25座世界级城市
1579642034# #动物界的母爱！既温馨也很伟大！
1660489696# #东北烧烤
1594330953# #国外搞笑视频⑨上身穿制服，下身穿短裤的警察在路上执法。
1566080891# #泰国清莱-黑庙
1622114545# #虬江路街心花园
1534426686# #上海建筑。四川中路。四川路是上海市黄浦区四川中路在1945年以前的路名，当时曾是上海公共租界中区的一条南北向干道。它南起爱多亚路，北至苏州路，长1270米。1855年－1860年公共租界工部局辟筑此路，起初名称为桥街。1865年以中国省份名称定名为四川路，1945年收回租界后改名为四川中路。漫步四川中路，
1612917740# #歌曲《一朵鲜花》（刘欢、宋祖英）
1561413545# #上海建筑。上海有个下海庙，还和提篮桥有关
1583278215# #这就是中国。中国抗疫的世界意义
1534827418# #税务知识（0062）。小微企业，可以开的17%的增值税发票，总金额在3万以内，免税吗？。增值税里的小微企业概念和企业所得税里的小微企业概念完全不同。。1.增值税里的小微企业。增值税纳税人分为一般纳税人和小规模纳税人。增值税里的小微企业，就是特指增值税小规模纳税人。。小规模纳税人月度销售额不超过3
1599597980# #厦门-鼓浪屿①
1533991951# #税务知识（0016）。因为对方企业注销，没有及时取得发票，但是款项已经支出了，确实无法取得发票，是否可以凭借合同在企业所得税前列支？。根据《国家税务总局关于发布<企业所得税税前扣除凭证管理办法>的公告》（国家税务总局公告2018年第28号）第十四条规定，企业在补开、换开发票、其他外部凭证过程中
1556958788# #月亮在白莲花般的云朵里穿行，晚风吹来一阵阵快乐的歌声，我们坐在高高的谷堆旁边，听妈妈讲那过去的事情……。小时候，我们喜欢唱这首歌，唱着唱着，自己成了爸爸妈妈；又唱着唱着，爸爸妈妈离开了我们；还唱着唱着，我们自己老了……。月亮还在，白莲花般的云朵还在，晚风还在，可是，“他们”----我们
1604966347# #人生各年龄段成功的标志
1534234284# #中华古诗词知识
1581289194# #“上海堡垒”需要你我共同守卫
1667014241# #静安大融城
1544577843# #你们的营业是不是反应速度都很快啊？
1568938195# #这幅画获得了2019年度全球最感人攝影獎：。《吻別》。引頸相依依。與君吻别離。夢中再會時。君在餐桌裡
1557093795# #国外搞笑视频⑤
1585779155# #印度封城21天
1601679179# #我刚刚打电话问朋友，今年你挣钱了吗？
1564354345# #上海宁作孽啊😥，斤枣37度😥，门枣37度😥，后捏37度😂。眼晶一杀，进十烧烤模式😂，困了床浪是红烧😂，困蜜席是铁板烧😂，出器是烘山芋😂，到游泳池是水饺😂，转去路浪是生煎😂，到窝里是回锅😂，真格七否消！😂。不是上海格朋友就看不懂了😄😄😄上海咸话好
1605137898# #蓝花楹之都，最美城市Grafton👍👍
1538258156# #税务知识（0090）。企业一定要为员工缴纳社保吗？有五种合法情形是可以不交！。从2019年1月1日起，将各项社会保险费交由税务部门统一征收，一下子给企业增加了大量的负担，很多企业选择以外包或者派遣的形式来降低成本，那么有没有合法的情况下不需要缴纳社保？。一、企业接收在校实习生，签订的实习协议。
1573010921# #建民绿地公园
1564524648# #章鱼🐙捉螃蟹
1614625448# #上海静安固体废弃物流转中心
1615157277# #"老三届"是什么？。近期即将播出的电视纪录片《老三届——与共和国同行》共二十集，该片以纪实的手法从不同的角度、不同侧面、结合历史、现状与未来，把老三届这一代人的生活经历以及他们的人生和社会价值真实、生动、深刻地展现给观众。《老三届》摄制组历经两年时间，走访了20多个省市和地区，深入
1586750908# #真是太帅了（中国军人进行军演）
1607125941# #咏心上海点心
1559891057# #今天是五月初五，端午节；。“端”出幸福，“午”住快乐；。“端”出吉祥，“午”住如意；。“端”出平安，“午”住健康；。“端”出好运，“午”住财富；。祝大家端午安康🙏
1596076149# #1876老站创意园
1611964235# #集福牛开福运开年惊喜~我收到了送我的桃花好牛福牛卡，离除夕分1亿的小目标又进了一步！太开心集齐6种福牛卡，除夕分1亿，最高能赢2021元！收集新年好福运吧！让红包飞快戳>>
1562282533# #同学们辛苦了
1534577420# #税务知识（0039）。工资核算会计岗位职责、出纳岗位职责。工资核算会计岗位职责。1、负责每月及时向人事部、车间管理部门、后勤部及相关部门索取有关资料，每月按时核算公司员工工资。要求在每月20日之前能够完成上月工资明细表的编制工作。。2、负责结算辞工人员工资。。3、及时清查人事部门提供的员工考勤
1550099636# #让我们看看这鱼🐠嘴里有什么
1599254884# #国外双人舞，好看又好听
1591655571# #东方盐湖城③
1535417975# #塑料袋的30种妙用，你试过吗？
1614039815# #猫咪遇到螃蟹之后的反应，被螃蟹夹得嗷嗷叫，实在太逗了
1573943042# #2020年报刊你订了么
1534505060# #上海建筑。圆明园路。圆明园路位于紧靠外滩，与北京东路上一条相交界的路上，是一条南北走向的道路，南起北京东路北至苏州路，全长462米。1860年代，由上海公共租界工部局修筑此路。如今，这里也是外滩源不可缺少的一部分。。圆明园路97号。安培洋行建于1908年，由通和洋行设计。四层砖木混合结构，总建筑
1589490347# #红石峡（陕西榆林）
1664618439# #风铃公园
1634560253# #兰州中川小镇
1568519429# #江南里
1536068267# #税务知识（0072）。给员工发中秋福利，这样发更给力！。超市里堆成小山的月饼提醒我们，又快到一年一度的中秋节了。今年老板准备怎么给员工发中秋福利呢？。例：有个公司，是给每个员工发1000块钱。这1000块钱如何发呢？是有讲究的——。方式1：以工资薪金的形式。并入工资一起发放100个职工每人1000元过节
1627554296# #杨浦滨江
1664359632# #
1606431272# #在树上画画，视觉上觉得树消失了一截！
1537059333# #上海建筑。武康路。在武康路上喝过咖啡，鲁木齐路上看过梧桐，甜爱路立过最美誓言，也在昌里路吃过烧烤，却忘了在市中心的某一个角落里，还有一条别具一格的马路。。这条马路，人少又安静，素来与世无争，低调的让人惋惜。。武康路。这样一条优秀的马路，武康路早已在上海火出一片天，用实力告诉你什么叫圈
1560377047# #庐山秀峰，李白诗作《望庐山瀑布》出处。
1634213809# #全球潮玩集合
1553382940# #财经郎眼:是否应该开征遗产税
1533814119# #税务知识（0003）。股票投资损失能否在税前扣除。问：我公司今年在证券交易市场进行股票投资，年末按照公允价转让发生损失20万元。股票投资发生损失是否可以直接计算并自行在企业所得税税前扣除？。。解答：《国家税务总局关于发布〈企业资产损失所得税税前扣除管理办法〉的公告》。。国家税务税务总局公告20
1659264544# #印度餐厅
1588710398# #南泥湾（陕西延安）
1574736774# #西塘古镇
1611362374# #苏州河—宝成湾
1554848326# #小狗🐶与马🐴抢食
1535364026# #zs-人生最大的幸福，莫过于有个人嗳暖的住在心底，想也惬意，念也甜蜜。爱和被爱，都是一种幸福。今生有你，我很知足，难过时有你陪伴，失落时有你安慰，让心灵有处依靠，让情感有处释放，这就是最难的幸福。浅秋道一声珍重，祝福送一句问候！
1563143430# #大爷大妈公园合唱经典老歌，指挥大叔全程高能！
1573345419# #华灵公园
1580086850# #上联：。猪肉永远没有想到，它居然败给了口罩；。下联：。口罩永远没有想到，自己居然成了年货！。横批：【出乎意料】。。五言绝句：。天上九头鸟。地下湖北佬。武汉打喷嚏。全国戴口罩。😷😷😷
1533955436# #税务知识（0012）。外币汇率折算规定看这里！。随着经济全球化，外币越来越频繁地出现在我们的生活里，为了规范申报时外币汇率的折算方法，税务总局出台了多项规定。。。一、增值税外币汇率折算规定。   《关于全面推开营业税改征增值税试点的通知》（财税〔2016〕36号）附件1《营业税改征增值税试点实施
1593209428# #上海1号私藏菜
1559514640# #税务知识（0152）。小规模纳税人免征增值税政策，这三个问题要注意~。问题一：月销售额在10万元及以下免征增值税，不仅小规模纳税人适用，一般纳税人也同样适用吗？。答：“一般纳税人”？NO！。月销售额在10万元及以下（季度销售额未超过30万元）的，免征增值税，这里仅仅适用于增值税小规模纳税人（也包
1580316056# #国外搞笑视频⑧人吓人
1571186195# #松江西林禅寺
1580920832# #我不是病毒，我是人类，不要对我有歧视！
1614983699# #年，就这样过完了。心，却依旧，像平静的湖面，无波无澜。不知道从什么时候开始，过年，不再是一种憧憬，而成为了一种形式。以往过年，缺的是年货，不缺年味；现在过年，不缺年货，缺的是年味！过去的年味再也找不回来了！难忘今宵，唱了一年又一年，再也找不回以前的那种激情，不变的是日出日落的一
1535948056# #太棒了，我在熊猫守护者养成了一棵新竹子！竹子将种在陕西秦岭地区，保护国宝“滚滚”的家，你也快来加入吧！
1540939025# #税务知识（0108）。企业所得税税前扣除费用中准予结转的有哪些？。企业所得税税前可扣除的范围中，有哪些是允许结转以后年度扣除的呢？。1、《财政部税务总局关于企业职工教育经费税前扣除政策的通知》（财税〔2018〕51号 ）。职工教育经费。为鼓励企业加大职工教育投入，现就企业职工教育经费税前扣除政策
1632269957# #分享图片
1588282343# #小伙给狗🐶狗搭建超级豪华的狗窝
1545778559# #达人秀（国外）圣诞🎄狗🐶
1581351919# #歌曲《坚信爱会赢》文艺界抗击疫情主题
1617421919# #好文荐读。清明。认知了清明，就懂得了人生！。清明时节雨纷纷，路上行人欲断魂。。站到祖先和亲人的坟前，明白了：。才知道自己从何而来，将向何处！”。我是谁，从哪来，到哪去？。从哪来？静立茔冢默然，你便会追寻到这个答案。。你来自父母，父母来自祖
1622802712# #如果一直挖，会挖穿地球吗？
1543188970# #税务知识（0117）。现金流量表的编制方法及计算公式。一确定主表的“经营活动产生的现金流量净额”。1、销售商品、提供劳务收到的现金。=利润表中主营业务收入×(1+16%)+利润表中其他业务收入+(应收票据期初余额-应收票据期末余额)+(应收账款期初余额-应收账款期末余额)+(预收账款期末余额-预收账款期初余额
1534647397# #税务知识（0049）。差额征税！。差额征税原先是营业税的政策规定，即纳税人以取得的全部价款和价外费用扣除支付给其他纳税人的规定项目价款后的销售额来计算税款的计税方法。营改增后，支付给其他纳税人的支出应按照规定计算进项税额，从销项税额中抵扣。但由于原营业税差额征税扣除范围较广，差额征税在
1558652645# #百岁老人
1579741999# #歌曲《南京知青之歌》
1539819047# #灵活的胖子（舞蹈）
1560294003# #小时候家里没有电脑，只能玩这个……笑cry
1538609111# #200个金牌旅游小吃名单。炒肝、酸辣粉、生煎、胡辣汤…2016年11月18日，首届中国金牌旅游小吃颁奖礼在京举行，200个地方小吃摘得“金牌”。现特意奉上获奖小吃名单！来看看有你家乡的吗？你最爱吃哪个？
1534689954# #俄语翻译如下。警：姑娘，这里禁止游泳。。女：脱衣服时你怎么不说？。警：脱衣服不禁止。。看看人家这执法的分寸把握的多准笑cry
1627640179# #洪水
1582844526# #上海人的顺口溜👍。南京路，北京路，。乱窜就是黄泉路！。小南门，老西门。。老老实实屋里蹲！。打浦桥，大木桥，。一不小心奈何桥！。大兴街，学前街。唔不事体少上街！。去饭馆，泡茶馆，。当心送到殡仪馆！。人行道，盲人道，。呆在家里是正道！。关院门，闭房门，。防止老王乱串门！。官二代，富
1536791864# #长相与邓丽君惊人相似，却会唱华语歌
1614509287# #幽默的四小天鹅舞
1598480833# #大吉路绿地
1571005430# #松江灌顶禅院
1619478083# #家用小物品
1559723373# #上联7字长，下联7字长，横联4字长，这副对联怎么读？
1601164550# #张文宏（华山医院感染科主任）
1596320876# #彭浦新村公园
1534515693# #上海建筑。中山东一路。中山东一路地处外滩，北起外白渡桥，南至外滩灯塔，位于上海老城厢以北，属旧城厢以外。中山东一路，全长1118米，1843年开埠，至1937年不足百年，便形成今天的建筑格局，贯穿9条马路：南苏州河路、北京东路、滇池路、南京东路、九江路、汉口路、福州路、广东路、延安东路。。中国最
1581468565# #以前，战争靠大炮，。现在，战争靠口罩！。以前，战斗靠攻城，。现在，战斗靠封城！。以前，敌人来了，我们看得见摸得着，。现在，敌人来了，我们看不见也摸不着！。以前，敌人来了，我们钻进地道，。现在，敌人来了，我们上床睡觉呲牙。以前，号角一响，我们冲锋吼叫！。现在，号角一响，我们床上拥抱！。
1569797479# #玄武湖为国庆试放焰火
1572141019# #衡复风貌馆。这座洋房原名为修道院公寓（TheCloister），建造于1930年前后，1989年入选了上海第一批优秀历史建筑。。在变身为衡复风貌馆之前，这座老洋房是湖南街道办事处所在地，并不对外开放。自从2017年底湖南街道办事处搬出后，这里开始了修旧如旧的大修整。。历经两年小心翼翼的修缮，原修道院公寓
1660039479# #江边月影·烤鱼餐厅
1574826889# #潮辣潮人火锅（西江湾路137号）
1612607180# #大难不死，必有后福！
1541114350# #税务知识（0110）。外贸企业会计处理实务。一、出口商品采购的核算。1、入帐时间出口商品采购的入帐时间应以取得出口商品所有权或实际控制权为准，即取得商品入库单和增值税专用发票等有关结算凭证。。2、帐户设置。⑴、“库存出口商品”帐户，该帐户系资产类帐户，核算企业全部自有库存出口商品。同时采取
1625050840# #七宝老街
1549148038# #小杂技（国外）
1603758932# #搞笑的舞蹈
1607724840# #2018年巴黎举办一场世界名媛舞会
1600899665# #南京路步行街东拓
1533638796# #立秋。什么季节最忙？秋天，多事之秋；。什么季节最公平？秋天，平分秋色；。什么季节最简单？秋天，一叶知秋；。什么季节最长？秋天，一日不见如隔三秋；。什么季节最爽？秋天，秋高气爽；。什么季节最险？秋天，秋后算账；。什么季节最暧昧？秋天，暗送秋波！。哈哈，今日立秋了，祝大家立秋快乐！
1550703639# #日本摔跤
1558822864# #隆胸手术做反了笑cry
1533994660# #税务知识（0019）。什么是房屋租赁税？应该由出租方交税还是由承租方交税？。一、什么是房屋租赁税？。房屋租赁税是指根据中国财政部、国家税务总局财税2008年24号《关于廉租住房经济适用住房和住房租赁有关税收政策的通知》规定，对个人出租住房，不区分用途，在3%税率的基础上减半征收营业税，按4%的
1606686850# #抗美援朝保家卫国（下）
1586560063# #华春莹（外交部发言人）
1605847419# #上海气象博物馆
1534154079# #衣服污渍洗不掉？教你18个清洗小妙招！。1、白衣上的污渍。白色衣物上的顽渍是最难根除的，非常容易留下印记。这个时候取一个柠檬，切片煮水后把白色衣物放到水中浸泡，大约15分钟后清洗即可。。2、笔印。首先把酒精均匀地洒在衣服的笔印上，酒精要选用浓度不小于75％的医药用酒精。记得要把倒了酒精的这一
1543012248# #食盐的80种用途。不要以为食盐除了调味就没什么别的价值了，最近，有人盘点了食盐的80个用途，真是生活的大智慧啊，赶紧来看看吧，现在知道还不迟！
1623574088# #英美烟三厂烟叶加工车间旧址（华盛楼）
1585520368# #看看印度是怎样加工口罩的？你敢带吗？
1622340913# #大宁四方公园
1533626651# #海洋公园（国外）
1659657815# #海昌海洋公园
1537147426# #上海建筑。卢浦大桥。卢浦大桥，2003年6月28日竣工通车，主桥全长750米，采用一跨过江的结构方式，桥身呈优美的弧型，如长虹卧波飞架在浦江之上。大桥在设计上融入了斜拉桥、拱桥和悬索桥三种不同类型桥梁设计工艺，主桥为全钢结构，用钢量约36400吨，是当时世界上单座桥梁建造中施工工艺最复杂、用钢量
1534039340# #税务知识（0022）。申报扣除资产损失不再保送相关资料，由企业留存备查。关于企业所得税资产损失资料留存备查有关事项的公告。为了进一步深化税务系统“放管服”改革，简化企业纳税申报资料报送，减轻企业办税负担，现就企业所得税资产损失资料留存备查有关事项公告如下：。　　一、企业向税务机关申报扣除
1575072127# #活下去。全球最佳最短新闻采访《大家都要活下去》。在一个有众多名流出席的晚会上，鬓发斑白的巴基斯坦影坛老将“雷利“拄着枴杖，蹒跚地走上台来就座。。主持人开口问道：。“您还经常去看医生？”。“是的，常去看。”。“为什么？”。“因为病人必须常去看医生，
1610432504# #外滩昨晚1100架无人机升空壮观演绎庆祝第一届中国人民警察节\
1631796724# #国金中心屋顶花园
1630284409# #船厂1862
1637147620# #广御点餐厅
1560131827# #冬吃萝卜夏吃姜
1620644004# #许府牛火锅
1534041087# #税务知识（0025）。红字发票怎么开？。    企业在开具发票过程中经常会遇到特殊情况，需要开具红字发票，业务虽然常见，但是操作起来却往往让会计很头疼。因为红字发票是不能随意开具的，只有发生销货退回、开票有误、应税服务终止等情形但不符合发票作废条件，或者销货部分退回及发生销售折让才能开
1558473326# #請大家千萬千萬要注意❗雨天過横道线萬萬不可踏上斑馬线的白漆面，非常之滑❗視頻中這位年青人因踩上白漆面而滑倒，後腦部著地，瞬間一條鲜活的生命終結，令人痛💔心‼️
1533954234# #税务知识（0010）。新的固定资产扣除政策优惠多。今年5月，财政部、国家税务总局发出了《关于设备器具扣除有关企业所得税政策的通知》（财税〔2018〕54号）规定，企业在2018年1月1日～2020年12月31日期间新购进的设备、器具，单位价值不超过500万元的，允许一次性计入当期成本费用在计算应纳税所得额时扣
1586904450# #英国首相从重症监护室里出来了，转入普通病房！两个看点。一是这种情况下，绝大部分人也没戴口罩！二是大英帝国的政府首脑，就这样推出来，并向世界直播！（转发）
1566426853# #泰国清迈
1600554521# #厦门-曾厝垵
1587941061# #转弯抹角知多少？
1613734110# #陕康里
1537919428# #税务知识（0086）。节假日员工聚餐发票，这样入账！。中秋节和国庆节假日相继来临，节日期间，公司组织员工吃饭聚餐，取得“餐饮费”发票如何入账？。员工聚餐的“餐饮费”发票，应该计入“应付职工薪酬--福利费”。。借：应付职工薪酬--福利费2000元。贷：银行存款2000元。当月结转福利费。借：管理费用--
1619648067# #蟒蛇进食过程
1534594867# #税务知识（0043）。管理费用明细科目大全②。21、管理费用—待业保险费。说明：本二级科目阐述的是公司和个人按一定比例交纳的社会保险的一种。。22、管理费用—劳动保险费。说明：本二级科目阐述的是公司和个人依据一定比例交纳的社会保险的一种,包括退休人员工资。。23、管理费用—工会经费。说明：本二级科
1580941637# #弗莱明与丘吉尔
1564642037# #今天是军人们的节日！祝军人们！你们节日快乐！身体健康，全家幸福！都说吃水不忘挖井人！我们现在的社会繁荣，国家安定！军人们也是功不可没！没有军人的保护，任何国家都敢欺负我们，暴乱份子也会四处做乱！每每遇到灾害，第一时间都是军人冲在前面救援，把受灾情况降到最低！谢谢你们的付出和努力！
1596146228# #爱思儿童公园
1613021334# #今天就是大年夜了，辞旧迎新的日子！在这里祝各位🌟，新的一年🎵✨✨🌵一帆風順⛵🎏✨✨💐二龍騰飛✈🚀✨✨🌷三羊開泰🌅🎆✨✨🍀四季平安🌈🎑✨✨🌺五福臨門😄💪✨✨🌻六六大順🎉🎯✨✨🌹七星高照🙏🎇✨✨💐八方來財🏧💰✨✨🌷九九同心?
1534584381# #税务知识（0041）。公司保密制度（通用版）②。第十六条备有电脑、复印机、传真机的部门都要依据本制度制定本部门的保密细则，并严格执行。。第十七条文档人员、保密人员出现工作变动时应及时办理交接手续，交由主管领导签字。。第十八条司机对领导在车内的谈话要严格保密。。第五章保密环节。第十九条
