1637047316# #M7无法开机，十一年前的Lephone还没断气。
1689653424# #穿越成高欢怎么打玉璧城？。打个屁，先把正妻和嫡子都砍了。
1603072278# #馋嘴
1588331447# #推特的通知提示不包含私信汗汗汗汗汗
1642547235# #今年都是烂签
1673498236# #看上去不太聪明的样子
1610710836# #左右横跳
1618982278# #Airtag用来定位小孩老人不错啊。
1607523248# #微软用XSS把次世代的下限踩到4TF，意味着Switch改进版只要比Switch提高12倍性能就能让任天堂玩家玩到次世代游戏了。
1667836418# #垫具人
1690003918# #基地的看点永远是李佩斯的裸体
1607398917# #预载2077啦
1690435642# #这算抗跌吗
1587818220# #成功引进了也没卵用，普通人平均工资18块到30块，日子过得猪狗不如还买彩电？
1650451140# #东边我的美人哪西边黄河流
1652100019# #🤡
1639125289# #品鉴下
1700966127# #AveragedayinFrance
1624283086# #错怪某商家了，他确实有货，但涨到9200块了。
1667872263# #100恶名我怕他们，1000恶名他们怕我。
1662873279# #SE又搞了个新引擎，Radecengine。
1665467851# #以前暗黑主板也才两千多，这代AMD主板是在玩价格劝退？
1612589187# #范志毅脏话没字幕
1677587319# #❓
1680140404# #64G颗粒出厂价格1美元，手机不上1T说不过去吧。
1680263211# #FF7要换人了
1682180167# #晚安
1680060014# #经济不好不代表股市会跌
1651196148# #宸展可爱雅仕太开心
1582263992# #小区外测温也这样
1701405817# #以后都这么玩了吗
1698213781# #鸳鸯
1644198571# #收快递
1657727166# #中国球场现状
1698377158# #手机要是能装黑苹果就好了，搞个小米钛金装IOS美滋滋。
1608090066# #杰洛特打杀一百多年，几把竟然还是完好，亨利卡维尔才拍到第二季腿就折了。
1606482951# #看门狗军团，XSX与PS5的光追性能只达到RTX2060S级别。
1591843706# #地方调查组卵用没有
1687138119# #哆啦A梦害怕
1624109763# #没啥好看的。
1639345173# #毛估估斗鱼明年二月被强退，可怜的美国股民。
1642744670# #MagicusMixus
1696128218# #SE员工任务
1676518191# #美国特斯拉工资最低的是物流员，月薪7000美元，在上海开厂一年发21个月工资还是能省好多钱。
1580696728# #解包魔兽争霸3重制版，文件目录名就叫war3.w3mod
1673955952# #🐰
1696498075# #无敌号
1657710834# #关键时刻呢
1602633234# #梦见和ex在教室里打闹，正当我要揉她屁股时，想起我上高中时她还是小学生，一下子就醒了。
1582812688# #草
1652365111# #物业这整活，找到我的牛肉了。
1681531409# #FF16成品还是缩水了
1601903840# #罗马亡于梅毒
1609567613# #今年3J级的便宜了
1593598193# #涂皮肤上的东西吃了没事
1690123393# #丰富储备
1695567192# #街霸春晚，小孩肯胜丁春秋，再用朱莉极限翻盘小宝夺冠。哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕🫡🫡🫡
1600398092# #？
1598412605# #需要一次股灾把价格打掉40%，否则无利可图。
1667725184# #就不能换件衣服吗
1599627917# #高射炮在中印边界作对地武器有奇效，事实上在中越边境战争中已经使用过了，直接射穿碉堡。
1663835790# #星海传说6PS5画质模式4KHDR
1669631548# #矮就靠跑位
1619690321# #用来打人吗
1622206161# #女大十八变闭嘴
1657979624# #张公谨曰：“诏许其降，行人在彼，未宜讨击。”李靖曰：“此兵机也，时不可失，韩信所以破齐也。如唐俭等辈，何足可惜。”
1663235362# #💙❤️
1639319746# #汤姆汤姆汤姆
1671877103# #扔垃圾听到咳嗽声和一个肥人身影，停了半分钟再走，之后看到一个不戴口罩的肥人返回，草。
1694935976# #假装在瑞典
1694874071# #曼联每周固定马戏团
1687599861# #配音与文化高度相关，英文版女主可以对男主说：“Go”而在日文版中只能示意，很难想象日本女对日本男说：“上！”。
1587450840# #抛掉的股票会到100块，失去的女朋友会变老。
1682992511# #经典盗版先玩10天
1652197690# #卖假鞋假包假首饰的都改行做团长了。
1637573847# #这不是户籍人口，许多地方女性没法走出大山
1600360758# #草，是胡老师。
1669337082# #说起来前女友既喜欢蕾又喜欢敖😅
1603079619# #屈服吧
1579743779# #搞倍加洁了
1642507190# #好久没出去玩了
1696140760# #7年前鹿儿岛农民就直接收人民币了
1607055709# #要提高生育率，每周工作时间绝不能超过40小时，多一分钟都不行。
1603904988# #其实无限缓存不是新技术，15年前xbox360搞了个4m缓存，使得主机性能赶上了R1950，这次弄了128m缓存，RX6000系列用256位显存打赢了英伟达512位显存。
1593872635# #Zero承认引诱Katie发冰块自慰照，还自曝对一个叫Laura的未成年做过相似的事。
1686982970# #草那啥40话哆啦A梦害怕
1625736441# #王石70岁得女哆啦A梦害怕
1618321783# #显卡挖矿即将退场，全网算力90度上升。
1696733560# #🎮💜
1594358832# #看一次转一次
1627616541# #一32岁湖北研究生学历女子就职于上海某银行，网恋遭杀猪被骗几十万，心中郁闷与网友聊天，被忽悠苹果专卖店保护隐私无摄像头，东西随便拿。该女子信以为真，于南京路苹果专卖店多次盗窃累计16支电容笔4只鼠标一块妙控板。二哈二哈二哈
1609570530# #CDPR祖传AI
1696693662# #看曼联不如看我拍的海上日落。
1589797395# #完蛋，几把小要被别人发现了
1693062053# #想到身体差的老人还要活好多年我真的破防了，我已经为了这个家贡献太多太多了
1652775128# #巴麻美帅啊
1598241427# #嘻嘻
1635761179# #啰里八嗦赔了2000京豆，必须提醒京东，只要通过大数据自动拦截用户订单，挑客即歧视，不公平对待，就是违反了反垄断法超大规模经营主体责任，应对京东处以每年营业额百分之一以上罚款。
1636446135# #EX的舔狗还真做过这事，弄好一看手机“晚安么么”(B站动态评论)
1690257019# #他又不是买正版，花钱买盗版就是弱智
1674737263# #尊师重道
1700967521# #CCTV一直很科学，教大家多摄入优质蛋白，所谓饮食清淡这种说法早该扔进垃圾桶了。
1700232239# #草哈哈
1642473669# #SMNY
1657708157# #挺好想靠做视频赚钱的全给我死一群社会垃圾
1650550682# #生活的仪式感
1645166040# #鲜花饼？绿叶饼！
1682060033# #🤔
1597484514# #拼多多哈老卵衰
1581127326# #女神异闻录5S读取速度比较
1579843694# #原始人？
1657624914# #还不是馋她身子
1601266579# #刷到一个恶心的帖子，有必要说明下，我这个“老师”是大学同学迫余以义，是对我打游戏和踢足球水平的肯定，这个绰号传承了十几年，并不是真的老师，我不喜欢小孩只喜欢成年女性，这点特别重要。
1623125806# #挺好
1651202180# #婚姻甚至恋爱状况在网上公示倒是非常必要的📱
1652081622# #RoundEdge❗️
1603245991# #？
1675963188# #同时做十个女孩的备胎，等某个有感觉有需求了再发展，而不是非某人不可，要知道女孩子就是这么同时考察好几个人的。
1647909655# #A
1607865630# #两百块买灯？
1637765953# #卡拉OK包厢真热
1694541885# #iPhone15Pro带AV1解码器了
1593873262# #幸好在我最饥渴的年龄，手机还叫大哥大，没法搞黄色。
1606472982# #笛子都掉了还能吹
1649597082# #哪里不懂我教你
1585276624# #快递可以上门了
1634037698# #草哈哈
1693754986# #曼联穿的什么逼球衣
1653387596# #分享图片
1591441298# #换三菱了，静音。
1697855691# #草
1669053577# #不会有人看🇺🇸对🏴󠁧󠁢󠁷󠁬󠁳󠁿吧
1627998335# #不会是真的吧，iPhone13的摄像头太辣眼了。
1656828386# #草，躺在玩电脑真的不舒服。
1694675049# #草
1658420503# #盖棺定论了。
1640841050# #第一个被称骚的男人是屈原，一般男人配不上这个字
1669656780# #安东尼给大伙转一个
1661997337# #哆啦A梦害怕
1668648806# #燕塘能不能发力
1640942474# #Sleeprun
1632235683# #说实话微博视频自动HDR挺刺眼的。
1663835992# #擎天柱
1608567358# #女同走后老是发各地旅游照片给我，又不能装作没收到。
1624418925# #草，哪里？
1626882291# #一般
1593768316# #Nario事件持续发酵，原来这个圈子里有这么多诱奸犯。
1647446010# #我爱过。我笑过我哭过。我十分满足。又同等的失落。泪痕已然隐去。一切归为笑谈。。回想着。我的所作所为。我敢这么说。毫无羞愧地说。我没失去自我。一直我行我素。。作为一个人。拥有的东西。除了我自己。没任何意义。只为能向你。吐露出真心。而不是向谁。卑躬和屈膝。时间会证明。我历经磨难后。依旧我行我素
1642562832# #这玩意比🥩还贵
1701262488# #明天会更好
1594526975# #草想生孩子了
1690459256# #我和家人
1652014219# #魅影
1694878384# #大家对曼联输三个不奇怪了
1681720337# #处罚尤文是通过法院，曼城究竟是扣分还是降级还在待审。中国足协与中国篮协究竟是啥玩意，属于检察院还是终身大法官？以前王小平凭一张ins照片能把四个人停赛，罚款几十万。现在篮协张口就是五百万，剥夺人劳动权力，还讲不讲法治。
1597791660# #衣领逼死强迫症
1645755025# #英伟达向TSM预付了90亿美元定金，三月底前还要支付17亿美元，下代显卡就要来了。
1604374874# #这么抄过分了吧
1657644255# #草铁窗泪不能听了？
1583722034# #13分25秒通FF7RDEMO(normal)
1657018092# #又改回48小时喽
1684119661# #光谱号是🦅的邮轮，但坐两次还是算了。
1616467765# #极难今年的天选勇者
1695362899# #🥹
1606309617# #蓝宝6800XT非公贵了900块
1627278031# #风真小，鸟都出来了。
1696090592# #如今的曼联
1657209691# #异度神剑系列令人印象深刻的地图规模一直是该系列的卖点。。任天堂向来性能低下的硬件并没有妨碍到竭尽全力的开发者。。Monolith创造了迄今为止我玩过的规模最大的游戏
1589646163# #微风
1627784390# #躺平了
1646927100# #制作团队：万策尽矣，剧情动画和一半支线来不及做了。。宫崎印睾：没事，他们自己会编。
1626030065# #起来high了
1585025921# #微风
1603503654# #AMD6800XT
1676521659# #二次元记性不好
1601182998# #前戏5分钟，放炮1秒钟
1693233138# #草，笔记本烧屏了能保修吗
1659870205# #p图还不够狠
1617325182# #我年龄都翻你倍了，盯着我干嘛。
1652017449# #这个视频当初忘传B站了，原档也没保存。
1619858398# #草，打不过。
1671365194# #mywaifu
1695707362# #“大哥哥”泪
1643967273# #上瘾了
1647424793# #巴普洛夫的
1608774899# #元旦起超市不卖塑料袋，洗一次布艺购物袋才是破坏环境，限塑和禁用一次性筷子都是极端反智。
1653658968# #马足那个闪光会诱发癫痫吧。
1612150239# #760万散户，37万半夜在线，天一亮就会有裸卖空机构被爆仓。哆啦A梦害怕
1626883263# #是男是女心里没数？
1682431806# #里克看我们就像看本书
1632565446# #成功
1638496388# #美国人的G点竟然是圣诞老人，这皮肤挺好看啊。
1628828493# #治脱发
1617239801# #笔记本RTX3080的TDP只有165W。
1697939631# #未来可期
1673005984# #万能哆啦A梦害怕
1632716662# #草
1617592390# #男人不约你见面，99%是骗子二哈，约了见面88%是骗子二哈。
1603430662# #AMD锐龙5600X秒掉英特尔所有CPU。
1700008687# #当今股市有多容易赚钱
1582040075# #他们已经发话要教小米副总裁如何做人了doge
1691921589# #百度AI不行啊
1673186149# #这年头人菜瘾大胡乱压制动画片的人还真多，连字幕都对不齐。
1614688382# #崩溃度38%
1634963921# #汤姆
1589421425# #宁宁又要板？二哈
1666587845# #亲戚撕逼，第一笔动迁款480万被法院冻结，最该防的就是知根知底的亲戚，千万别把闲置房免费给人住。
1654130960# #西班牙语里past为pasado，future为futuro
1581817784# #华为又开始抹黑同胞了？
1700387317# #婚后老婆和别的男人干这事，离婚吗
1681907951# #新歌可以练起来了
1580551497# #直播？
1595321199# #思考
1700450375# #这是我经历的第四次大牛市
1590151450# #思考
1611331183# #。。。
1665107693# #有见地的
1592033107# #用百度一搜发现许多视频被人盗了，顶着超大水印盗。
1580523115# #11pro改造金属中框汗
1614082275# #THANKYOU
1661177740# #草
1670160777# #打破心之壁
1669874814# #痛并快乐着
1591767985# #麦当劳这玩具有点吓人
1669471581# #角磨机
1594822266# #“关我屁事”
1694141406# #Ipadfold
1656684550# #目前高通提供的最廉价SoC方案是695，普遍用于千元手机和平板（HTC敢卖2700忽悠凯子），它的性能依旧比Switch高太多。不考虑兼容性，任天堂更倾向回归AMD提供的方案，至少不会因为USB缓冲区漏洞损失几十亿美元，而且整个产品周期内英伟达都没为任天堂修复这个漏洞。为你重新流片？懒得理你。
1581937860# #‍抢个冰封王座的世界第一
1582633536# #修复了重制版战役中诸神的黄昏难度过低的问题挖鼻
1694582136# #理性预测汇金再国庆前入场。
1664635958# #往时辽东有豕，生子白头，异而献之，行至河东，见群豕皆白，怀惭而还。若以子之功论于朝廷，则为辽东豕也。
1583730848# #Askmeanything欢迎向我匿名提问。不回答“下周怎么看”这种问题。
1601431559# #苏联安排属国领土，可有一套。
1588529091# #腰椎间盘突出
1594613173# #哈哈哈
1673864835# #喜欢朱音是因为她有👽电脑
1632631731# #经我研究发现，带薪长假中妊娠概率比上班期间高500%
1603274202# #Ipad架用来夹Switch
1650036839# #保送
1620812121# #拍了就跑真刺激
1668271518# #花钱买医疗仪器不如开银趴
1610253037# #返璞归真
1624427579# #费解
1606791406# #胖红生气
1627634050# #今年上半年国内游戏销售总额1504亿元，其中手游1147亿元。
1664642793# #你们不赶快去买房整天看这些干嘛doge
1625251563# #🇫🇷太冤了，🇨🇭根本不会P.K。
1639452326# #实体店太难了，久光试穿线上下单。
1611625072# #只能公然侮辱米国大统领了
1601135389# #看了专业瑜伽视频，确信这玩意是印度寺庙里的圣女（性奴）研究出的交配姿势。
1604122287# #草，红绿灯。
1615704547# #小马
1624988743# #死亡之组出线的3队都没了。
1640773556# #电子竞技可以带狗
1641722667# #钟会一生未娶，从他哥那过继了两子，估计是真的不喜欢女人，最后爱上了姜维。
1585736036# #中尾衣里？P得妈都不认得了。
1639886588# #还有几天
1593162932# #性能最好的ARM芯片性能只相当于AMD7年前的A6
1605363093# #资本家的周末
1681362241# #小学时买过盗版的忍者猫
1636473768# #不睡觉装逼
1580392376# #10级乌瑟尔真的烦
1585052620# #感冒
1698288929# #哆啦A梦害怕
1624532784# #AMD这鸡血驱动……RX6800XT跑TS领先RTX3090两千分？
1664611319# #不认为拍色图是错误，十年后可不会拥有同样的身材。
1585013179# #十三机兵防卫圈NG镜头
1651842945# #十几块一斤黄瓜发财了
1586095516# #如果FF8重制的话……
1655466831# #靠⛓️？
1595772810# #？？结尾没扒裤子反而帮对方穿好？？
1663205251# #魂斗罗啊
1620353629# #每天150下深蹲，练了没用啊。
1631238791# #肥猫
1679205458# #打call
1697852183# #多么残酷的世界啊
1664094935# #刘强东这次去明尼苏达还会回来吗？
1653894217# #💍
1605517102# #超爽
1695640914# #粉单市场也有明星股，那就是……任天堂。主动退市需要120亿美元以上，然后需求转板到纳斯达克。显然任天堂不愿做这个操作，即使再上市可以融资200亿美元以上。
1603878957# #元气弹
1592362195# #思考
1665109062# #是时候喋血校园了
1651459307# #如果不每天做核酸的话，我的容貌，我的身材，我的社交礼仪，美好的品德、性格，甚至于我的灵魂都要被毁了。
1617240429# #十一代i9在4.8G时功耗就达到了340W二哈
1619778779# #手长就是好
1663862584# #宁宁
1596009289# #简称领事孩子他妈
1638688247# #二哈
1630168251# #翻了
1699101363# #每周马戏团
1637114539# #裂膜人
1670564345# #能垂直爬山
1624548564# #Win11支持老游戏自动HDR杰瑞
1625743157# #看到自己的未来哭得更凶了
1621400719# #车主开90也太快了，事故车这飞行速度150了，
1680399078# #还停更潮？做视频本来就该是富哥的兴趣爱好，这帮傻逼还指望靠传视频在B站赚钱？停更作威胁？有本事消号，全滚蛋就对了。
1691429994# #这个土豪金摇杆实在闪瞎眼，无论是自己还是对手，所以罩子真的是用来防反射的。
1663126998# #外星人电脑服务好是吹牛吗？
1657015398# #镇政府说话像放屁一样，明天要24小时报告才能出小区，连上海市政府都没这权力，毕竟封城70天是上海市民自愿不出门的。
1602725913# #S20U单核才920分，iPhone12已经1600分了。
1669548262# #FigPlayer不错
1669450109# #知道你是退休高官才对你态度好呀
1702447497# #不喜欢认真冲，放松冲更好
1606108867# #？？？
1610002186# #遍地是黄金，不过以前熊市跌到过遍地是钻石，也不能说现在就是最低价。
1646833402# #憋屈
1696347342# #施瓦辛格儿子第一集就炸了吐
1666533045# #普通N和M3秒58【异度神剑3】
1585118399# #微软即将发布低配版XBOXSX，定价299美元。
1669645763# #漏三个
