1695250156# #均为利益
1699789538# #大概在2018年，某个政府的项目，公开招标的。验收会上，验收专家看我用的MacBookPro，就哐哐哐哐哐一顿输出……我想：在2018年，似乎也没什么能用的国产化笔记本电脑啊，CPU、操作系统……猪拱了一样的软件生态……现在都比较难，那时候就更……要不是那个场合，可能我早就问候他祖上到明代了。
1696899303# #认可。且得理论与实践结合。
1687800146# #时间过得好快啊。不知不觉又是01:21。失眠签到熬夜
1695681351# #再等警方回应看看。
1697843452# #SVIP免费领SVIP体验卡免费领送你一张SVIP体验卡，点击免费领取，即刻获得去机型小尾巴、个性Flag、内容权益、动态头像、评论气泡等超多尊贵权益。快快点击链接领取，和我一起畅享SVIP尊贵权益吧！『SVIP体验卡』
1697240298# #所以那些支持以色列的，明显就是被美国洗脑的了呀。（当然他们自己不觉得）
1696129454# #已经涨得挺厉害了。
1696159483# #抗D集群嘻嘻
1696349310# #对自己的理解，也可能没有那么深刻。更何况别人……永远不要指望别人能百分之百理解你，因为仔细想想，很多时候我们自己做事也是前后矛盾、心口不一……甚至也会自欺欺人。
1697265392# #bilibili食贫道的视频一群中国人，跑到日本福岛周边拍的纪录片。这是我觉得目前此类质量最高的一部，在B站同时有9万人观看……特别建议翻译成英文，发到YouTube上去。
1700785822# #如果为了拿40万去了互联网公司，过几年小孩一上小学就会后悔的，我觉得还是去电网好。并且去电网工资不低呀，特别是干几年之后。福利待遇超级好。并且随着新能源车的逐渐普及，电力会像中石油中石化一样，增加一个新的利润点，并且超级无敌大。
1698492987# #所以拿到电脑之后，最好把系统重做了。偷笑还要保护好自己的密码。
1696347684# #萌(๑•.•๑)
1701011832# #怒怒怒
1687789880# #微笑王阳明：。学为圣人之道，学以致良知。
1698274419# #当诈骗犯日益增多，但却没有被惩罚的时候，就怪不得其他的人也都想成为诈骗犯了……监管部门形同虚设。
1696771726# #【黑客声称窃取数百万23andMe用户基因数据并出售】一名匿名黑客声称窃取了数百万23andMe用户的遗传数据，并试图在网上出售这些信息。这些窃取的数据包括用户的电子邮件地址、照片、性别、出生日期和DNA祖先信息。|
1694974306# #嗯
1699623452# #汗汗汗充电桩还是太少
1700754959# #全世界只有两个国家拥有时速350公里的高铁关于高铁这个事情，之前推动这件事情的那个人（刘**）当初是挨了很多骂的。现在我们能一天之内从南到北或从东到西，拥有了全世界最好的高铁网络，其实还是应该感谢他。（虽然犯了错误，但我觉得吃水还是不应该忘了挖井人）
1695783084# #国家标准GB/T42453-2023《信息安全技术网络安全态势感知通用技术要求》2023年10月1日实施。标准明确了数据的采集方式、协议、内容，及数据补全、标记等，有兴趣的可以搜下看看。这真不是上网行为管理、下一代防火墙做个大屏就能搞定的，也可以对照下，市面上哪些是假的态势感知。网络安全
1695857137# #是的，目前为止，程序员出来硬刚，但是当地执法机构默不作声。如果程序员有其他的违法行为，那就出来敞亮的公布，又不吭气……那大众当然认为异常。罚几百正常，但是一百万，是抢劫。
1697724883# #海滩失踪女童遗体找到小朋友一定要看好啊，以前还看过游泳池里的小朋友，一不注意就没了……好像这类事情也出过好多次。还有就是：看小孩的时候一定要少看手机。
1696074928# #偷笑偷笑
1700852136# #我想起了小孩说空中有飞人，大人吓坏，后来是空调上的海尔兄弟。嘻嘻
1695618703# #不光安全的，因为兴趣爱好我查点汽车工程方面的技术资料也是google上查英文的，质量比国内搜索引擎搜到的比简直是天上地下的区别二哈
1695357397# #任正非说不学英文农村孩子永远是农民任正非说搞好教育一是要差异化仙交本科可不过英语这事上了热搜，但窃以为：到目前，这个星球上大多数顶端知识还是需要英文功底。以前考微软MCSE认证纯英文，逼自己了一把，又去借了本英文CCNA教材强化了下。但整体我英语很差，吃亏。
1696412091# #同喜欢吃炒刀削面，并且得鸡蛋炒的。一定要有西红柿酱嘻嘻大爱。
1699616053# #预制蛋蹭热点。西安最常见的三种肉夹馍，图1是最传统的腊汁肉夹馍，猪肉，饼现做的好吃，饼得做成“铁圈虎背菊花心，外焦里嫩两张皮”才好；图2是腊牛肉夹馍，清真，回民街都是这种，牛肉好吃；图3是老潼关肉夹馍，饼“层层分明酥脆掉渣”，拥趸也很多。图4是连锁的预制馍做的垃圾肉夹馍。。
1700825976# #前段时间就在关心预制菜，这是未来几年很多人创业的机会……虽然微博上有各种反对的声音，但这个趋势不可以改变。并且随着大玩家的加入，口味、品质、安全性，都会有非常大的提升。很多预制菜，比那些小店卖的外卖（各方面）好太多了。马云开办马家厨房马云成立马家厨房公司马云入局预制菜
1698968043# #俄罗斯撤销全面禁止核试验条约毕竟美国做了初一，就别怪俄罗斯做十五……前两天知乎看到个帖子，说中国的准备，是不是准备打世界大战？有个说：准备单挑全世界吧。只有这么准备，才能安全。
1698493031# #对电脑比较懂的话就看一下进程，清理一下启动项，包括有一些驱动，如果不那么懂的话就直接重做系统。
1700823417# #吃火锅晒照误露点餐码被人点43万菜至少在前年就有类似的新闻……朋友圈的不一定是朋友，早就成为了一个社交圈子，里面的那些人也不一定是支持你、认可你的。凡事自己还是要注意，害人之心不可有，但防人之心不可无。
1697148758# #偷笑偷笑偷笑
1700823326# #吃火锅晒照误露点餐码被人点43万菜至少在前年应该就有类似的新闻……朋友圈的不一定是朋友（黑名单的一定是故人？），早就成为了一个社交圈子，里面的那些人也不一定是支持你、认可你的。凡事自己还是要注意，害人之心不可有，但防人之心不可无。
1698147198# #很多山东人喜欢喝“咸汤”，很多陕西人喜欢喝面汤（也有点点咸），这玩意儿要是整个热的，说不定还真能有那么一点点火花起来。嘻嘻允悲
1697428442# #看天气预报，新疆、内蒙古等，都开始下雪了。
1700853184# #这些还行
1700494898# #我也觉得小鹏很棒。只是我都是在小长假的时候开长途，就很尴尬。笑cry有段时间我就觉得小鹏是首选。
1700154486# #冰箱里的灯是留给吃夜宵的人的。嘻嘻嘻嘻嘻嘻
1687796055# #虽然微博官方不承认，但你会发现：很多时候你发的微博，没有流量。把觉得可能存在问题的关键词替换一下，流量蹭就上去了。不仅仅是文字，有的时候你发的一些图片，也会触发限流的情况。
1697306640# #乘飞机没身份证也可以通过小程序快速搞定手续，但是酒店这个流程，确实，繁琐，且意义不大。
1696893516# #关于俄乌、巴以，我100%支持国家的任何决定。有件事可以映射些问题：中国和中亚五国峰会过去没多久，美国就“完美复刻”了一次（
1698845969# #其实在整个过程中有一些人懂，但是肯定拿了钱，然后不说；或者看那些大牛们都认为没问题，自己又何必和他们顶牛……
1698166553# #换电优点挺明显的，但是飞行汽车就……还不如好好发跟进下增程有优势。
1699533960# #兼听则明。。工作中，生活中，都是。
1698166996# #允悲嘻嘻
1696031549# #我补两句：美食的不用说，人各有喜好，不吃不要瞎逼逼。锻炼这个，以前我90天减了38斤，好多和我说太快、不健康、伤膝盖……如果：你天天走路睡觉的时候，压着4袋大米（5公斤×4袋），伤不伤身体？估计很多人拎10分钟都撑不住。
1696086959# #海胆牌黄桃罐头嘻嘻
1694825859# #图7这背，不拔罐，有点可惜了。
1696306516# #确实。允悲允悲允悲如果有个好的美工，设计下，能搞的很好。
1699696662# #冬天第一场雪的快乐嘻嘻
1696686157# #这个还是挺期待的。如果真能直播的话……我倒也很想听听。希望不会悄无声息的过去。
1697378002# #对。
1696349669# #长途不焦虑嘻嘻
1695830228# #喝到了瑞幸家的酱香拿铁。似乎也没有被惊艳到。毕竟，茅台含量太少了……。尝尝鲜，还可以吧挤眼。明天我可能去尝尝库迪咖啡
1699572744# #我家有只八哥，会这样。嘻嘻
1696609643# #好巧。我也是定了这个点。嘻嘻明早准备去吃逍遥胡辣汤、水煎包
1698507747# #干杯
1687876206# #哈哈😄这个……我只能说：666
1696596513# #我也觉得是生根了，再过几天，栽到土里应该就可以了。
1700862845# #不分男女吧，都合适。右边👉：说“关你啥事”对方冒火，那就改成“关你屁事”嘻嘻嘻嘻嘻嘻
1688055561# #音乐得挑着听，否则容易emo
1696355059# #嘻嘻我也最近很少发朋友圈（之前很久都不发了。另外，我也不带水印……）
1700940061# #郑州各学校不得强制家长打卡安全教育不仅仅是郑州，这个活动非常有必要在全国范围展开。前几天家里小朋友学校推送的，有宪法卫士教育、禁毒知识竞赛等……你要说完全没必要那有点过分，但……意义不大。坐标西安。
1698293173# #在利益的驱动下，用新技术来做恶，一定是发展的最快的，比正常的商业应用肯定会快。
1699503803# #SVIP免费领SVIP体验卡免费领送你一张SVIP体验卡，点击免费领取，即刻获得去机型小尾巴、个性Flag、内容权益、动态头像、评论气泡等超多尊贵权益。快快点击链接领取，和我一起畅享SVIP尊贵权益吧！『SVIP体验卡』
1694866020# #讯飞的语音输入法绝对是最棒的，没有之一。特别是在嘈杂的环境里，它的输入效果特别棒。其他的输入法就不一定了。
1700823048# #《流浪地球》有这么一段（见截图）……如果什么时候婚姻消失了，好色这一点应该就不会成为道德的洼地了吧。
1696628540# #偷笑二哈
1697638293# #咬伤女童黑狗的主人被刑拘小的时候住在农村，村子里边有很多养狗的，并且很多都没有拴好，每每次路过的时候都担惊受怕。曾经从某个门前走过的时候，里面的狗出来就冲着我屁股咬了一口，还好当时衣服穿的厚，并没有咬破皮。（我可真的没有招惹那条狗）
1697106001# #当时这位朋友的朋友的意思就是：反正当时他们那个部门也不忙，每天可以看看报纸，上上网，聊聊天，但是如果真的过去当了那个局长，可能很快也就出事儿了。
1697845153# #WP挺好用的，插件丰富的“相当疯狂”goodgoodgood
1694701920# #小时候，除了学校的286/386/486电脑，一台小霸王、一台步步高，是我最主要的研究对象。最开始买的前者，后来软驱坏了，店家从小霸王专卖店成了步步高专卖店，就给换了(他们自己去协调厂家吧)。当年，软驱还很少见；当然了，游戏卡，挺常见的。嘻嘻偷笑童年
1700822790# #刷完牙不建议立即漱口冲去牙膏晚上还好，关键是早上大家的时间那么紧张，不说分秒必争，但也是时间贵如油……前几天看一个知识点：说刷牙后也不能漱口很多次，我觉得和这个还是有些关联的。牙膏里一些有保护作用的物质，被冲的干干净净的也不好。
1696156909# #二姐这样就很好。又不缺钱，还自自由。想干啥就干啥，我觉得这是我向往的那种。
1699014179# #我是电脑版和手机版都经常用，但是确实挺耗费时间。以前的时候不屏蔽，讲故事的就特别多，现在我把一些编故事的账号全都屏蔽了，比以前好多了。
1699572383# #现在的流量密码要么就是跟热点，要么就是露腿露胸。这一点在抖音上特别明显……
1699788351# #安卓版本与鸿蒙不再兼容如果，小米、OPPO、VIVO也都自己搞一套，不和安卓兼容……怎么办？还是需要有一套兼容机制，至少国内这几家手机公司出来的手机，不需要那些APP专门做几套。要不然就兼容问题就坑死各个公司了。大公司还好，小公司很难做到多系统兼容。
1697987380# #27岁女子长期横向刷牙致牙齿缺损用电动牙刷……说明书写的只需要移动就可以，但总觉得再手施点力（一点点）效果更好。对了：可能很多用电动牙刷的人并没有去看电动牙刷的说明书，总觉得自己会刷牙，但看一眼电动牙刷的说明书之后，真不一定是你以为对的那种刷牙方式。
1687629610# #允悲偷笑理解不同……自己……
1695859513# #赶紧把我的纳瓦尔宝典拿出来——买了应该有三年了，现在目录还没看呢。
1699884014# #韩同学作品：SD-WAN技术剖析第一篇，可能不像教材那么严谨，但是绝对接地气goodgoodgood
1687996147# #WOOOO，我觉得右边说的很有道理。good嘻嘻
1687153857# #有些食品，好久不吃就会馋。比如……小炒泡馍。酸酸的，加糖蒜，挺提胃口。但这个真的是减肥的大敌。晚饭，又不能吃了。允悲
1700332399# #钱解决不了……钱能解决的那叫穷病。
1697106659# #东部战区回应美机过航台海现在欧洲支撑乌克兰，美国支撑以色列，其实我们倒是可以在台海和朝鲜半岛搞点事情，看看美国人对这几个区域的支撑能有多大。（也可以支持琉球搞一搞哦）
1687236332# #高考查分遇上端午假期每个人看到的角度不一样，比如，我，看到的第一想法是：嗯，这负责运维、网络、安全、应用的各个组，都得安排人在现场24小时值班的，必须保证高考查分不出问题。嘻嘻允悲祝各位考生的成绩都比你自己评估的高一些吧。鲜花干杯
1697106341# #这个可以放心，在国内散布这种谣言，一定会进去吃几天饭（主要和影响程度有关，我觉得这个可不是半个月就能出来的。）的。
1700341286# #晕晕晕晕晕晕
1700928031# #法治的底色是世道人心。执法必严与保持该有的人性化，从来就不是对立的。更何况，“轻微违法首错不罚”“处罚与教育相结合”等，早就成为现代执法理念的重要组成部分，并在一些法律法规中被明确下来。执法的自由裁量权不可过度，宜有温度。（央广网特约评论员朱昌俊）
1698019750# #本质还是人家能赚到钱，国内很多企业都要发不下工资倒闭了，说这个白搭，加班至少能撑下去。
1697623950# #对，反正甲骨文的创始人又不缺钱……并且很有个性。
1695488466# #人的一生总会遇到很多问题，怎么办？慢慢办。所有的问题都会有解决方法，有的能做好、有的做不好而已。人生就是充满了无奈，也充满了随机。可能，这就是人活着的意义之一吧：这种随机和不确定性，让每个人的人生不同。这歌，喜欢。good
1694701548# #哈哈哈，没有把防火墙也换成开源的解决方案，已经挺给面子了，对吧？嘻嘻允悲(其实很多网络安全产品都有开源的解决方案，只不过使用的时候需要的技能更高一些，大多数客户自己搞不定。)
1699623741# #今天是周五，不是小长假，不应该排这么多车呀……有点不太明白，为什么有这么多车排队充电？
1700822445# #马来西亚下月起对中国游客免签很多事情都是相互的，中国作为一个大国，态度稍微低一点，我觉得反而显得大气。马来西亚第1个跟进了，另外几个国家估计也会很快有反应。将来咱们可以更方便的出去看看，其他区域的人也能都到中国来看看，这是件好事儿。嘻嘻我觉得这是外交政策上的一个大的进步。
1700754503# #特斯拉FSD国内落地正在推进中赶紧推进……最近这段时间关于自动驾驶，国内一些厂家吵得不可开交。特斯拉的自动驾驶，现在全球还是领先的，如果放开的话，看看国内厂家的差距有多大，是不是像某些国内厂家说的那样，他们做的那么好？裸泳的很快就能暴露出来了。特斯拉中国回应FSD在国内落地
1699274219# #以前，手机圈有一个名字不能提。现在，汽车圈也有个名字不能提。要不然，你就炸了马蜂窝。实力真的是有，但营销方式不妥
1697624841# #居然这么聪明了……超出了我的想象。还学会钓鸟了……
1694796064# #我倒是喝咖啡、浓茶，没啥影响。（我的意思是，只要是要失眠的时候，无论喝不喝这类，都会失眠。只要心情好、压力小，躺下就能睡。）
1700350602# #再发一遍。妈的。
1696567510# #我也觉得，如果跑高速，还是得油电混动或增程。我这种，本来就是一早走、傍晚到，如果充电耽误好几次，就妥妥的开夜车。
1700326177# #当年可能没有士兵走失，但是这次可能真的有士兵失踪。
1687801231# #听，Sleepyhead。
1696543157# #刚看朋友圈，也两个人说不开心……收假综合症？
1700919033# #西安的牛肉面卖的价格也高。如果跑到兰州的话，一般都是再加一份牛肉，再加一个鸡蛋、一份小菜。“肉蛋双飞”才能安慰自己的味蕾。
1698511552# #有的时候改几个字，也会改一下版本号。我这里边确定版本的参数有好几个。日期、版本、编辑人、改了什么。嘻嘻偷笑
1696003586# #我还挺喜欢五仁月饼嘻嘻嘻嘻
1696799110# #其实，很多地方政府为了卖地，不允许降价……只需要强调一下“房（价格降低就）闹”的后果就行……不过很多地方生怕房子降价……
1699808555# #昨晚吃的新疆烤羊肉串、烤馕、韭菜馅的烙饼，这会儿，觉得有点饿了……允悲深夜发吃报复社会
1698929092# #这个事，匪夷所思。
1697305117# #加沙已经断电，再过一天，估计手机也就没网没电。现在一些情况还能通过网络看到，再过两天呢？
1696159578# #昨天就看到了这篇博文。本文可以说是当初的一个缩影。我有不少朋友在上海，去年上海那段时间，我觉得真的可以算是国耻……后来就有朋友和我说，身边好多上海人都准备跑出去，不再回来了。
1698571983# #问个问题：纯电汽车，很多人都说充电到80％就可以，后面太慢。但如果长途，还得预留20％电吧？实际可用就只有60%了。高速＋冬天还得打个折。如果CLTC续航600公里，跑长途实际多久就得充一次？600×60％×70％＝252公里？有没有国庆节电动车跑1000公里以上的说说情况？谢谢。（搜过，觉得两极分化厉害）
1699164019# #看评论，问界降价也很厉害啊。提车价。
1695810399# #那应该不是他夹的。费解允悲
1701010696# #酷酷
1698380079# #8名印度人被卡塔尔判处死刑各个阿拉伯国家最近都开始行动了，以色列这下子很难办啊……从这几个印度人过往经历来看，做以色列的间谍倒真有可能。
1699698760# #打着打击电诈的名头，谁也说不得不是。对于其他国家来说，缅北和中国接壤……这是中国势力范围的覆盖区，他们也不能怎么着。明知翻不起风浪来，就算了吧。
1700238683# #WPSAI我已经用了有一段时间了，挺好用的。
1695136728# #如果一个企业要做网络监控，至少应该明确所有的员工都知道这件事情。特别是电脑上的信息截屏，一定要明确：每一个员工清晰的知道这件事情，最好是有签名。大多数人的电脑上都会有部分个人信息在处理，而这部分，企业的网管或老板是不应该知道的，如果看到了，那就违反了相关的法律法规。网络安全
1699029765# #嘻嘻14家车企，2022年。市场营销与推广费用投入·对比
1697724299# #济南巨响产生原因正在调查官方的回应和没有回应一样啊……大概率是超音速战斗机在突破音障的时候，音爆的声音。（不懂的话也别问我，因为我也不懂，我也是搜到的，看图就行，一遍看不懂可以读两遍……偷笑嘻嘻）官方回应济南巨响
1700826248# #嘻嘻good那必须开心的飞起。
1698175058# #几乎每一次网络安全攻防演练都能遇到一些网络安全产品被……攻陷，或者，绕过。前者主要是堡垒机，后者主要是EDR。另：集中管理类产品，密码存储、文件推送、命令执行这几个，一旦被红队拿到，风险太大了。网络安全红队
1696627870# #我还好，咖啡茶叶影响不大。（一样睡不好，主要看心情）
1696158878# #很容易老大老二打架，老三没了。
1698767961# #7款APP全网下架网络安全法、数据安全法、个人信息保护法，从去年到今年还是有很多的执法案例的。当然了，还可以更多。只有对违法者施以重罚，才是对守法开发者的尊重，才是对公众信息安全的尊重。执法力度，还可以更大一些。嘻嘻网络安全
1697113324# #这样的例子挺多的。坐标山东。
1700861978# #笑cry笑cry笑cry另一位写的挺好的：我对你的爱如同冬日之海，永远年轻。
1695251972# #居然一部都没看过……甚至：只听过第一部。允悲虽然一直挂在网上，但是……好像一直对小说提不起太大的兴趣。（换一种说法是：沉迷工作，无心娱乐嘻嘻偷笑）
1699698116# #这个就挺好的，给平凉市中级人民法院点32个赞。goodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgood
1698775075# #good
1700318893# #第一次知道这个品牌，也是某电视剧男主打高尔夫的时候穿的……搜了下……贵。笑cry
1695133673# #对个人网站最友好的年代，大概是在20年前的2003年左右吧，网上下一个开源的CMS，再找一个采集的程序，一天晚上就可以搞一个网站起来，流量也相对容易获取。说到这句的时候，突然觉得时间过得蛮快，一下子20年就过去了。dedecms个人网站
1697987502# #可可西里野狼被游客投喂胖成网红虽然好多人过去喂这头狼，但是他毕竟不是狗，而是一头狼……过去的旅行者还是要注意安全。专家回应可可西里野狼被投喂成网红
1698466321# #13岁男孩开车上高速行驶500公里就突然想到身边还有好多朋友，考了驾照之后不敢开车……看看这个小朋友。我考了驾照之后，第1次独立开车上路，就是买了车之后自己开回来。现在自动挡的车很好开，“胆大和心细”这两点贯彻好，后者尤其重要。
1687174574# #【浙江公安网安部门适用《数据安全法》对违法单位罚款100万元】某公司未经建设单位同意，将敏感业务数据上传至租用的公有云服务器，造成严重数据泄露。公安机关对该公司及项目主管人员、直接责任人员分别作出罚款100万元、8万元、6万元的行政处罚。|
1700317734# #有时公众都仅是舆论的受害者，推上spaceX和马斯克都在恭喜starship团队的成就。我们微博标题就可以看出差异，普通民众不像爱好者整天盯着发射基地，不了解的人们眼里只有盖棺定论的成功和失败。引擎全部完美点火，成功分离在我们眼里就已经是非常牛的胜利。加油，无论中美，征程是星辰大海
1697272320# #虽然古语老说吃软柿子，但我也喜欢吃硬的，但是我之前吃的硬柿子里面是有一点点黑丝儿的，刚开始还以为是坏了。不知道你这个是不是也是？
1698240565# #加沙已有近8000名儿童死伤每天有400名儿童死伤——数据只说了儿童，可炸弹可不会只挑着儿童炸的，再加上成年人……数字是远超这个的。今天和几位同事出去，大家一致认为没有人敢把炸弹射向我们。就是很大的幸福。祖国的强大，是每个中国人的幸运。
1698145428# #高校食堂干锅虾28一份有61只虾突然想起了我上学的时候，厨房的大师傅手一抖：肉菜就成了素菜呀。话说回来，教育行业国家有补贴，确实会便宜一些，但是像他们学校便宜这么多，确实不多见。
1695251509# #有一说一：真漂亮。goodgoodgood
1698507712# #夜深了，是时候发一下吃的了。。毕竟，不能我一个人饿。。不可辜负的美食深夜发吃报复社会
1698440402# #这，看完一时语塞，鼓励不制造垃圾？取消垃圾桶？天气太热我买了杯柠檬水，喝完杯子尽量拿回家或者四处找商场为的是蹭下垃圾桶？不是所有喝完柠檬水都和我这么闲的，确定这样不会出现更多随地的垃圾吗？先把各地的创城活动搞明白再来整这个世纪新概念吧
1695139550# #那个时候真的好做。
1697112305# #允悲一个是压力太大，一个是向往自由。
1696380078# #希望国内运营商能走出去（卷死国外）。嘻嘻
1695681221# #嘻嘻嘻嘻嘻嘻
1700655106# #这个声明还不如不发好……偌大个公司，真的没人懂这个吗？普通的事件处理、舆情应对……真的是……
1696596991# #这个我来说：企业邮箱需要做mx解析才可以。但是如果这个解析出了问题（或者配置错误）就收不到外部邮件。解析可以理解成一个门牌，找的时候好找。但是网易的营销邮件相当于内部的，不需要解析。所以这个大概率还真是自己的问题。
1697849233# #我也几乎都屏蔽了。甚至钉钉和微信也没声音。要不然叮叮当当太烦人了。
1700821869# #免签很多人纠结于是不是要“互免”，我倒觉得这个不重要。中国这么大的体量，以前相对封闭，等到来的老外多了，慢慢就口耳相传，他们国内也知道了中国的好，自然会也放开。另：我看评论有国外的觉得这个很棒，很喜欢中国文化。当初，大唐也不是一天就盛世的，需要时间。
1687629806# #前几天开车在路上，也看到一只狗在等红灯。也是绿灯了之后才过的。嘻嘻
1699659122# #西安的第一场雪来的有点突然。竟然，还伴随着电闪雷鸣。初雪，最好的场景是：。任他外面冷风嗖嗖，白雪飘飘。但眼前守着个老北京铜锅。里面有大块的肉，手里有酒
1695270272# #不玩游戏，但kele8好熟悉
1698154292# #一定要降低对所有人的期待，或者：不要对任何人有期待。期待越高，失望就会越厉害，然后自己的幸福感就会越来越差，如果没有任何期待，别人做一点小事就会觉得开心，觉得是捡到了宝贝：是天上掉了馅饼。
1696609843# #终于可以工作了，开心嘻嘻嘻嘻
1698441229# #哈哈哈哈哈哈哈哈哈哈
1697238867# #讨厌双11的最大原因是：之前老是有各种套路，算来算去……数学不好的还真不行。很多你觉得便宜了，实际上没有，都是套路……骗子应该倒闭。
1695486188# #我的评分：星星星星星星星星星星。电影赛德克·巴莱一部让我看完后觉得特别压抑的电影……记不清哪里推荐的，但反正是看了。在人类历史的长河中，再过一些年，可能就不会有人记得这件事……可是，他又真实而残酷的存在过。有兴趣的可以搜一下这部电影的背景……明天搜
1687407114# #甚至熟人也说不上，只是在某一个场景下打照面认识的人，甚至是照面都没有打过，某个群里加的人。算是“N度人脉”。
1696171410# #目前宋黎辉任山东一家足球俱乐部总经理兼教练，他告诉上游新闻记者：“足球才是我的本职工作，也是我的兴趣所在。平日里，我会经常参加有关足球方面的公益活动，会到青少年中去推广足球运动，并且自己也会带队参加活动。”……以前很喜欢宋黎辉的，代表中国队出场10次，并有入球。
1687569033# #单纯把课本学好是不行的。但凡盯紧一些前沿的东西，到毕业的时候都不会难找工作。
1697963307# #QQ弹了一条消息，说10年前的今天，我在QQ空间发过一条消息。点开，果然。当年QQ群还比较流行，虽然微信也开始崭露头角……十年前的今天qq空间
1696605362# #很难理解这个逻辑。我不喜欢抖音的推荐机制，但是小红书、哔哩哔哩就好很多。微博这个，一言难尽。
