1647212856# #转就收，不转不主动要，对领导、同事、下属没有分别。
1662134889# #那些傻逼恨不得趴上去舔，传上新冠+猴痘+HIV像中大奖一样，让洋爹戴口罩怎么可以？
1633506846# #哈哈哈哈哈
1642129198# #成龙的师妹，成凤doge
1689500631# #关键字。。doge
1657528881# #这。。这不太科学啊哆啦A梦吃惊
1691115240# #收手吧鹤皋。。
1626521770# #总结简直到位！good
1696919630# #北极鲶鱼爷爷违法违纪所得被收缴不是不报，时候没到！。如今终于到了，北极鲶鱼貌似在反腐行动中立了功。然而细品之下仍有不明之处：。看通报这位钟先生只是被追究了党纪、政纪，并没有被追刑，也没有被取消退休待遇，那么经查他贪腐了多少？查实了多少？查获了多少？有没有孙女说的9位数？怎么来的？
1675702816# #宗教信仰，其实都是信众的内心映射，这样的人，信什么不重要，信什么都能信成这个逼样。。
1657991251# #这是霍元甲？这是霍广发吧？等半天了，怎没有媒体的朋友上去体验呢？doge
1668991401# #自己什么群众基础自己心里没有碧树吗？明明那么遭人恨，回回挨打，还老爱往人群里凑合，贱不贱呢？
1690021886# #眼与心合，气与力合，步与招合，大杆子占六个字：绷、拔、轧、盖、挑、扎。有赞为证：一扎眉攒二扎心，三扎脐肚四撩阴，五扎磕膝六点脚，七扎肩颈左右分。。
1661154715# #长这样就跟。。上一版人教小学教材似的doge
1655958840# #191式狙机枪（无错别字）doge
1680770820# #好棒。。允悲
1691508710# #扣子结实不？doge
1632414788# #很有意思的结构，像套在一起的交通锥桶doge
1641870416# #那条被jia了，再喊一嗓子。。。这个确实很舒服，过年送爹妈礼物非常合适，。。详见原博：。
1680438055# #尼玛。。二哈
1651706772# #哈哈哈哈，最右允悲
1651655579# #可爱的民警们，他们其实就是你们的儿女、兄弟、姐妹、老伴儿、街坊、朋友。。
1643208261# #竞标拍卖。。
1648207666# #先闪过第一次撞击，瞅准机会抓住他的小指，用一个金丝缠腕，然后迅速上步，背步，变脸，再接个乌龙绞柱，双腿盘住一臂，将全身力量贯于腰脊，利用重力扭转，体重×2的turbo，完全可以放倒这头蛮牛doge
1635646959# #是个勤俭持家的好仆，钢壳都认真回收doge
1673622493# #我喜欢万梓良、梁家辉、吴镇宇。
1691735851# #裸穿效果。。doge
1664006527# #感冒了。。
1651683814# #这。。。加一块才96.49%啊？还有3.51%是什么？哆啦A梦吃惊
1648773219# #国内关于野生动物的执法尺度确实测不太准，可怜的小伙
1647178866# #6个
1661209508# #应该是左边那个把手上面的螺丝掉了。。
1665840772# #没结婚之前把钱算清楚没有什么不对。
1682291140# #你不用怕霸屏，同一时段你发得再密集，系统也只会推送2到3条给粉丝，所以你顿足就好，别捶🐻🐻害羞
1665461796# #猩红热。。
1632730125# #装的很怕中国似的，中国在美国周边既没有军事基地，又没有部署防空导弹，怕你娘个球！其实中国是他们的财富密码，只有多提中国，不断渲染中国威胁，才能在国会争取到更多的军种拨款，国会姥爷们也乐得“受骗上当”，只要你敢编，我就敢批钱。。
1696660775# #铁胳膊蔡福，一枝花蔡庆。。那时候的香港电影多忠实原著啊，口音也是普通话。
1658542796# #比起“穷山恶水出刁民”我倒更赞同另一句话：“什么样的人民配什么样的政府”。
1658622519# #这个是挂着死的，到底是因为惊吓导致猝死，还是安全绳外力造成外伤致死应该鉴定清楚，如果是后者景区的责任就更大。
1693490148# #料盒？皮带？？费解
1624627912# #不给，用新疆棉花，它不配！
1655312237# #圣诞树FN
1636691137# #现在上半身也没知觉了，用舌头打的字，好累。。
1671889160# #一刀扎大肠上，一按。。
1683625466# #最后钓上鱼了吗？doge
1678962946# #拿黑美人鱼恶心观众算什么本事？如果拍《人猿泰山》找个黑蜀黍来演泰山我就敬你迪士尼是条汉子doge
1657903667# #视频直播的祖师爷是。。。？
1646802342# #希望科普博主都能这样的深入浅出。。
1646377171# #那屁股撅愣高，怎没砸屁股上。。
1641871829# #锁龙头。。？那不立马翻倒？
1655212864# #目测这几位公安同志要倒霉了。。换我是车主就现场打110投诉，因为之前的轻微违章（变道不打灯），就要撞停我，交通执法不应该是这样的。
1671781257# #这个歌难度很高，能唱成这样相当可以了。。
1624812289# #有点儿意思这个，效果还行，话（口号）稍微有点儿多。。
1660185314# #傻❌，问题是狙击手用的枪根本不是加兰德，而是春田M1903A4，全手动枪怎么夹手指？这么大个枪栓看不见么？
1660623908# #她可以一直幼到40岁！
1662462932# #大夫，我牙疼。。悲伤
1665215420# #s2000还是马自达？
1647232452# #不用，前面一个人手持鱼竿就可以，鱼线威亚还比无人机灵活、可控、安全。
1632988919# #哈哈哈哈，华蓥山。。巍峨耸立，咳咳咳
1674191381# #卧槽。。强啊！
1684901594# #好大的。。软兜哆啦A梦吃惊
1689668978# #干得漂亮。。加速！！！
1681432519# #重金属：技术流在炫噪音。死亡金属：噪音流在炫技。doge
1661748475# #看了半天，那个3000一斤的是抱脸虫啊？便宜了，那不得30000美刀一斤？
1683522048# #60多吨，燃气轮机，4人车组，还得有个苦逼装填。。乌克兰且得适应一阵呢吧？
1649674326# #赛博阿爽doge
1677850881# #红外制导的反辐射导弹？我好像没懂。。思考
1660130488# #抢话！抢话！抢话！抢尼玛骨灰盒呢？不过刘欣的回答非常棒。
1688445989# #2个小时，气喘吁吁，50多岁，体力不错。。
1659155720# #魔术师的手，就像健身选手的臂膀一样，时刻“扎煞”着。。
1673671343# #信源是。。？
1655107796# #网上捡到的一段视频：男子打车要抽烟（疑似酒后）遭到司机拒绝，于是扬言“办”司机，并一通打电话安排工作，之后被相关部门一顿检查未查出问题，抽烟男子又变为“热心群众”，丑态百出。。视频较长，14分钟多，具体发生地不明，不敢妄加猜测，发到网上各位看官评判。
1656839067# #要在苏州这架绝打不起来。。
1640937965# #玻色爱因斯坦凝聚态
1688186022# #好doge
1630569131# #难治，因为一部分很坏，隐藏在一大部分傻子里。。
1628650191# #击剑手变双锤将
1696476205# #半自动倍耐力
1674175108# #今日黑鲨没有腿腿。。
1661778848# #闺女爱吃煮鸡蛋，。最近煮鸡蛋总是护皮，。我煮，媳妇煮都一样，。试过不少办法也惘效，。比如冷水下锅、热水下锅，。煮完用冷水冲，煮完自然放凉。。。过去煮鸡蛋也没什么心得，。有时候会护皮，。有时候不会，。完全没有规律。。。于是想了解这个原理，。在网上搜了个遍，。有不少教程，。什么先洗三遍，。再拿白醋
1645291478# #好准啊。。
1688816842# #哆啦A梦吃惊
1678267982# #允悲👉🏻
1692079676# #柴静女士这些年一直生活在“我”希望她生活的地方doge
1697334912# #如果像宾利、劳斯这样的豪车也开始造纯电动，那真是离死不远了，而且是万劫不复内种。。除非它跟中国电动车厂商进行合资或者技术合作，采用中国产的电池、电机、电脑，以及交互车机。。接下来才是什么手工车身、干碳套件、纳帕真皮、奥肯翻毛、ETON音响什么的doge
1644341889# #图10是一个大全景机吧。。
1695384675# #这段在电影正片里也很容易一眼看出来里外不一致。
1647790473# #这球上有胶吧。。
1638751411# #棒！就是这种塑料布材质。。没有透气性，短时间展示还好。
1648392490# #就因为这俩人说了4天和7天，然后官家特意把日子定为5天，节约了大量国家赔偿成本doge
1677487830# #苦瓜、香椿、茴香我都喜欢吃。
1697864794# #谁特么喷的催泪喷雾？一点儿不专业。。这是在美国，你只需要拔枪直接射击二哈
1632408454# #你是就看了头两行就发炎了么？
1679928619# #这多少有点吓人。。孩子胆儿小点非厥过去
1683542797# #图1居然没有被夹。。
1628594083# #才750吨？这个数据不准确。
1660981797# #我家浴缸很大。。可怜
1632028059# #个人取向。。潘粤明比较合适，这个演员的可塑性非常强。
1676190927# #这话绝对了，80年代中国还是出过好几部尺度不小的。。。算不算科幻另说doge
1650973166# #加入粉丝群能不能设置成“提交完申请，要转发群主50条微博才可以加入”？doge
1688801397# #那位精神仙女，一定是把精神病诊断和残疾证挂脸上了吧？现场判断不出来有罪？发生冲突不管谁先动手就是你全责？
1633076349# #有一年我每天坚持跳绳，跳了一个礼拜，迎面骨就疼痛，我以为就是普通的乳酸堆积，又坚持两天，疼痛变剧痛，别说跳，走路都疼，医生说是骨膜炎，再跳可能疲劳性骨折，然后就不跳了。。其实量也不大，每天100个双摇，1000个单揺，估计是一开始就拉伤了，没理会。
1687064609# #祝我们父亲节快乐握手心
1673265073# #有点等不及了，急需洗一洗被“艺画开天”污染的双眼。。
1695804757# #为什么我认认真真看了10分钟高科技的废话。。允悲
1641942810# #我一直没觉得王冰冰多好看，多梦幻，可是有人这么恶毒地说一个没招谁没惹谁的女孩，就是看不下去。
1669807551# #艹。。真他娘恶心
1637247304# #我以为是广式烧肉。。
1677917010# #行，有反转，东北视频号学起来。。
1677139665# #诈骗都直接道蔓儿啦。。二哈
1656308861# #哈哈哈哈，永远在中门儿苟着。。
1688198096# #商品显形包装
1638579960# #你这么说可就有的杠了，千年前中餐就是跑堂收桌，这又是在中国境内，所以谁应该适应谁？doge
1658845173# #doge
1667083690# #死不足惜的鬼节
1648914975# #艹尼霸霸怒
1673222799# #我说它张爸推p药，于是它这么回我。。。。不争辩，只反击（在）北京（的）国家医保局，或者国家卫计委、疾控中心的公卫专家，这种人在某些地方挺有代表性。
1638976865# #图4的器官暴露了，这是一支气枪doge
1625626518# #上回炸轻了。。
1666321214# #Oh～非常有技术性内哆啦A梦吃惊，看完之后感觉受益匪浅（虽然暂时还没有想到对自己有什么实际用途）
1697643268# #107毫米火箭弹战斗部装药1.3公斤，114毫米火箭弹战斗部装药2.4公斤，155毫米炮弹装药6～9公斤，地狱火反坦克导弹战斗部装药7公斤，GBU39SDB炸弹战斗部装药23公斤，500磅Mk82炸弹装药87公斤，2000磅Mk84炸弹装药430公斤。哈马斯用的主要是前两种火箭弹，所以是什么炸的医院。。
1685162306# #话筒话筒话筒
1651407812# #天呐。。这难道不是老公之幸吗？
1632380908# #其实学也没关系，要能学得比原主漂亮也行，现在不说漂亮不漂亮，您好歹换双鞋？
1662978101# #这个是高手。。
1655259399# #你们不要胡说，不是跳弹
1685027371# #哎。。两个家庭的悲剧。。
1644749855# #从十几岁就开始被别人这样诅咒至今导致重度玉玉者。。嘤嘤嘤允悲
1639532408# #嫌犯家属望轻判，受害人家属还望它家崽子能手下留情呢，它留了吗？
1687927825# #秦二爷：呃呵，不像啊～（发型）
1685791022# #北鼻嫩模？
1685622639# #“最后一款燃油车”制造商全都这么骗，谁真信了，谁真这么干了，谁会死得很难看。
1648102250# #打大漠叔叔手背儿上了。。这女的是有精神病吧？屡屡用这种方式唬人，而且只会用这种方式。。
1683881019# #exel表格常见加戏。。。录入全单位人身份证，要不就是科学记数法，要不然后四位都是0000，要不就加.00。。。允悲
1683885759# #这么大的水煎包。。
1685326133# #转发一次能不能把我的名字打在袜子LED上？doge
1671586368# #葫芦孙？侯老三？
1627030200# #那个年轻的驾驶员是哪儿的人？口音听不太出来。。
1642474320# #不敢的，卡车司机工会是个势力挺大的政治力量，同时也几乎是美国数一数二的黑帮。
1670498726# #我十分喜欢霍克教练机的外形，从哪儿看都顺眼。。那时候大嘤航空的审美还在线。
1629849907# #警方通报钱枫被曝性侵案一觉醒来，看到很多人说：qj变扫黄，于是顺着地图去搜“米兰大坏蛋”。。。其实且不说这个id是不是女主，即便她真的是福利🐔，难道就可以被强奸吗？j女的性同意权同样应该被保护，所以案件事实与她的身份没有关系，不存在“因为你是出来卖的所以被强暴了活该”这一逻辑。。不
1674369618# #变魔术时候两口子都是白人，变完了都变黑人了，几个意思？你看无数次看出来了吗？
1677192686# #这篇写得好棒
1674636732# #有没有大胆的想法？哆啦A梦吃惊
1635674933# #每年的卖灯王时刻。。
1661311617# #真•阴间新闻
1624767930# #艹。。。75公斤，要特么疯！
1669681536# #哈哈哈哈哈哈，睡前戏多是每个小盆友的buff~
1642239538# #脑洞就这么大点吗？只要把一瓶可乐运上火星（现在就可以做到），即可在火星表面制造一个可乐海，水、二氧化碳、糖都不缺，想造什么造不出来？
1657968106# #智赚。。
1639924944# #也不数数吗？
1634203397# #我没有见过啊，难道不是长得好的才看？长得歪瓜裂枣为何要看？可能我看片没有什么探索精神，都是有了口碑的演员才看，或者干脆别人发给我我才看看，基本不会主动找。二哈
1658798635# #卧槽。。碾死人的大货车才拘留15天？哆啦A梦吃惊
1692862505# #卧槽。。厉害！
1669170170# #鸟山明的意思
1670829940# #好大的仙。。仙人吊哆啦A梦吃惊
1642416552# #男生说个屁。。
1664670442# #毁掉中医的不是西医，而是这帮王八蛋
1691122934# #我好奇这是怎么拍的？doge
1673271633# #赵立坚已任边界与海洋事务司副司长我擦，我先转的是人民日报的，居然一转没。。哆啦A梦吃惊
1688021513# #不能说自有国情，只能说是。。物种特色
1675648932# #大字报在地上贴就行了，不要发到天上去。
1689388314# #道歉顺带发一波广告？哆啦A梦吃惊
1681403950# #N年前我也跟张琪同台唱过，唱过不下10次我会到处乱说吗？doge
1661527461# #一碗100块钱人民币，好些人说国内100块钱能吃5碗、10碗兰州拉面了。。其实你即便花150，未必能找到敢放这么多肉的店家。。店家宁可放一点肉，卖20一碗。
1638683048# #我印象中，小时候看过不止一个插图画“虎门销烟”，是架了一个个火盆，用明火来“销”鸦片，我当时就琢磨这不全民吸毒了么？后来看史料，其实是用生石灰搅拌、加水，根本没有明火。。这帮人大概也是被不负责任的宣传品给坑了
1646641131# #效果相同。
1634729275# #草泥霸霸。。我好不了了允悲
1650431277# #二哈
1627262066# #那些家长真的分得清楚什么是真实中的公主，什么是童话中的公主，什么是夜总会的公主吗？
1647154370# #看着就疼。。
1638782888# #哈哈哈哈，我心怡的你孩子如果是博主，我会拒绝跟她去游泳允悲
1663629544# #。。
1657155372# #来说说您的所谓“常识”可爱
1668691882# #夺萌啊这个机械臂。。
1662347848# #很多人说现在电子支付不需要藏现金了导致这个设计得消失，个人以为不尽然。即便不藏现金，还可以藏其他东西嘛。。比如手机、车钥匙、定位追踪器啥的。。所以这个东西的消失还是压迫的产物doge
1634921482# #卧槽。。允悲允悲允悲
1638981142# #在俄罗斯，自由枪机手枪一律称为“仿马卡洛夫”，摆管手枪一律称为“仿托卡列夫”doge
1657425377# #这个做得好漂亮！明清款吧？
1688057144# #杠精。。
1636452904# #你才骑着摩托打车呢！
1674985513# #学校简称叫“三体”也没什么嘛，毕竟当时还没有小说，哪天出个大牛作品叫《二外》，那么北京第二外国语学院也要改简称了？
1659022595# #其实对面也可以学甘地，非暴力不合作。军人全部销毁武装，就地剃度，裸身赤脚去西岸一坐，集体绝食，不饿死30万不起来那种doge
1693195249# #2011年一位华裔美籍俯卧撑大使来到北京赴任，他上任后干了什么大家记得吗？在馆舍架起空气质量监测设备，并每天在互联网上发布pm2.5读数。此举引起了公众对空气质量的关注，也推动了我们政府对空气污染的大力整治。老师都教过了，用不用，怎么用就看你了。。doge
1634897604# #【繁足拟蛞蝓】软体动物门，肺螺亚纲，复眼目，拟蛞蝓科。。现实中比较罕见，主要分布在中亚亚热带，偶尔在健身房、浴室出没，喜食灵长类体液，摄食过多人类汗液之后会合成并散发出一种γ326烟酸醇的化学物质，可以使人致幻，大幅降低人的性唤起值，男性主要表现为看到了绝色美女向自己暗送秋波。。。（
1637724829# #你的体重可以么？
1695193757# #朱老师缓缓传上了衣服。。
1625418257# #细节考验党性，群众考验党性。
1644500137# #你出这套吧，比他好看！
1638793935# #机械战警里面像个姑娘。。
1688662829# #他跳这行子跳得如此熟练，我觉得比迟到问题严重。。
1626834134# #且不说是不是美国干的，美国想不想这么干，单说它能不能？也忒瞧得起美国了，要有这个能耐还用的着派兵入侵伊拉克、阿富汗？。他们真不懂吗？这就是披着伪红皮的黑！
1672038067# #这个紫啊。。好紫！
1694665463# #查查吧，印度后裔吧。。doge
1642648706# #到底是私人山庄，还是当地旅游业项目？产权是谁？下一起《零容忍》能不能安排？doge
1642301140# #“砍倒大纛（正音念dào，但舞台上通常念dū）两杆，夺槊三条”
1697272854# #号牌在哪儿呢？让我看看你的13。。doge
1635516088# #时空隧道，黑洞嵌白洞。。
1649157907# #轮毂不会刮花吗？
1671812424# #生化危机的感觉。。
1695125016# #蜜臀桃儿抱一抱
1677314261# #不知道艾特谁好，总之，来看怪东西。。doge
1690088070# #我觉得可以坏笑
1692689276# #转发辟谣good
1626537094# #吃了西地那非还秒射。。怕是要看医生了周玄毅致谭女士
1672737537# #6，鹿邑的。。doge
1676981019# #进门居然没有“欢迎光~临，很高兴为您抚窝！”
1664694082# #你跟。。这是女鹅！我（今天）是男的！
1656173837# #哇。。这个真的不错！
1627995427# #郑屠用过的斩骨刀doge
1646747557# #不罚款还不够？还不赶紧屁颠屁颠去生？doge
1692349523# #写的什么玩意儿，不清不楚，账号封禁是公安作出的行政行为吗？
1663302062# #哈哈哈哈哈，腰酸了你就起来吧。。笑cry
1671507785# #拎b入住。。
1683607025# #小姐姐好样的
1626566344# #两台功率超过1300kw的发动机，复材无轴承4叶桨，最大起飞重量8吨多，先进完备的探测设备和航电系统，吊打多数国家的武直了
1647334514# #制空战机有J20，轻型有10C如果基于新发研制先进单发战机，应该兼顾对地攻击，做成多用途。
1682345418# #刺身啊
1664944233# #西藏，基础设施、人力、财力跟上海、深圳差太远了，面积又大得多，交通也不便利，根本不可能相比，因此防疫工作不可能跟一线城市一样，这个时候游人进入就是纯添乱。
1681296951# #所以为什么1993年被强奸了，2019年才去报警？
1649901214# #哈哈哈哈，剪的不错，配乐很好。
1660205963# #导演：我让你给我找个波霸演美人鱼！制片人：是波霸啊。。导演：这特么波霸？制片人：奔。。奔波霸也是波霸嘛二哈
1646273296# #是你干的事儿不？来辟个谣。。
1692979723# #这么麻烦且挺漂亮的一个锅只卖不到300块钱。。我以为怎么也得1、2000呢
1637829158# #她在微博是什么样的地位存在，自己心里一点儿数都没有，还觍着大脸上来丢人现眼呢。。
1649771623# #挑这日子是故意的吗？四一二。。。
1647230511# #到时候恐怕就不是医护互殴的事了
1664029196# #备考
1649825369# #发明、运营这种软件的都该枪毙诛九族，这就是电信诈骗啊doge
1688141586# #这个逼为什么不抓？
1679822691# #就是就是，在杀父之前别说自己是女拳。。
1640886661# #怎么不拍一下它里面的样子？换个日本摄影师。。doge
1649195103# #图嘛许的呢？我幼儿园比她好。。
1640017557# #你知道啥叫“阴影部分”吧？
1658375574# #安
1678114024# #如果报了失踪，宣告了死亡，是不是可以摆脱关系？
1696500045# #这尺度要是微博网友原创，早夹了。。
1644154129# #可预见的将来，能跟埃尔法抗的mpv只能寄希望于国产品牌了。
1651509104# #把你女朋友微信给我，我就去doge
1625312531# #鳔哥。。
1682249143# #淄博这俩字不会念。。有自己买火车票旅行的能力吗？
1672882520# #还没娶进门呢，谁给谁下马威？偷笑
1663545168# #失去家人、好友，纵有万般痛苦，犯得上跟专职抹黑中国的美国媒体告洋状？我痛苦，但是我不糊涂，那个博主做的一点问题没有。
1670488245# #哈哈哈，确实
1684914630# #看看这货在搏击比赛台上被揍的那个鬊样，所谓马伽术的10个有10个是装逼的贩子，打不会还手的人不是怎么打怎么有？
1690273064# #惹怒了一群嬉皮士，就干掉4个。。二哈
1650499971# #87式、10式，又出个191式。。5.8×42出多少代了？
1659188586# #近界太远了
1643013640# #很棒，转发鼓励一下。
1630488245# #痛快就完了，它们还管你法理依据？
1664692778# #午安！可爱
1680526160# #哇
1666197758# #“您是问赛百味三明治啊？您看从这上车，坐4站地铁，下车从B1口出去，右拐走200米，XX大厦底商南侧就看见了。。”老外：“areyoukiddingme？”
1663082151# #我家娃要能有她一半的胃口，我愿意给她跪下。。可怜
1676943103# #他给40万。。。他给4000万你不要，你爱嫁哪儿嫁哪儿不是？你疼痛在哪儿了？
1679620347# #这人嘎嘛的？
1676528554# #卧槽。。。嫉妒！怒
1659586915# #gay病毒
1648875307# #sixsixsix就这么来的。。
1644325015# #大张伟上来，能不能逼得威震天动手？
1657076215# #没有埋怨动态清零的意思，说的是学校、老师的倦怠。
1679022679# #兔子有没有可能，背着老米，把鹅乌的事给调解了。。？思考
1679476344# #哆啦A梦吃惊
1676272831# #既然是演员就好好做演员，不要尬吹竞技成绩，真是这么牛的专业格斗运动员为什么去拍电影做龙套？
1690382428# #艹。。。那小哥再穿个店员制服就更像了允悲
1639445026# #果然130，2吨级载货越野车。
1626059037# #8年前的微博，应该过追溯期了吧
1636621100# #完全不可信，而且居然没有15式
1678243220# #穿上战甲，弯不下腰。。
1656909719# #蹲着吃饭、塑料盆装肉碍着谁了？
1676936562# #开始以为一个滑冰选手。。
1661909958# #怕是癌。。切了吧，尽早doge
1645012207# #我喜欢“惨”国的，单从服装审美看。
1660707979# #后座是遥控忠诚僚机用的吧？哆啦A梦吃惊
1633230963# #赵立坚好不容易放了点狠话，还被崔天凯大使当着美媒说是“疯狂的”
1649058130# #所以研制35有毛用？这活苏17、苏24干不了？
1636332820# #租界啊
1635339294# #我小时候也不吃茴香，因为我妈不吃，她老人家四川人，长大之后觉得茴香饺子味不错，不过得肉多油大够口儿（咸）
1646752225# #星云呢？
1646469760# #挺讲理。。
1631250999# #棒！
1688961957# #领导，您的表拿倒了。。坏笑
1680656345# #牛逼
1658201868# #拦路检查，凡是随身携带超过600现金的都不是好人，带回所里严加盘查doge
1691218768# #主观上阻碍驾驶技术提升的因素有哪些？。1、怂：胆小，不敢尝试，肢体容易应激，大脑容易空白。。2、笨：肢体协调性差，反应慢，方向感差，地理概念接近于无，简单技能的学习时长明显长于常人。。3、懒：能不开就不开，能不练就不练，能不碰就不碰，仿佛真的到了迫不得已自己得开车的时候自然就会了。。。这
1680145762# #罗辑：“我向三体世界说话！”智子：“别急，请坐。”“噗。。。啊！”
1674576816# #卧槽！这。。。哆啦A梦吃惊
1670124748# #核酸的棉棒杆还应该加长，今天去做核酸，她的手套碰到我嘴唇了，这尼玛风险。。。闭嘴
1661958675# #傻逼，你有病尽早就医。
1638898533# #半个世纪前的老东西穿马甲了。。不过老东西当年真不软啊
1627833793# #我的，一毛一样，蓝康。
1635777885# #问题是。。4斤衣服能有一斤煤经烧？
1682506111# #正能量，有力量！
1672289634# #
1650730421# #这个倒是在上海，所以你的意思是赞同他咯？
1646045504# #右边二位英雄啊。。
1684409890# #假如你有机会座进J20驾驶舱且百无禁忌，2分钟内你能拍出多少个M的照片？
1645153261# #吾！汝要用吾
1638870547# #可以用《但愿人长久》（水调歌头明月几时有）的曲子唱一唱可爱
1656852342# #哈哈哈哈哈哈哈哈哈哈哈哈，这个形象设计得太特么逗了。。允悲允悲允悲
1687874638# #棒棒！good
1648991026# #在上海辛苦你了
1650300092# #哕～二哈
1661072004# #几个男的？几个女的？
1677918876# #不到两百亿。。
1683805298# #可能是那种带配重的丝束吧
1647676642# #自然冰的冰面，平整度堪比赛场
1666835673# #咸腥。。哆啦A梦吃惊
1661146084# #“给您来壶麦咖啡？”“不，沏我这个哥伦比雅的豆子。呦。。松二爷，您得着我这个？”“先生行行好吧”“服务员儿，给拿俩烂肉堡让他上外头吃切！”
1626710342# #真不错。。有点费大腿doge
1679486986# #钱难挣屎难吃。。钓凯子哪那么轻松？
1669099802# #一条忠诚的。。doge
1680569289# #强50？哆啦A梦吃惊
1657009405# #接警员的基本素质。
1646870127# #手速真是没谁了，卖不了多少钱忒费气力。。
1631550040# #关键是依法处罚原则，所有的处罚方式，都应该是法律所明文规定的，哪条法律写着可以用这种方式处罚的？你今天罚他看一分钟强光，明天是不是可以罚20个蹲起？这就是执法随意性。
1637519251# #《师父》中的武打设计，动作风格我太喜欢了，没有夸张表现，近乎实战的朴实风格，体现出隐含在现实中的无限浪漫。。。我正在爱奇艺看挟刀揉手—电影《师父》纪实，快来一起看！
1697098053# #全车都是欧肯和纳帕。。
1635328501# #智商不太够的样子。。
1646826485# #就看出一个煎平鱼，一个牡蛎，剩下看不出什么物种，感觉像能用骨头组装出一支手枪那种。。
1692888254# #什么神仙身材。。
1676895116# #没错，很欣赏这一点
1686493073# #你自己也穿裙子、黑丝怕个屁。。doge
1627275448# #因为认错人而围堵确实欠冷静，但是。。。第一，谁是老朋友？德国之声？你配吗？。第二，为什么会遭到普通群众的反感乃至围堵？这两年你们在中国都做了什么，外媒心里没有一点数吗？
1657986298# #普通公司招聘入职没有心理测试和三观测试也是没办法。。
1657719416# #夺能耐呀。。
1656948594# #三克三汤
1638435075# #这就比较魔幻
1636872970# #这是之前的天宫吧？天和舱比这宽绰。
1692524022# #太牛逼了。。
1656386306# #大上反
1634403536# #有，但价格只相当于1/2000
1641986128# #简历和业绩，都靠视频争取？思考
1638435293# #。。。。
1679569014# #马三立讲话：汆鱼汤。。
1625531941# #闹剧以主角和导演双双逃走收场，留给群演的是尴尬，留给观众的是撕裂感，当年的“反派”（四Q兄弟）们纷纷表示情绪不稳定。。二哈
1650283761# #有卖的吧。。二哈
1694516900# #这地方没有蟑螂。
1631356590# #改个张飞看看。。
1652007697# #不好看
1626584951# #不知道的以为宝马325出suv了呢。。。强迫症朋友忍不了，帮她还原了一下（图2）二哈
