1700339648# #聪明的牛，跑得好！酷
1699814261# #海南海口秀英区东山镇，镇领导开会怒砸水瓶后现场村民拍桌回怼过去赞酷
1692532638# #吉林长春，一女子被老头子压倒在地上并拨打电话说着什么，女子则大叫：他不是我爸，帮我报警！汗
1696792872# #刷到观音菩萨不要无视评论很灵🙏
1690049302# #户外主播“木森”在白鹿仓举办泼水节，其女徒弟“郑快乐”被游客泼水后发火动手……。你不愿意被泼水干嘛穿泳衣到泼水区域？一边动手攻击别人一边威胁别人“动手试试”，这是嚣张到没边了吧！摊手
1696349582# #防川一眼望三国上演全武行，终于值回70块票价允悲允悲允悲
1692631792# #女子刚结婚两个多月，就被她老公家暴中用丝巾勒至昏迷，送医抢救后命是勉强保住，但是双目已经失明了，现在已经花费了70多万…摊手。女方家庭已经债台高筑，后续治疗费用不知如何解决，男方家属既不出面也不出钱！怒
1688141396# #传统工艺制作中的宣纸！宣纸是国粹，纯手工工艺应保护起来！鼓掌
1692947703# #男子通过苹果手机查找功能发现他老婆在雷峰塔附近，前往寻找发现和陌生男子游玩…。老婆还一副无所谓的样子，这能忍？怒
1702765077# #福建顶粘村的祭祀仪式赢太多了，1分30王炸出场！doge
1692706090# #两儿子也会打酱油了，多少要避点嫌吧！汗
1699437843# #瞧这面对女施主的窝囊样，是唐僧本僧没错了doge唐三葬
1699430326# #等不及最后蹦起来了…笑cry
1688474398# #坐电梯偶遇穿泳衣丝袜的变态男子…，这种报警警察会管吗？汗
1694101336# #现在的孩子咋回事？都怎么想的费解
1690637920# #脚踢警察你是真敢啊，希望坐在后悔椅上受审时还能保持这桀骜不驯得样子…
1700752715# #钱塘江上捉鱼人，真乃富贵险中求！汗
1686993767# #到底是因为什么让一个男人如此决绝！汗
1700496365# #疑似坐奔驰女子欺负农民工，一脚踹倒路障不依不饶，侮辱对方“叫花子”！怒
1693479984# #美国某地，一对黑人情侣加油站吵架，女子突然发飙甩起酒瓶砸烂旁边小车的玻璃。下一秒白色车主下车就给女子一梭子，直接让她见了上帝！衰
1697729544# #老“仙女”因行李太多没赶上高铁…，接下来的行为让人诧异，你怎么看？黑线
1687763219# #老爷子这是在用生命检测玻璃的质量啊！汗
1703858436# #当着老公面就敢和男子这样，背地里指不定会怎么乱来！汗
1688249937# #大妈自带大米电饭锅用高铁的插座焖了一锅饭…，想破脑袋我也想不到这种操作！允悲
1703544415# #如此顽劣之童，必须曝光一下！摊手
1689525343# #现在的人疯了么，喝多了真丢人啊……！摊手
1698878408# #牡丹花下死……！汗
1693299081# #黑龙江一男孩沉迷网游，游戏过程被骂于是生气到狂扇自己脸，妈妈大声斥责也不管用。网友：玩物丧志，家长更要耐心教育！摊手
1698772421# #大型犬即使牵了绳子也是非常危险的，这条狗咬住小孩不松口，狗主这么强壮都没有办法制止狗的撕咬行为…！衰所以不要说“我家狗不咬人”，大型犬的兽性发作时谁知道呢？摊手
1690790964# #那里位置不好，重新换个C位，蓝衣大妈演技精湛…
1688769060# #妻子带着闺蜜路边堵截厮打第三者，扭打过程中两人怒撕第三者衣服，好在路过两男子及时制止了扒衣行为。女人何苦为难女人，你老公出轨不是应该去打你老公吗？挖鼻
1691063552# #这是中华鲟吧，这些人真刑汗
1690022942# #小伙子的女朋友被开法拉利的大叔抢走，一气之下叫来富婆把自己接走了…，再也不相信爱情了💔
1696803515# #汪小菲10月8日深夜连线情感博主，表示自己想跟大S复婚…。网友：这是又喝醉了吧！笑cry
1700433375# #有缅甸果敢博主表示，由于果敢老街现在正在打仗经常停电，大家都需要用汽油发电。然而果敢老街加油站里的汽油不卖给汉族只卖给缅族人。而果敢老街加油站的油都是中国输送过去的，这也缅甸人真的是恩将仇报！摊手
1691137378# #深圳地铁车厢的社死瞬间，这小哥要不要去找卖鞋的店家索要赔偿？允悲
1693757236# #黄色小车路上偶遇货车轮胎在路上滚，后座乘客拿出手机拍摄，结果轮胎来了个回马枪直接咂向黄色小车，吓得拍摄者尖叫手抖…。网友：从看客变成了主角！笑cry
1702390592# #小伙子你这是想走捷径吗！doge
1697880310# #不爱了，好聚好散啊！卑微的祈求不紧不能挽回感情，还会让他更看不起你！摊手
1692684942# #灭个马蜂真怕他把家给点燃…汗
1699611339# #沧州交通学院这个霸座女学生原来是个惯犯，只要她座的地方，前后左右两排都不让别人坐，坐了就说位置有人驱赶怒骂别人，已经有很多学生受害。这是之前她驱赶女同学的视频，如此恶霸横行行为，学校之前确置之不理，让其更加有持无恐霸凌学生…！衰
1695105783# #我还找了半天球哈哈
1692993824# #一只从清朝穿越而来的小野猴！doge
1696338480# #约旦一黑老大刚刑满释放，迎接他的小弟为了助兴对天空连开数枪…。最后收枪时走火击中老大，老大当场身亡！哆啦A梦害怕哆啦A梦害怕
1689893247# #在日本的电车上，一个中国人和另一个中国人分别用中、英、日三国语言吵架…，最后两人一致认为还是用中文吵架更方便！允悲
1696090955# #这是啥东西…
1691144364# #微胖小三被原配妻子街头压制…
1693504219# #是车卖出去了吗？高兴成这样…doge
1702436009# #“好奇害死猫”！黑线汗挖鼻
1697466920# #成都咬伤女童大黑狗有主人小女孩家长和保洁阿姨毕竟是女流之辈，明显不能控制局面，可惜围栏阻挡了两男子上前救援…。狗主人没用尽到监管责任，必须承担一起后果！摊手
1687839696# #他的笑容并没有消失，只是转移到了你我的脸上！doge
1692806694# #据说这是东风-xx导弹，一发可以挠地球飞两圈！doge
1694371371# #情侣街边发生争执，女生一气之下竟当场脱掉裙子……
1703001225# #真羡慕这样的家庭氛围…！doge
1698599723# #问：这一脚油门需要踩几年缝纫机？挖鼻
1696015333# #网友晒公司发的中秋福利…！这样的公司还要继续待下去吗？笑cry
1695765473# #专业推拿。。。
1702815108# #这个学校门卫保安拿着鸡毛当令箭，简单的问题故意复杂化…！摊手
1701382995# #这人为什么要爬铁搭呢？高压电线可不是开玩笑的！衰
1697131844# #婚礼现场气氛真好doge
1695739660# #男子想开车横渡河道，刚下水就连车带人被湍急河流冲走！笑cry
1703166092# #这种正骨手法真怕把拧断脖子…！汗
1696847460# #活了80年的大娘也被这桌酒席搞迷糊了。。。
1695916516# #小哥地铁站搭讪候车大姐姐，她好温柔好有气质啊，这才是成熟女性的魅力爱你
1698960387# #扫黄现场都好年轻汗
1692252321# #一年前夫妻吵架女子剪掉丈夫生殖器，在医生长达8小时手术后修复。没成想一年后再次争吵又被妻子开车撞断一条腿…，再不离婚性命不保！衰
1687439103# #这种行为简直就是对端午节和龙舟文化的侮辱！摊手端午节习俗图鉴
1694024067# #原来高铁座椅上这块布是起这样的作用doge
1690192963# #齐齐哈尔34中体育馆坍塌11人死亡齐齐哈尔34中学体育馆坍塌事故中，11个幸福的家庭顷刻间支离破碎。视频中这位痛失爱女的家长强忍着泪水与在场的相关人员对话，家长以非常严谨清晰的条理质疑当地政府的漠视与不作为…，想起了那句著名的口号：“生命至上，人民至上”！
1700590007# #国足0比3不敌韩国在中国球迷看台穿韩国球衣挑衅的男子终于挨揍了，真的是大快人心！酷
1697810872# #这一看学历就挺高啊，至少有两层楼那么高！酷
1697123663# #愤怒的巴勒斯坦人从被炸毁的梅卡瓦坦克里拖出了被熏死的以色列士兵。。。以色列空袭叙利亚两座机场
1697633040# #从这段车载监控捕捉的事发经过看，是蓝色宝马强行并线被出租车撞翻碰到桥墩，接着起火。衰
1700582247# #老师：哪个小兔崽子把木棍换了！允悲
1698354790# #这是10月1日发生在盐源县一游泳馆内1名儿童溺水身亡事件完整版视频！仔细看完真的是气不打一处来，男子的这种行为那是什么“见死不救”，简直是恶意谋害！整个过程中，从小孩开始挣扎，这个男子就一直在站在边上看着，让人误以为他是家长或者同伴在练习憋气。这种故意干扰，阻挡别人视线的行为，会导致
1697899243# #好大的风。。
1689343468# #怕你看得到，又怕你看不到！doge
1693488986# #男人至死是少年！笑cry
1694933736# #这么大的鞋子，看着确实惹安检怀疑汗
1691360180# #现在的年轻人啊…，公共场合还是要克制一点挖鼻
1688292948# #妹子看完《消失的她》散场后在电影院对大爷发出灵魂拷问：“爱情是什么”？，大爷单刀直入直面灵魂深处！酷
1690128060# #这是“老王”被堵，还是跑酷失手汗
1692263443# #大哥骑车到路口停车等红路灯，这女的从后面撞上大哥，大哥让你到路边处理，女的不承认撞到大哥想跑，大哥拉着这女的不让其逃跑…
1700061392# #大学生军训现场居然还有文艺演出！酷
1695826650# #这败家娘们一天天净整些没用的…，看把后面的丈母娘气的！doge
1692974042# #香港阿sir执法现场，嫌疑人负隅顽抗和两名警察扭打在一起…。这要是在美国，警察用不着这么克制，早就直接击毙了吧？摊手
1703438206# #小孩不懂事大人也不懂事吗？最讨厌监护人已孩子小替小孩开脱的人…！摊手
1689449877# #两车因行驶途中发生纠纷，于是在堵车时，光头男子走到前车奔驰车窗外辱骂男子，随即用手推了男子头部一下，后走到奔驰车尾部，与奔驰车上女子争执，随后又动手推搡女子，女子还手，但是基本被光头男子用手挡开，在冲突过程中光头男子一拳打在女子脸上将其打倒，男子试图护住女子也被白衣男子拳殴…。
1691905324# #男子要求退货与商家发生争执…，各让一步海阔天空，何必呢？
1693128457# #“自由美利坚”，棒球棍锤的脑瓜子梆梆响，疼不疼啊？？？？
1700162079# #扫黄现场，都好年轻…！挖鼻
1696860869# #这位日本妹子一脸不情愿的样子，这位日本小哥哥你就不能矜持一点嘛。。。
1694890905# #新娘漂亮有气质还落落大方…，得此娇妻还复何求！心
1689351218# #跟牌照很搭允悲
1698667061# #会计专业的学生，上课就是数钞票允悲
1703182983# #“小妹说扫黄的”，小妹知道的真多！doge
1695576506# #上海某小区，女司机直接把车停在马路中间阻碍通行！车上没留电话，喊了20多分钟才下来挪车，虽然道歉，仍遭到小区业主辱骂…
1693828360# #男孩子在外面要保护好自己啊二哈
1687025505# #这份工作对我们来说，非常具有挑战性！嗯、这就叫专业！酷
1688849742# #玩的就是一个“心跳”！doge
1698418830# #大学生操场表白现场，女学生被亲的站都站不稳了。网友：这幸好在学校要不还不摩擦起火了！doge
1698506705# #白色的就是要让你湿透…摊手
1701513584# #城管趁机扔几个水果到车上是几个意思嘛？难道是留着自己吃！摊手
1693743474# #太厉害了，这艘货船居然直接开到了岸上！酷
1691074969# #暴雨洪涝后饮食安全指南河北涿州一被救援小女孩想要救援人员救落水的小猫，没完全说出口就被其妈妈捂住了嘴…，家长懂得危急关头，救更多人才是最重要的鼓掌
1694514776# #李佳琦之怒直播带货行业李佳琦曾在直播间对着杨幂开黄腔遮，还直接询问对方“所以开黄腔可以吗”？这操作也太下头了生病
1692884104# #还是左边这对男女配合好哈哈
1693665798# #机场候机大厅，女子与黑人男友依依惜别。网友：喜欢就和他一起回非洲！doge
1701272324# #江苏网友：晚上八点的动车，有位大学生还在认真上课。乘务员多次提醒她影响到周围乘客，她崩溃喊到“烦死了，我要上三个小时的课我都烦死了”。于是其他乘客们都很体谅她，全车人一声不吭陪她一起听课，疲劳的人听着听着睡着了。大家就这样一起听了一路。。很好666
1702833082# #上海南京东路和平大厦路口交汇处，一女子用语言骚扰站岗哨兵，让武警哨兵去好好赚钱。哨兵告知其正在站岗，不要影响其执行公务，女子怒对哨兵：“允许你说话了嘛”。这位小仙女不懂“哨兵神圣不可侵犯”吗？摊手
1696869961# #摩托车男子因为驾驶纷争对小车司机竖中指，小车司机直接拿着棒球棍下车与摩托车男子对峙…，摩托车男子秒怂！笑cry
1702269051# #老人家过马路一定要注意安全啊，不要拿自己的生命开玩笑…！摊手
1688913628# #上海迪士尼，小女孩孩因为气温太高直接热到晕倒…。真是应了那句，要么钱遭罪，要么人遭罪！汗
1691504451# #新郎新郎都挺富态，挺有夫妻相。祝福鼓掌
1689259651# #爸爸教女儿打水漂，结果万万没想到…。网友：这小棉袄有点硬啊！允悲
1702366435# #男子发现商家少称了7两鸡肉，据理力争上门找商贩理论。网友：缺的不是斤，缺的是德！摊手
1688830497# #吉林一女子前夫去世后，不久就带两个娃嫁给小叔子，如今怀孕，小叔子高兴得哭了…。嫂子嫂子，哥哥死了，就归老子？汗
1692180801# #江苏某车间，管理人员与员工打架…
1687622378# #韩国警察打击违法老外干脆果断不手软…，这点还是值得我们学习的！doge
1694717318# #普通人当然看不懂，“冥眼”人一看就能发现周边全是观众酷
1688306038# #帮助醉酒的妹子，短袖黑衣男子这个催吐的方式对吗？挖鼻
1697573556# #成都大狗咬伤女童所在小区业主发声成都罗威纳犬咬伤女童完整版视频看着真的触目惊心，还好保洁阿姨找来扫把，最终将狗赶跑，不然小女孩就凶多吉少了。建议给这位保洁阿姨授予：“全国见义勇为模范”称号！🙏
1690472397# #路人遇到一位素不相识的女子突然发病，男子毫不犹豫上前施救，手都被咬破，等到女子平静，救护车到来才离开。网友：他拿帽子遮挡的动作很细节…
1699886939# #以色列一名穆斯林妇女因为在社交媒体发表支持巴勒斯坦言论，被以色列女警逮捕！挖鼻
1687188926# #一对情侣在地铁上搂抱一下，被一大妈阻止，并指责情侣“你搂着她我恶心”！男生回击称“你恶心你吐啊”，大妈真的就往车厢吐唾沫！生病说实话大妈这做派“我恶心”！拜拜
1698092612# #国外女子亲自示范如何与街边的流浪狗互动，不料突然被流浪狗攻击…。衰爱狗人士们看到了吧，国外爱狗人士用血的教训证明了流浪狗对社会的危害！摊手
1691839351# #这种情况黑衣男子应该第一时间躺在地上报警…。现在打输了，还有可能被定性为互殴！思考
1693564840# #大儿子车祸去世，婆婆撮合大儿媳跟小叔子重新组建家庭。这样两孩子不用改姓，爷爷奶奶也没有变，儿媳也很满意，下跪感谢婆婆恩情。网友:有大智慧的婆婆！
1703156317# #据说这是许家印原恒大总部办公室，空间超大，座椅书柜都是用金丝楠木打造…。许家印是真会享受啊！doge
1697052871# #老同学聚会，拆散一对算一对doge
1691677644# #无知的家长完全没有意识到问题的严重性！要不是旁边的大爷仗义相救，小孩可能没了摊手
1697410404# #视频拍摄者早已预判一切…！里面挂了件衣服，一定很尴尬吧笑cry
1692959950# #女孩江边玩水不幸溺水，路人纷纷伸出援手，一位老大爷给女孩做起了心肺复苏。不料有“键盘侠”认为大爷按压胸部不怀好心…，现在救个人怎么那么难！摊手
1691416805# #社会主义核心价值观在意大利生根发芽哈哈
1693645327# #男子凌晨连发12条视频，举报在某市高新区管委会工作的妻子隔三差五陪领导喝酒喝到大醉，回到家绝耍酒疯拆家……！费解
1690038440# #6万块钱都没有隔着演戏了…
1699005510# #吃“快餐”不付饭钱！还有王法吗？还有法律吗？
1687239834# #隧道里小车逆行超车，撞上摩托车，摩托车骑手重伤倒地，小车司机走到骑手身边居然想把他拉起来…，这操作是嫌他伤得还不够重吗！摊手
1702221691# #大家说说这哥们的理发水平怎么样doge
1699713611# #好一群助人为乐的男人…！doge
1698243602# #下次不要爬学校铁栏啦。衰人生没有捷径可以走！doge
1697302106# #这是学校的保安？认真的吗？这是对劫匪极大的侮辱与不尊重吧！汗
1700756912# #你永远无法理解这些河南乡亲对于农作物有多痴迷！吃瓜
1694800125# #保洁阿姨擦地铁扶手，小伙提醒被秒怼。原来小丑竟是我自己！酷
1693464108# #妹子被大娘一个响屁崩懵圈了！允悲
1690141300# #大运河工作人员一跃而下勇救落水孕妇，必须为救人大爷点赞，你们是最棒的👏🏻
1694620411# #好粘人的狗子doge
1696138923# #高手在民间！大叔用手写的墙体字如同印刷一般工整啊。。。酷作揖
1688393020# #香港一女子欲跳楼，途中嫌雨太大向警察要了件雨衣，披在身上后准备继续跳楼。允悲网友：她过来拿雨衣的时候为什么不拉住他的手？挖鼻
1688033987# #大叔这反应，总觉得不是第一次经历…！酷
1702303545# #这次没有让大家失望…！doge
1701790619# #大爷，别上手啊，月末了养老金不够了吧，下个月再说！doge
1694272436# #咸阳某充电站男女抢充电枪，女子突然倒地。男子顿感不妙，也跟着躺倒了…！笑cry
1699018226# #当二狗子惹了街溜子…笑cry
1690147344# #齐齐哈尔三十四中坍塌现场救出11人很多被埋球员被救了出来及时送往医院，大家悬着的一颗心可以放一放了鼓掌齐齐哈尔坍塌事故发现被埋女排教练
1694095294# #三亚“海天盛筵”事件，外围女开蚌3天入账60万。网友:走着上船扶墙下船！
1688680415# #干仗的时候才知道没有一斤肉是白长的！笑cry
1689762612# #据网友爆料，此男子经常在重庆地铁倒地装病，。谁扶他他就问谁要钱，骗了不少大学生，之前还因为他倒地装病让地铁停运半小时。他完全就是个演员，没人理他时候，他还会抬头观察…。这种泼皮无赖真就没办法治他吗！摊手
1690745983# #电梯里的大爷属实有点惨，这种如何定责？
1692823200# #这位伴娘接到新娘抛的手捧花，不知道谁会成为幸福的新郎！害羞
1689693616# #这位女演员是谁？穿衣好大胆，让大导演王晶都不自在了！doge
1700320326# #国内的钱是怎么流到美国的？汗
1692359627# #没人提醒妹子裤子掉了吗？？？
1702656174# #成都某酒吧两对情侣酒喝多了，其中一人的女朋友和保安发生冲突，最后情侣中的两男子被保安按倒在地控制…。真的是女人惹事，男人背锅！汗
1701964471# #其实这还有个位置，为什么要夹着钢管呢！doge
1699358617# #座竹筏不能穿裙子啊！允悲
1689968391# #还好有监控，不然跳进黄河也洗不清…
1687385025# #上班和下班是不是正好相反！酷
1703084574# #河南某地一女子被身后小偷盯上，三秒将其手机偷走。现在还有敢光天化日盗窃的，也太猖狂，必须曝光！怒
1690372934# #一言不合就下此毒手…
1692541665# #忙人按摩就可以随心所欲…？
1700260390# #现在市场行情不好，一线女明星都没戏拍只能接县城商演，10分钟出场费仅20万。
1687255942# #婚礼现场闹洞房，众人起哄让公公从儿媳嘴里刁香烟…，这是那个地方风俗，真的是让人大跌眼镜！生病
1693238581# #一女子海边不慎溺水，小伙子仗义出手救人，女子最终转危为安。但也有网友质疑救人男子人工呼吸是在借机揩油，占女子便宜。对此，大家怎么看？
1699132455# #外卖小哥救昏迷女子…，细节很绅士！赞
1693330963# #揭幕“伴游”陪玩乱象！女生背着男朋友也要山来玩，尺度之大三观尽毁…
1692646802# #开学前夕家长们来教室搞卫生doge
1698231956# #这样拍照太危险，一个大浪就会被卷下去。衰这四个人完全是一副英勇献祭的节奏！摊手
1699368516# #广东广州，黑人男子被地上的废品绊了脚，揪着环卫工的衣领不依不饶，网友：谁给他的勇气在我们的地盘上撒野？怒
1700562532# #春暖花开的季节，也要小心高倍摄像头哦！酷
1698132556# #去售楼部看房，房没看上，人看上了！害羞
1697394780# #这应该就是嫁娶给爱情的夫妻，他们生活过得并不富裕但感情充沛！doge
1689198675# #人生就像一场旅行，不必在乎目的地，在乎的是沿途的风景，以及看风景的心情！doge
1687682546# #乡村换衣魔术表演，这水平可以上春晚了吧！酷
1695662209# #一次，企业家曹德旺在接受采访时表露：“不瞒您说，现在抛开企业资产不计，我个人账户里有大约200亿。这些钱我是花不完的，也带不走。。。前几年我在福清投资100个亿，建了福耀科技大学，我想把它变成最有钱的大学。&nbsp;现在我有个打算，这200亿准备全部捐给福耀大学，设立曹德旺奖学金，去培、养激励创新型
1696509209# #老头经验丰富，年轻时候没少干架！酷
1688971348# #宣传部回应男子幼儿园行凶致6死1伤这段监控视频里，有一名非常勇敢女子发现暴徒拿刀走向校内后，用手拉扯阻止其进入，被暴徒挣脱后迅速拿起了防爆叉走向嫌疑人…，画面到这戛然而止，后面应该遇害了，视频提供者不忍心放后面的画面！泪
1696460982# #刷到叠叠熊猫请不要无视点赞你的运势三倍上升！🐼
1694069649# #光刻机如何制造出芯片！看完整个过程你就知道华为能造出纯国产技术的麒麟9000s芯片是多么的伟大！酷华为天通卫星
1695401828# #这是什么古怪操作费解
1702401906# #饿了么外卖员逆行，还对男孩态度如此恶劣…。支持男孩据理力争维护自己的权益！怒
1692978761# #一对小夫妻原本还在优雅的跳舞，不料下一秒2人没忍住…，果然跳交谊舞容易出事！挖鼻
1696522178# #视察工作的总司令威风凛凛。。。
1693404539# #几个男童在水上乐园无缘无故脚踹女大学生，随后还朝其泼水嬉笑竖中指…。网友：有娘生无娘教！摊手
1698662489# #女孩子千万不要一个人在外面喝酒啊！汗
1690878333# #酒后行为艺术…
1692104652# #姐姐真是深藏不漏呀酷
1700150629# #据说明学昌是“后脑”中弹自杀，尸体被果敢拉到国门移交给中方！挖鼻缅北电诈集团首犯明学昌畏罪自杀
1699279410# #小金出访新加坡要乘坐中国国航飞机！doge
1688713510# #印度某地，一高种姓男子直接往低种姓男子身上撒尿…。在印度毕竟只有一亿高种姓人被归为人口，其他低种姓都是…！摊手
1690888128# #四川女人是真的彪悍，走过来就是一个大嘴巴子把老哥抽得满地打滚…
1699108548# #80后最强气扬，名不虚传！
1688985975# #千户苗寨火灾致2死6伤这种木宅过火速度非常快，这地方么密集地盖一大片，一处着火不就等于“火烧连营”了吗？衰
1700063875# #共享单车在骑行过程中突然落锁，男子被摔了个“狗吃屎”！这要是没个说法谁还敢骑共享单车，给我都留下阴影了，对我这种骑车很快的人真的太危险。泪
1694037986# #把人家老婆搞了，竟然对着人家老公说“和你有什么关系！”
1701931217# #美国“零元购”升级版，直接在超市里吃喝玩乐！酷
1699908132# #因为技师没有来，老哥幸运躲过一劫！允悲
1696968256# #没点身材都不刚参加校庆活动。。。
1686927556# #两人这是精神失常了吗，站都站不稳了？汗
1692022538# #大哥完全不顾自己安危，毫不犹豫跳下水救起落水小女孩。但是也有网友认为大哥救人动作触碰隐私部位，借机占小女孩便宜…，我只能说心脏的人看什么都脏！摊手
1699347119# #某白酒车间采用传统工艺少女踩曲，涨见识了doge
1698352948# #愿意和她在一个厂打螺丝！doge
1689287332# #辽宁海城发生重大刑事案件可以理解被骗婚渣女伤透了心，但是小孩是无辜的啊！对小孩下毒手人，无论是道德还是法律都不会饶恕！自首也于事无补，等待你的必须定是法律最严厉的制裁！怒
1702294014# #理发小伙给女孩洗头时鼻血流一地，引来同事嘲笑…。网友:鼻血都掉人家头发上了！笑cry
1692280522# #有窃听器？女子无意间发现二十年前买的水杯，底部暗藏机关…
1696887692# #灵！刷到灵隐寺，不要忽视！许愿很灵~🙏
1698332888# #这威力也太大了吧，煤气罐被炸出200米高。。。
1703503419# #圣诞节圣诞老人是美国发源的圣诞节的节日人物，某地做出来这个圣诞老人模型从屁股拉出来爆米花，然后让中国人吃，你们还争先恐后的去抢着吃！很明显的是举办方的恶意行为！可以去查查翻阅资料看看圣诞节，平安夜和狂欢夜又代表着什么！看到这一幕真心的觉得恶心！愚昧！真是丢国人的脸，丢国家的脸
1689420386# #长沙橘子洲景区，众多游客无视景区小喇叭“不要翻越栏杆踩踏草坪”的提醒，肆无忌惮的翻越护栏，踩踏草坪。伟人面前丢人现眼！摊手
1690707462# #超市里一穿黑白体恤的男孩快速奔跑时把比他小的孩子撞到后，在旁边观看也不去扶，随后闯祸男孩父亲过来后立马带着孩子溜了…
1693210158# #侄媳妇和姑父家里偷情被姑妈现场抓包！这个姑妈从小把侄儿拉扯长大，侄媳妇居然和老公搞在一起，这种双重打击对一个女人来说太惨拉！摊手
1699883135# #大哥晚上有场硬仗啊。。。
1691604352# #当伴娘就应该知道会互动环节啊，怎么还这样穿？尴尬了吧汗
1694964560# #理发店哄骗未成年女孩免费剪发，剪发时为了剪下长头发卖钱恨不得一根不剩的挨着头皮剪……。怒小女孩哭的全身发抖，黑心商家为了赚钱把头发都剪没了，不过小女孩好勇敢，点赞！👍🏻
1698049094# #要是这个猫咬人的话，会不会全国的猫都要被打S！摊手
1694943659# #还得是你大爷啊，人老心不老…！
1689325215# #“爱丁堡”的女精神病人都是骂中国人，赞扬日本侵略者的吗？把赞扬日本侵略者的女子无罪释放，把制止为日本法西斯开脱行为的爱国青年关进监狱，日本人看了估计要笑醒！摊手制伏上海地铁辱华女当事人质疑警方通告
1701872630# #现实中很多人就像这只猴子一样，明明自己已经是别人嘴里的一块肉了，但是不妨碍他们岁月静好！doge
1694274328# #什么是疯马秀艳星“蒂塔·万提斯”DitaVonTeese“疯马秀”舞台演出💃
1689436365# #什么情况？大马路上一男子被女朋友骑在身上打耳光…！汗
1689461781# #重庆地铁一女孩疑似偷拍男子被其母亲指责，双方在争吵中这位母亲用随身携带的塑料水壶把女孩的头砸的头破血流…！随后女孩辩解称：你儿子长得很帅吗，我拍你儿子做什么？并指向行车线路图表示是在拍这里。最后女孩报了警，双方一起等待警察过来处理，是不是偷拍就看调查结果了！汗
1697120445# #离谱到家了！高铁上一女子吃瓜子直接把壳吐在地下…，真把车厢当自己家啦！摊手
1695057159# #妹子喝醉酒太危险了，被陌生男子借机性骚扰…！摊手
1697296777# #这个味很上头吧。。。
1692027161# #宁愿在“宝马”车上哭…！摊手
1697669417# #富有且慷慨的女孩子，怎么能不招人喜欢呢！doge
1692785076# #浙江金华街头，原配揪住第三者头发、猛扇其耳光、扒其上衣，并骂到：“胸大了不起？”。最后警察赶到将两人带走调查！
