1698581552# #会好好照顾你们两个的。
1687524650# #今天买东西结账时在AB间犹豫不决，年轻的男性店员主动给了意见，我没听清所以问他：以你直男的审美认为A比B好是吗？他说：不是。我说：是不是直男还是不是A比B好？他说：不是直男。哈哈哈哈太可爱了！
1692799467# #虽然四大自私，但是家里人对他都很好，他身体原因需要控糖，吃不了盒饭，我妈每顿给他做玉米面饼子，吃饭的时候他只要坐在桌前点菜说：小饼、咸菜，啥啥的。东西就会来到他面前。我奶家是十里八村有名的人丁兴旺兄弟团结的家庭，这个团结是怎么来的，就是这么来的。兄弟、妯娌、叔侄之间，深一句浅一句
1703595099# #《古惑仔》识得她。
1690643529# #今晚《信仰》的呼声很高，想了想，非要有信仰的话，可能就是消费警察了吧。
1692692678# #四大比较自私，小时候搬家把白面馒头吃了去山上睡觉，老了给我奶养老费要延迟一年，怕给早了我奶走了。现在我奶真走了，因为大大二大三大都不在了，只能他当孝子，比其它兄弟多了很多体力劳动。不得不孝。
1694355064# #转发微博
1693583302# #现在银行特别是大银行跟十年前不一样。十年前讲市场，讲业绩拼专业。现在讲普惠，成本高风险大，可还得干；正常收费被强制减让。如果不保持一定的净息差，银行不仅没钱核销坏账，还可能危及资本安全
1693667959# #我喜欢吃的好几种菜，归根结底是因为我喜欢吃大蒜。我喜欢的好几样东西，归根结底是因为我喜欢你。
1694524515# #转发微博
1690645956# #转发微博
1701094364# #太好了，今天刚收了一条满意的围巾。
1694276017# #sun影202326。诺兰是个好同志。
1697977933# #精挑细选一个泼油的小锅，万万没想到问题出在锅柄太重以至于平放时会倾斜。明天的东西都收拾好了，我到底还是有点焦虑了。
1694867087# #今天才知道某位长辈45岁就羊痿了，于是一切都明朗了，他为什么数十年在家里兴风作浪一意孤行甚至间接导致我奶过世，不过是一个失去尊严的男人向老婆递交的投名状。他换得一点点小家家庭地位，大家却失去太多。
1702089217# #出门了，小袄太好穿了！
1690643355# #张信哲未来式2.0巡回演唱会HOT190922后时隔四年的第一场演唱会。上座率是我没想到的高，满场！喜欢的艺人数十年来没有塌房，并保持着优秀的专业水准，真是幸事一桩。演唱会制作精良，比15年那场好，造型都很好看。唱了最喜欢的《雨后》，旁边的男生说张信哲自己的歌都唱不过来，其实演唱会没必要唱
1699355322# #有的人去东京看扣普类了，有的人在家卧床，好气。
1698103957# #转发微博
1704031927# #转发微博
1686970373# #气。苦涩
1703818930# #转发微博
1692538423# #有点奇妙的四个月，在很多的乐趣和探索中，意外的收获是我在极短的时间里认识了很多与我年龄相仿的单身的女生，而且大家都那么恣意而坦然。
1698479215# #梦见消费警察了。
1695789763# #转发微博
1697450238# #水貂昨晚胃痉挛睡不着，第一次看了很久淘宝直播，于是弄懂了貂皮的分类和分级、主要市场、短一和短二的鉴别方式、公貂和母貂的区别、XP越高珍珠色越白等，还知道了今年紫金没出蓝宝石，所以现在市场上蓝宝石全是SAGA的。不过没弄明白咖啡本色为什么那么便宜，和保暖性是否正相关，明天再看看。无用
1702736987# #我小时候挺勇的。
1692463596# #《封神第一部》很好，此沙也很好。但是把此沙和金城武相提并论就没什么必要，并不是代言了同一个品牌皮相就在一个高度。
1691448256# #哈哈哈哈马上到退休年龄了
1702301399# #转发
1688279822# #巡演能不能有内地。
1694347427# #转发微博
1694008472# #朴素的同理心，总结精准。
1704032299# #是不是在北大湖，这个雪服好看。
1688262538# #sun影202321。以后陈思诚的电影要避开。
1697206841# #我老板处理矛盾一般各打五十大板而且一定要让我先自我批评，我理解他，换我是他可能也会这么做。。可是支持我面对委屈还能保持情绪稳定的，并不是向内归因，而是我刚回来的时候还迷迷瞪瞪的，有天有件事我自己还没反应过来，有人直接问“她欺负你了？”以及以后我收到了来自不同人明里暗里点点滴滴的支
1693521245# #转发微博
1687400008# #太贱了，拿女明星玩仙人跳。
1690902302# #好好笑，我今打车几次取消第三次才打到这个师傅的车，他特别爽快，车开得也飞快，这种情况下他还能一眼看出经过的拖车上拉的是什么车，于是就聊起了买车，他行云流水言简意赅把主流车型讲了个遍，我问他什么车型都对答如流。我想哦原来今晚打车这么波折是有这个安排。说了一路他最后终极推荐油动车型就
1695533301# #真实打投。
1696423118# #于适yosh超话所以于适的动作有养生的功效是吗？
1688919327# #转发微博
1693054748# #转发微博
1691639528# #转发微博
1698666231# #我在首尔有个好去处，但是昨晚我对它产生了怀疑。。这个地方是一个陡坡，林荫道，两侧有小店，到头是一家咖啡店，我去买过喝的。。半坡有一条岔路，走过去是一家机关，绕过去后豁然开朗，能俯瞰城市景观，又有一家百货店，很好逛。。因为太好逛了所以我很用力地记住了这个地方，后来又从别的路到过那个百
1701404956# #早上在某单位等人，休息室对面坐了位大哥，我是先注意到了他的鞋，是双孟克，我喜欢的简洁鞋款，很少见男生穿。于是往上看，牛仔直筒裤站起来刚好到脚面，咖啡色中长皮衣，一身很得体，我不禁在心里赞了一声可以啊。过了会儿保安主管过来与他交谈，原来他是来应聘的，但是他俩好像一直在各讲各的。保安
1696773617# #转发微博
1701181463# #这套好看。
1688256603# #转发微博
1700363179# #转发微博
1692586816# #转发微博
1688603749# #是的真抑郁过的人只想装正常人
1690727095# #车里放了一箱水怎么都喝不完，外地朋友来借车还带着孩子我想这下可太好了。没想到他还车的时候又给我买了一箱。又给我买了一箱……。本来我都喝到三分之二现在换回来一箱整的。等我打开车门发现后座还有一箱。……。“加油站买一送一。”朋友说。行吧。
1693643350# #院长自己开了新的诊所，很大很舒适，牙科的技术也进步了很多。他现在专做种植了，这次的治疗是李主任做的，专业又高效，一直特别专注，说在抢时间，因为麻药对我太容易过劲儿了，就这样我还躺了四个小时，看牙真的太痛苦了。要命的是这还只是第一步。
1704026999# #今日份天地日月之精华北东南西，和好朋友临时起意的四塔打卡，和CGTN没说的新年愿望，有说给北塔的雪花。
1695685147# #于适《精彩OK》B版明信片拍得一张也不喜欢，还是《大众电影》有品味点。
1703403893# #好喜欢trillium可以藏手的设计啊。
1691126999# #我本人，还有卡哇塔
1702361461# #在眼科检查视野，查完之后大大夫说“幸好没瞎……”我一哆嗦，怎么难道已经到这种地步了吗？！然后大夫把话说完“……按”，哦，是说我按键没瞎按。
1700496711# #转发微博
1692710019# #我奶是小脚老太太，年轻时很吃了一些苦。娘家五个孩子她是老大拉扯四个弟弟。出嫁爷家穷抽签轮空又没抽上房子，操持九个孩子各种牲口不停劳作，吃饭的时候不上桌，家里壮劳力都吃完了她捡鱼刺再吃一遍。我爷走了快三十年了，家里早早也给她备下了土货，她不时拿出来检视，因为时间太长了中间有人给添了
1698837930# #只能躺着不能趴着，很担心自己后脑勺更扁了失望。
1695970132# #我妈这些年一直让我和我舅家表弟还有我小姨多往来，说以后是个照应，我左耳进右耳出。怎么难道我妈我爸给我姥家当电池，我还得继续当？我上大学十一放假回家带了袜子回去洗，被说了一个礼拜，我小姨三十多岁睡裤破了特别自然地让我妈拿回家给她缝。小时候去我姥家那些破事就不提了，我妈最高兴的事之一
1695075188# #有什么区别，都是性暗示。
1698108830# #术前准备真是恐怖。
1687342411# #应援场是很特别的体验，好像微型演唱会。美好的女生过如江鲫，还有人能COS初中的三井我的妈。我就只是尖叫，默念台词，我旁边的女生深津一出来就喊“主人”，后面有人樱木一出来就喊“宝宝”，嗓子都劈了。虽然大家喊得声嘶力竭，但没人乱聊天，三井投出女神球的时候，全场马上安静，气声听得清清楚楚
1692522277# #目前为止最喜欢的于适的造型，挽了个髻。
1687146140# #我倒不觉得他本人一再强调的「有这种耳洞和纹身」、做的是一份不易为普通人理解的艺术/公益工作就不能被接受为靠谱的可以信赖的人，是这种自说自话、沉浸在自己世界里、以自己的意志为中心的态度才是关键
1697885263# #确实
1698674486# #首尔
1696509080# #sun影202328，评分不高，但我觉得很好。
1692800229# #因为奶是喜丧，我回家也没哭，今天清早叔叔大爷吃饭我自己守了一会儿灵，后来抬棺的人来了，开始给棺材绑绳子，我一下子受到严重冲击，不能自已。。。中午吃饭的时候，我侄和我嫂子单独说了会儿小话，侄媳妇怀孕了，嫂子在妇幼保健站工作，侄子和她讨论孕期的问题，自己还稚气未脱呢，特别可爱。。。奶，你
1696731987# #因为新买了个杯子所以喝水量激增。
1688569548# #是
1692664238# #停车场长满了草还有大片积水，我弟一边找车位一边说：这个停车场还挺生态的哈。很稳。
1694223154# #转发微博
1700927313# #上次出车险好像是八年前，今晚确实有点惊到。中银车险一直非常给力，今晚本来可以不来的，结果不仅迅速来了，还给我撑腰，直接和对方司机说“你全责”，救援也给安排（虽然我没用），又简单交待了注意事项，一句废话也没有。
1688476188# #上周末把碟子打破了一只很懊恼，因为我特别不喜欢餐具不成对，今天新餐具到了，出人意料地合心意。昨晚梦见消费警察了，继续加油吧。
1688830575# #我只是常怀悲悯之心，不是真傻。
1695548319# #转发微博
1700837933# #转发微博
1687684280# #干得漂亮。
1692788846# #农村的丧葬流程环节很多，即使现在简化了，也挺繁琐，我第一次经历大部分流程，深感这些流程都是有用的，而且更大的意义不是封建迷信，而是对活着的人的情绪释放和慰藉。。。首先是孝衫，孝衫制作很简单，只需要白色和红色棉布撕开并进行简单缝合，缀以红布包的麻绳。孝衫、孝帽有不同款式，从款式上很容
1693731865# #闻到了久违的海味儿，弟1弟2一直在讨论怎么样能住到这附近以及不远处的岛能不能买。我想的就简单多了，我主要关心退大潮了这里能不能扒到蚬子。
1694183485# #一堆人喊着Lisa要完了也是离谱。
1692667685# #第一幕冰天雪地攻城是致敬《权力的游戏》北境长城吧，投石车是《指环王》？配乐也是请的外国人，饕餮追姬发、姬发见哥哥和姬发回家几场戏，配乐虽然有气势，但有点制式了，尤其姬发和哥哥见马那里，国乐有更轻巧的表现喜悦的形式吧。
1700665877# #笑死
1702615514# #我觉得那个短袖挺好看。
1692676113# #发明孝帽的人一定考虑到了防晒功能。
1696859037# #我小时候吃得挺好。
1694008753# #昨天去检查身体，抽了两次血，一次是从小臂，一次是从上臂，都不是传统的肘关节内侧，护士直接放弃。第一次遇到这种情况，我血管也不算难找，感觉扎带扎得也不紧。现在都摆烂连基本功也不练了吗？
1692707751# #我问我妈为什么要睡这么早我妈说明天三点就要起床
1697587013# #水貂昨晚的收获：咖啡色的貂皮和其它颜色的品质是一样的，只是因为咖啡色貂成活率高产量大，占了拍卖会的50%，所以价格低。蓝宝石成活率低且多为公貂，所以很少做工艺款。深到接近黑的咖啡色叫马哈根，价格会比咖啡色高一点。横排做法用的是脊子靠坎工艺。全抽工艺中间可以加皮板以让纹路更加清晰。
1688358015# #好会！
1701872612# #雨同志是我认知里身材最好的男明星，身高186，脸那么小一张，全天然，从小帅到大，骨架修长纤细肌肉足又不会块头大。经历励志，性格看上去也不错，娶了金女士又上大分。我最喜欢他的一首歌可能算冷门吧，是《IDO》。
1692363389# #转发微博
1697202848# #我小时候吃得好。
1697203765# #转发微博
1689506782# #这两天大连的天气像秋天。傍晚总算得了点闲，可能因为太久没有天亮的时候回家，快出隧道的时候感觉隧道口外的风景好陌生。太爱大蒜了，做了一罐油浸蒜末一罐酱油蒜泥，蒜末颗粒大一点，经炒，蒜泥用臼子捣的，风味比较足。又做了三文鱼炊饭，好吃超预期，感觉蘑菇下次可以不放。宅家真快乐。
1702897929# #原来你俩都是白羊座
1695339567# #转发微博
1691101964# #全妹好可爱！
1690647674# #Lisa
1692727207# #其实一点半就被吵醒了
1691814032# #小时候特别喜欢她
1701605342# #今天和朋友约在“鱼谦”烤鱼吃饭，打车司机说到了，我问哪儿呢。他说那不那儿么，郭德纲。
1695521659# #和我妈推荐了楼下干洗裁缝店，某天她喜滋滋和我说她今天去了办成了一二三样事很满意。我说你说你是我妈了。她说没有。我说那你怎么结的账。她说我说我要用某某的卡。。行，你确实没说。
1687353415# #转发微博
1694443836# #很多评论的出发点预设：暴露身材是被男凝的，“没有人愿意主动暴露身体曲线给别人看”。但是很多人的基底认知未必如此，也可能是“展露身材不是被男凝的，是我单纯觉得美”。眼里压根没有男的，也是一种打破男凝。质问我为什么不提舞者的感受？因为从采访来看她们简直太自豪了，根本不
1694823295# #转发微博
1696125690# #山西还没去过
1687630986# #转发微博
1695911062# #转发微博
1701840961# #还没看过비的演唱会。
1692437879# #评论笑死
1692677806# #排队切豆腐，说孙子切孙女不切，表哥笑我，等轮到他了，说外甥也不切。哈哈哈哈。
1703162471# #最后拿出的东西我是万万没想到的
1690643120# #我答应你。张信哲未来式2.0巡回演唱会
1703385005# #转发微博
1698059805# #旁边床的姐姐一直和我说她好闷哦没的电视看，一直在外面溜达。我有工作要处理是一方面，另一方面我自己确实能呆得住，完全没有她的困扰。姐姐把旁边屋也混熟了，知道了每个人的手术时间主刀大夫和手术种类。虽然我不知道这种信息有什么用，但是也挺好的。
1704074161# #消费警察新年快乐。
1688784594# #转发微博
1700306932# #在家找到一件羊毛衫，可能接近五十年了，还是今年流行色，好像是我姥爷斥巨资30元在上海买的，当时一个月工资十几块。穿起。
1692688691# #吊唁期间哭得最伤心的是我舅爷，九十多岁哭一百多岁，埋怨家人没让他见姐姐最后一面，舅爷发言中气十足，我感觉他也能活一百岁。
1704035734# #转发微博
1693111860# #没错了，由于拍摄时间太长哪扎不断长大中间换了三个演员。
1699799387# #饭
1700837902# #转发微博
