1702177068# #外籍旅客优先登机致一女子滞留机场蜡烛蜡烛蜡烛阿弥陀佛！
1695633493# #5种网暴情形从重处罚🙏🙏🙏阿弥陀佛！
1700913488# #女子将第三者不雅视频发送多人被起诉蜡烛蜡烛蜡烛阿弥陀佛！
1695866753# #大同未成年欺凌事件同校家长发声🙏🙏🙏阿弥陀佛！
1699526084# #悬赏找打人者事件3人已被抓抓到了，如何处理？
1693536055# #女子剖宫产手术纱布遗漏体内14年🙏🙏🙏阿弥陀佛！
1691455091# #红十字会慰问花4千餐住费花2.7万🙏🙏🙏阿弥陀佛！
1697083432# #武大回应学生举报图书馆遭性骚扰已经成立调查组……
1700118705# #山西永聚煤业火灾已致26人遇难🙏🙏🙏阿弥陀佛！遇难人数升至26人。
1701896796# #新娘遭婚闹大姨一把推开扫兴小伙旁观者清。
1696308421# #女子插队被制止举石头怒砸劝阻者敢插队的人不好惹，敢插队的女人更不好惹。
1692909166# #中盐集团回应食盐抢购现象从昨天的食用盐抢购就可以看出为什么骗子越来越多……
1702939832# #警方通报国家公祭日男子身贴日本国旗外省的人也不应该做汉奸。
1691904275# #医药反腐深入被查书记院长升至176位医疗界腐败是怎么来的？因为什么？
1694654567# #高空抛烟头烫伤4个月婴儿全楼测DNA刑罚＋罚款＋被烫伤婴儿的医疗费用＋全楼检测DNA费用。
1693808260# #蒲松龄后人驳斥刀郎侵权言论刀郎侵权蒲松龄的言论是谁先提出来的？？
1695442263# #关系户承包学校食堂比预制菜更可恨蜡烛蜡烛蜡烛阿弥陀佛！
1696884081# #婴儿被独自放车内卡电梯门这孩子长大以后知道这件事情会怎么想？？
1701287509# #西藏阿里已对献血事件进行复查蜡烛蜡烛蜡烛阿弥陀佛……
1698353729# #女子带孩子拍胸片发现是小孩在操作这是家传的手艺，门里出身。
1692862676# #陕西汉中农田里的“城堡”引关注，用地遭质疑！当地称正调查南都生态土地
1692866228# #盐查一下是什么人在借题发挥？？
1701801221# #12月6日早报。1.国家自主研制的C919及ARJ21飞机将首次到访香港。2.教育部：2024届高校毕业生预计1179万，同比增加21万。3.深圳：义务教育阶段学校每天开设1节体育课，明年1月起施行。4.钱塘江搁浅江豚检出身体疾病及口部外伤，当前处于失衡状态。5.江苏无锡推出网约公交车获好评，3元一次，随叫随到。6.
1694437032# #女大学生称军训服透明几乎露出内裤军训服收学生多少钱？这里面是否涉及腐败问题？
1701506778# #女子上访遭信访局长辱骂获赔2万被判敲诈胳膊真的拧不过大腿。
1693103425# #高铁上一女子被母女俩吵醒双方互殴会如何处理？？
1703191593# #12月22日早报。1.神舟十七号航天员乘组圆满完成第一次出舱活动，首位重返空间站的航天员汤洪波再度漫步太空。2.吉林极端低温持续，最低-32℃；山东半岛积雪超过半米，济南最低气温可能跌破历史同期极值。3.黑龙江鸡西市一煤矿发生事故，已致12人遇难、13人受伤。4.胡塞武装进行全面动员以支持加沙，据
1700788417# #北京儿童医院门诊现状蜡烛蜡烛蜡烛阿弥陀佛！出门别忘记戴口罩😷
1700743050# #住户高空扔烟头砸中男童民警硬核执法没有前面的集中DNA检查，这个杨某会主动承认吗？
1695500389# #官方通报小学生遭同学极端欺辱🙏🙏🙏阿弥陀佛！
1694215203# #太原一家长群筹备五千元给老师买礼物也有不收礼物的老师。
1695557939# #准大学生被骗9800元后自杀主犯被判无期这骗子的命够硬，骗出人命了都不会判死刑。
1690234078# #齐市坍塌事故1位遇难者是外校生🙏🙏🙏阿弥陀佛！
1693091205# #民警帮女孩找回写完的暑假作业幸运的孩子。
1697551382# #咬伤女童罗威纳犬打过狂犬疫苗这么大的狗打过疫苗也不能散养。
1701989977# #女子生两女遭婆婆嫌弃丈夫殴打家庭暴力，妇联该出面了。
1694158562# #教育局回应小学教师打伤学生头骨警方通报小学教师打伤学生头骨多部门介入小学教师打伤学生头骨打伤学生头骨事件区教育局被约谈妇联介入调查老师打伤学生头骨公安介入调查老师打碎学生头骨截图分享！
1700811988# #福建医科大学蜡烛蜡烛蜡烛阿弥陀佛！又是人命关天！
1702072584# #女子银行办业务柜员闭目葛优瘫和银行有关的新闻很多……
1689970404# #男子被骗缅北回国后狂扇耳光🙏🙏🙏阿弥陀佛！
1698698448# #10月31日早报。1.菲39号护卫舰非法闯入中国黄岩岛邻近海域，南部战区组织海空兵力，依法跟踪监视、喊话警告、拦阻管制。2.首批2架ARJ21客改货飞机交付给启动客户圆通货航和中原龙浩航空，即将投入航空货运市场。3.A股三大股指震荡收涨，成交额时隔2个月再破万亿元。4.神舟十六号载人飞船顺利撤离空间站
1697604179# #南京警方辟谣醉酒女子当街遭性侵辟谣了。
1702247704# #警方最高悬赏50万通缉电诈头目斩草要除根。
1691698851# #体重280斤店员被殴打拒不还手挨打时还手算互殴🙈🙈🙈🙈🙈
1702330482# #12月12日早报。1.我国中东部首场大范围降雪如约而至，河南进入今冬最冷时段，郑州中小幼临时停课。2.南京建邺区开出专线，公交化上门回收居民旧物。3.四川德阳警方悬赏通缉犯罪嫌疑人李小龙，最高奖5万。4.内蒙古呼伦贝尔市气温断崖式下降，最低气温达零下47.8℃。5.天津警方通报医院厕所发现弃婴，已
1703103970# #12月21日早报。1.甘肃积石山6.2级地震已致134人遇难，救援工作基本结束，共临时避险转移安置87076人。2.唐山一殡仪馆火化炉分高低档，回应称炉体不同、高档豪华点贵550元。3.冻感十足，0℃线将抵达华南北，多地将刷新今冬以来气温新低。4.游客在北海被导游要求每人再交200元否则散团，律师称或涉嫌违法
1703497597# #吉林浮桥案再审黄德义维持原判🙏🙏🙏阿弥陀佛！
1702620952# #林园称年轻人买股票比买房好蜡烛蜡烛蜡烛阿弥陀佛！
1697097033# #送你一条鲶鱼锦鲤附体
1695612739# #工人日报灵魂三问预制菜预制菜的老板一定会推广预制菜，而且是畅通无阻。资本的力量很强大……
1698043488# #河南固始执法人员偷高粱被行拘拍视频的人安全吗？？
1699517489# #中山二院致癌事件三大疑问转发……『中山二院多人患癌5大疑云：回应前后不一、患病原因不明』
1691802775# #医院院长贪腐将成捆的现金提回家医者银心。真是两难，如果查的太严厉……，百姓去哪里看病？
1695221345# #如何看待预制菜屡上热搜上热搜又如何？？
1690277210# #中国独有的公摊面积为什么还不取消公摊面积的受益者都是谁？？？
1694571206# #随县官方回应律师阅卷遭法院羁押：正在跟进相关情况|县法院|司法局|法警网易新闻性侵案律师阅卷遭法院羁押（分享自
1700774474# #11月24日早报。1.第十批25名中国人民志愿军烈士遗骸及335件遗物搭乘运-20专机回国，2架歼-20战机护航。2.全国多地儿科就诊量激增，多家医院调集医护支援。3.一中国留学生因涉巴以冲突涂鸦遭法方发布强制遣返令，中使馆发声。4.45岁颜宁当选中国科学院院士，回应称“帽子”并不能改变你是谁。5.陕西一男
1692908787# #被骗至缅甸中科院博士已被解救🙏🙏🙏阿弥陀佛！这是好消息！
1703307984# #朱令去世蜡烛蜡烛蜡烛阿弥陀佛！
1701955163# #江西2.2亿大奖诞生门店店门紧闭休息中9月13号发证，现在休息中……。
1699418383# #坍塌体育馆开发商是当地建设局退休干部蜡烛蜡烛蜡烛阿弥陀佛！三个孩子……
1692859621# #日本将用700亿日元处理核污染水负面信息处理负面信息……
1693791417# #湖南警方通报女子刺伤牙医后自伤🙏🙏🙏阿弥陀佛！
1695728408# #妻子患癌多次住院丈夫3次诉离婚获准在天愿作比翼鸟，病难临头各自飞。
1696021344# #许家印家族分红套现500亿烂尾楼的预付款被分掉了……
1693262149# #量化私募大佬2.85亿上海买房🙏🙏🙏阿弥陀佛！
1689621380# #恒大集团负债总额2.58万亿🙏🙏🙏阿弥陀佛！
1688938866# #警方通报北京政法职业学院学生纠纷网络分享……『3个霸凌女孩的后续来了，反转的结果早有预谋，校园霸凌治不了？』
1703486562# #男子供养女友及其丈夫一家5年真的有鬼迷心窍？
1697748528# #专家称海滩失踪女童父亲太理想化一个小孩摊上一个这样的父亲……
1696755633# #造价1亿安居房未完工已提取10亿资金如果没有贵人相助，这钱能拿走吗？
1690315111# #六公主评追星乱象应该查一查是什么人在背后操控这些事。
1689844798# #官方回应莱荣高铁事件🙏🙏🙏阿弥陀佛！！
1692081908# #退休干部招募敢死队密谋暴力行动云南某学校退休干部，是不是蘑菇吃多了？？
1702804599# #男班主任酒后查寝猥亵女学生被行拘高三班主任酒后查寝猥亵女生被拘10日工作人员称“这个涉及到老师和学生的隐私，不方便透露。”其还提到，“涉事老师接下来是否还会留校任职，需学校处理结果出来后才能知道。”
1694347642# #官方回应三门峡景区雕像引争议牡丹仙子心情不好。
1692407783# #李玟控诉中国好声音的音频是不是恶意剪辑围观，也许能看到真相。
1697960955# #兰博基尼被踩车主称不和解损坏他人东西要赔
1698495798# #安徽通报男子同时迎娶两个新娘结婚是人生大事，弄成这样？以后的日子会如何？？
1697860777# #沪指3000点跌破51次也能站上来51次跌破51次站起来51次忽悠51次。
1689234148# #江苏盐城轿车撞人事故致2死6伤不要把驾驶证当做杀人执照。
1698236138# #广东一学校近700名新生集体退学【学校也可以无人驾驶？】清远市德圣健康职业技术学校2023级新生开学一个多月仍在教室上网课，而非由老师现场授课。
1692531176# #长春一广播台声明不再与中国好声音合作广电部门是什么意见？？？？
1694490729# #父亲到校将猥亵女儿的副院长打伤🙏🙏🙏阿弥陀佛！
1702264339# #专家回应公务员考试考生多地考试现象蜡烛蜡烛蜡烛阿弥陀佛！
1695867060# #给客户寄800份月饼生产日期竟是2014年月饼的生产日期打错了，月饼的配料有没有用错？？
1695905109# #许家印已被依法采取强制措施传言变成现实。
1703070431# #业主打伤深夜上门收费物业被取保一年蜡烛蜡烛蜡烛阿弥陀佛！🙏🙏🙏祈愿物业的人早点过年。
1696137575# #5岁女孩池边喂50斤胖锦鲤这里的鱼是世上最幸福的生物。
1694336569# #襄阳文旅回应游客看表演遭区别对待还在慢慢的调查中……
1692732207# #8月23日早报。。1.日本在质疑声中宣布24日起核污染水排海，计划排放30年；外交部：将采取一切必要措施维护食品安全和公众健康；香港、澳门：禁止日本福岛、千叶等10个都县食品进口。。2.钦州海事局：一油轮在广西北部湾海域着火，15人获救2人失联。。3.福建大田倡议“女婿为岳父母买养老保险代替彩礼”：
1693780993# #网传女子治牙发生纠纷抹了医生脖子🙏🙏🙏阿弥陀佛！
1693854463# #在咖啡中擅自添加茅台售卖是侵权行为添加属于侵权，只是借茅台的名字用用是否可以？
1696571527# #河南官媒呼吁网友不要地域黑陈某煽动误导村民拿东西被刑拘发视频的陈某麻烦大了。
1703923039# #电梯内猥亵小女孩男子已被警方抓获🙏🙏🙏阿弥陀佛！苍天有眼。
1691748597# #医药代表性贿赂医生真的想不到医疗乱象被公开，前两年谁敢抱怨医疗问题就有可能成为医闹，后果很严重。
1699914186# #缅北电诈头目明学昌年轻时惯于偷抢想起8月末9月初的话题→→缅甸华人称缅甸确实被妖魔化在缅中企工作人员称不要妖魔化缅甸缅甸旅游业苦等中国游客重返
1688810693# #官方通报院长让医生给病人多开中药高度重视，调查核实……
1697150632# #救市后为何还是没人买房🙏🙏🙏阿弥陀佛！
1693261982# #留学女儿要300多万美元买房妈妈报警🙏🙏🙏阿弥陀佛！
1696121334# #尿急跳下高架桥男子轻微骨折🙏🙏🙏阿弥陀佛！
1698094801# #女子举报嫂子身为公职人员婚内出轨生子公职人员，婚内出轨，生子。
1693935386# #9月6日早报。。1.“海葵”给福建福州带来强降雨，永泰县一消防车被洪水冲走，6人获救2人殉职，还有1人搜救中。。2.国乒女团亚锦赛3:0战胜韩国夺冠，获得巴黎奥运会入场券。。3.公安机关成功打掉缅北电信网络诈骗窝点11个，抓获犯罪嫌疑人269名。。4.&nbsp;西安市第一医院两医生受贿后淡定数钱被停职，医药代表尚
1697111501# #成都市教育局回应初中生校内身亡🙏🙏🙏阿弥陀佛！
1695885050# #年底前超八成用户可实现开机就看电视八成，大概，可能，差不多……
1691621424# #浙江多家公立医院重复收费生病是灾难，进这样的医院又是一个灾难，人生多难……
1691049910# #男子合买彩票中790多万开奖没他有多少人为了钱可以放弃一切？
1694044658# #男子拒签拆迁协议被上门骚扰这不是黑社会行为吗？怎么处理？罚酒几杯？
1699314816# #恒大地产再被强制执行4亿买了恒大烂尾楼的人怎么办？？🔨
1690414715# #女作家因两次被提醒管好小孩向12306投诉🙏🙏🙏阿弥陀佛！
1703904167# #河南宁陵县否认坠亡学生生前遭霸凌蜡烛蜡烛蜡烛阿弥陀佛！
1691965819# #8岁娃踢个易拉罐赔了18万8岁男孩踢易拉罐致人十级伤残希望孩子能记住这次教训，18万不能白花
1694729039# #继祖父多次性侵6岁女童获刑13年劝女孩子写谅解书的人经历过什么？？
1692918798# #上海多家日料店今晚生意火了8月24日，上海市徐汇区市场监管局突击检查港汇恒隆广场内一家超市、两家日料店。一家名为鮨政Omakase的日料店里，执法人员查见商家菜单上标明日本北海道牡丹虾，但商家无法提供检验单以及报关单。24日晚间，不少日料店都出来承认，水产品都不是日本进口的！
1700131222# #云南临沧对缅甸果敢发故障停电通知停电后电诈集团应该歇业了吧？
1697167739# #孙卓被拐案今日宣判支持人贩子死刑。
1697485155# #10月17日早报。1.缅北电诈头目陈岩板、肖岩块被佤邦撤职，两人在当地曾颇有背景；2349名缅北电信网络诈骗犯罪嫌疑人一次性移交我方。2.青岛海上马拉松道歉：因发放效率问题致选手无法领取完赛物资，将邮寄到家。3.四川女商人4600万购买昆明一酒店，直到离世，9年未能过户。4.上海专家全球首例先天性耳
1690804703# #村干部酒后撞死老人8干部同事帮作伪证🙏🙏🙏阿弥陀佛！
1692501969# #一岁多的孩子高铁哭闹遭女子要求闭嘴孩子的父母也不想孩子哭闹，有缘坐在一个车厢里就相互理解一下。
1703893299# #两家单位拒收人民币现金被罚前几年去交医保的时候必须手机支付。
1696781095# #10月9日早报。1.杭州亚运会闭幕：本次亚运会15次打破世界纪录、37次打破亚洲纪录，中国代表团201金收官。2.K435列车命案嫌犯被鉴定为精神病人，法院决定强制医疗。3.云南一货车司机被发现遗尸车内多日，知情人称公司8月就联系不上人。4.女子发视频称被丈夫家暴并割喉，无锡妇联：部分信息不实，正调查。
1691028843# #哈尔滨为方舱医院建设招标🙏🙏🙏阿弥陀佛！
1696840197# #博主称旅游订不到房可挂急诊过夜台州市第一人民医院党委副书记、副院长，主任医师王东升表示，一个身体健康的人到急诊挂号留宿，是抢夺患者资源，不仅是医疗资源的浪费，还会造成急诊抢救功能上的一种混乱。
1701216184# #博主B太曝光的鬼秤商家被罚款20万以罚代管收获颇丰。
1689724606# #考生中考分数大跌怀疑成绩被偷偷中考分数，还是等官方消息吧。
1694960084# #贷款中介开始多维度轰炸式骚扰放高利贷的很多很多，管理高利贷的很少很少。
1697183450# #每天爬5层楼梯可降低多种疾病风险前些天说研究表明租房住老得快现在是爬楼有利于健康。没说租的楼和买的楼效果是否一样？
1693180090# #民警酒后足浴店殴打残疾工作人员🙏🙏🙏阿弥陀佛！殴打残疾人……
1692531719# #白岩松说视觉中国该真正整改了很多人都在说应该整改，只有监管部门还不知道怎么整改。
1689026773# #千户苗寨火灾致2死6伤🙏🙏🙏阿弥陀佛！
1688323352# #7月3日早报。。1.中国女篮时隔12年再夺亚洲杯冠军，决赛击败日本队。。2.黄河壶口瀑布陕西侧“安全墙”已拆除；云南罗平九龙瀑布景区沿线围挡已拆除。。3.台媒公布解放军录音：只有中国人民解放军才能保卫台湾。。4.两栖攻击舰广西舰首次进入西太海域，提升远海战力。。5.中国人民大学回应部分学生信息被非
1703244819# #22岁女老师被7旬老人开老头乐撞死肇事逃逸……？
1691186019# #90后男子强奸13岁少女被判5年9个月男子强奸13岁女孩致其重度抑郁只是围观，不敢质疑，不能质疑。
1691878495# #缅甸旅游业苦等中国游客重返今天的缅甸谁敢去？缅北蛇蝎横行，缅甸人充耳不闻的装死，还来忽悠中国游客？
1704116013# #天价麻辣烫106元的麻辣烫，真的贵。
1699398678# #降低存量房贷利率工作已基本完成那些买了烂尾楼的人怎么办？？
1690173580# #网曝大爷大妈跑到水库放生矿泉水这就是有钱任性，这些人的退休金太多了。
1693165371# #8月28日早报。。1.财政部、税务总局：8月28日起减半征收证券交易印花税。。2.2023年U21女排世锦赛决赛，中国女排3比2战胜意大利女排，获得U21女排世锦赛的冠军。。3.辽宁三名命案逃犯落网：其中一人潜逃30年，几代民警接力缉凶。。4.西安市未央曲江等地有非法助孕机构，声称可选性别可供卵。。5.军售开支导
1688530864# #马保国百年以后，还会有几人记得这两个文状元武状元？
1700523427# #河南省通信局称将约谈调查周口联通这件事已经闹大了，看看怎么化解……
1701573385# #男子捡大学生手机索要千元不给就刷机蜡烛蜡烛蜡烛阿弥陀佛！人心不古。
1703922807# #男子当街抽打并脱裤侮辱老人这个畜生是什么品种？
1699252847# #天津助学金当事人不认可调查结果不认可？还能怎么办？？
1692655210# #合肥之后多地酝酿取消公摊取消公摊面积的阻力都有哪些方面？
1704065104# #罪犯子女考公限制是否应取消蜡烛蜡烛蜡烛阿弥陀佛！
1700135499# #明学昌明珍珍明国平被逮捕🙏🙏🙏阿弥陀佛！
1696956638# #华北理工大学通报为华北理工的处理方式点赞good。
1695022928# #莲花味精配料表只有小麦鸡精公开的用旁门左道战胜了味精……
1699219866# #11月6日早报。1.暴雪来袭，6日起哈尔滨中小学停课，长春中小学居家上课。2.中国商飞副总经理表示，C929飞机已进入详细设计阶段，C919飞机已平稳顺利运营突破1000小时。3.湖南邵阳被狗咬伤男童转出ICU，肇事犬主人已赔偿2万元。5.四川一女子试图借小学生电话手表骗电话卡，被群众当人贩子控制。6.东方航
1693346264# #官方介入导游评鲁山雕塑后遭威胁导游评鲁山雕塑后收到邮件威胁，对方准确说出自己儿子的身份证号以及家庭住址。这事又是哪个临时工干的？？
1688672347# #7月7日早报。。1.杭州亚运会有望创亚运史上多个之最，各项筹办工作均已就绪。。2.2023世界人工智能大会开幕，国内外大咖现身上海，合力打造全球顶尖人工智能盛会。。3.山西介休通报未成年人欺凌事件：三人未满14周岁，依法不予处罚。。4.湖北孝感一男孩坠河被冲走不幸死亡，多人曾伸手营救未果。。5.交警查
1693167188# #打假人举报辛吉飞代言奶粉含违禁成分🙏🙏🙏阿弥陀佛！
1696535294# #10月6日早报。1.多地晒中秋国庆假期前五日旅游成绩单，内蒙古收入近百亿。2.游客四川卧龙邓生沟拍照滑落溺亡，管理局回应属实，已临时管制。3.迷笛音乐节部分盗窃者被拘，一网友发不实信息被釆取强制措施。4.王思雨绝杀，中国女篮2分战胜日本，卫冕亚运会金牌。5.江苏一酒店被指多个房间发现摄像头，游
1692133215# #视觉中国创始人称是误会误会，闹着玩，不带急眼的啊。
1702883375# #田笑蜜针对朱丹被骗事件发声此地无银一两。
1702890059# #醉驾情节轻微的可以不起诉蜡烛蜡烛蜡烛阿弥陀佛！
1696020696# #9月30日早报。1.“超长黄金周”到来多地严重拥堵，有人开了8个小时还没出省。2.嫦娥六号任务进展顺利：2024年前后发射，从月球背面采样。3.广州南站回应“进出站难”：因有施工项目部分出入口封闭。4.台自造潜艇下水遮遮掩掩遭质疑：“政治下水”恐变“海底棺材”。5.江西首例独立自主完成的心脏移植患
1691771812# #新冠三阳的人开始陆续出现次数越多症状越轻……，三年防控为了谁？
1690277499# #肠癌患者手术失败死亡尸检未见肠癌该病例属于一级甲等医疗事故，云南省肿瘤医院负次要责任。主要责任是…………？
1690560804# #孩子被撞身亡被判与肇事司机同责🙏🙏🙏阿弥陀佛！
1698879825# #网传海淀一垃圾站买好白菜充当厨余垃圾🙏🙏🙏阿弥陀佛！
1689879046# #中建八局回应山东莱荣高铁事件🙏🙏🙏阿弥陀佛！
1690064627# #网传一外籍男子踢倒藏区玛尼堆🙏🙏🙏阿弥陀佛！
1697187506# #孙卓被拐案两被告分别被判5年2年5年，2年。蜡烛蜡烛蜡烛阿弥陀佛！
1698319950# #托管中心老师涉嫌性侵10岁女孩被批捕托管中心老师涉嫌性侵10岁女孩，对这样的恶徒应该重判。
1693440538# #被威胁导游回应鲁山天价雕塑后续🙏🙏🙏阿弥陀佛！连续剧……
1688414751# #7月4日早报。。1.商务部、海关总署：决定对镓、锗相关物项实施出口管制。。2.香港警方悬红100万港元通缉许智峰等8名反中乱港分子。。3.北京警方通报部分人大学生信息被非法获取：毕业生马某某被刑拘。。4.台媒曝英前首相窜台收了近400万新台币，台网友炸锅：心疼我的纳税钱。。5.山东大学拟聘2名硕士为公寓
1700715664# #官方再通报职校克扣学生巨额实习报酬事情曝光后被高度重视……
1692396763# #医院回应穿刺失误致女童死亡看了帖子下面的评论留言……🙏🙏🙏阿弥陀佛！
1702675211# #12月16日早报。1.今年国内游戏市场实际销售收入首破3千亿，用户规模达历史新高。2.北京地铁昌平线事故致102人骨折，系雪天轨滑追尾导致。3.广西柳州一利比里亚籍留学生旷课超60课时，居留许可作废。4.上海对个人用户和单位用户购买新能源汽车继续给予免费牌照额度支持，要求名下无车。5.湖南邵阳一化工
1695011341# #多地教育部门回应预制菜进校园学生自己是否有权利选择吃什么？？
1699341511# #苏士成怎么没有人出来说话？？
1694643625# #国家一级演员苏孝林被决定逮捕是谁提供的舞台让苏孝林扮演甘肃省人民政府原参事这个角色？
1700600744# #民警怒吼十几万不是从天上掉下来的骗子太多了，防不胜防。
1692741396# #官方回应少年目睹爷爷被殴打后投河身亡打人者有什么背景（靠山）？？
1703898583# #女子185万买江景房完全看不到江蜡烛蜡烛蜡烛阿弥陀佛！狸猫换太子……
1694145345# #央视揭造谣短视频摆拍流程视频平台没有任何责任？？？？
1691271872# #黑龙江五常发布防汛救援公告🙏🙏🙏南无阿弥陀佛！
1692248040# #女子买3个座位被无座大爷骂哭一花钱买了三个座位，二孩子做手术需要躺着。因为自己无座就可以骂人吗？？这个人渣骂人不违法吗？？
1702883446# #班主任猥亵女生校方称怕耽误高考不开除蜡烛蜡烛蜡烛阿弥陀佛！
1696302434# #创维创始人揭恒大真相🙏🙏🙏阿弥陀佛！
1693107891# #武林外传官方诉浙江广电浙江广电问什么是授权？
1701431558# #顾客发现漏洞故意买200盒饼干索赔蜡烛蜡烛蜡烛阿弥陀佛！
1690658447# #7月30日早报。1.“杜苏芮”致福建省88万余人受灾，直接经济损失4.28亿元。2.山东济南强降雨导致一个补习班师生被困，消防紧急疏散转移。3.成都大运会首金诞生，中国选手曹茂园男子南拳夺冠。4.云南盈江“7·28”山洪泥石流灾害造成2人死亡，4人受轻伤。5.杭州西湖警方通报“女子举报涂某强奸”：初步诊
1696840396# #男子7岁被拐母亲遭人贩子打死是什么原因让人贩子猖狂了这么多年？
1691564407# #医院采购47万药医生回扣拿15万君子爱财取之有道这句话在今天不管用了。
1692248229# #药企一年花费3200亿用于销售32000亿都是患者买单。
1690259372# #小伙被嘲笑买不起泡面一怒之下全包圆别把别人不当人，也别把自己太当人。询价后嫌泡面价高的人未必就是穷人，支个摊子卖泡面的也许是借钱做的生意。
1691464149# #河北一医院太平间6小时要价近6000元蜡烛蜡烛蜡烛阿弥陀佛！
1690232776# #7月25日早报。1.齐齐哈尔体育馆坍塌11人遇难：已建成26年，屋顶堆置建材，相关责任人已被控制。2.张掖七彩丹霞景区回应“游客翻越围栏拍照”：及时劝返，已报警。3.广东梅州再报告断肠草中毒事件，上半年共致5人发病2人死亡。4.外交部：中方决定自7月26日零时起恢复对新加坡、文莱15天免签入境政策。5.
1690315273# #女子化浓妆在34中门口直播被市民撵走蜡烛蜡烛蜡烛阿弥陀佛！
1703736503# #新生儿遭月子中心月嫂虐待蜡烛蜡烛蜡烛阿弥陀佛！快收了这些恶魔吧。
1703715260# #八旬老人摔倒遭无视高中生毫不犹豫扶起蜡烛蜡烛蜡烛阿弥陀佛！
1703052612# #2名技校男生互相怂恿强奸醉酒女生获刑🙏🙏🙏阿弥陀佛！
1698872310# #教体局通报女教师跳楼轻生事件蜡烛蜡烛蜡烛阿弥陀佛！
1698182535# #女子称自己被婆婆打后先兆流产现在还有婆婆打儿媳妇的，妇联怎么说？？
1694959941# #驾考安全员被曝故意别停学员致挂科学员就是学校里的待宰羔羊。
1695884126# #因证据不足14岁女孩被认定为卖淫女未满14周岁的孙曼，和一名已退休的官员荆玉柱发生了性关系。孙曼说，事发时她曾喊叫，也试图反抗。法院审理认为，孙曼系自愿卖淫。孙锡美和王艳娟获刑3年。2007年3月，荆玉柱获刑5年。
1697623422# #女主播直播间擦边卖咖啡牵出3亿大案能量咖啡，挂羊头卖狗肉。
1693808061# #拒绝退伍军人买优惠票客车停运7天作出如下处理：涉事车辆蒙F22637客运班车停运七天，涉事企业对涉事乘务员何某某予以辞退。
1699598696# #佳木斯体育馆坍塌11人被采取强制措施给遇难学生家长施加压力的人也在这11个人里面吗？
1703570937# #公司一年多骗领生育津贴980万元这是有执照的骗子？
1689653283# #学校回应食堂异物是鸭子眼球膜鸭子🦆的日子不好过。
1702804173# #北京一居民花10万买高15米大恐龙这就是有钱任性？？
1697971674# #北京化工大学回应学院院长被指骚扰教师🙏🙏🙏阿弥陀佛！天地君亲师呀……
