1679806719# #人口下降雪崩，没有人，谁来买房子？现在已经够几十亿人住的房子，没有人来接盘。
1676298248# #当今社会上的五大认知层。1.打工人的圈层，谈论的是电视剧、国际政治事件、娱乐节目、家长里短，刷的是短视频和游戏，赚的是工资，思考的是如何应对老板。。2.生意人的圈层，谈论的是产品、渠道资源，想办法寻找下一个风口，赚的是利润和差价不停地...。来自柳明先生(财经自媒体柳明先生)的讨论
1672442702# #新年的钟声即将敲响，2022年去，2023年来。
1670900948# #财务总监风险大。日前，森麒麟发布公告称，董事会于2022年12月9日收到公司董事、财务总监许华山家属的通知，许华山因入职公司前的相关工作问题被海南省儋州市公安局采取刑事强制措施。。据公开资料显示，许华山此前的任职经历基本在海南国资系统，工作单位涉及海南高速、海南省发展控股、
1699583054# #受毒土地影响，陆家嘴开启暴跌。。房地产企业真奇葩，有资金链断裂的，有负债还不起的，有烂尾楼的，居然还有“中毒”的允悲
1668808981# #这几天，fTT在1.66附近，比特币16600附近，两者万倍之差。今晨fTT在1.4，悄然下滑。比特币还是老样子，16600附近转悠。
1661300398# #通胀担忧导致股票、贵金属和加密市场普跌。据Bitcoin.com分析，本周欧元在7月中旬与美元持平后20年来第二次跌破美元，由于通胀担忧继续笼罩华尔街，道琼斯工业平均指数下跌400点，与上周的涨幅相比，四大股指纽约证券交易所、纳斯达克、道琼斯指数和标准普尔500指数均出现下跌，黄金和白银贵金属
1680036193# #美股三大指数集体收跌，阿里巴巴股价逆势大涨，可能与马云回国有关吧。
1669065346# #隔夜美股三大指数集体收跌，强弱不一，就5日均线而言，道琼斯在线上，纳指、标普在线下。
1656840961# #艰难打磨，方解柴米油盐非易事，。青丝渐白，才知匆匆岁月不饶人。
1670706843# #看看比秃鼻月线，目前的价格区域成交大得惊人，入场资金不少，月kDJ、MACD的快线与慢线仍然处于分叉状态，也许粘合在一起才是行情大反攻的开始。
1660080978# #近期比秃鼻与美股有联动的架势，美股三大指数跌，比秃鼻也跌。日kDJ向下，比秃鼻呈现弱势，静待17000～22000箱体上轨的支撑。
1701756937# #由于加密货币通常比股票或房地产更具波动性（有时在几天之内波动20%），因此在较长时间内确认牛市和熊市可能更为现实。。因此，假设当代币价格持续两个月或更长时间低于最近高点20%时，加密货币熊市就开始了。当牛市攀升至远高于最新低点并维持一个月或更长时间时，牛市就开始了。。这意味着比特币在
1691264263# #大饼比秃在29000窄幅波动，上不去，下不来。
1667945862# #隔夜美股三大指数集体收涨，但，格局各有不同，道琼斯立足在各条短期均线之上，挑战年线，而纳指、标普则为保护5日均线战斗。
1660430265# # V神：预测合并将在9月15日左右发生，确切日期取决于哈希率。以太坊创始人VitalikButerin在社交媒体上称，终端总难度已被设定为58750000000000000000000。这意味着以太坊PoW网络现在有一个（大致）固定数量的哈希值可供挖掘。bordel.wtf网站预测合并将在9月15日左右发生，但确切日期取决于哈
1677013275# #隔夜美股三大指数以跳空低开、暴跌破位收盘。。比秃币也是下跌，但跌幅不大，围绕5日均线震荡。
1678583983# #比秃微弱反抽，不过5日均线
1701257346# #你以须看到整体，。一幅画面，不仅仅是它各个部分的简单组合。。一头牛只是一头牛。草地只是一片长满青草和花朵的土地，。透过树枝的阳光，它不过是一束光线而已，。但是你将它们组合在一起，却美的不可思议。。——《斯人若彩虹》
1696104490# #月周期会，大饼比秃处于反弹的第二浪调整中，月MACD经历长时间的调整已经收敛于零轴附近，什么时候向上冒头，就是反弹第三浪开始。
1697658205# #Zhucezhi基本失败了，因为准上市、上市的经不起查。。最近有16家申请上市，抽查三家，全部因造假驳回，其他十三家一看这架势就自动撤回了。。100%不行，虽然是小样本，但造假的比例太骇人听闻了，大样本不也是小样本构成的么。
1697552999# #劳务分包退出建筑江湖？。2022年7月，重庆市住建委等七部门联合印发《重庆市培育新时代建筑企业自有工人队伍试点工作方案》，明确要求：试点项目全面取消劳务分包，总包、专包必须采用自有工人施工，或分包给自有专业作业企业。同时公布了第一批试点企业名单。。2023年5月24日，重庆市住
1662072109# #早ﾉ☀。杨绛先生说，这个世界上没有不带伤的人，无论什么时候，你都要相信，真正能治愈自己的，只有自己。
1660942297# #早ﾉ☀。冰火两重天
1701413656# #巴哥犬还得靠火腿肠“哄”。木材加工厂有只小巴哥犬，胆子很小，见到陌生人靠近，会吓得东逃西窜，狂吠不止。个中原因，狗主人说，小巴哥犬的妈妈比小巴哥犬长得漂亮，有次在门口转悠，不小心被车辆撞没了，自此，小巴哥犬变得敏感多疑，狂躁不已。对于任何靠近的陌生人，都会惊恐不已。。
1699908364# #大饼比秃出现明显的日线级别的顶背离，按技术指标得离场，按减半大周期，一切还没有开始，现在即将天明。。比秃技术指标
1666737336# #隔夜美股三大指数三连阳，道琼斯站上半年线，纳斯达克、标普巩固30日均线。
1661697653# #转发微博
1694902895# #全网正在围剿李佳琦的言语不当。。去年核酸造假的张核子怎么不提？只是象征性地罚了张核子一点点钱，听闻张核子要进军预制菜领域了。
1703243623# #冬至“汪了个汪”。冬至
1693652145# #为什么不取消房产的公摊面积？。设计之初，就是为了增加面积，让老百姓有满足的幸福体验感。。现在呢，如果取消公摊面积，岂不是剥夺老百姓的幸福感？。还有哦，砖家说公摊面积取消，单价会涨，取不取消都没有关系。既然没有关系，那干嘛不取消呢？如果公摊面积90%岂不是更好？
1689346212# #万物有灵
1661385915# #动态NFT（DynamicNFTs，简称dNFT）（巴比特）。动态NFT是数字资产所有权发展的未来，是静态NFT的下一次迭代。通过允许NFT的数据通过数据反馈实时改变，智能合约逻辑可以用来调整NFT的属性以响应外部数据变化，CoinTelegraph给出过动态NFT(dNFT)一个有趣定义是:“动态NFT是一个有生
1657530281# #今日沪指跌1.27%，深指跌1.87%，创业板跌1.78%，科创50指数跌2.07%。。20日均线是短期多空分水岭，深指和创业板守住了20日均线，上证、科创50失守20日均线。。虚拟电厂、医院商业、矾电池涨幅居前，汽车、盐湖提锂、金属镍跌势较大。
1656069127# #草原夜色美
1703692369# #赞
1690634213# #官媒给刀郎撑腰了？。刀郎
1691742841# #美元汇率7.2481，这样涨下去破前高7.2857几乎无悬念。。屋漏偏逢连夜雨，房企以前借的美元债，又加大了偿还成本。
1676925589# #隔夜美股三大指数一涨两跌，都处于5日均线下方。。比秃币在25000下方震荡，布林上轨、5日均线是其活动空间。。“有妈的孩子是个宝”，Okb、Gt、HT等交易平台币先后展开拉升。
1663888914# #9月22日，上证指数报3108.91点，下跌0.27%，成交额2699.79亿。。深证成指报11114.43点，下跌0.84%，成交额3684.69亿。。创业板指报2319.42点，下跌0.52%，成交额1128.31亿。。总体上个股跌多涨少，两市超3200只个股下跌。两市成交额6385亿，较上个交易日放量26亿。盘面上，军工、煤
1697107554# #“汪星人”摆出“221”队形，前锋2，中卫2，后卫1
1688156449# #近期消息满天飞，一会币安遭起诉，不久即谅解，一会几个大基金要申请现货指数，一会申请报告语焉不详……消息大致就这四类，自身减半周期/监管/流动性/小币爆雷，比秃大饼上蹿下跳，多空双向爆破，只能看中长期，才能”不畏浮云遮望眼”。
1659654757# #隔夜美股三大指数一涨两跌，纳斯达克站在5日、半年线上，道琼斯、标普站在5日均线上，但仍受阻于半年线。
1682466053# #当年毛泽东把儿子毛岸英送到朝鲜战场还是有担当的。
1703118368# #日常偶拍南瓜、葫芦、吊兰、桔子，或丰腴，或轻盈，“环肥燕瘦”，形态妖娆各异。
1668495971# #软银已将FTX投资减记为零，此前投资不到1亿美元
1659998358# #比秃鼻5日均线拒绝与20日均线死叉，擦肩“飞吻”而过，日kDJ调整完毕又开始金叉，比秃鼻延续反弹。
1659212371# #早ﾉ☀。♡。¨̮ᴴᴬᵛᴱᴬᴳᴼᴼᴰᵀᴵᴹᴱ。在桑达台风来临de光阴里💭。细品凉爽风雨🍵
1663095039# #早ﾉ☀。台风梅花风声呼啸
1664536149# #罗刹国的导弹，居然“回眸一笑”，自己招呼自己。
1661466807# #比秃鼻在17000～22000箱体内，围绕5日均线窄幅震荡。
1657922727# #绿树，山泉，才是清凉好去处。
1665097582# #早ﾉ☀。☼⛅☼。ᵕ̈ᴹᴼᴿᴺᴵᴺᴳᵕ̈。把身体照顾好把喜欢的事做好⤵
1661899464# #A50期指处于跌势，对今日的开盘不知道影响几何。
1677122339# #美联储公布1月31日到本月1日货币政策会议的会议纪要，显示联储官员大多支持进一步放缓加息，认为放慢速度是平衡紧缩过度和紧缩不足的最佳方式，也有些官员警告，放慢加息有风险。
1682328513# #据英国《金融时报》报道，美国SEC互联网执法办公室前主任JohnReedStark认为，未来加密市场将继续看到更多诉讼。他表示，该行业正处于监管冲击之中。。Stark提到，在投资者面临风险的时候，SEC不会袖手旁观。他补充说，似乎每天都有针对加密行业的新诉讼。然而，他将强制执行的规定与安
1666439422# #试水AI人工智能绘画
1688160323# #外强中干典型：。看似高大繁茂，内里枯裂腐朽。
1668547807# #早ﾉ☀。夜间不足10º度气温，薄被已不堪。
1661208356# #处暑即为“出暑”，是炎热离开的意思，是秋天的第二个节气。。处暑过后，“离离暑云散，袅袅凉风起”。
1692349837# #武汉大学学生夫妻可申请合宿，须持有结婚证，且均为在籍全日制学生，这是为啥？鼓励早生快生多生孩子吗？
1694220882# #上海楼市再出新政：从公积金到人才购房。9月7日，上海公积金管委会发布两项政策，即《关于调整本市住房公积金购买存量住房最长贷款期限的通知》及《关于本市住房公积金支持城市更新有关政策的通知》。。政策明确，对借款人购买6年至35年房龄的存量住房的公积金最长贷款期限进行调整
1664573938# #✐ᵕ̈ᴴᴱᴸᴸᴼ|十月你好！。每天的好心情都可以准时营业。
1703625219# #总体45000～40000平台整理，没有破位。就是日MACD、KDJ双双死叉，且未见收敛，料将再整理一段时间。比秃技术指标
1661817650# #隔夜美股三大指数跳空低开，收阴十字星，下跌中继可能性较大。
1663723975# #根据挖贝网统计：4638名A股公司财务高管平均薪酬78.7万，平均年龄47岁，其中1614家公司4年里换过财务高管。
1675597240# #正月十五闹元宵
1687844991# #韩美林的水墨萌宠，靠得是新奇简练的造型构思、宣纸对水墨极强的渗透和感染力。
1665666224# #美国9月CPI超乎预期，100个基点的加息押注重出江湖，美股指数、加密货币大跌即在眼前。
1699479287# #《昏境词》有句“盖贾之意，唯售是念”，意思是说，“商人的心思，只是想把东西卖出去”。
1692039929# #大饼比秃中期反弹趋势尚在，但顶背离还没化解，矛盾的对立怎样统一？靠时间来打磨。
1676497667# #隔夜美股三大指数集体涨势，齐齐站在5日均线上。。领先美股指数，比秃昨天开始了上涨，昨夜今晨，更是向上暴力拉盘，一举突破本次反弹高点，最高上摸24300，日kDJ低位金叉支持续涨，比秃调整过后，接续春季攻势。
1703293629# #昨天做”游戏”的公司股价大跌，其中网易跌24.6％，腾讯跌12.35％。。为什么大跌？源于国家对游戏的监管。网易、腾讯涉及游戏，难以幸免。。以前对未成年人玩游戏进行监管，可以理解。现在对成年人玩游戏也要严厉监管，不知道是为什么？。或许躺平的年轻人太多，年轻
1668151718# #马斯克出售约32.5亿美金的特斯拉股票，以便于备足收购推特的资金。
1692856106# #郭德纲说：泰坦尼克号沉了，对人类来说是一场巨大的灾难，但对船上餐厅里活着的海鲜来说就是生命的奇迹
1663338109# #“四巫日”是美股每个季度一次的金融衍生品到期日。分别发生在每年三、六、九、十二月的第三个周五。当日，股指期货、股指期权、个股期货与个股期权同时到期。这此期间，随着交易量的增加，美股和衍生品价格的波动可能会加大。（东方财富）
1660429528# #日均线系统、MACD、kDJ均处于金叉上扬状态，支持比秃鼻、二姨、鳖安、二狗继续反弹上涨，只有大狗仍然处于箱体框架内。
1674856907# #比秃币月kDJ金叉+5周20周均线金叉，中期反弹可期。
1681964895# #往事如烟
1657492108# #在北方，穿短袖，可以看自然落雪的融化。
1688269304# #蔡徐坤被爆性丑闻，6月30日综艺节目《奔跑吧》发布节目停播的通知，而原定节目有蔡徐坤参与。
1687978747# #大饼比秃4小时顶背离所致下调，短空长多
1694433688# #曾经有人问作家张贤亮：为什么中国那么多年再也没有影响力的新文学作品?。张贤亮回答说：当今中国，现实比小说更“精彩”。
1690503459# #细思极恐，刀郎的下场？
1670025664# #据theblock研究主管披露数据显示，在11月，币安的市场份额占比已经达到75.1%（超过3/4），Kraken市场份额占比为9.2%，FTX跌至3.1%。整体而言，合规中心化交易所的现货交易额上涨23.7%，达到6729亿美元。
1669761454# #神十五航天出征太空。
1684446667# #前天夜里挖坑，昨天夜里画门，大饼比秃在28500～26500箱体内部的27500～26500区域，“螺狮壳里做道场”。
1701869644# #赞
1680125358# #美股三大指数集体涨势，收复5日均线。
1680660016# #美国历史罕见一幕！漂亮国第一位被起诉的总统，特朗普出庭拒绝认罪，外媒称刑期最高可达136年
1689365805# #借助瑞波与SEC纠缠初步胜利，大饼比秃昨日向上拉升，一度到达31804最高点，今日凌晨突然反手向下打压，完成杀多。技术上短期阴包阳，顶背离，短期空头突然占据主导，但中期仍然以做多为主。
1694127752# #医疗贪腐一般有两种模式。一种是利益均沾，即医疗医药差价返回当作医院小金库，医院人人有份，但是按岗位级别高低来分配，“大官大贪，小官小贪”，”无人不贪“。。还有一种是吃独食，只有医院主要领导才能弄到钱，底层医疗服务人员则两手空空。
1672354311# #天气阴沉了几天，没有丝缕的阳光，到处是小🐏人，大地是草原吗？
1659827350# #比秃鼻日线调整ing，不改中期继续反弹，因为周K线累积的成交量做多能量还没有得到释放。
1700646665# #2023年注会考试成绩可以查分了，几家欢乐几家愁。。此君2019年一次性过五门，只有财务成本管理没过。。熬到今年，今年已经是第五年，财务成本管理还是没过，成绩有效的五年滚动循环的魔咒来了，2019年第一年考的五门全部作废。。谁能比他还惨？。注册会计师注册会计师考试
1657147726# #7月6日股市回顾。上证指数报3355.35点，下跌1.43%，成交额4874.75亿。。深证成指报12811.33点，下跌1.25%，成交额5991.72亿。。创业板指报2802.72点，下跌0.79%，成交额2008.15亿。。总体上个股跌多涨少，两市超3300只个股下跌。两市成交额10867亿，较上个交易日缩量943亿。盘
1661376506# #隔夜美股三大指数微弱反弹，涨势收盘，堪堪守住半年线。
1690662263# #鳖安支持交易的稳定币有USDT、USDC、BUSD、DAI、TUSD、USDP、FDUSD，其中FDUSD是2023年7月26日刚宣布上线的稳定币。。FDUSD是美元1:1支持的稳定币，由位于香港的公司实体FD121 Limited发行，以First Digital Labs的品牌运营。
1694602726# #现实
1674524971# #阴阳平衡圆融是实质，节奏、韵律是形式。。一厨一食、一言一行，一颦一笑，举案齐眉，“尽管风吹浪打，亦似闲庭信步”，日常生活最重要。
1666647777# #隔夜美股三大指数红盘报收，日MACD、kDJ金叉后继续向上发散，反弹能量犹在。
1692236097# #医药反腐中多地启用，“廉政账户”：鼓励缴款人用实名存入。。这个“廉政”二字欠妥，应该叫“特赦账户”，因为医疗工作者再怎么回吐缴赃，仍然改变不了其曾经违法乱纪的犯罪本质，只是震慑于社会主义铁拳，人民对这些蛀虫的宽容，不代表这些蛀虫洗白了，廉洁了。。这些医疗工作人员的贪
1691282827# #世事无常：河北、东北大洪水，山东平原5.5级地震
1681023200# #人工智能产业链，上游算力（芯片）、数据，中游是模型，下游是应用。
1656908398# #《射雕英雄传》里梅超风扮演者麦翠娴穷困潦倒，流落街头。
1692016395# #新城控股因董事长猥亵女童而“因祸得福”，躲过了房地产爆雷允悲
1664573976# #国庆快乐！。何其有幸，生于华夏，见证百年，愿山河无恙，祖国繁荣昌盛。
1664769799# #今天居然有34度，返回夏天了
1672615760# #新的一年，下一站，翻身允悲
1690346671# #张学良身陷囹圄达半个多世纪，为什么会高寿？。张学良先生2001年去世，得享101岁高寿。长寿原因，大致有以下几个方面。。红颜赵四小姐长年相伴。参加菜园劳动。养鸡喂鸭逗猫咪。云淡风轻，看破红尘。
1699192182# #据U.today披露，伯克希尔·哈撒韦公司副董事长、沃伦·巴菲特的长期商业伙伴查理·芒格在最近接受《华尔街日报》采访时再次对比特币和其他加密货币提出了尖锐的批评，这位99岁的投资人认为数字资产是一种破坏稳定且没有生产力的金融发明，并且将比特币比作向传统金融的精炼配方中扔了一个“臭球”，他强
1692082469# #朱镕基先生曾经说，百姓口袋没钱，扩大消费就是空话。。现阶段，再怎么刺激，也莫得用。大部分老百姓口袋没钱，即便少部分人有点余粮也会受制于医疗、养老、教育、房产而投鼠忌器。
1668595121# #比特儿、火币可以看到FTT在挣扎，币看、币安已经把FTT“挂”了。
1664510006# #古董局中局中有个“四悔斋”：悔人、悔事、悔过、悔心。
1656813971# #MicroStrategy：已做好准备度过持续的风暴并继续购买更多的比特币。近日MicroStrategy(MSTR)的首席执行官MichaelSaylor否认了该公司拥有的比特币即将面临清算的传言。。MichaelSaylor在接受采访时表示只有当比特币跌幅超过95%时，股东才会担心公司的财务状况。。MichaelSaylor
1657310680# #早ﾉ☀。能柔非柔，至刚无刚。
1698480939# #1693年，即康熙32年，英国推出了公务员财产公示制度，距今已经整整330年了。
1685671415# #很多会计担心AI机器人抢饭碗来了，其实大可不必慌张。因为AI机器人是按照会计准则和税法指令程序干活的，如此下来，在盛行“两套账”的中小微企业就要喝西北风了，这些企业的老板指望着肉身会计人帮他们进行“避税”策划，还有呃，肉身会计最大的利用价值就是“背锅侠”！会计会没有前途吗？
1659909171# #早ﾉ☀。Weareallinthegutter,butsomeofusarelookingatthestars.。我们都在阴沟里，但仍有人仰望星空。
1674233290# #盘点2022年断断续续封控，宅家学画狗狗，且陶陶，乐尽天真，一腔诗情喂了狗。
1666052929# #得益于美股转指数的反弹，比秃鼻回到箱体17000～22000中轨19500附近。
1657838990# #法院文件显示Celsius资产负债表缺口约为12亿美元，受Celsius破产影响，比特币矿机价格暴跌至近2年低点。根据一个专用集成电路(ASIC)交易台的数据，比特大陆的AntminerS19和S19Pro的出价约为20-23美元/TH，而这些型号最近几个月的价格曾达到40美元/TH，去年一度高达119美元/TH。自2020年比特币价格触
1693254921# #大饼比秃两个支撑。周技术指标死叉，形态上下跌中继，空头架势昭然若揭。。短期颈线24800支撑；。长期尚有明年减半周期信念支撑。
1667227831# #上证指数政策底在3000点附近。市场底不会和政策底重合，市场底在时间上要滞后，空间上要下沉，极有可能在2550～2850区间。
1680080669# #美众议院415：0投票决定中国为发达国家，再也不用宣传了，连大号的美帝也不得不承认，华人自豪吗
1669765136# #美联储威廉姆斯：美联储可能在2024年降息
1681583964# #马陆夜市，市井的快乐
1675297007# #2022年全国城市GDP十强为，上海、北京、深圳、重庆、广州、苏州、成都、武汉、杭州和南京。
1659662689# #马斯克预测美国“可能会出现18个月的温和衰退”
1672707549# #中信证券：全年关键做多窗口即将开启。中信证券指出，2023年是A股的“转折之年”，1月全年战略配置期和战术入场期叠加，在全国疫情“达峰”后，将开启关键的做多窗口，建议提高仓位，配置上由12月的均衡配置转向偏成长风格。首先，1月全国疫情流行期“达峰”可能早于预期，基本面预期迎来拐点后
1702501300# #前进的路上免不了跌跌撞撞，栽栽跟头，爬起来，继续震荡。若依大趋势，跌倒时就是进场的机会，只要不是杠杆，心中不慌。比秃技术指标
1658177722# #美股三大指数高开低走，集体收跌，所幸守住了5日均线，但形势不容乐观，道琼斯、标普击破上一日阳K线实体一半，而纳斯达克则是吞噬上一日阳线实体全部。
1660331128# #早ﾉ☀。夜里还是那么热，今年的秋老虎。
1663786851# #美国联邦储备委员会宣布加息75个基点，将联邦基金利率目标区间上调到3.00%至3.25%之间。
1687661998# #普京加“杠杆”崩盘了。普京占领克里米亚，尝到了甜头。。后面又加小杠杆，挑动乌东两州独立。。再接着加巨大杠杆发动对乌克兰的“特别军事行动”，原指望一个月结束战斗，现在一年多也没解决，深度套牢。。现在战火烧到了俄罗斯境内不算，瓦格纳雇佣军反水，直接进攻莫斯科
1698006401# #别让康康跑了：现在清查富士康纳税情况，不能让康康想跑就跑，哪有那么容易的事。
1671143669# #早ﾉ☀。疫情紧张得恐怖，以前管住不让乱跑，大致可分“敌我”，现在任其满大街跑，分不清“敌我”，没了安全感。
1697585875# #信天游
1699771313# #美联储暂停加息，增加了市场流动性，利好加密货币。
1667789668# #上证指数反弹已经攻占5、10、20、30日各条短期均线，意欲挑战60日均线。
1682842315# #长假出油，脑子烧得慌吗？
1655920317# #早ﾉ☀。美好的生命应该充满期待、惊喜和感激🍉
1693945079# #大饼比秃在25500上方徘徊，离颈线24800大约3%左右的距离，倏忽可至。
1668397995# #股市今天活跃的是房地产、证券等板块，这些股体量大，拉动指数。
1689108720# #好奇的的是，小彩龟水底用餐，张口撕咬、咀嚼，吞咽，不用呼吸吗，还有哦，水不会呛到口腔、咽喉、肺部和胃部吗？
1688075802# #白云观窝风桥“打钱眼”
1662421880# #9月5日，上证指数报3199.91点，上涨0.42%，成交额3395.92亿。。深证成指报11678.69点，下跌0.2%，成交额4300.71亿。。创业板指报2538.20点，上涨0.20%，成交额1395.58亿。。总体上个股涨多跌少，两市超2500只个股上涨。两市成交额7697亿。板块方面，燃气、煤炭、港口、新疆振兴等板
1667909189# #我炒股十年，一直谨记19条股市铁律，才能够少挨打多吃肉，精髓都在这里，献给有缘人！。1、如果你的资金不大，比如在50万以下，每年抓到一次主升浪行情就够了，千万不要时时刻刻满仓。。2、每天坚持复盘，把自选里的股票看一遍，K线图必须熟悉，才能跟随主力的节奏...。来自用户4280064418的讨论
1660517653# #国家电网董事长辛保安：预计到2030年，我国风电、太阳能发电等新能源发电装机规模将超过煤电成为第一大电源，2060年前新能源发电量占比有望超过50%；到2030年、2060年，我国电能占终端能源消费比重将分别增至39%和70%左右。
1693135404# #证券交易印花税减半，掀起行情，涨势越大，收割韭菜就越厉害。。证券交易印花税实施减半征收明天起减半征收证券交易印花税证券交易印花税时隔近15年再下调
1669765291# #国家税务总局广东省税务局和中国工商银行广东省分行正致力于打造“数币+税收”服务模式，至11月25日在广州成功完成首笔通过电子税务局渠道的数字人民币缴税业务，已逐步建成多渠道支持任意运营机构数字人民币钱包支付税费款的应用场景。
1662511933# #过去的好时光：八十年代《大众电影》封面
1667259970# #10月31日，上证指数报2893.48点，下跌0.77%，成交额3966.54亿。。深证成指报10397.04点，下跌0.05%，成交额4864.66亿。。创业板指报2265.08点，上涨0.65%，成交额1768.32亿。。总体上个股涨多跌少，两市超3200只个股上涨。两市成交额8832亿，较上个交易日缩量265亿。盘面上，智慧
1702932996# #漂亮国在年年唱衰中股市一直都是上涨的。某国在年年形势一片大好、稳中向好中，股市一直在3000点上下徘徊很多年。
1675804983# #隔夜美股三大指数先抑后扬，集体收涨。。比秃币联动美股，止跌上扬，收复5、20日均线，很有可能走“空中加油”，突破平台，继续春季攻势。
1657257746# #瓦罐不离井上破，将军难免阵前亡。。已经因病而辞职日本首相的安倍晋三，还要露面出头，街头演讲，遭血光之灾。
1672701714# #这周、下周，感染的高峰期即将到来，可能日增百万。
1694151308# #加密货币有望采用公允价值计量属性。美国会计准则委员会FASB将投票决定，允许美国企业采用公允价值记录比特币等。以前美企基本采用历史成本法，一年一度计算一次盈亏，这使得比特币等加密货币账上的情况和市场实际市值脱节而差异较大，新的公允价值计量方式将改变这一历史状况。
