1697293279# #巴以冲突记者手机APP警报响个不停。难得看到了对生命的尊重～
1702287907# #成都强降温虽迟但到想玩儿夹鸭子委屈委屈委屈
1688909215# #明星是怎么偷偷谈恋爱的明星也是人啊允悲。去掉光环，真的普通得不能再普通酷。谁知道光鲜亮丽的背后会是怎样一副不堪入目的皮囊？还是多爱自己吧！总归爱自己不亏！
1704017163# #新的一年，如我所愿！。2024666666666。成都·香香巷地点
1702110395# #看着看着就哭了泪泪泪。小时候不知好歹，总想着长大～
1692753172# #一款游戏里的插曲🎹BornAStranger。好强的宿命感🎧
1702427109# #这就是CityPop啊笑而不语好复古吖！。前奏绝了～。竹内まりや《PlasticLove(New-Remix)》
1692972613# #日本水产行业哀鸿遍野古语有曰👉自作孽不可活
1696988325# #请残酷的犹太人跟着神走吧！
1700968227# #我好像又挖到宝了哈哈哈哈哈哈。这个组合的作曲节奏完全💯是我的坑啊笑cry笑cry。鼓点狠不戳
1696824490# #以色列大使馆以色列驻华大使馆已在微博被中国网友打阵亡哈哈哈哈哈哈网友在美驻华大使馆微博下留言乌克兰驻华大使馆微博
1702690521# #🥶。2度。下雪❄️了没？。下雪了再叫我。实在没勇气起床🧊
1696814148# #确实不该拿这本书就说领土是他们的哼黑线按照这逻辑，我可以拿着元朝版图说，你们都是我们的笑cry笑cry笑cry
1699191558# #潘多拉的盒子打开了，全人类陪葬？
1701146303# #特斯拉回应成都连撞11车事故绕着它点走哼哼哼
1700964353# #终于出太阳了憧憬憧憬憧憬
1693899409# #笑死我了😂。各大培训课老师开始押题开直播～周超直播，考友在线反应，划的重点和我看的另外一个老师划的全都不一样哈哈哈哈哈哈周超回应：那给你划的啥？。我想说，听了三个老师的课，基本上全书都是重点允悲允悲允悲
1697066882# #不听原版，我就没有错二哈二哈二哈
1692404988# #张新成都笑开花🌼了打call打call打call
1689081488# #成都入伏迎来退烧雨完了二哈感觉要下开水！
1693448146# #等我考完了，出去好好休息休息开学季开学季开学季
1691487024# #必须赶紧告诉他们吃惊散装辣椒面不密封好，回去要回！（“回”的意思就是，要返潮，变成一坨一坨的）为什么不带火锅底料？打call打call
1692801345# #浅蓝和粉色真的是这世上最美好的存在🩵🩷。准确说，我更喜欢这俩颜色的渐变和自然混搭
1704038752# #2024新年快乐每一天送花花送花花送花花2024年第一条微博
1699710715# #努力在天赋面前，不值一提👍🏻
1700640896# #嗮太阳🌞好暖和
1702966408# #哇哇哇我的礼物🎁也准备好了🎄🎄🎄
1703638906# #是我喜欢的style～喜欢R&amp;B的快去听。（胃不舒服的日子，好不喜欢上班）。oftn《overyou》
1689382843# #Morning🌞。强烈推荐这个阿尔法脑电波，真的可以使人静下心来，效率棒棒哒👍🏻
1703169967# #让我哭会儿泪泪泪太好听了！周氏情歌水准回归！笑死！那些说不好听的，憋和我抢演唱会票啊！
1696837227# #巴以冲突已致上千人死亡巴以冲突已致双方超1000人死亡。翻译：“以色列，你夺走了我的土地，摧毁了我的家园，杀害了我无辜的母亲和婴孩的妹妹，把我们其余的人关进露天监狱，让我们所有人挨饿。但我成了恐怖分子，就因为我还手了？”
1695216315# #无论真假，信不信由我鼓掌鼓掌鼓掌
1697517825# #哈哈哈哈哈哈
1697117227# #弯弯，关键时候看看谁拉了你一把？。以色列台湾
1692364568# #我以前怎么没发现这段前奏？真绝绝子！。音乐人凑一块，就应该如此美好👍🏻。（B转见水印）
1699419909# #🐰有点滑哈哈哈哈哈哈。（东北下雪了，南方人慕了）
1695385208# #距离我上一次弹琴🎹应该是两个月前哼现在手僵硬得就和铅块一样，不听使唤委屈委屈委屈
1697862665# #LANY的歌，是我喜欢的style抱一抱抱一抱。AlonicabyLANY
1700919728# #。
1696937660# #以色列犹太人这个民族实在不该在🌍上繁衍生息，跟着神走吧！bilibili戏京同志的视频
1689081592# #成都限电把送出去的电都要回来！奶娃尽奶别家去了！
1696810850# #从小就听到巴以冲突的新闻，这都多少年了，还打黑线黑线黑线好像伊朗要加入，这下好了，中东又“热闹”了摊手摊手bilibili小约翰可汗的视频
1691989282# #你是中国台湾人👍🏻。真的无法想象，湾湾回归那天，该是怎样的普天同庆～。台湾
1692767054# #“国粹”！这都是些什么人👿👿👿
1688358559# #蔡徐坤回应混淆视听吧～未成年不是C女士！是另外一个，前者涉及道德，后者是红线！前者塌房，后者同签打工人打工人打工人
1704154740# #晴天音乐泼天的富贵落到了梦田之大头乐队，可惜歌手没接住～憧憬好不容易找到谱子！分享一下嘻嘻嘻嘻嘻嘻练习🀄️钢琴谱分享五线谱钢琴钢琴谱
1689692921# #公元前109年，汉武帝出兵打滇国，部分滇国人举家南迁，居然跑了（直线距离）接近三千公里，关键是还跨印度洋啊老师好在印尼苏门答腊岛上沿袭至今打工人打工人的巴达克人～哆啦A梦吃惊哆啦A梦吃惊哆啦A梦吃惊想想人类学都好神奇，从未相识的两族群，2000年前是一家，然后族群A拿着挖出来的
1697163686# #凤凰卫视有问题🤨建议查查
1696723545# #以色列已致100死908伤推上巴勒斯坦小女孩面对以色列士兵，喊话，滚出我的国家～害失望打仗受苦的是百姓～
1699790452# #这套不错鼓掌鼓掌
1690897003# #歪果运动员：😳✊🏻✊🏻成都娃：🖐️🖐️声音：fifiteentwentyten歪果运动员：🍺（好有画面感允悲）
1702874119# #突然觉得很喜欢这种彻底归零的压迫感～。
1691730325# #缅甸柬埔寨来抢中国游客了笑cry笑cry笑cry这就婉拒了吧～咱命重要‼️
1697019113# #不行❌看不了这些视频，眼眶都湿润了！太惨了！平民是无辜的！更何况还是婴儿👶🏻
1700403295# #一笑而过
1701577259# #这小孩儿🉑️期啊～这五官太惊艳了！
1691854068# #夏威夷山火已致59死救火啊黑线为什么不救火？刚刚在X看到的👇既然天灾人祸，那就祈祷尽快灭火吧！下雨也成，为了无辜的生灵。
1702358342# #萌兰在倒立🚀💗憧憬憧憬憧憬
1703131834# #妈妈上班好累啊允悲允悲允悲再次证明，世上只有妈妈好
1703843602# #2023👋
1702784061# #这阿婆主的比喻笑死我了~。主角：我真的没有任何想要PUA你的意思，单纯就是没有工夫看你而已；配角（印度小三儿）：他为什么不拿正眼看我呢？我有什么比不上那个叫阿美莉卡的妖艳贱货的？“印度的进步都这么大了，中国怎么就不焦虑呢？”印度将军很不解哔哩哔哩动画
1702267851# #明孝靖皇后的十二龙九凤冠真品要来成都就冲这个，饱眼福太开心太开心太开心。成都博物馆
1699501753# #哈哈哈哈哈哈哈哈哈🧊
1696165236# #🛏️👂🎧😌Mree《SomeDays》
1696412383# #一晃眼，妹子都出嫁了羞嗒嗒真的好快！。祝新婚快乐，幸福美满送花花送花花送花花
1694093118# #鼓掌鼓掌鼓掌。妈咪说我备考辛苦了，🧧2000预祝我考试上岸！世上只有妈妈好抱一抱抱一抱抱一抱
1697358310# #DNA副歌部分抓耳哇哇。（抖转）
1690553515# #大运会开幕式这个川剧变脸我可太喜欢了抱一抱抱一抱成都大运会
1701353202# #假如外星人到访地球把假如去掉，人类重新洗牌吗？高纬度的我能见见我，聊聊呗？
1702529187# #空头拍比雷鬼惊艳吖哆啦A梦吃惊哆啦A梦吃惊哆啦A梦吃惊
1700562334# #哈哈～建议妹子长大后来中国生活，小中国通👍🏻。认识她三年多了，每年的今天她都会做一个视频送我当生日礼物，很喜欢这种纯纯地没有任何杂质的爱，特别是在这物欲横流的社会里，大家都在权衡利弊与得失。也许只有小孩子才会如此珍贵。
1697085440# #山海经在此📖并不简单并不简单
1701435705# #周五的晚上，躺沙发上，循环着电视剧～。一堆烧烤😋+热牛奶（好奇怪的搭配）。惬意😌
1690469021# #我要的是我喜欢，其他不重要抱一抱抱一抱。有种涅槃的感觉👍🏻
1690547888# #成都大运会有被笑死允悲日本🇯🇵代表队出场，全场瞬间安静！好尴尬允悲全场静默10秒钟～嗯！大家都懂哈哈哈哈哈哈
1697161929# #X（前身Twitter）居然在屏蔽巴勒斯坦平民的惨烈视频和发声鄙视鄙视鄙视说好的言论自由呢？
1691679643# #哈哈哈哈哈哈哈哈哈哈哈哈泡椒牛肉！那是相当辣的！。来自：B站巧克力面包脑袋
1701821816# #136遍笑而不语笑而不语笑而不语。音乐分享音乐推荐欧美音乐
1701838329# #就像夜里雨打车窗的感觉～
1701649642# #五月天假唱派和真唱派真唱可能不好听允悲假唱全场嗨，好难选委屈
1695962639# #推荐一部美剧罪恶之夜，一个好端端的穆斯林大学生纳兹偷开父亲的出租车🚕去参加party，迷路后遇到漂亮女孩儿，卷入一场载脏嫁祸的谋杀案！看得人好无力！女孩不是他杀的，却改变了一个家庭，连他亲生母亲都不相信不是他杀的可怜可怜好好的人，在监狱里学会了贩毒，吸毒～虽然最后获释，真相大
1694613115# #哇哦哦哦哦哦哦👽真的和电影里一模一样～我是越来越相信尼比鲁星之类的传说和神话了嘘嘘嘘
1699624770# #还是咱自己的古典舞好看鼓掌鼓掌鼓掌。（抖转）
1689562294# #MYBADBADBAD失望。听说8月出。再次强调，很少听电音，烟鬼除外憧憬
1692420871# #香港新生代的祖国认同感还需加强啊～要移民放弃中国国籍的，赶紧润去！看着他这样，我都替他着急～。香港
1699870919# #说真的，比咱们封路还要狠汗汗汗。铁栅栏嘘
1702376889# #曾经为了这首曲子去听马克西姆的演奏会，现在想来都要感叹一声：他好高吖允悲允悲
1689895957# #中建八局被实名举报桩长不够，打桩到不了标高，要继续打，看压力和贯入度。一般情况，都会和设计沟通的，设计确认没问题，会出变更。可能是手续后补，还没补到位。分包又没拿到应该拿的钱，被举报了。
1698238262# #粉蓝真的是绝配打call打call打call
1698383847# #印度军队向巴基斯坦开火😐这是要三战的前奏么？
1702615933# #不能说的秘密即兴改编。🙉🙉🙉我鸡皮疙瘩掉一地！。3:30分🧎‍♀️🧎‍♀️。（抖转：Drummer大头）
1704024445# #2023道个别886。2024愿我有能力爱自己，有余力再爱别人比耶不再内耗自己，一切顺顺利利～
1697329409# #以色列同意加沙地带的外国人离开巴勒斯坦是不是要消失了哼哼哼
1699316935# #允悲南方人也想体验一下无动力出行
1704007372# #明孝靖皇后十二龙九凤冠，终于见到了憧憬憧憬憧憬成都博物馆
1703294167# #这哥40多了吧哆啦A梦吃惊哆啦A梦吃惊哆啦A梦吃惊。乐队里的小盆友好可爱吖666666666
1703463540# #很中国的一首情歌，颜人中难得出新歌～颜人中《爱到你说(电影《一闪一闪亮星星》心动推广曲)》。网易云满屏的❄️🎄🎁圣诞🧑‍🎄快乐～
1691892878# #我手起茧了老师好老师好
1696080071# #最近看海奥华预言罗斯威尔事件莱瑟塔档案看得不亦乐乎憧憬憧憬真的比我看科幻电影还科幻！人类不是进化🧬来的，是基因改造的产物，并且造物主看我们在地球上就像我们看实验室🧪的小白鼠🐁一般，并且人类在创造之初就留了一个bug,可以轻松被意念控制（让你看到什么就是什么），灵魂被
1703586663# #难过？憋住！
1691676477# #笑cry笑cry笑cry。我离花花🐼15.9公里，看了阿婆主的视频决定，还是不要去凑热闹了！排队2小时，看花花2分钟，还要一大早抢位置长跑二哈再说我路痴，等我到了，花花可能下班了（天气热，花花25-26度就下班了）。大熊猫和花花花bilibili初九-是熊猫团子也的视频
1702546850# #刚刚看到一段话，深有感触～。调整好自己的气场和磁场，。所有事物都有两面性，。凡事发生，皆有利于我！。汪洋海蓝比心
1701822648# #正常不是应该有喘息声么？对嘴型太明显了～
1693954764# #倒计时
1698383288# #基因🧬真是门玄学
1697379300# #以色列攻击加沙地面行动因天气原因延迟数日-纽约时报。以色列官员说，入侵原计划在周末进行，但至少推迟了几天，因为多云的天气使以色列飞行员和无人机操作员更难向地面部队提供空中掩护。。除步兵外，以色列打击部队还包括坦克、铲车和突击队。地面部队将由战机、武装直升机、空中无人机和从陆地和海
1700093684# #一大早，笑死😆。（抖转）
1690292951# #成都本地人表示成都大运会大运会运动员餐厅居然有熊猫汤圆，真是开眼界了求饶求饶求饶。这个季节，强烈推荐冰粉鼓掌鼓掌。（来源：B站视觉中国CM）
1703647679# #人才啊！人才允悲允悲允悲
1690435104# #这两张真是配鼓掌鼓掌鼓掌
1703321954# #悲伤版本的晴天，好想要谱子哦😯。那谁，吉他太突兀了，挤不进去别硬挤啊～歌手真的可以不用唱🙉耽误我听纯享版的钢琴曲～
1697032097# #以色列居然要动核，看来它是嫌命长了！
1700966116# #这前奏，我无法自拔哇哇哇。6天听了90遍666666666。我在吃饼干的画外音笑而不语
1697634468# #好可怜的孩子可怜可怜可怜
1700749226# #神仙姐姐秒了求关注美哭了下辈子要按这个样本长～
1700698386# #666666666我循环4天了。这鼓点完全敲在我了我的心尖尖上抱一抱抱一抱。EmotionalOranges《Sundays》
1692860603# #这就和你邻居往你家公然投毒☠️没啥两样
1703588680# #终于等到钢琴🎹纯享版爆火的一首悲伤版晴天，要谱子谱子谱子泪泪泪在1分的时候，眼眶一下就湿了～。怎么办？我贪心，加提琴加鼓憧憬憧憬憧憬
1702386628# #CityPop是什么？但是好好听吖抱一抱。4分钟以后真的享受丝滑！。一个从事故到故事的演出！牛逼！。原来耳返里面这么吵杂啊允悲允悲允悲。（抖转）
1701927951# #N年前很关注的一个红不起来的韩团，他们的歌都很好听，可就是不火～害哼后来解散了～IMFACT《니가없어(InTheClub)(没有你)》
1699707060# #成都双11赢来了。妖风🌀💨💨💨🧊下雨下雨下雨。玛耶，这种成都进入速冻模式的节奏🥶🥶🥶。短袖急转羽绒服揣手揣手揣手
1703117501# #关键是没冰没雪也🥶
1702015037# #打call打call打call哇哦哦。办公室的圣诞🎄
1703204558# #冬至快乐。她的声音好适合这种风格吖。HaleySmalls《Affinity》
1700749632# #以色列前部长声称各国应分担加沙200万难民WC衰这话他是怎么说出口的？纯纯巨婴甩锅啊！
