1691455439# #涨知识good
1700002800# #近期的几起车祸！说安全千遍，不如看动图一遍！吃惊蜀黍说安全安全出行
1696041000# #小车错过出口突然变道把后面大货车逼下高速，货车司机大怒火速逼停该小车……小车应该感谢大货车的不杀之恩！费解蜀黍说安全
1699144543# #网友投稿：昨天10点07分左右，号牌为粤B·BE9711的白色极氪001小车，一路危险驾驶，由南往北沿番禺大道北再上番禺大桥。在还未到番禺大桥收费站时，就不按车道行驶，挤旁边的车。过收费站后急加速跨多个车道去最左道。番禺大桥上，因我没有后车窗记录仪，后视镜里看到他从最左道一口气变到最右侧应急车
1690020002# #网友投稿：女子手机外放，男子嫌女子看视频声音过大，结果……费解蜀黍说安全
1695043801# #幼童断指家长紧急报警，“麻烦帮我备下案，我可能要闯红灯！”5分钟后铁骑队员赶到开道，一路闯灯逆行护送…不只允许你闯红灯，还帮你开道！关键时刻你可以永远相信人民警察赞赞赞中国正能量蜀黍说安全
1691622000# #九张动图警示你：高速错过出口请将错就错费解蜀黍说安全涨姿势
1696917919# #应该是在左转车道直行了
1691060402# #河北保定这家物业被纷纷点赞，城区内涝严重，但是这个小区物业把地库死死封住，愣是没让一滴水进入小区地下车库。good京津冀部分地区特大暴雨泄洪台风杜苏芮
1689240600# #网友投稿：老哥下车抽烟被关在高铁车外，能说活该吗？允悲蜀黍说安全
1703736002# #网友：这轮椅开得也太成功了！哆啦A梦害怕蜀黍说安全间歇性冷漠
1703770201# #跑车任性变道被撞车损严重，阿斯顿马丁可惜了…有网友质疑视频车没有及时避让？汗蜀黍说安全间歇性冷漠
1688705318# #码了～
1687734000# #近期的几起车祸！说安全千遍，不如看动图一遍！吃惊蜀黍说安全安全出行
1701868052# #对，最讨厌老头乐了！
1690168224# #允悲
1691564402# #网友投稿：小车右转不观察，遇到超速摩托车。你觉得这事故谁的责任更大？费解蜀黍说安全
1689744601# #小伙子挥了挥手，大度的原谅了司机。。。衰蜀黍说安全
1696860002# #网友投稿：厦门北到北京南的某高铁上，有个奶奶带着一个不到一岁的宝宝，孩子有点哭闹，乘警过来跟奶奶说:“可不可以想办法让孩子安静下，因为会吵到其他乘客休息”，奶奶很不好意思很抱歉的说:“这个孩子脾气大，对不起对不起”。乘警说:“那您可不可以和他说一说，不要吵了”，奶奶说:“他听不懂话呀
1700130601# #女子开车坠河，大爷跳入刺骨的河水中将被困女子救出。绝对是救命之恩！大爷好样的good正能量救人瞬间蜀黍说安全
1702198801# #骑马逆行，果然出事。赖谁呢？允悲蜀黍说安全
1691056800# #骑手组队弯道逆行超车，这次还算幸运，下次呢？衰蜀黍说安全
1697419801# #接这条：无锡高速被特某拉车主别停3次事件后续。费解蜀黍说安全
1690430401# #网友投稿：前面白车一直骑线行驶，后车也不淡定了，结果舒服了。你认为这事故谁的责任？衰
1688806801# #网友投稿：这倒车技术，你打几分？允悲蜀黍说安全
1703642400# #几个人在路边聊天，没想到小车司机操作失误。。。汗蜀黍说安全
1695794401# #红色小车错过出口随意急刹停车，造成后车发生追尾事故。交警：无接触也要负事故全责！good蜀黍说安全
1697758200# #网友投稿：车门开了孩子掉出来司机居然不知道？后面的白车和红车司机太倒霉了汗自己会开车后才知道的真相蜀黍说安全
1688554802# #真是什么样的父亲就能带出什么样的孩子！女子地铁上称被男孩“摸屁股”向男孩父亲控诉遭回怼，男孩家长：你屁股太香了我也想摸一下了。哆啦A梦害怕蜀黍说安全
1695643202# #大爷自己骑车摔倒，要死要活的缠住了小姑娘。等小姑娘给他道歉后，竟然让小姑娘赔他1000块钱。大爷这钱该赔吗？汗蜀黍说安全
1689080401# #网友投稿：女子借充电宝遭拒后情绪失控7月10日，杭州东站，女乘客没带身份证，手机还没电关机了。想找工作人员借充电宝充会电刷手机进站。工作人员也是个跟她年龄相仿的女孩子，跟她说楼下有充电宝拒绝了她。然后这个女乘客就情绪失控，大骂工作人员……费解蜀黍说安全
1691753401# #网友投稿：几个小黑(大概四个人)从三轮车上下来的时候拿起行李疯狂跑，小哥赶紧跑过去抓住一个行李不放，应该没给车费，最后一个小黑掏钱了……哼哼哼
1690873201# #男子被洪水围困消防员从天而降救援男子驾车涉水被困河道中，消防员从天而降成功施救。good蜀黍说安全
1698188400# #九张动图警示你：珍爱生命，勿闯红灯！衰蜀黍说安全安全出行
1695343222# #这女孩不简单good
1700375401# #网友：这种情况视频车应该让行吗？费解蜀黍说安全
1699501006# #摘星星的小姐姐王亚平有了新职务good
1688135400# #网友投稿：老人坐着电轮椅在机动车道逆行，这人咋不怕被撞呢？费解蜀黍说安全上半年最后一天
1693018800# #网友投稿：有的家长真的不配当家长，小孩子不懂危险，家长还熟视无睹一样。你觉得这事故司机有责任吗？费解蜀黍说安全
1691839801# #这就是在雅安鱼鳞坝跳舞的11位大妈。当地人在岸上大喊：“快上来有危险！”，喉咙都喊破了，她们就是不听，依旧兴高采烈的扭着拍着抖音。最后被突如其来的洪水冲走，4人获救、7人遇难。。。费解蜀黍说安全
1701305493# #允悲
1695981601# #哪有什么岁月静好，只不过有人在替我们负重前行！致敬中国军人心致敬人民子弟兵国庆中秋双节同庆国庆
1700704279# #允悲
1703201401# #11月3日，四川内江，学生奔跑式过马路，被小车撞飞。交警认定，司机驾车对道路情况观察不足，承担事故主要责任；行人横过道路时未确保安全，承担事故的次要责任。你认为司机主责冤吗？允悲蜀黍说安全
1699333202# #广场舞大妈居民楼下跳舞扰民，业主无奈下单跑腿小哥，跑走音响！网友：干得漂亮！允悲蜀黍说安全
1692928801# #网友投稿：骑士精神？这种人缺少社会的毒打。费解蜀黍说安全
1696635001# #防不胜防鬼探头衰蜀黍说安全
1700265600# #请您停留1秒钟，向禁毒英雄致敬！🙏🙏🙏。。禁毒英烈刘永超，在抓捕吸贩毒犯罪嫌疑人过程中，与歹徒展开殊死搏斗，不幸壮烈牺牲，时年仅42岁。伤心。致敬缉毒英雄！让我们一起记住他的名字：刘永超致敬英雄
1703856601# #网友投稿：这女子上来给我一板砖，我这找谁说理去？费解蜀黍说安全
1693814401# #网友投稿：女子骑电动车遇下坡失控，连人带车摔进坑里，这个速度还没戴头盔真是凶多吉少。费解蜀黍说安全
1698490800# #言传身教，孩子啊，你有个有好爸爸good正能量蜀黍说安全
1697625114# #咬伤女童黑狗的主人被刑拘咬人的黑狗被抓获，狗主人被刑拘！good
1697169601# #小孩小区内被车辆碾压，这事故谁的责任更大？汗蜀黍说安全
1697071181# #爷爷笑起来好可爱呀二哈
1689674706# #这样的爸爸，在孩子眼里绝对是一个超人。good
1688284801# #网友投稿：小区遛狗不拴绳，小狗被大狗撕咬后转头咬主人。摊手蜀黍说安全
1699151400# #凌晨6点多，环卫工人被货车撞飞。谁的责任？费解蜀黍说安全
1701061202# #网友投稿：曼谷街头“摩的”出租，骑车人统一着装，乘客有序排队候车～good蜀黍说安全
1695042000# #玩归玩，闹归闹，别拿生命开玩笑！衰蜀黍说安全
1703466435# #线上辩论赛一定比线下的更紧张刺激good
1702116002# #小货车在高速导流带停车换位置，结果下一秒悲剧了。你认为这事故小货车有责任吗？费解蜀黍说安全
1691020801# #6岁女童不慎落水拼命挣扎，他俩二话不说一头扎进水里救人good蜀黍说安全
1698361200# #九张动图警示你：珍爱生命，勿闯红灯！衰蜀黍说安全安全出行
1702008003# #网友投稿：可怜的孩子，摊上这俩货！下车抱孩子的那个男人好帅good蜀黍说安全
1698710400# #请你停留一秒钟，为伟大的科学家点赞good。高伯龙！他是我国激光陀螺仪之父，花了43年时间填补了我国激光领域众多空白。。一辈子因为工作保密，他一生都籍籍无名，只为国家和民族默默付出的科学家！老院士40多年潜心钻研为中国武器装上“火眼金睛”。。高院士的一生，一直为国家和民族默默贡献，致敬民
1697887800# #甲壳虫正常行驶，突然蹿出一辆电动车，这种情况谁能躲得开？费解蜀黍说安全
1697268601# #大货车等红灯时，女子居然直接爬进车轮底下，等到车辆发动后，女子彻底离开了这个人世间！衰蜀黍说安全
1690587002# #无人机撞上大货车，无异于以卵击石。谁的责任？蜀黍说安全
1691802665# #《红高粱》原来还有这么一段往事，哈哈哈。
1701478801# #疲劳驾驶太危险了！事发温州乐清，小车司机竟然在高速行车道上睡着了，结果直接被大货司机撞飞。你认为大货司机有责任吗？允悲文明交通你我同行蜀黍说安全
1692867678# #【小调查：你还会去日料店消费吗？费解】日本核污染水排海正式开始日本福岛核污染水今天开始排放入海，下个月，福岛县近海地区将迎来拖网捕鱼季。有不少食客对日本食物失去信心，预料未来生意额将大跌近七成。中国日料店会大批量倒闭吗
1701932402# #小妹妹发现未满1岁小孩挂在电线杆上，坠楼瞬间，地毯秒变救生垫，为英勇救人的铁骑队员、外卖小哥和机智的小女孩点赞good救人瞬间正能量蜀黍说安全
1692932401# #考考你：当超车遇上超车。。。这事故谁的责任？费解蜀黍说安全
1693202402# #网友投稿：闯红灯害人害己，骑车人还好吗？费解蜀黍说安全
1692334801# #网友投稿：男子骑车逆行不戴头盔，交警认定视频车要承担3成责任，你觉得司机冤不冤？费解蜀黍说安全
1697016601# #网友：这就是摩托车禁止上高速的原因？费解蜀黍说安全
1693465200# #汽车设计上是右脚控制刹车和油门两个踏板，左脚刹车右脚油门？交通安全不容开玩笑，千万不要这样操作。费解蜀黍说安全
1694790001# #【女子夜跑晕厥被兵哥哥救下：康复后自制油条送岗亭感谢作揖】近日，河南洛阳，女子夜跑时低血糖晕倒在部队门口，执勤官兵看到后进行紧急救助。当事人马女士称，晕倒后兵哥哥用衣服给她垫头，这个细节很感动，还给她喂糖和饮料。康复以后就自制了油条等前来感谢。没想到被岗亭执勤的官兵婉拒了，随
1697965201# #强行插队遇上暴脾气，遇到这种司机你会让吗？费解蜀黍说安全
1693542505# #驾照考试科目一考考你：下图哪个交通标志表示停车让行？费解蜀黍说安全
1699450060# #护士：你放松一点你爸爸来带你回去了伤心伤心伤心
1692770401# #卧龙凤雏，一个蹲地上玩手机，一个倒车时不观察。赖谁呢？费解蜀黍说安全
1698561000# #遇到这种人肉占车位的，你会怎么办？黑线蜀黍说安全
1691042403# #这水泥罐车把自己当成洒水泥车了，真要命衰蜀黍说安全
1692588600# #网友投稿：这位车主到底经历了什么？费解蜀黍说安全周一
1699923601# #鬼探头，根本防不住。交警认定：双方负事故同等责任。你觉得司机冤吗？衰蜀黍说安全
1703079000# #【太惨了！老人斑马线被撞后又被二次碾压费解】近日四川达州，正在横过斑马线的行人被一辆白色小车撞倒。几分钟后，一辆出租车行驶至该人行横道时，将受伤在地的行人再次碾压致伤。交警认定：两位司机分别承担两次事故的全部责任。蜀黍说安全
1700179201# #请您停留1秒钟，向英雄致敬！🙏🙏。27名乘客得救，梁强却付出了全身烧伤85%的代价，靠6000多块植皮，40多次手术和700多天的治疗才保住了性命。致敬英雄致敬人民子弟兵
1698724801# #福田最繁忙天桥，网友：千万别学外卖小哥，我前几天看他们骑上去好像很容易，我也跟着上差点没摔死哆啦A梦害怕蜀黍说安全
1702450874# #【投票：冬季极寒测试有必要吗？doge】12月13日，中央气象台发布寒潮、暴雪、冰冻黄色预警，北京、河北等地有大到暴雪，部分地区最低气温将跌破历史同期极值。根据此前某平台公布的-30℃测试结果，新能源车续航达成率普遍只有3-5折。但这也引发车企质疑，认为测试不符合用户日常使用场景。你认为冬
1698849000# #又见“开门杀”！乘客下车未注意后方来车，开门将电动车撞倒。交警判定：出租车司机张某、乘客陈某各付50%的责任，电动车主兰某无责。蜀黍说安全退款11月你好
1688212801# #网友投稿：广东男子吸烟被直播的女子扔水瓶，女主播称闻到烟味就不舒服…这事你怎么看？费解
1701156041# #允悲
1701855001# #此时此刻我是你的眼！为红色车主的热心与善良点赞good正能量蜀黍说安全
1701327600# #网友投稿：这是美式拦截吗？汗蜀黍说安全
1692270001# #网友投稿：太嚣张了！发生剐蹭该怎么处理就怎么处理，这男的怎么还动起手了？费解平安生活守护者蜀黍说安全
1697288401# #骑手取餐。有网友称这么做是因为只要有骑手这么走过，平台地图就会有记录，让下一个骑手也走这个线路……思考思考思考
1687939201# #网友投稿：这视频车反应可以的good蜀黍说安全
1693206000# #网友投稿：大半夜的，高速公路上逆行还跑超车道！吓的魂都没了。黑线黑线黑线蜀黍说安全
1700524801# #请您停留1秒钟，向伟大的缉毒警察致敬，英雄一路走好🙏🙏🙏致敬英雄人民英雄永在心间
1693545782# #驾照考试科目一考考你：下图哪个交通标志表示禁止通行？费解蜀黍说安全台风
1693357202# #【男孩汽车出入口玩耍被撞身亡司机真是倒了大霉！衰】小孩在小区汽车出入口玩滑板被撞，当时车速不快，120来赶到时小孩已经失去了生命体征。如果你年纪轻轻的就不懂得约束自己蜀黍说安全
1697945400# #开车别路怒，这事儿赖谁呢？费解蜀黍说安全
1695596400# #近期的几起车祸！说安全千遍，不如看动图一遍！吃惊蜀黍说安全安全出行
1687408201# #网友投稿：疑似宝马与电动车发生纠纷，男子爬上宝马开始砸车。可真刑啊摊手蜀黍说安全端午节
1695045602# #保护孕妇人人有责！车主车尾贴提示语：内有孕妇回家生娃，保持车距！大货车规规矩矩远远停在后面。心心心赞赞赞中国正能量蜀黍说安全
1691757001# #这黑人男子咋就这么牛呢？重庆一外籍黑人男子无故打砸车辆，且不配合警察执法当街撒泼。网友：不管做什么都要遵守中国法律！必须依法惩治good
1701309601# #女子骑车撞倒外卖小哥反要求对方赔钱，坐在他人车上不愿离开，民警劝离无效将其强行带离。网友：这样的泼妇不能惯着他，为警察点赞赞蜀黍说安全
1692280803# #网友投稿：停车场内鬼探头与孩子发生碰撞，被家长拦着不让走，最终报警后视频车负次要责任～费解平安生活守护者蜀黍说安全
1687320002# #网友投稿：真当自己是老头乐了，最后舒服了允悲蜀黍说安全污
1702877400# #网友投稿：高速行驶过程中遭商务车别车持续2分钟！当事人已报警，对方因超车未遂别车。汗蜀黍说安全
1704171913# #现在缺的就是这种伸张正义的人，不然都太嚣张了加油
1690603200# #济南一轿车冒险涉水，过路市民拼命苦劝。提醒:暴雨天气切勿以身涉险。费解台风杜苏芮登陆晋江蜀黍说安全
1688656500# #网友投稿：大爷大妈在列车上聊天声音太大。一乘客说请你们小声点好吗？大爷怒怼：你们有知识就不要坐这慢车，这车都是没有文化人坐的……汗蜀黍说安全
1704016801# #网友投稿：现在碰瓷都这么敷衍了吗？直接跳过中间步骤进入要钱环节。允悲蜀黍说安全盘点2023
1694148351# #投票：同样价位的手机你选华为还是苹果？dogeMate60Pro+华为推出Mate60ProiPhone15机型比例为3比1
1701131935# #根据能量守恒定律，你越吃苦，别人享的福越多允悲
1697616000# #网友投稿：蓝色宝马变道被出租车撞飞……哆啦A梦害怕蜀黍说安全
1689465600# #外卖小哥街边救人，外卖小哥:医科大学毕业生，9月份就要去参军。good蜀黍说安全
1694325601# #电动车闯红灯与直行的小轿车相撞，最后交警判定：电动车主要责任，小轿车疏于观察承担次要责任…费解蜀黍说安全
1701406801# #出租车强行加塞，后车司机完全没惯着。你认为视频车这样做值得吗？衰蜀黍说安全
1688562453# #网友投稿：西藏自驾途中发生交通事故，对方白色哈弗逆行，撞上正常行驶的坦克300，俩车上都有人受伤……晕晕晕蜀黍说安全
1688450402# #网友投稿：小车司机嫌人家大挂车转弯走得慢，偏要从旁边挤过去，结果被卡住了吧……哆啦A梦害怕蜀黍说安全
1703901601# #网友投稿：大家帮我看看，这种情况谁的责任？费解蜀黍说安全
1687826636# #这属于学生骚扰导师吗？允悲钟南山院士与研究生合照意外被亲
