1697003519# #在建工地吊车倾倒，现场一路人被压身亡！衰
1687824753# #明星杨迪青岛活动，随行人员拦路不让通行！。路人：嘛呀，嘛呀，马路又不是你家的！
1698633482# #2023济南马拉松，美食补给区备受亲睐！。网友：头一回跑马拉松吃撑了！！济南马拉松流水席
1690020021# #布加迪车祸现场，这修起来花不少钱吧……
1702518503# #这些老鼠是专门养的宠物吧。。
1702829758# #今晚朋友圈被他刷屏了！！！什么鬼？？？
1691764940# #美国士兵参军的原因，看到最后一个真的绷不住了！
1691142964# #监控下的变态，高跟鞋舔起来什么口感。。裂开
1694220378# #女子公园相亲，年龄30-60均可，引得几个大爷聊的不可开交…
1695030732# #孩子妈妈：玩王者输了在这里大哭，他爷爷死我都没看到他哭的那么伤心……允悲
1687528386# #这位女士脑子想什么呢？？疑问
1692540417# #车主和这小孩都够欠的，人家都回头看见车了再打喇叭多少有点挑衅了…大家怎么看呢？？晕
1699248927# #带着孩子追逐信仰的朝圣者……
1700973252# #放了十多年的臭肉！一般人还吃不起的感觉～
1698759627# #自己管好老公就可以了，这种行为是要负责任的！
1703050342# #12月19日，安徽蚌埠，网友发视频称，在某洗浴中心，因为喝水也要收费，客人不满与大堂经理发生争执。。。。大堂经理态度强硬：找老板干嘛呀，你要是在这闹，别让我给你架出去不给你面子…
1691630329# #幼儿园都有这种活动了，到底哪个大聪明想出来的啊…
1691579655# #河南郑州眷之茶，外卖小哥与店员起争执！。眷之茶官方微博私信：目前已和解。
1687054973# #网友投稿：爱狗猛男遛狗不牵绳子，拍视频曝光还要跟我练练…
1687594685# #蜥蜴都不放过，建议小心。
1694045339# #简单的篮球防守教学，你学废了吗？
1703733338# #12月27日，广东肇庆，金戊羊交易市场，一群善男信女带着佛像围着拉羊的货车要去放生，他们这样已经不是一两次了……。据一位商户称，车他们是雇的，两车羊价值至少上百万，听说是买去放生……疑问
1698574115# #道路千万条安全第一条！
1688090454# #男士这样穿搭，上流人士叫时尚…普通人叫变态！
1695604763# #大清早的这么冲动，也不知道什么情况……衰
1688974520# #几位女生进入男厕所，被工作人员请出……晕
1702286154# #这位视频车主太🐶了……衰
1691935487# #杂技表演差点出了人命，绳子断裂3位演员高空坠落已全部送医。。。
1696922285# #发生交通事故，新能源起火！还要消防员及时赶到现场……
1697432721# #人活着就争一口气，有时候钱反而次要！
1699705901# #一开始也没碰上，后面这是什么操作呢？
1687218097# #6月16日河南驻马店，男子上传自己被老婆家暴视频，称自己被老婆掌掴殴打。目前，当地派出所已经联系男子告知男子怎么样保护自己。。男子发视频曝光老婆家暴
1698571349# #酒店内这样的吃席方式不多见吧。允悲允悲
1691020334# #不怀孕谁能想到她是一个女人呢～
1694175029# #高铁上，小孩子不断敲打座椅和前座乘客人头！列车长介入后，家长：不能按照大人的要求来要求孩子！
1690690934# #爷爷表达对孩子的疼爱方式，这样合适吗？？费解
1696059080# #这位精神小伙什么情况呢？
1689664742# #女子坐在滚烫的地上，歇斯底里地大叫：大家快来看看这个畜生，他骗了我三年！费解
1703652743# #两位老人公交抢座，算是遇到对手了……
1692512650# #现在的up主太会玩了！我喜欢……坏笑
1697025604# #到店里各种试衣服不买，然后扫码到网上查价格对比！被老板娘发现后哄了出来……
1698830125# #美女搞笑吐槽网络带货套路！这小媳妇真讨人喜欢…允悲
1692498063# #男女情侣吵架，一言不合就摔东西脱裤子！这你受的了嘛～费解
1688014698# #成都太古里，世界首富LV总裁阿尔诺，不仅挡路还不让拍照…费解
1691389848# #有意思的一段对话！不知道这位女领导最后会怎么处理。。
1691040557# #广东深圳，两个正装穿搭的男士问陌生女子借钱！说自己手机丢了，借几百块钱记下联系方式后面会还，女子不借反而被骂……这两人绝对是骗子！。女子拒绝陌生男子当街借钱后被辱骂
1689339668# #打也不是，哄也不哄不好，看得出家长也很无奈！
1699948602# #缅甸以前也是这样打广告的吧！
1702473042# #干货满满啊，绝对是全网最强水鬼测评了。买表找老师傅@表大爷阿俊
1688611590# #孩子乘坐地铁不配有座位吗？
1699505609# #异地恋情侣，这种满怀期待的心情谁能理解！
1694828156# #为何这位女士如此勇猛……衰
1688791753# #我还以为地上是一条狗呢！允悲
1700618317# #两口子成年人掏空才20块，一百块都借不到，自己的原因多找找吧！
1692328442# #高速路上别停大巴车！这小车驾驶员真刑……
1701046302# #十岁有这口才，枭哥后继有人了！
1696393246# #高速充电桩，一枪难求！
1696469246# #眼看马上成功，你和树枝较劲个啥～
1688020167# #叫买外碰到这种情况，你会怎么办？？？
1700545133# #因为停车问题发生争执，最后姐姐要一起去肯德基拍照……整个处理过程挺奇葩的！费解
1693570287# #特斯拉大姐穿着拖鞋恶意别车，发生事故后判同等责任！这个判罚合理吗？晕
1694857409# #这么长的距离愣是没找到刹车在哪……费解
1700034306# #这三个人还好吗？？
1702639360# #上一秒还在嬉戏打闹，下一秒谁能想得到呢。。
1691281668# #这饭店厕所设计的可还行。。。费解费解
1695111771# #一个悲剧的故事！这只鸟也太惨了吧。费解
1697621102# #四川崇州女童被罗威纳撕咬严重受伤事件，女童家长发起众筹，目标200万，短短一个小时已经筹款155万。。家长的做法瞬间引发网友热议，有人认为家长众筹200万的数字太大，怀疑家长目的不纯。。也有一些网友表示支持家长的做法，认为女孩后续给女孩一个好的生活保障也无可厚非。。
1689566055# #爱心冷饮！本以为是个暖心的视频！看到最后，有人开车补给，也有散步的大爷来进货……
1703835411# #今日下饭视频，胃浅慎点～
1702116396# #头都不想要了……吐
1695795228# #真实的纪录片在角落蒙尘，放眼望去，这个世界满是被愚弄的人！
1693574972# #她居然不嫌脏。。
1694528849# #因快递驿站老板未提供袋装服务女子发飙。网友投稿：女子快递较多，要求快递驿站老板找个袋子装上！老板太忙没腾出时间，女子过来取快递看到没装袋就发起了脾气……晕
1688547035# #男子在旅游区偶遇一群大妈，全身涂满黑泥，还跳着奇怪的舞蹈。。拍摄者：这是中国死海黑泥养身健身操。
1688089712# #放生现场，摔死的鱼拿回家红烧吗？
1695121536# #男子钓到几十斤大鱼，不料被同伴失手放走！对于钓鱼佬来说，这堪比杀父之仇呀！费解
1687868395# #6月27日，网曝重庆市秀山县中医院盒饭中吃出老鼠头。医院工作人员回应称，该院食堂不能堂食，都为订餐。出现老鼠头的情况，院方正和相关部门在调查。。重庆一医院被曝盒饭中吃出老鼠头
1688483018# #家长再晚来一会，后果不堪设想！
1687960901# #为什么卧室会有这么多的苍蝇！🤮
1692755012# #外卖小哥被陌生女子污蔑偷拍衰衰。8月22日，广东深圳，外卖小哥在店外等候出餐时因颈间戴了一个运动相机，女子怀疑外卖小哥在偷拍自己，大喊：“我们家马上就开庭了，你给我等着”
1689662653# #爱心冷饮！冰箱没有被拉走，已经算是素质进步了……
1695294378# #自作自受！不知道工作还能不能保得住。。。吃瓜
1693058900# #拉链式通行，理想车主抢行后追尾。。允悲
1702903612# #你以为是个方向盘？其实是电风扇～
1700875808# #大男人怎么弱不禁风。。。
1693956507# #兄弟俩都是狠人啊，不到万不得已一声不带坑的。笑cry
1696919065# #是因为居民素质不好乱丢垃圾吗？？dogedoge
1703062398# #山东烟台，女司机强行变道与正常行驶车辆发生碰撞，反过来指责对方车主：你是不是骗子……？。把保险定损员都干蒙逼了……允悲允悲
1698717633# #看热闹不嫌事大，拍视频的人也挺孙子的。
1688613502# #今年3月份，吴英杰乘坐轨道交通时，突遇一男子持刀刺伤乘客，吴英杰毫不犹豫挺身而出，阻止了嫌疑人进一步行动。。7月3日，中央政法委在京发布2023年第二季度见义勇为勇士榜，重庆科技学院2020级本科生吴英杰榜上有名。👍。00后男生地铁中勇敢阻拦男子持刀行凶
1693825729# #新手女司机，踩刹车踩成油门！直接把人轧到车底。衰
1697703622# #铁肘开道，没想到放了一个空大…
1702021180# #关于花10万块钱投5万注，中奖2.2亿元！感觉是挺离谱的！不知道大家怎么看呢？
1699072086# #网友：女子地铁车厢吃东西被男子劝阻：你吃就不对，不文明行为我有权利制止！。两人发生激烈争吵，男子一怒之下摔掉女子手中食物。。
1693995841# #酱香拿铁到底什么味！看看妹妹怎么说～
1697015262# #在以色列的华人：今出门买个东西，耶路撒冷又响起警报，随时往地下室里跑！
1696834585# #听见放鞭炮还不走，最后成掩体了。。衰
1690537996# #这位美女是喝多了还是什么情况？？
1691399342# #碰到这种情况，你会主动这位妈妈让座吗？
1687266021# #东莞，两伙人喝完酒赤身肉搏！路边群众看的不亦乐乎……
1690690741# #烟瘾再怎么大，也不能在高铁上抽烟呀！
1691200233# #网友举报张亮麻辣烫卖假羊肉，宣称100%真羊肉，竟然是猪肉和鸭肉！目前市场监管已介入调查。。张亮麻辣烫官方回应：羊肉卷为门店私自采购。。张亮麻辣烫卖假羊肉
1702534855# #董明珠在格力大学生入职仪式上，怒斥孟羽童：借平台当网红！！。劝诫大学生：钱不是梦想……。董明珠在格力大学生入职仪式上怒斥孟羽童
1700884215# #上班累死累活的，还要配合学校参加活动，有什么意义吗？？
1695796730# #喜提新车！还没出4S店大门就把另外两台新车给撞了，女司机蹲地痛哭！
1691333840# #丈母娘和女婿喝酒，这嘴叭叭的可真厉害～允悲
1699509567# #顺手牵羊，看见不拿就是亏……
1698817994# #从此以后告别摩托车吧！
1702189872# #看到我拍视频瞬间不饿了，走路也有劲了！
1703495668# #不化妆的时候颜值已经封神了！
1703066883# #这个要求，也不知道能不能嫁的出去。。
1696300942# #路怒别车敲窗威胁，临走送两个水果是啥意思？
1697074688# #巴勒斯坦男子坐在加沙城中部的废墟上。此刻他在想些什么呢？
1692593807# #这位长发男司机，不行就远离摩托车吧！太危险了～
1691120442# #碰到这种人，直接大声呵斥！！不然只会越来越过分～怒怒
1696899918# #出去旅游的中国大妈，丢人现眼到国外了…
1695341308# #话说一月给你多少钱，你能这么有激情的上班？
1694242090# #快播案，王欣法庭上自行辩护……
1703721121# #这文案触碰到伦理道德底线了吗？思考
1687910461# #人善被人欺！有些人就爱欺负老实人……
1695611096# #不得不说这些人体力真不错。。
1698480607# #年轻时候还是对自己老婆好点吧！
1696411339# #【第二段】玩不起就不要玩！自己孩子掉了下去，认为是后面人的原因，非要把其他人都摇下去…。被工作人员拉上岸后，有的孩子家长气的要揍她！
1700703461# #当初便民的共享单车，如今堆积成山等待报废…费解
1698908406# #只要你不觉得尴尬那么尴尬的就是身边所有人！
1690858181# #网友：7月30日，湖南长沙，在公交车上有大量空位的情况下，一对母女坐在爱心座上，遭老人强行要求让座以及谩骂。拍摄者路见不平帮忙说了两句，被多名老人联合起来围攻……。公交满是空座坐在爱心座位遭谩骂
1697764087# #调整座椅引发矛盾！但是听乘务人员的协调，好像并不支持前排乘客放倒。
1701519887# #婆媳硬刚互不相让，如果你是儿子会站在哪一边？费解
1702206098# #这种微胖的身材没人不喜欢吧……
1697532047# #晚上欢乐的时候也是这种笑声嘛。。。允悲允悲
1688953586# #小年轻深夜约女孩出来喝酒，没想到女孩父母找来了。裂开
1696814280# #三个月撞七次，加塞你就来！
1698923961# #这个也能生吃嘛。。疑问
1702536772# #网友：变向不打灯，对不起你今天遇到我了…
1692067435# #女子驾驶电瓶车逆行发生交通事故，交警认定电瓶车全责！。没想到女子无理搅三分：先是告知烤瓷牙多贵，又说小车没有及时停下，机动车撞电瓶车怎么能没责任？？哆啦A梦害怕
1701959222# #乌克兰士兵第一视角记录俄军猛烈炮击：炮弹多次落在身旁！
1698656229# #因为专业，所以靠谱，有需要的了解一下！@金钟制表--工作室
1700925801# #喝点酒不知道自己几斤几两了！报警后这种人怂得很…
1688450324# #彪形大汉不相信点穴功夫结果被一拳放到，还是怀疑人生！
1702869157# #东北的冬天出行还是别开车了……允悲
1701824540# #这个明显是故意的吧！红色汽车全责？？
1690812536# #网友：家庭开车露营碾压内蒙古草场，在草场上搭帐篷，垃圾乱丢！面对制止，态度还恶劣，真的是素质掉一地…
1701851531# #部分人的潜意识：东西都是进口的好～
1689999825# #四川凉山，孩子4个月了老公还没给彩礼，娘家也不让回，女子欲跳河轻生被救回……。孩子4个月还没给彩礼女子欲跳河轻生
1696769362# #网友投稿：在这停了近一年，这是谁的蔚来汽车丢了！
1690976846# #商场里面这样骑车！如果摔死或摔伤，商场可摊上大事了！
1688570718# #洛阳某地，烧烤摊上故事多呀……据说有人伤亡！衰
1688693202# #上海市某小区加装电梯惹争议，一楼户主不同意，楼上业主强行拦着抗议者，让挖掘机开进小区施工惹激烈冲突。。大家感觉这种情况合理吗？？费解。小区加装电梯发生冲突
1700811823# #目前最喜欢的海底捞科目三！
1691029148# #在涉水方面，路虎被红色POLO好好上了一课！
1689557806# #你发你的牢骚，我给我的差评！
1690975487# #后座乘客将脚伸到男子旁边，被男子连击打退……
1703212252# #网友投稿：12月21日，浙江海宁某地老太太捡了小姑娘手机要1000块钱，不给就扔河里！。警察来了也没办法只能协商处理，小姑娘只给八百，商量一下午最后还是给了1000块！这不耍无赖嘛……
1689932088# #山东伙计来说说，这是真能喝还是吹牛呢……
1697094701# #这个婚宴配置不收粉丝钱！结个婚不得赔出去一套房？
1688031354# #女子坐公交逃票不成将猫踩脚下威胁司机。6月28日，山西临汾，女子坐公交车未投币，司机提醒后，女子反将自己的猫踩在脚下，威胁司机：让下车我就踩死它……
1691634019# #网友：带口罩的大哥说自己花两千多块钱坐高铁，只提供一顿餐食，很不满意，说别人坐两站也能吃一顿饭，自己两千多买的票也只能吃一顿，乘务员申请后免费送一份也喋喋不休，把乘务员说哭都还不肯作罢，大哥看不下去主持公道…晕
1688135401# #广东，男子街边吸烟被直播的女子扔水瓶…。女主播：闻到烟味就不舒服…这事你怎么看？
1689742336# #瞬间老实，这样执法就很过瘾……
1694339115# #离谱的车祸现场。
1689818762# #聆听一下giao哥的教诲…
1693792567# #碰到结婚的车队非要加塞！怎么看待这位大众车主的行为…
1687416034# #闫芳大师亲自指导邢台拳友…作揖
1694318242# #在美国开店做生意，也挺不容易的…吃瓜
1694668324# #最后一句证明真的是个高材生。。笑cry
1698976742# #去他家吃饭，需要注意什么！费解费解
1691257881# #这孩子家长拿孩子祭海呢？
1698560936# #中年男人崩溃的瞬间。。晕
1700909925# #还知道拉裙子，人应该没事吧！费解
1696816467# #活了二十多年开眼了！这是什么家庭呀……晕
1700272935# #单纯的好奇，这个饭量一天得拉多少屎！doge
1703080874# #行人突然回头被出租车撞倒，紧接着又被第二台车压过！衰
1693291915# #8月28日，浙江，一女子骑电动车撞到轿车，等待交警的过程中，直接掏钱跪地求男子原谅，拉扯中还把男子裤子拉掉……费解
1699084426# #卡车司机全程没有看到嘛？？？晕
1690637751# #八成是在摆拍，早晚封号！
1699581431# #“你是真不怕死呀你”这句话刚说完……费解
1696292762# #这孩子打小就有出息…
1698799144# #直接割篮子做女生！这兄弟是个狠人呀……
1699491480# #就为了一个座位，两位半百的老人何必呢！
1690539795# #盘山公路上刹车突然失灵，司机冷静操作化险为夷！车内乘客好像还不知道发生了什么事…衰
1702269376# #谁能想到科目三登上了大雅之堂！二哈二哈
1689066473# #7月11日，广东中山，男子深夜扔反光锥砸坏法拉利！车行员工：估计损失十几万，可能有仇富心理……
1702943497# #赔两万？！你还是去抢吧。。。。。网友投稿：18日，河南开封，开车不小心压到路边塑料布上的鳖盖，张口就要赔两万，真敢要啊，只能报警处理了。。。
1698643307# #精致女生上班的8小时到底在做什么？？衰
1695472417# #五分钟就开席的极简婚礼！五分钟就开席的极简婚礼
1690390447# #男子在隧道内骑电动独轮车，速度快到能超汽车！衰
1700470208# #这是准备制造追尾的假象吗？？？
1699186854# #网友：举报投诉女邻居每天在楼道乱丢垃圾后，女子晚上8点投诉男子开门吃饭扰民！
1703998608# #美式小费文化，都还挺讲究呢？？
1700645919# #这样的女生谁能顶得住～
1687960735# #三百六十行，行行出名媛！
1700832837# #因店铺装修造成的垃圾堆满街道，环卫工人将其推回屋内……费解费解
1693745612# #女子吃面偷撒一袋盐刁难服务员。9月2日，天津，一女子饭店吃饭点了碗面，掏出用纸包装的一把盐偷偷撒在面里诬陷店家，随后喊来店员质问，当着店员面把面条打翻地上，还差点把店员烫伤。店家愤怒直接报警处理。。店家称：她这种行为就是为了讹钱，怕店员尝她面，故意把面条打翻。。
1696153234# #某些景区游客的素质可真不太行……
1701503217# #女子压线停车，磕到别人车门后语出惊人：你要是这个态度，咱俩就没法谈了～。碰到别人车门，道个歉这么难吗？？费解费解
1704010112# #化妆对于女生的改变有多大！
1702522062# #12日，辽宁沈阳，某电视台主持人打车遇司机提醒:“距离不远可坐地铁”。主持人当场投诉司机拒载！。目前这位主持人已发视频道歉！大家感觉是诱导性拒载还是主持人太武断了？？
1693784020# #没赶上车就算了，你以为出租车还招手拦一下。。晕
1687222388# #日本街边，在老人身上撒尿取乐…怒
1693358689# #这个世界本来就是破烂不堪，总有人在缝缝补补！这一瞬间更令人感动～
1697088931# #美白看来是不太行，只能增光了…
1703292846# #把店铺的窗户当成门，女子牙都被撞掉两颗！这事商家有责任吗？？
1687401719# #网传“幸福江苏”女子健身模特大赛曝丑闻！。一女子疑似赛前达成某种交易，评比没得到冠军，当场发彪。大意是：昨夜你说好把冠军给我，今天给我整个倒数，你这个臭流氓，不得好死……哆啦A梦吃惊
1702473280# #上学不如当网红，打螺丝不如拍视频。摊手
1692795174# #我爱台妹～
1691302418# #好心的大爷可能还不知道，他就是在努力骗钱。
1700923428# #11月24日，某航班上，女子玩手机被声音太大被其它乘客投诉，乘务员调解后给她升了舱，临走的时候对着与他邻座的男子大声指责～
1692496881# #明星是真受欢迎，粉丝也是真闲～
1693198681# #监控下的倒霉瞬间，今天的功德要笑没了！笑cry
1691035789# #豪车出车祸与庶车同罪，等交警就完事了。
1697099291# #学校是认真的吗？
1688528993# #顾客吃饭前要被扇耳光，小日子的奇葩操作是真多…
1702974745# #大爷有个难忘的圣诞节n
1702261609# #坦白局！这样的小姐姐还受欢迎吗？
1694840713# #军训穿插的节目可还行。。
1699004108# #网友：女子骑车把送外卖撞了，反过来要别人赔钱，别人出于人道赔了500，女子不满意坐在车上不让外卖小哥离开，民警到场三次警告后，果断将其带离。。👍
1688118035# #网友投稿：男子是中间车位，女子是白色商务车，一年中女子每天都是靠左停车（表示自己技术不行，贴不了柱子），男子受不了也贴边停车，让她体验一下，结果女子上车不方便网上诋毁男子！！现在报警协调中…
1693133635# #公交车上，女孩与另外一位女孩发生口角动手，报警后，警察让公交车停下等待处理！。同车男子因害怕耽误自己上班，要求女子下车等，女孩没同意，然后又和男子再次发生口角！发生这种情况全车人都陪着等吗？？。公交车上起冲突全车人等着处理
1697530615# #无锡特斯拉车主刚被刑拘，建议收敛一点！
1694608935# #这两位女士的操作都挺迷惑的。。费解
1702198716# #北京还有月租200的房子，你们觉得怎么样？？
1691979610# #看两个孩子玩的多开心，丝毫不顾及别人的感受！碰到这种熊孩子怎么办呢？？摊手
1691554625# #拒绝和稀泥！谁的错误就批评谁，这样的交警才值得点赞！
1690801980# #文旅部门回应景区禁止游客国道边拍照。7月30日，游客在西藏日喀则G349国道卡若拉冰川路段停车拍照时，遭景区工作人员阻拦。在国道拍照也要门票吗？？。在网络上搜索卡“若拉冰川”，有大量网友表示，自己也曾遭遇这样的经历。
1703318802# #宇宙的尽头都是直播带货！！。儿子失而复得开启全家直播带货，不得不说还挺熟练的！
1702265411# #机车网红今年死亡占比有点高，骑摩托车摆拍的多注意安全吧！
1696080918# #没去过音乐节现场的永远也不会理解！doge
1694911647# #你们有没有这种手贱的朋友～
1692751833# #这样的洗脑方式，下面的人也能被骗！是有多蠢～
1694434530# #军训累了一天的同学，瞬间满血复活。
1689481409# #每当看到这个片段，我就暗暗下决心一定要努力赚钱…
1689480232# #可能真憋不住了，关键事后也没清理呀……
1693884121# #大娘寻思没有人咋整呀，谁赔我钱呀！！
1689475928# #珠海某社区门诊，男子与扎针的护士发生争执，老婆劝阻被其殴打！隔壁大姐看不过去指责，也被其谩骂。。
1688973548# #抽着烟把孩子给救了，这大哥厉害呀！哆啦A梦吃惊
1692173616# #上海某咖啡店，女子骑着brompton进店偷正在充电的平板电脑。店主：已报警…
1703723122# #印度妇女喝丈夫的洗脚水，以展示自己的爱和忠诚！。印度妻子喝下丈夫洗脚水
1700200642# #这玩意78块钱5斤，直播带货赚翻了……
1691116610# #马路上开车，这样做也太随意太危险了。。晕
1697522401# #吃席千万不能和小朋友坐一桌！
1699360719# #夫贤妻祸少！两位美女因为座位发生争执，身为男士不劝架反而帮着女朋友大打出手……怒
1689043246# #冤枉你的人比你都知道你有多冤枉。
1691537770# #小伙cos东洋武士逛商场，被保安驱赶……
1690343935# #这就是越野的意义吗？？？
1687913593# #孩子妈妈：不给玩手机就闹成这样！大哭大闹，如果我有罪，请用法律来制裁我...
1702702233# #吵过不就算了么，何必破坏别人的劳动成果呢？。14日，四川成都，据说是环卫工扫地的时候，扫把不小心碰到狗，狗主人不乐意，骂了两句，两人发生争执。然后牵狗女子把环卫工扫过堆积在一起的落叶踢得散落一地。。。费解。环卫工扫落叶被狗主人多次踢散
1688605292# #坦克300迎面撞上逆行的白色小车，双方车内人员受伤严重！
1691391159# #两男子吵架互相吐口水，吐着吐着怎么亲在一起了…
1703728878# #保安也就只能对付外卖小哥了！都是受苦受难的人，何必呢…
1691399642# #视频车是走神了吗？？？晕晕
1696924538# #科目三考试紧张到爆炸的女学员！安全员在旁边大气都不敢出～允悲
1689091165# #重庆～这出租车是啥情况？
1701836373# #雪橇犬工作累了都有人心疼，我没有！苦涩苦涩
1692322064# #物业保安直接把接亲车队锁在小区，索要香烟，给的少还不愿意开门！现在物业都这样服务业主了吗？？费解
1690902916# #感觉高铁上的奇葩越来越多…
1696841871# #一天之内躲七次防空屋，这个节骨眼抓紧回国吧…衰以色列中国留学生发声
1696124696# #演唱会为数不多的看点！心动系列
1702276158# #他头也不回的走了，像是下定了某种决心。笑cry
1688639390# #醉酒乘客举报网约车司机酒驾，交警检查未见异常！然后又投诉司机疲劳驾驶……裂开
1701183654# #校方辟谣军训教官向女生表白：两人都是新生，本来就是情侣关系，
1691646200# #健身爱好者与“健身媛”的区别……
1692265677# #婚礼现场，接亲的和送亲的打起来了？？？费解
1701602400# #闪电五连鞭，后继有人！
1696207393# #踩踏警告⚠️
1701853910# #老年代步车被撞后，这是受到惊吓了嘛。。费解费解
1694756720# #进停车场后的迷惑操作。。费解费解
1696060102# #乌克兰打了一年半，没有上战场的年轻人，平时都在干什么！
1702716171# #难以理解在餐馆用公共碗筷喂狗的行为！
1691540325# #网友：吉林长春某红旗4s店内，男子找服务接待人员，询问坐在服务接待位置上的女子，然后发生视频中的一幕……。事后4s店回应：她不是工作人员？？二哈二哈
1687398537# #涉水抛锚二次打火失败…保险还会理赔吗？疑问
1688709373# #闸口泄洪，这种水流掉进去凶多吉少！
1701570049# #12月1日上海，夫妻俩吃自助餐带走20瓶饮料，店员追到地下车库再三要求归还遭拒绝，女子称：包里面你有权看吗？？？争执中女子还故意将饮料拧开挑衅！
1695597964# #国外网红也学会了打PK呢…
1689757293# #就事论事处理就完了，干嘛非说自己是日本人…日本人就有优越感吗？
1692927265# #几人躺在地上各种混战！有什么事不能好好说嘛。。费解
1699597859# #世界冠军都不一定比红衣男子球打好……
1698982091# #死亡案例事件反馈汇报！这个时候越说脏话的领导越务实…
1700465756# #主要是凑个热闹！
1700524569# #两个都是男人吗？？
1694172052# #高铁上孩子吵闹会被吐槽，火车上的大妈放声歌唱一片祥和…
1693128802# #近日澳门永利皇宫，一母亲带着孩子乘坐免费观光缆车，坐了几圈都不肯下。。缆车外很多人在排队等待，工作人员多次劝说无果，无奈将缆车停掉，母子才不情不愿地下车，母亲认为工作人员态度不好，儿子则动手拍打工作人员。。费解
1699173038# #新加坡某航班，飞机落地滑行期间孩子站了起来，家长被空姐大声教育：他不懂事你也不懂事吗？。这名空姐的做法大家怎么看？？费解
